"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment"
"","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmanyl-PE(O-16:0/18:4)+H","698.51195","557.49284","299.29449","259.20565","333.24243","142.02639","11.5428636363636","11.8428636363636","13801"
"","Plasmanyl-PE(O-16:0/19:0)+H",1,0,0,0,0,0,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PE(O-16:0/19:0)+H",8.125407,0,0,0,0,0,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PE(O-16:0/19:0)+H",1,0,0,0,0,0,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PE(O-16:0/19:0)+H",1267757,0,0,0,0,0,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PE(O-16:0/19:0)+H",720.5903,0,0,0,0,0,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PE(O-16:0/19:0)+H","720.59025","579.57114","299.29449","281.28395","355.32073","142.02639","7.93372916666667","8.23372916666667","168"
"","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PE(O-16:0/20:0)+H","734.60585","593.58674","299.29449","295.29955","369.33633","142.02639","8.28353333333333","8.58353333333333","2123"
"","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PE(O-16:0/20:0)+H",0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PE(O-16:0/20:0)+H","734.60585","593.58674","299.29449","295.29955","369.33633","142.02639","8.48503888888889","8.78503888888889","2416"
"","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PE(O-16:0/20:1)+H","732.59025","591.57114","299.29449","293.28395","367.32073","142.02639","8.12406805555556","8.42406805555556","1753"
"","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PE(O-16:0/20:1)+H","732.59025","591.57114","299.29449","293.28395","367.32073","142.02639","9.3638375","9.6638375","11656"
"","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PE(O-16:0/20:1)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PE(O-16:0/20:1)+H","732.59025","591.57114","299.29449","293.28395","367.32073","142.02639","8.31044848484848","8.61044848484848","12846"
"","Plasmanyl-PE(O-16:0/20:2)+H",1,1,0,0,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PE(O-16:0/20:2)+H",9.37348,9.37348,0,0,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PE(O-16:0/20:2)+H",1,1,0,0,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PE(O-16:0/20:2)+H",7793.215,32615.5,0,0,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PE(O-16:0/20:2)+H",730.5742,589.5562,0,0,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PE(O-16:0/20:2)+H","730.57455","589.55544","299.29449","291.26825","365.30503","142.02639","9.20176666666667","9.50176666666667","1235"
"","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PE(O-16:0/20:2)+H","730.57455","589.55544","299.29449","291.26825","365.30503","142.02639","7.04608055555555","7.34608055555555","5546"
"","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PE(O-16:0/20:2)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PE(O-16:0/20:2)+H","730.57455","589.55544","299.29449","291.26825","365.30503","142.02639","7.23081805555556","7.53081805555556","9368"
