"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment"
"","Plasmenyl-PE(P-16:0/20:1)+H",1,1,0,0,1,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(P-16:0/20:1)+H",9.37348,9.37348,0,0,9.37348,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(P-16:0/20:1)+H",1,1,0,0,1,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(P-16:0/20:1)+H",7793.215,32615.5,0,0,3135.113,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(P-16:0/20:1)+H",730.5742,589.5562,0,0,367.321,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(P-16:0/20:1)+H","730.57456","589.55545","297.2788","293.28395","367.32073","142.02639","9.20176666666667","9.50176666666667","1235"
"","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(P-16:0/20:1)+H","730.57456","589.55545","297.2788","293.28395","367.32073","142.02639","7.04608055555555","7.34608055555555","5546"
"","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(P-16:0/20:1)+H","730.57456","589.55545","297.2788","293.28395","367.32073","142.02639","7.23081805555556","7.53081805555556","9368"
"","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(P-16:0/20:1)+H",0,0,0,0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(P-16:0/20:1)+H","730.57456","589.55545","297.2788","293.28395","367.32073","142.02639","7.05109166666667","7.35109166666667","17349"
"","Plasmenyl-PE(P-16:0/20:2)+H",1,1,0,0,1,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(P-16:0/20:2)+H",8.539091,8.539091,0,0,8.539091,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(P-16:0/20:2)+H",1,1,0,0,1,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(P-16:0/20:2)+H",33965.3,156014,0,0,1007.925,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(P-16:0/20:2)+H",728.5604,587.541,0,0,365.3061,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(P-16:0/20:2)+H","728.55886","587.53975","297.2788","291.26825","365.30503","142.02639","8.35855694444444","8.65855694444444","381"
"","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(P-16:0/20:3)+H","726.54326","585.52415","297.2788","289.25265","363.28943","142.02639","7.24894027777778","7.54894027777778","813"
"","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(P-16:0/20:3)+H","726.54326","585.52415","297.2788","289.25265","363.28943","142.02639","7.47321388888889","7.77321388888889","1207"
"","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PE(P-16:0/20:3)+H","726.54326","585.52415","297.2788","289.25265","363.28943","142.02639","12.2246125","12.5246125","7327"
"","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PE(P-16:0/20:3)+H",0,0,0,0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PE(P-16:0/20:3)+H","726.54326","585.52415","297.2788","289.25265","363.28943","142.02639","12.8074090909091","13.1074090909091","10619"
"","Plasmenyl-PE(P-16:0/20:4)+H",1,1,1,1,1,1,"6.99227361111111","7.29227361111111","226","","Plasmenyl-PE(P-16:0/20:4)+H",7.174496,7.174496,7.174496,7.174496,7.174496,7.174496,"6.99227361111111","7.29227361111111","226","","Plasmenyl-PE(P-16:0/20:4)+H",1,1,1,1,1,1,"6.99227361111111","7.29227361111111","226","","Plasmenyl-PE(P-16:0/20:4)+H",51251.31,207775.8,4084.291,43537,2287918,1644.985,"6.99227361111111","7.29227361111111","226","","Plasmenyl-PE(P-16:0/20:4)+H",724.5291,583.5094,297.279,287.2371,361.274,142.0267,"6.99227361111111","7.29227361111111","226","","Plasmenyl-PE(P-16:0/20:4)+H","724.52756","583.50845","297.2788","287.23695","361.27373","142.02639","6.99227361111111","7.29227361111111","226"
