"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Number of Scans","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Max Intensity","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Average m/z","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment"
"","AcCa(10:2)+H",0,0,0,0,0,"0.190041666666667","0.490041666666667","2924","","AcCa(10:2)+H",0,0,0,0,0,"0.190041666666667","0.490041666666667","2924","","AcCa(10:2)+H",0,0,0,0,0,"0.190041666666667","0.490041666666667","2924","","AcCa(10:2)+H",0,0,0,0,0,"0.190041666666667","0.490041666666667","2924","","AcCa(10:2)+H",0,0,0,0,0,"0.190041666666667","0.490041666666667","2924","","AcCa(10:2)+H","312.21696","253.14346","144.10191","151.11182","85.0284","0.190041666666667","0.490041666666667","2924"
"","AcCa(10:2)+H",0,0,0,0,0,"0.3858","0.6858","15708","","AcCa(10:2)+H",0,0,0,0,0,"0.3858","0.6858","15708","","AcCa(10:2)+H",0,0,0,0,0,"0.3858","0.6858","15708","","AcCa(10:2)+H",0,0,0,0,0,"0.3858","0.6858","15708","","AcCa(10:2)+H",0,0,0,0,0,"0.3858","0.6858","15708","","AcCa(10:2)+H","312.21696","253.14346","144.10191","151.11182","85.0284","0.3858","0.6858","15708"
"","AcCa(10:1)+H",0,0,0,0,0,"0.197197222222222","0.497197222222222","1585","","AcCa(10:1)+H",0,0,0,0,0,"0.197197222222222","0.497197222222222","1585","","AcCa(10:1)+H",0,0,0,0,0,"0.197197222222222","0.497197222222222","1585","","AcCa(10:1)+H",0,0,0,0,0,"0.197197222222222","0.497197222222222","1585","","AcCa(10:1)+H",0,0,0,0,0,"0.197197222222222","0.497197222222222","1585","","AcCa(10:1)+H","314.23261","255.15911","144.10191","153.12748","85.0284","0.197197222222222","0.497197222222222","1585"
"","AcCa(10:0)+H",0,0,0,0,0,"4.93199861111111","5.23199861111111","5251","","AcCa(10:0)+H",0,0,0,0,0,"4.93199861111111","5.23199861111111","5251","","AcCa(10:0)+H",0,0,0,0,0,"4.93199861111111","5.23199861111111","5251","","AcCa(10:0)+H",0,0,0,0,0,"4.93199861111111","5.23199861111111","5251","","AcCa(10:0)+H",0,0,0,0,0,"4.93199861111111","5.23199861111111","5251","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","4.93199861111111","5.23199861111111","5251"
"","AcCa(10:0)+H",0,0,0,0,0,"14.7600472222222","15.0600472222222","5329","","AcCa(10:0)+H",0,0,0,0,0,"14.7600472222222","15.0600472222222","5329","","AcCa(10:0)+H",0,0,0,0,0,"14.7600472222222","15.0600472222222","5329","","AcCa(10:0)+H",0,0,0,0,0,"14.7600472222222","15.0600472222222","5329","","AcCa(10:0)+H",0,0,0,0,0,"14.7600472222222","15.0600472222222","5329","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","14.7600472222222","15.0600472222222","5329"
"","AcCa(10:0)+H",0,0,0,0,0,"8.24919583333333","8.54919583333333","5890","","AcCa(10:0)+H",0,0,0,0,0,"8.24919583333333","8.54919583333333","5890","","AcCa(10:0)+H",0,0,0,0,0,"8.24919583333333","8.54919583333333","5890","","AcCa(10:0)+H",0,0,0,0,0,"8.24919583333333","8.54919583333333","5890","","AcCa(10:0)+H",0,0,0,0,0,"8.24919583333333","8.54919583333333","5890","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","8.24919583333333","8.54919583333333","5890"
"","AcCa(10:0)+H",0,0,0,0,0,"12.8744027777778","13.1744027777778","5967","","AcCa(10:0)+H",0,0,0,0,0,"12.8744027777778","13.1744027777778","5967","","AcCa(10:0)+H",0,0,0,0,0,"12.8744027777778","13.1744027777778","5967","","AcCa(10:0)+H",0,0,0,0,0,"12.8744027777778","13.1744027777778","5967","","AcCa(10:0)+H",0,0,0,0,0,"12.8744027777778","13.1744027777778","5967","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","12.8744027777778","13.1744027777778","5967"
"","AcCa(10:0)+H",0,0,0,0,0,"5.67419722222222","5.97419722222222","6026","","AcCa(10:0)+H",0,0,0,0,0,"5.67419722222222","5.97419722222222","6026","","AcCa(10:0)+H",0,0,0,0,0,"5.67419722222222","5.97419722222222","6026","","AcCa(10:0)+H",0,0,0,0,0,"5.67419722222222","5.97419722222222","6026","","AcCa(10:0)+H",0,0,0,0,0,"5.67419722222222","5.97419722222222","6026","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","5.67419722222222","5.97419722222222","6026"
"","AcCa(10:0)+H",0,0,0,0,0,"9.15406666666667","9.45406666666667","6401","","AcCa(10:0)+H",0,0,0,0,0,"9.15406666666667","9.45406666666667","6401","","AcCa(10:0)+H",0,0,0,0,0,"9.15406666666667","9.45406666666667","6401","","AcCa(10:0)+H",0,0,0,0,0,"9.15406666666667","9.45406666666667","6401","","AcCa(10:0)+H",0,0,0,0,0,"9.15406666666667","9.45406666666667","6401","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","9.15406666666667","9.45406666666667","6401"
"","AcCa(10:0)+H",0,0,0,0,0,"4.09665416666667","4.39665416666667","6435","","AcCa(10:0)+H",0,0,0,0,0,"4.09665416666667","4.39665416666667","6435","","AcCa(10:0)+H",0,0,0,0,0,"4.09665416666667","4.39665416666667","6435","","AcCa(10:0)+H",0,0,0,0,0,"4.09665416666667","4.39665416666667","6435","","AcCa(10:0)+H",0,0,0,0,0,"4.09665416666667","4.39665416666667","6435","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","4.09665416666667","4.39665416666667","6435"
"","AcCa(10:0)+H",0,0,0,0,0,"9.63855833333333","9.93855833333333","6638","","AcCa(10:0)+H",0,0,0,0,0,"9.63855833333333","9.93855833333333","6638","","AcCa(10:0)+H",0,0,0,0,0,"9.63855833333333","9.93855833333333","6638","","AcCa(10:0)+H",0,0,0,0,0,"9.63855833333333","9.93855833333333","6638","","AcCa(10:0)+H",0,0,0,0,0,"9.63855833333333","9.93855833333333","6638","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","9.63855833333333","9.93855833333333","6638"
"","AcCa(10:0)+H",0,0,0,0,0,"1.81672638888889","2.11672638888889","6701","","AcCa(10:0)+H",0,0,0,0,0,"1.81672638888889","2.11672638888889","6701","","AcCa(10:0)+H",0,0,0,0,0,"1.81672638888889","2.11672638888889","6701","","AcCa(10:0)+H",0,0,0,0,0,"1.81672638888889","2.11672638888889","6701","","AcCa(10:0)+H",0,0,0,0,0,"1.81672638888889","2.11672638888889","6701","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","1.81672638888889","2.11672638888889","6701"
"","AcCa(10:0)+H",0,0,0,0,0,"7.95738194444444","8.25738194444444","7306","","AcCa(10:0)+H",0,0,0,0,0,"7.95738194444444","8.25738194444444","7306","","AcCa(10:0)+H",0,0,0,0,0,"7.95738194444444","8.25738194444444","7306","","AcCa(10:0)+H",0,0,0,0,0,"7.95738194444444","8.25738194444444","7306","","AcCa(10:0)+H",0,0,0,0,0,"7.95738194444444","8.25738194444444","7306","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","7.95738194444444","8.25738194444444","7306"
"","AcCa(10:0)+H",0,0,0,0,0,"7.73497916666667","8.03497916666667","7314","","AcCa(10:0)+H",0,0,0,0,0,"7.73497916666667","8.03497916666667","7314","","AcCa(10:0)+H",0,0,0,0,0,"7.73497916666667","8.03497916666667","7314","","AcCa(10:0)+H",0,0,0,0,0,"7.73497916666667","8.03497916666667","7314","","AcCa(10:0)+H",0,0,0,0,0,"7.73497916666667","8.03497916666667","7314","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","7.73497916666667","8.03497916666667","7314"
"","AcCa(10:0)+H",0,0,0,0,0,"6.06144166666667","6.36144166666667","8025","","AcCa(10:0)+H",0,0,0,0,0,"6.06144166666667","6.36144166666667","8025","","AcCa(10:0)+H",0,0,0,0,0,"6.06144166666667","6.36144166666667","8025","","AcCa(10:0)+H",0,0,0,0,0,"6.06144166666667","6.36144166666667","8025","","AcCa(10:0)+H",0,0,0,0,0,"6.06144166666667","6.36144166666667","8025","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","6.06144166666667","6.36144166666667","8025"
"","AcCa(10:0)+H",0,0,0,0,0,"6.79287361111111","7.09287361111111","8971","","AcCa(10:0)+H",0,0,0,0,0,"6.79287361111111","7.09287361111111","8971","","AcCa(10:0)+H",0,0,0,0,0,"6.79287361111111","7.09287361111111","8971","","AcCa(10:0)+H",0,0,0,0,0,"6.79287361111111","7.09287361111111","8971","","AcCa(10:0)+H",0,0,0,0,0,"6.79287361111111","7.09287361111111","8971","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","6.79287361111111","7.09287361111111","8971"
"","AcCa(10:0)+H",0,0,0,0,0,"13.1895930555556","13.4895930555556","9825","","AcCa(10:0)+H",0,0,0,0,0,"13.1895930555556","13.4895930555556","9825","","AcCa(10:0)+H",0,0,0,0,0,"13.1895930555556","13.4895930555556","9825","","AcCa(10:0)+H",0,0,0,0,0,"13.1895930555556","13.4895930555556","9825","","AcCa(10:0)+H",0,0,0,0,0,"13.1895930555556","13.4895930555556","9825","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","13.1895930555556","13.4895930555556","9825"
"","AcCa(10:0)+H",0,0,0,0,0,"10.2212347222222","10.5212347222222","10379","","AcCa(10:0)+H",0,0,0,0,0,"10.2212347222222","10.5212347222222","10379","","AcCa(10:0)+H",0,0,0,0,0,"10.2212347222222","10.5212347222222","10379","","AcCa(10:0)+H",0,0,0,0,0,"10.2212347222222","10.5212347222222","10379","","AcCa(10:0)+H",0,0,0,0,0,"10.2212347222222","10.5212347222222","10379","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","10.2212347222222","10.5212347222222","10379"
"","AcCa(10:0)+H",0,0,0,0,0,"0.216170833333333","0.516170833333333","11291","","AcCa(10:0)+H",0,0,0,0,0,"0.216170833333333","0.516170833333333","11291","","AcCa(10:0)+H",0,0,0,0,0,"0.216170833333333","0.516170833333333","11291","","AcCa(10:0)+H",0,0,0,0,0,"0.216170833333333","0.516170833333333","11291","","AcCa(10:0)+H",0,0,0,0,0,"0.216170833333333","0.516170833333333","11291","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","0.216170833333333","0.516170833333333","11291"
"","AcCa(10:0)+H",0,0,0,0,0,"1.1071375","1.4071375","12113","","AcCa(10:0)+H",0,0,0,0,0,"1.1071375","1.4071375","12113","","AcCa(10:0)+H",0,0,0,0,0,"1.1071375","1.4071375","12113","","AcCa(10:0)+H",0,0,0,0,0,"1.1071375","1.4071375","12113","","AcCa(10:0)+H",0,0,0,0,0,"1.1071375","1.4071375","12113","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","1.1071375","1.4071375","12113"
"","AcCa(10:0)+H",0,0,0,0,0,"4.94656111111111","5.24656111111111","13172","","AcCa(10:0)+H",0,0,0,0,0,"4.94656111111111","5.24656111111111","13172","","AcCa(10:0)+H",0,0,0,0,0,"4.94656111111111","5.24656111111111","13172","","AcCa(10:0)+H",0,0,0,0,0,"4.94656111111111","5.24656111111111","13172","","AcCa(10:0)+H",0,0,0,0,0,"4.94656111111111","5.24656111111111","13172","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","4.94656111111111","5.24656111111111","13172"
"","AcCa(10:0)+H",0,0,0,0,0,"8.701225","9.001225","13278","","AcCa(10:0)+H",0,0,0,0,0,"8.701225","9.001225","13278","","AcCa(10:0)+H",0,0,0,0,0,"8.701225","9.001225","13278","","AcCa(10:0)+H",0,0,0,0,0,"8.701225","9.001225","13278","","AcCa(10:0)+H",0,0,0,0,0,"8.701225","9.001225","13278","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","8.701225","9.001225","13278"
"","AcCa(10:0)+H",0,0,0,0,0,"14.2109444444444","14.5109444444444","13300","","AcCa(10:0)+H",0,0,0,0,0,"14.2109444444444","14.5109444444444","13300","","AcCa(10:0)+H",0,0,0,0,0,"14.2109444444444","14.5109444444444","13300","","AcCa(10:0)+H",0,0,0,0,0,"14.2109444444444","14.5109444444444","13300","","AcCa(10:0)+H",0,0,0,0,0,"14.2109444444444","14.5109444444444","13300","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","14.2109444444444","14.5109444444444","13300"
"","AcCa(10:0)+H",0,0,0,0,0,"13.704025","14.004025","13350","","AcCa(10:0)+H",0,0,0,0,0,"13.704025","14.004025","13350","","AcCa(10:0)+H",0,0,0,0,0,"13.704025","14.004025","13350","","AcCa(10:0)+H",0,0,0,0,0,"13.704025","14.004025","13350","","AcCa(10:0)+H",0,0,0,0,0,"13.704025","14.004025","13350","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","13.704025","14.004025","13350"
"","AcCa(10:0)+H",0,0,0,0,0,"9.9234736111111","10.2234736111111","13442","","AcCa(10:0)+H",0,0,0,0,0,"9.9234736111111","10.2234736111111","13442","","AcCa(10:0)+H",0,0,0,0,0,"9.9234736111111","10.2234736111111","13442","","AcCa(10:0)+H",0,0,0,0,0,"9.9234736111111","10.2234736111111","13442","","AcCa(10:0)+H",0,0,0,0,0,"9.9234736111111","10.2234736111111","13442","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","9.9234736111111","10.2234736111111","13442"
"","AcCa(10:0)+H",0,0,0,0,0,"9.65214166666667","9.95214166666667","13456","","AcCa(10:0)+H",0,0,0,0,0,"9.65214166666667","9.95214166666667","13456","","AcCa(10:0)+H",0,0,0,0,0,"9.65214166666667","9.95214166666667","13456","","AcCa(10:0)+H",0,0,0,0,0,"9.65214166666667","9.95214166666667","13456","","AcCa(10:0)+H",0,0,0,0,0,"9.65214166666667","9.95214166666667","13456","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","9.65214166666667","9.95214166666667","13456"
"","AcCa(10:0)+H",0,0,0,0,0,"0.97341527777778","1.27341527777778","13667","","AcCa(10:0)+H",0,0,0,0,0,"0.97341527777778","1.27341527777778","13667","","AcCa(10:0)+H",0,0,0,0,0,"0.97341527777778","1.27341527777778","13667","","AcCa(10:0)+H",0,0,0,0,0,"0.97341527777778","1.27341527777778","13667","","AcCa(10:0)+H",0,0,0,0,0,"0.97341527777778","1.27341527777778","13667","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","0.97341527777778","1.27341527777778","13667"
"","AcCa(10:0)+H",0,0,0,0,0,"1.39857083333333","1.69857083333333","14583","","AcCa(10:0)+H",0,0,0,0,0,"1.39857083333333","1.69857083333333","14583","","AcCa(10:0)+H",0,0,0,0,0,"1.39857083333333","1.69857083333333","14583","","AcCa(10:0)+H",0,0,0,0,0,"1.39857083333333","1.69857083333333","14583","","AcCa(10:0)+H",0,0,0,0,0,"1.39857083333333","1.69857083333333","14583","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","1.39857083333333","1.69857083333333","14583"
"","AcCa(10:0)+H",0,0,0,0,0,"10.9675363636364","11.2675363636364","14666","","AcCa(10:0)+H",0,0,0,0,0,"10.9675363636364","11.2675363636364","14666","","AcCa(10:0)+H",0,0,0,0,0,"10.9675363636364","11.2675363636364","14666","","AcCa(10:0)+H",0,0,0,0,0,"10.9675363636364","11.2675363636364","14666","","AcCa(10:0)+H",0,0,0,0,0,"10.9675363636364","11.2675363636364","14666","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","10.9675363636364","11.2675363636364","14666"
"","AcCa(10:0)+H",0,0,0,0,0,"10.4360763888889","10.7360763888889","14754","","AcCa(10:0)+H",0,0,0,0,0,"10.4360763888889","10.7360763888889","14754","","AcCa(10:0)+H",0,0,0,0,0,"10.4360763888889","10.7360763888889","14754","","AcCa(10:0)+H",0,0,0,0,0,"10.4360763888889","10.7360763888889","14754","","AcCa(10:0)+H",0,0,0,0,0,"10.4360763888889","10.7360763888889","14754","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","10.4360763888889","10.7360763888889","14754"
"","AcCa(10:0)+H",0,0,0,0,0,"14.7626486111111","15.0626486111111","15386","","AcCa(10:0)+H",0,0,0,0,0,"14.7626486111111","15.0626486111111","15386","","AcCa(10:0)+H",0,0,0,0,0,"14.7626486111111","15.0626486111111","15386","","AcCa(10:0)+H",0,0,0,0,0,"14.7626486111111","15.0626486111111","15386","","AcCa(10:0)+H",0,0,0,0,0,"14.7626486111111","15.0626486111111","15386","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","14.7626486111111","15.0626486111111","15386"
"","AcCa(10:0)+H",0,0,0,0,0,"2.66303194444444","2.96303194444444","16789","","AcCa(10:0)+H",0,0,0,0,0,"2.66303194444444","2.96303194444444","16789","","AcCa(10:0)+H",0,0,0,0,0,"2.66303194444444","2.96303194444444","16789","","AcCa(10:0)+H",0,0,0,0,0,"2.66303194444444","2.96303194444444","16789","","AcCa(10:0)+H",0,0,0,0,0,"2.66303194444444","2.96303194444444","16789","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","2.66303194444444","2.96303194444444","16789"
"","AcCa(10:0)+H",0,0,0,0,0,"14.5494090909091","14.8494090909091","17308","","AcCa(10:0)+H",0,0,0,0,0,"14.5494090909091","14.8494090909091","17308","","AcCa(10:0)+H",0,0,0,0,0,"14.5494090909091","14.8494090909091","17308","","AcCa(10:0)+H",0,0,0,0,0,"14.5494090909091","14.8494090909091","17308","","AcCa(10:0)+H",0,0,0,0,0,"14.5494090909091","14.8494090909091","17308","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","14.5494090909091","14.8494090909091","17308"
"","AcCa(10:0)+H",0,0,0,0,0,"7.75353333333333","8.05353333333333","17479","","AcCa(10:0)+H",0,0,0,0,0,"7.75353333333333","8.05353333333333","17479","","AcCa(10:0)+H",0,0,0,0,0,"7.75353333333333","8.05353333333333","17479","","AcCa(10:0)+H",0,0,0,0,0,"7.75353333333333","8.05353333333333","17479","","AcCa(10:0)+H",0,0,0,0,0,"7.75353333333333","8.05353333333333","17479","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","7.75353333333333","8.05353333333333","17479"
"","AcCa(10:0)+H",0,0,0,0,0,"13.4983777777778","13.7983777777778","18033","","AcCa(10:0)+H",0,0,0,0,0,"13.4983777777778","13.7983777777778","18033","","AcCa(10:0)+H",0,0,0,0,0,"13.4983777777778","13.7983777777778","18033","","AcCa(10:0)+H",0,0,0,0,0,"13.4983777777778","13.7983777777778","18033","","AcCa(10:0)+H",0,0,0,0,0,"13.4983777777778","13.7983777777778","18033","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","13.4983777777778","13.7983777777778","18033"
"","AcCa(10:0)+H",0,0,0,0,0,"7.24082083333333","7.54082083333333","18160","","AcCa(10:0)+H",0,0,0,0,0,"7.24082083333333","7.54082083333333","18160","","AcCa(10:0)+H",0,0,0,0,0,"7.24082083333333","7.54082083333333","18160","","AcCa(10:0)+H",0,0,0,0,0,"7.24082083333333","7.54082083333333","18160","","AcCa(10:0)+H",0,0,0,0,0,"7.24082083333333","7.54082083333333","18160","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","7.24082083333333","7.54082083333333","18160"
"","AcCa(10:0)+H",0,0,0,0,0,"14.2614930555556","14.5614930555556","18873","","AcCa(10:0)+H",0,0,0,0,0,"14.2614930555556","14.5614930555556","18873","","AcCa(10:0)+H",0,0,0,0,0,"14.2614930555556","14.5614930555556","18873","","AcCa(10:0)+H",0,0,0,0,0,"14.2614930555556","14.5614930555556","18873","","AcCa(10:0)+H",0,0,0,0,0,"14.2614930555556","14.5614930555556","18873","","AcCa(10:0)+H","316.24825","257.17475","144.10191","155.14314","85.0284","14.2614930555556","14.5614930555556","18873"
"","AcCa(12:1)+H",0,0,0,0,0,"0.272159722222222","0.572159722222222","1895","","AcCa(12:1)+H",0,0,0,0,0,"0.272159722222222","0.572159722222222","1895","","AcCa(12:1)+H",0,0,0,0,0,"0.272159722222222","0.572159722222222","1895","","AcCa(12:1)+H",0,0,0,0,0,"0.272159722222222","0.572159722222222","1895","","AcCa(12:1)+H",0,0,0,0,0,"0.272159722222222","0.572159722222222","1895","","AcCa(12:1)+H","342.2639","283.1904","144.10191","181.1588","85.0284","0.272159722222222","0.572159722222222","1895"
