"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Average m/z","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment"
"","PA(12:0_17:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(12:0_17:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(12:0_17:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(12:0_17:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(12:0_17:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(12:0_17:0)+H","607.4334","509.45649","327.28944","257.21114","183.17435","253.25265","2.39325","2.69325","8335"
"","PA(12:0_18:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(12:0_18:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(12:0_18:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(12:0_18:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(12:0_18:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(12:0_18:3)+H","615.4021","517.42519","335.25814","257.21114","183.17435","261.22135","4.90855909090909","5.20855909090909","6945"
"","PA(12:0_22:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(12:0_22:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(12:0_22:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(12:0_22:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(12:0_22:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(12:0_22:0)+H","677.5116","579.53469","397.36764","257.21114","183.17435","323.33085","10.1530888888889","10.4530888888889","6085"
"","PA(12:0_22:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(12:0_22:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(12:0_22:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(12:0_22:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(12:0_22:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(12:0_22:0)+H","677.5116","579.53469","397.36764","257.21114","183.17435","323.33085","2.40720151515152","2.70720151515152","11217"
"","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(12:0_23:0)+H","691.5273","593.55039","411.38334","257.21114","183.17435","337.34655","8.74575","9.04575","10989"
"","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(12:0_23:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(12:0_23:0)+H","691.5273","593.55039","411.38334","257.21114","183.17435","337.34655","8.1107875","8.4107875","15207"
"","PA(12:0_24:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(12:0_24:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(12:0_24:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(12:0_24:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(12:0_24:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(12:0_24:0)+H","705.5429","607.56599","425.39894","257.21114","183.17435","351.36215","11.0434472222222","11.3434472222222","6077"
"","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.66535277777778","9.96535277777778","6641","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.66535277777778","9.96535277777778","6641","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.66535277777778","9.96535277777778","6641","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.66535277777778","9.96535277777778","6641","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.66535277777778","9.96535277777778","6641","","PA(12:0_25:0)+H","719.5586","621.58169","439.41464","257.21114","183.17435","365.37785","9.66535277777778","9.96535277777778","6641"
"","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8500125","12.1500125","9999","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8500125","12.1500125","9999","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8500125","12.1500125","9999","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8500125","12.1500125","9999","","PA(12:0_25:0)+H",0,0,0,0,0,0,"11.8500125","12.1500125","9999","","PA(12:0_25:0)+H","719.5586","621.58169","439.41464","257.21114","183.17435","365.37785","11.8500125","12.1500125","9999"
"","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.29737083333333","9.59737083333333","12307","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.29737083333333","9.59737083333333","12307","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.29737083333333","9.59737083333333","12307","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.29737083333333","9.59737083333333","12307","","PA(12:0_25:0)+H",0,0,0,0,0,0,"9.29737083333333","9.59737083333333","12307","","PA(12:0_25:0)+H","719.5586","621.58169","439.41464","257.21114","183.17435","365.37785","9.29737083333333","9.59737083333333","12307"
