"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","LPC(18:1)+Na",1,0,1,1,0,1,"0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na",1.084848,0,1.084848,1.084848,0,0.9504062,"0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na",2,0,2,2,0,2,"0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na",642533.1,0,539261.6,13510.2,0,224309.8,"0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na",544.33875,0,485.26435,339.28975,0,184.0735,"0.89461944444444","1.19461944444444","425","","LPC(18:1)+Na","544.336835","361.270835","485.263335","339.288835","215.007435","184.07332","0.89461944444444","1.19461944444444","425"
"","LPC(18:1)+Na",0,0,0,0,0,0,"1.37974444444444","1.67974444444444","9285","","LPC(18:1)+Na",0,0,0,0,0,0,"1.37974444444444","1.67974444444444","9285","","LPC(18:1)+Na",0,0,0,0,0,0,"1.37974444444444","1.67974444444444","9285","","LPC(18:1)+Na",0,0,0,0,0,0,"1.37974444444444","1.67974444444444","9285","","LPC(18:1)+Na",0,0,0,0,0,0,"1.37974444444444","1.67974444444444","9285","","LPC(18:1)+Na","544.336835","361.270835","485.263335","339.288835","215.007435","184.07332","1.37974444444444","1.67974444444444","9285"
"","LPC(18:1)+Na",0,0,0,0,0,1,"1.811375","2.111375","9312","","LPC(18:1)+Na",0,0,0,0,0,1.831176,"1.811375","2.111375","9312","","LPC(18:1)+Na",0,0,0,0,0,1,"1.811375","2.111375","9312","","LPC(18:1)+Na",0,0,0,0,0,6856.744,"1.811375","2.111375","9312","","LPC(18:1)+Na",0,0,0,0,0,184.0738,"1.811375","2.111375","9312","","LPC(18:1)+Na","544.336835","361.270835","485.263335","339.288835","215.007435","184.07332","1.811375","2.111375","9312"
"","LPC(18:2)+Na",1,1,1,1,0,1,"0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na",0.7144476,0.7144476,0.7144476,0.7144476,0,0.7144476,"0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na",2,2,2,2,0,2,"0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na",1477114,16928.31,1609748,48519.84,0,96397.05,"0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na",542.3226,359.2562,483.24885,337.27405,0,184.0736,"0.585777777777778","0.885777777777778","277","","LPC(18:2)+Na","542.321185","359.255185","483.247685","337.273185","212.991785","184.07332","0.585777777777778","0.885777777777778","277"
"","LPC(18:2)+Na",0,0,0,0,0,0,"1.82306388888889","2.12306388888889","3264","","LPC(18:2)+Na",0,0,0,0,0,0,"1.82306388888889","2.12306388888889","3264","","LPC(18:2)+Na",0,0,0,0,0,0,"1.82306388888889","2.12306388888889","3264","","LPC(18:2)+Na",0,0,0,0,0,0,"1.82306388888889","2.12306388888889","3264","","LPC(18:2)+Na",0,0,0,0,0,0,"1.82306388888889","2.12306388888889","3264","","LPC(18:2)+Na","542.321185","359.255185","483.247685","337.273185","212.991785","184.07332","1.82306388888889","2.12306388888889","3264"
"","LPC(18:2)+Na",0,0,0,0,0,0,"1.39029583333333","1.69029583333333","3928","","LPC(18:2)+Na",0,0,0,0,0,0,"1.39029583333333","1.69029583333333","3928","","LPC(18:2)+Na",0,0,0,0,0,0,"1.39029583333333","1.69029583333333","3928","","LPC(18:2)+Na",0,0,0,0,0,0,"1.39029583333333","1.69029583333333","3928","","LPC(18:2)+Na",0,0,0,0,0,0,"1.39029583333333","1.69029583333333","3928","","LPC(18:2)+Na","542.321185","359.255185","483.247685","337.273185","212.991785","184.07332","1.39029583333333","1.69029583333333","3928"
"","LPC(18:2)+Na",0,0,0,0,0,0,"0.96797121212121","1.26797121212121","4877","","LPC(18:2)+Na",0,0,0,0,0,0,"0.96797121212121","1.26797121212121","4877","","LPC(18:2)+Na",0,0,0,0,0,0,"0.96797121212121","1.26797121212121","4877","","LPC(18:2)+Na",0,0,0,0,0,0,"0.96797121212121","1.26797121212121","4877","","LPC(18:2)+Na",0,0,0,0,0,0,"0.96797121212121","1.26797121212121","4877","","LPC(18:2)+Na","542.321185","359.255185","483.247685","337.273185","212.991785","184.07332","0.96797121212121","1.26797121212121","4877"
"","LPC(18:3)+Na",0,0,0,0,0,0,"0.465851515151515","0.765851515151515","11449","","LPC(18:3)+Na",0,0,0,0,0,0,"0.465851515151515","0.765851515151515","11449","","LPC(18:3)+Na",0,0,0,0,0,0,"0.465851515151515","0.765851515151515","11449","","LPC(18:3)+Na",0,0,0,0,0,0,"0.465851515151515","0.765851515151515","11449","","LPC(18:3)+Na",0,0,0,0,0,0,"0.465851515151515","0.765851515151515","11449","","LPC(18:3)+Na","540.305535","357.239535","481.232035","335.257535","210.976135","184.07332","0.465851515151515","0.765851515151515","11449"
"","LPC(19:0)+Na",1,1,1,1,0,0,"1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na",1.721965,1.721965,1.721965,1.721965,0,0,"1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na",2,2,2,2,0,0,"1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na",2098288,2579.92,2097576,43335.28,0,0,"1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na",560.36945,377.3033,501.29575,355.321,0,0,"1.54914027777778","1.84914027777778","210","","LPC(19:0)+Na","560.368135","377.302135","501.294635","355.320135","231.038735","184.07332","1.54914027777778","1.84914027777778","210"
"","LPC(19:0)+Na",1,1,1,1,0,0,"1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na",1.894526,1.894526,1.894526,1.894526,0,0,"1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na",2,1,2,2,0,0,"1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na",638605.6,1048.65,602064.6,15161.18,0,0,"1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na",560.36945,377.3019,501.29575,355.32085,0,0,"1.79438611111111","2.09438611111111","523","","LPC(19:0)+Na","560.368135","377.302135","501.294635","355.320135","231.038735","184.07332","1.79438611111111","2.09438611111111","523"
