"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(12:0_18:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(12:0_18:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(12:0_18:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(12:0_18:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(12:0_18:0)+Na",0,0,0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(12:0_18:0)+Na","730.4629249","643.4308949","632.4860249","447.4771049","523.4720549","443.2532649","359.1593649","207.99872","1.47424166666667","1.77424166666667","7817"
"","PS(12:0_18:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(12:0_18:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(12:0_18:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(12:0_18:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(12:0_18:3)+Na",0,0,0,0,0,0,0,0,"3.85230416666667","4.15230416666667","4482","","PS(12:0_18:3)+Na","724.4160249","637.3839949","626.4391249","441.4302049","517.4251549","437.2063649","359.1593649","207.99872","3.85230416666667","4.15230416666667","4482"
"","PS(12:0_23:0)+Na",1,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(12:0_23:0)+Na",8.161917,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(12:0_23:0)+Na",1,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(12:0_23:0)+Na",48811.2,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(12:0_23:0)+Na",800.5413,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(12:0_23:0)+Na","800.5412249","713.5091949","702.5643249","517.5554049","593.5503549","513.3315649","359.1593649","207.99872","8.01050416666666","8.31050416666666","2253"
"","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(12:0_24:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","527.3471649","359.1593649","207.99872","4.12318888888889","4.42318888888889","6221"
"","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(12:0_24:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","527.3471649","359.1593649","207.99872","3.10427638888889","3.40427638888889","8057"
"","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(12:0_24:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","527.3471649","359.1593649","207.99872","3.79138333333333","4.09138333333333","8066"
"","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(12:0_24:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","527.3471649","359.1593649","207.99872","3.39136944444444","3.69136944444444","8265"
"","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(12:0_24:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","527.3471649","359.1593649","207.99872","4.12585277777778","4.42585277777778","13405"
"","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(12:0_24:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(12:0_24:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","527.3471649","359.1593649","207.99872","1.83709444444444","2.13709444444444","15859"
"","PS(12:0_24:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(12:0_24:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(12:0_24:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(12:0_24:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(12:0_24:1)+Na",0,0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","PS(12:0_24:1)+Na","812.5412249","725.5091949","714.5643249","529.5554049","605.5503549","525.3315649","359.1593649","207.99872","1.86782083333333","2.16782083333333","11159"
