"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","MGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(11:0_25:0)+NH4","804.65592","625.57662","607.56605","439.41474","243.19578","169.15874","365.3777","13.5621708333333","13.8621708333333","16592"
"","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(12:0_14:1)+NH4","662.48377","483.40447","465.3939","283.22695","257.21131","183.17438","209.19002","0.472570833333333","0.772570833333333","2714"
"","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(12:0_14:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(12:0_14:1)+NH4","662.48377","483.40447","465.3939","283.22695","257.21131","183.17438","209.19002","0.668754166666667","0.968754166666667","17261"
"","MGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(12:0_17:1)+NH4","704.53072","525.45142","507.44085","325.2739","257.21134","183.17438","251.23694","0.437631944444444","0.737631944444444","7066"
"","MGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(12:0_18:0)+NH4","720.56202","541.48272","523.47215","341.3052","257.21136","183.17438","267.26822","11.9522075757576","12.2522075757576","8549"
"","MGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(12:0_19:0)+NH4","734.57762","555.49832","537.48775","355.3208","257.21132","183.17438","281.28386","5.52323484848485","5.82323484848485","5181"
"","MGDG(12:0_20:3)+NH4",0,0,0,0,0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(12:0_20:3)+NH4",0,0,0,0,0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(12:0_20:3)+NH4",0,0,0,0,0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(12:0_20:3)+NH4",0,0,0,0,0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(12:0_20:3)+NH4",0,0,0,0,0,0,0,"12.8643333333333","13.1643333333333","5705","","MGDG(12:0_20:3)+NH4","742.54642","563.46712","545.45655","363.2896","257.2114","183.17438","289.25258","12.8643333333333","13.1643333333333","5705"
"","MGDG(12:0_21:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(12:0_21:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(12:0_21:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(12:0_21:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(12:0_21:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(12:0_21:0)+NH4","762.60895","583.52965","565.51908","383.35213","257.21137","183.17438","309.31514","12.5810055555556","12.8810055555556","11889"
"","MGDG(12:0_24:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(12:0_24:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(12:0_24:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(12:0_24:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(12:0_24:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(12:0_24:0)+NH4","804.65592","625.57662","607.56605","425.3991","257.21142","183.17438","351.36206","13.5621708333333","13.8621708333333","16592"
"","MGDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(13:0_16:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(13:0_16:1)+NH4","704.53072","525.45142","507.44085","311.25826","271.22698","197.19002","237.2213","0.437631944444444","0.737631944444444","7066"
"","MGDG(13:0_17:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(13:0_17:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(13:0_17:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(13:0_17:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(13:0_17:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(13:0_17:0)+NH4","720.56202","541.48272","523.47215","327.28956","271.227","197.19002","253.25258","11.9522075757576","12.2522075757576","8549"
