"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment"
"","PE(10:0_21:0)+H",1,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(10:0_21:0)+H",4.868633,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(10:0_21:0)+H",1,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(10:0_21:0)+H",122538.7,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(10:0_21:0)+H",678.509,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PE(10:0_21:0)+H","678.50688","537.48777","383.35202","229.17982","155.14305","309.31525","142.02639","4.68950454545455","4.98950454545455","1155"
"","PE(10:0_21:0)+H",1,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(10:0_21:0)+H",4.868633,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(10:0_21:0)+H",1,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(10:0_21:0)+H",122538.7,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(10:0_21:0)+H",678.509,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PE(10:0_21:0)+H","678.50688","537.48777","383.35202","229.17982","155.14305","309.31525","142.02639","4.69344722222222","4.99344722222222","12687"
"","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(10:0_22:0)+H","692.52248","551.50337","397.36762","229.17982","155.14305","323.33085","142.02639","5.37767361111111","5.67767361111111","2266"
"","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(10:0_22:0)+H","692.52248","551.50337","397.36762","229.17982","155.14305","323.33085","142.02639","5.64302916666667","5.94302916666667","3402"
"","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(10:0_22:0)+H","692.52248","551.50337","397.36762","229.17982","155.14305","323.33085","142.02639","5.12018472222222","5.42018472222222","4596"
"","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(10:0_22:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(10:0_22:0)+H","692.52248","551.50337","397.36762","229.17982","155.14305","323.33085","142.02639","12.1199472222222","12.4199472222222","7285"
"","PE(10:0_22:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(10:0_22:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(10:0_22:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(10:0_22:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(10:0_22:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(10:0_22:1)+H","690.50688","549.48777","395.35202","229.17982","155.14305","321.31525","142.02639","12.0874060606061","12.3874060606061","9023"
"","PE(10:0_22:2)+H",0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(10:0_22:2)+H",0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(10:0_22:2)+H",0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(10:0_22:2)+H",0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(10:0_22:2)+H",0,0,0,0,0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(10:0_22:2)+H","688.49118","547.47207","393.33632","229.17982","155.14305","319.29955","142.02639","11.5169424242424","11.8169424242424","12384"
"","PE(10:0_22:3)+H",0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(10:0_22:3)+H",0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(10:0_22:3)+H",0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(10:0_22:3)+H",0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(10:0_22:3)+H",0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(10:0_22:3)+H","686.47558","545.45647","391.32072","229.17982","155.14305","317.28395","142.02639","6.29392361111111","6.59392361111111","12753"
"","PE(10:0_23:0)+H",1,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(10:0_23:0)+H",6.168828,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(10:0_23:0)+H",3,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(10:0_23:0)+H",1563772,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(10:0_23:0)+H",706.538766666667,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(10:0_23:0)+H","706.53818","565.51907","411.38332","229.17982","155.14305","337.34655","142.02639","6.02765","6.32765","188"
