"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Number of Scans","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Average m/z","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment"
"","Cer(d10:0/15:0)+H",0,0,0,0,0,"2.48946805555556","2.78946805555556","8761","","Cer(d10:0/15:0)+H",0,0,0,0,0,"2.48946805555556","2.78946805555556","8761","","Cer(d10:0/15:0)+H",0,0,0,0,0,"2.48946805555556","2.78946805555556","8761","","Cer(d10:0/15:0)+H",0,0,0,0,0,"2.48946805555556","2.78946805555556","8761","","Cer(d10:0/15:0)+H",0,0,0,0,0,"2.48946805555556","2.78946805555556","8761","","Cer(d10:0/15:0)+H","414.39418","396.3836","378.37302","172.169395","154.158815","2.48946805555556","2.78946805555556","8761"
"","Cer(d10:0/15:0)+H",0,0,0,0,0,"4.17070972222222","4.47070972222222","12414","","Cer(d10:0/15:0)+H",0,0,0,0,0,"4.17070972222222","4.47070972222222","12414","","Cer(d10:0/15:0)+H",0,0,0,0,0,"4.17070972222222","4.47070972222222","12414","","Cer(d10:0/15:0)+H",0,0,0,0,0,"4.17070972222222","4.47070972222222","12414","","Cer(d10:0/15:0)+H",0,0,0,0,0,"4.17070972222222","4.47070972222222","12414","","Cer(d10:0/15:0)+H","414.39418","396.3836","378.37302","172.169395","154.158815","4.17070972222222","4.47070972222222","12414"
"","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.99002916666667","3.29002916666667","3244","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.99002916666667","3.29002916666667","3244","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.99002916666667","3.29002916666667","3244","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.99002916666667","3.29002916666667","3244","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.99002916666667","3.29002916666667","3244","","Cer(d10:0/15:1)+H","412.37848","394.3679","376.35732","172.169395","154.158815","2.99002916666667","3.29002916666667","3244"
"","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.45861527777778","2.75861527777778","6375","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.45861527777778","2.75861527777778","6375","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.45861527777778","2.75861527777778","6375","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.45861527777778","2.75861527777778","6375","","Cer(d10:0/15:1)+H",0,0,0,0,0,"2.45861527777778","2.75861527777778","6375","","Cer(d10:0/15:1)+H","412.37848","394.3679","376.35732","172.169395","154.158815","2.45861527777778","2.75861527777778","6375"
"","Cer(d10:0/15:1)+H",0,0,0,0,0,"0.451031818181818","0.751031818181818","13594","","Cer(d10:0/15:1)+H",0,0,0,0,0,"0.451031818181818","0.751031818181818","13594","","Cer(d10:0/15:1)+H",0,0,0,0,0,"0.451031818181818","0.751031818181818","13594","","Cer(d10:0/15:1)+H",0,0,0,0,0,"0.451031818181818","0.751031818181818","13594","","Cer(d10:0/15:1)+H",0,0,0,0,0,"0.451031818181818","0.751031818181818","13594","","Cer(d10:0/15:1)+H","412.37848","394.3679","376.35732","172.169395","154.158815","0.451031818181818","0.751031818181818","13594"
"","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.06051944444444","2.36051944444444","4695","","Cer(d10:0/16:0)+H","428.40978","410.3992","392.38862","172.169395","154.158815","2.06051944444444","2.36051944444444","4695"
"","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer(d10:0/16:0)+H",0,0,0,0,0,"2.4612375","2.7612375","6334","","Cer(d10:0/16:0)+H","428.40978","410.3992","392.38862","172.169395","154.158815","2.4612375","2.7612375","6334"
"","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.49469861111111","4.79469861111111","9875","","Cer(d10:0/16:0)+H","428.40978","410.3992","392.38862","172.169395","154.158815","4.49469861111111","4.79469861111111","9875"
"","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer(d10:0/16:0)+H",0,0,0,0,0,"4.20844861111111","4.50844861111111","15398","","Cer(d10:0/16:0)+H","428.40978","410.3992","392.38862","172.169395","154.158815","4.20844861111111","4.50844861111111","15398"
"","Cer(d10:0/16:1)+H",0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer(d10:0/16:1)+H",0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer(d10:0/16:1)+H",0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer(d10:0/16:1)+H",0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer(d10:0/16:1)+H",0,0,0,0,0,"3.54813888888889","3.84813888888889","4477","","Cer(d10:0/16:1)+H","426.39418","408.3836","390.37302","172.169395","154.158815","3.54813888888889","3.84813888888889","4477"
