"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Average m/z","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment"
"","MGDG(12:0_24:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(12:0_24:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(12:0_24:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(12:0_24:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(12:0_24:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(12:0_24:0)+Na","809.6113","609.4337","441.2459","243.084","11.3531472222222","11.6531472222222","7081"
"","MGDG(13:0_18:3)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(13:0_18:3)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(13:0_18:3)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(13:0_18:3)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(13:0_18:3)+Na",0,0,0,0,"0.632992424242424","0.932992424242424","16683","","MGDG(13:0_18:3)+Na","733.4862","519.2929","455.2616","243.084","0.632992424242424","0.932992424242424","16683"
"","MGDG(13:0_20:4)+Na",0,0,0,0,"0.463593939393939","0.763593939393939","19070","","MGDG(13:0_20:4)+Na",0,0,0,0,"0.463593939393939","0.763593939393939","19070","","MGDG(13:0_20:4)+Na",0,0,0,0,"0.463593939393939","0.763593939393939","19070","","MGDG(13:0_20:4)+Na",0,0,0,0,"0.463593939393939","0.763593939393939","19070","","MGDG(13:0_20:4)+Na",0,0,0,0,"0.463593939393939","0.763593939393939","19070","","MGDG(13:0_20:4)+Na","759.5018","545.3085","455.2616","243.084","0.463593939393939","0.763593939393939","19070"
"","MGDG(13:0_22:4)+Na",0,0,0,0,"7.05652361111111","7.35652361111111","14405","","MGDG(13:0_22:4)+Na",0,0,0,0,"7.05652361111111","7.35652361111111","14405","","MGDG(13:0_22:4)+Na",0,0,0,0,"7.05652361111111","7.35652361111111","14405","","MGDG(13:0_22:4)+Na",0,0,0,0,"7.05652361111111","7.35652361111111","14405","","MGDG(13:0_22:4)+Na",0,0,0,0,"7.05652361111111","7.35652361111111","14405","","MGDG(13:0_22:4)+Na","787.5331","573.3398","455.2616","243.084","7.05652361111111","7.35652361111111","14405"
"","MGDG(13:0_23:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(13:0_23:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(13:0_23:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(13:0_23:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(13:0_23:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(13:0_23:0)+Na","809.6114","595.4181","455.2616","243.084","11.3531472222222","11.6531472222222","7081"
"","MGDG(14:0_20:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:0_20:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:0_20:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:0_20:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:0_20:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(14:0_20:1)+Na","779.5644","551.3555","469.2772","243.084","8.01050416666666","8.31050416666666","1754"
"","MGDG(14:0_20:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(14:0_20:1)+Na","779.5644","551.3555","469.2772","243.084","6.19819166666667","6.49819166666667","2444"
"","MGDG(14:0_20:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:0_20:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(14:0_20:1)+Na","779.5644","551.3555","469.2772","243.084","6.208675","6.508675","17176"
"","MGDG(14:0_20:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:0_20:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:0_20:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:0_20:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:0_20:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(14:0_20:2)+Na","777.5487","549.3398","469.2772","243.084","6.414625","6.714625","3530"
"","MGDG(14:0_22:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(14:0_22:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(14:0_22:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(14:0_22:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(14:0_22:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(14:0_22:0)+Na","809.6113","581.4024","469.2772","243.084","11.3531472222222","11.6531472222222","7081"
