"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Average m/z","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment"
"","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4","696.6501","535.5084","423.3832","11.8230152777778","12.1230152777778","6658"
"","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4","696.6501","535.5084","423.3832","9.11882272727273","9.41882272727273","10393"
"","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4","696.6501","535.5084","423.3832","8.59418888888889","8.89418888888889","18636"
"","plasmenyl-TG(P-16:0_8:0_16:1)+NH4",0,0,0,"11.1749319444444","11.4749319444444","7794","","plasmenyl-TG(P-16:0_8:0_16:1)+NH4",0,0,0,"11.1749319444444","11.4749319444444","7794","","plasmenyl-TG(P-16:0_8:0_16:1)+NH4",0,0,0,"11.1749319444444","11.4749319444444","7794","","plasmenyl-TG(P-16:0_8:0_16:1)+NH4",0,0,0,"11.1749319444444","11.4749319444444","7794","","plasmenyl-TG(P-16:0_8:0_16:1)+NH4",0,0,0,"11.1749319444444","11.4749319444444","7794","","plasmenyl-TG(P-16:0_8:0_16:1)+NH4","694.6345","533.4928","423.3832","11.1749319444444","11.4749319444444","7794"
"","plasmenyl-TG(P-16:0_8:0_17:1)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmenyl-TG(P-16:0_8:0_17:1)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmenyl-TG(P-16:0_8:0_17:1)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmenyl-TG(P-16:0_8:0_17:1)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmenyl-TG(P-16:0_8:0_17:1)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmenyl-TG(P-16:0_8:0_17:1)+NH4","708.6501","547.5084","423.3832","9.19345972222222","9.49345972222222","6887"
"","plasmenyl-TG(P-16:0_8:0_18:0)+NH4",0,0,0,"12.5555515151515","12.8555515151515","12368","","plasmenyl-TG(P-16:0_8:0_18:0)+NH4",0,0,0,"12.5555515151515","12.8555515151515","12368","","plasmenyl-TG(P-16:0_8:0_18:0)+NH4",0,0,0,"12.5555515151515","12.8555515151515","12368","","plasmenyl-TG(P-16:0_8:0_18:0)+NH4",0,0,0,"12.5555515151515","12.8555515151515","12368","","plasmenyl-TG(P-16:0_8:0_18:0)+NH4",0,0,0,"12.5555515151515","12.8555515151515","12368","","plasmenyl-TG(P-16:0_8:0_18:0)+NH4","724.6814","563.5397","423.3832","12.5555515151515","12.8555515151515","12368"
"","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"11.9691472222222","12.2691472222222","7921","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"11.9691472222222","12.2691472222222","7921","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"11.9691472222222","12.2691472222222","7921","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"11.9691472222222","12.2691472222222","7921","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"11.9691472222222","12.2691472222222","7921","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4","722.6658","561.5241","423.3832","11.9691472222222","12.2691472222222","7921"
"","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"9.21280277777778","9.51280277777778","10775","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"9.21280277777778","9.51280277777778","10775","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"9.21280277777778","9.51280277777778","10775","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"9.21280277777778","9.51280277777778","10775","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4",0,0,0,"9.21280277777778","9.51280277777778","10775","","plasmenyl-TG(P-16:0_8:0_18:1)+NH4","722.6658","561.5241","423.3832","9.21280277777778","9.51280277777778","10775"
"","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.3901541666667","12.6901541666667","3879","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.3901541666667","12.6901541666667","3879","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.3901541666667","12.6901541666667","3879","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.3901541666667","12.6901541666667","3879","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.3901541666667","12.6901541666667","3879","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4","716.6188","555.4771","423.3832","12.3901541666667","12.6901541666667","3879"
"","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.4672902777778","12.7672902777778","12980","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.4672902777778","12.7672902777778","12980","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.4672902777778","12.7672902777778","12980","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.4672902777778","12.7672902777778","12980","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4",0,0,0,"12.4672902777778","12.7672902777778","12980","","plasmenyl-TG(P-16:0_8:0_18:4)+NH4","716.6188","555.4771","423.3832","12.4672902777778","12.7672902777778","12980"
