"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"4.90192777777778","5.20192777777778","6868","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"4.90192777777778","5.20192777777778","6868","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"4.90192777777778","5.20192777777778","6868","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"4.90192777777778","5.20192777777778","6868","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"4.90192777777778","5.20192777777778","6868","","Cer_NDS(d16:0/18:2)+H","536.50315","518.49265","500.48205","256.26295","238.25235","280.26295","226.25235","4.90192777777778","5.20192777777778","6868"
"","Cer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,"3.86982777777778","4.16982777777778","5056","","Cer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,"3.86982777777778","4.16982777777778","5056","","Cer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,"3.86982777777778","4.16982777777778","5056","","Cer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,"3.86982777777778","4.16982777777778","5056","","Cer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,"3.86982777777778","4.16982777777778","5056","","Cer_NDS(d16:0/18:4)+H","532.47185","514.46135","496.45075","256.26295","238.25235","276.23165","226.25235","3.86982777777778","4.16982777777778","5056"
"","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"7.79029305555556","8.09029305555556","5828","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"7.79029305555556","8.09029305555556","5828","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"7.79029305555556","8.09029305555556","5828","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"7.79029305555556","8.09029305555556","5828","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"7.79029305555556","8.09029305555556","5828","","Cer_NDS(d16:0/19:1)+H","552.53445","534.52395","516.51335","256.26295","238.25235","296.29425","226.25235","7.79029305555556","8.09029305555556","5828"
"","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"10.3445847222222","10.6445847222222","7621","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"10.3445847222222","10.6445847222222","7621","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"10.3445847222222","10.6445847222222","7621","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"10.3445847222222","10.6445847222222","7621","","Cer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,"10.3445847222222","10.6445847222222","7621","","Cer_NDS(d16:0/19:1)+H","552.53445","534.52395","516.51335","256.26295","238.25235","296.29425","226.25235","10.3445847222222","10.6445847222222","7621"
"","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"8.41369861111111","8.71369861111111","2488","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"8.41369861111111","8.71369861111111","2488","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"8.41369861111111","8.71369861111111","2488","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"8.41369861111111","8.71369861111111","2488","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"8.41369861111111","8.71369861111111","2488","","Cer_NDS(d16:0/19:3)+H","548.50315","530.49265","512.48205","256.26295","238.25235","292.26295","226.25235","8.41369861111111","8.71369861111111","2488"
"","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.2582916666667","14.5582916666667","5848","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.2582916666667","14.5582916666667","5848","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.2582916666667","14.5582916666667","5848","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.2582916666667","14.5582916666667","5848","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.2582916666667","14.5582916666667","5848","","Cer_NDS(d16:0/19:3)+H","548.50315","530.49265","512.48205","256.26295","238.25235","292.26295","226.25235","14.2582916666667","14.5582916666667","5848"
"","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"13.701875","14.001875","6224","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"13.701875","14.001875","6224","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"13.701875","14.001875","6224","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"13.701875","14.001875","6224","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"13.701875","14.001875","6224","","Cer_NDS(d16:0/19:3)+H","548.50315","530.49265","512.48205","256.26295","238.25235","292.26295","226.25235","13.701875","14.001875","6224"
"","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"12.5892152777778","12.8892152777778","8275","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"12.5892152777778","12.8892152777778","8275","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"12.5892152777778","12.8892152777778","8275","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"12.5892152777778","12.8892152777778","8275","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"12.5892152777778","12.8892152777778","8275","","Cer_NDS(d16:0/19:3)+H","548.50315","530.49265","512.48205","256.26295","238.25235","292.26295","226.25235","12.5892152777778","12.8892152777778","8275"
"","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.7810402777778","15.0810402777778","10000","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.7810402777778","15.0810402777778","10000","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.7810402777778","15.0810402777778","10000","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.7810402777778","15.0810402777778","10000","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"14.7810402777778","15.0810402777778","10000","","Cer_NDS(d16:0/19:3)+H","548.50315","530.49265","512.48205","256.26295","238.25235","292.26295","226.25235","14.7810402777778","15.0810402777778","10000"
"","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"11.8859","12.1859","11112","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"11.8859","12.1859","11112","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"11.8859","12.1859","11112","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"11.8859","12.1859","11112","","Cer_NDS(d16:0/19:3)+H",0,0,0,0,0,0,0,"11.8859","12.1859","11112","","Cer_NDS(d16:0/19:3)+H","548.50315","530.49265","512.48205","256.26295","238.25235","292.26295","226.25235","11.8859","12.1859","11112"
