"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.71662407407407","5.01662407407407","13552","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.71662407407407","5.01662407407407","13552","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.71662407407407","5.01662407407407","13552","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.71662407407407","5.01662407407407","13552","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.71662407407407","5.01662407407407","13552","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","4.71662407407407","5.01662407407407","13552"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.27255757575758","5.57255757575758","14056","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.27255757575758","5.57255757575758","14056","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.27255757575758","5.57255757575758","14056","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.27255757575758","5.57255757575758","14056","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.27255757575758","5.57255757575758","14056","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","5.27255757575758","5.57255757575758","14056"
"","PE(8:0_26:0)+Na",1,0,1,0,0,0,"6.76129722222222","7.06129722222222","513","","PE(8:0_26:0)+Na",6.923258,0,6.985158,0,0,0,"6.76129722222222","7.06129722222222","513","","PE(8:0_26:0)+Na",1,0,1,0,0,0,"6.76129722222222","7.06129722222222","513","","PE(8:0_26:0)+Na",17079.83,0,492118.9,0,0,0,"6.76129722222222","7.06129722222222","513","","PE(8:0_26:0)+Na",742.5391,0,601.5193,0,0,0,"6.76129722222222","7.06129722222222","513","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","6.76129722222222","7.06129722222222","513"
"","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.94340138888889","5.24340138888889","567","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.94340138888889","5.24340138888889","567","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.94340138888889","5.24340138888889","567","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.94340138888889","5.24340138888889","567","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.94340138888889","5.24340138888889","567","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","4.94340138888889","5.24340138888889","567"
"","PE(8:0_26:0)+Na",1,1,1,0,0,1,"8.64927361111111","8.94927361111111","1069","","PE(8:0_26:0)+Na",8.820799,8.820799,8.820799,0,0,8.820799,"8.64927361111111","8.94927361111111","1069","","PE(8:0_26:0)+Na",1,1,1,0,0,1,"8.64927361111111","8.94927361111111","1069","","PE(8:0_26:0)+Na",232992.8,89619.41,112151.9,0,0,294384.7,"8.64927361111111","8.94927361111111","1069","","PE(8:0_26:0)+Na",742.5367,699.4945,601.5176,0,0,164.0085,"8.64927361111111","8.94927361111111","1069","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","8.64927361111111","8.94927361111111","1069"
"","PE(8:0_26:0)+Na",0,0,0,0,0,0,"12.2701305555556","12.5701305555556","1469","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"12.2701305555556","12.5701305555556","1469","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"12.2701305555556","12.5701305555556","1469","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"12.2701305555556","12.5701305555556","1469","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"12.2701305555556","12.5701305555556","1469","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","12.2701305555556","12.5701305555556","1469"
"","PE(8:0_26:0)+Na",0,0,0,0,0,0,"11.6326597222222","11.9326597222222","2244","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"11.6326597222222","11.9326597222222","2244","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"11.6326597222222","11.9326597222222","2244","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"11.6326597222222","11.9326597222222","2244","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"11.6326597222222","11.9326597222222","2244","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","11.6326597222222","11.9326597222222","2244"
"","PE(8:0_26:0)+Na",0,0,1,0,0,0,"6.94883888888889","7.24883888888889","9128","","PE(8:0_26:0)+Na",0,0,6.985158,0,0,0,"6.94883888888889","7.24883888888889","9128","","PE(8:0_26:0)+Na",0,0,2,0,0,0,"6.94883888888889","7.24883888888889","9128","","PE(8:0_26:0)+Na",0,0,492118.9,0,0,0,"6.94883888888889","7.24883888888889","9128","","PE(8:0_26:0)+Na",0,0,601.51935,0,0,0,"6.94883888888889","7.24883888888889","9128","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","6.94883888888889","7.24883888888889","9128"
"","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.72582222222222","5.02582222222222","10292","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.72582222222222","5.02582222222222","10292","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.72582222222222","5.02582222222222","10292","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.72582222222222","5.02582222222222","10292","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"4.72582222222222","5.02582222222222","10292","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","4.72582222222222","5.02582222222222","10292"
"","PE(8:0_26:0)+Na",0,0,0,0,0,0,"5.97769583333333","6.27769583333333","11722","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"5.97769583333333","6.27769583333333","11722","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"5.97769583333333","6.27769583333333","11722","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"5.97769583333333","6.27769583333333","11722","","PE(8:0_26:0)+Na",0,0,0,0,0,0,"5.97769583333333","6.27769583333333","11722","","PE(8:0_26:0)+Na","742.5357178","699.4935178","601.5166235","555.3786378","303.0969378","164.00888","5.97769583333333","6.27769583333333","11722"
