"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Average m/z","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment"
"","PS(10:0_16:1)+H",0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H",0,0,0,0,0,0,"0.92806527777778","1.22806527777778","5931","","PS(10:0_16:1)+H","650.40286","465.39391","311.25816","229.17986","155.14305","237.22135","0.92806527777778","1.22806527777778","5931"
"","PS(10:0_17:0)+H",0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H",0,0,0,0,0,0,"0.97390138888889","1.27390138888889","5474","","PS(10:0_17:0)+H","666.43416","481.42521","327.28946","229.17986","155.14305","253.25265","0.97390138888889","1.27390138888889","5474"
"","PS(10:0_18:0)+H",1,1,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",4.028213,4.028213,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",1,2,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",3461.459,4628533,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H",680.4498,495.44145,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","3.85204848484848","4.15204848484848","264"
"","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.899375","5.199375","2098","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","4.899375","5.199375","2098"
"","PS(10:0_18:0)+H",1,1,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",4.028213,4.028213,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",1,2,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",3461.459,4628533,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H",680.4498,495.44145,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","3.85645138888889","4.15645138888889","12646"
"","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H",0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PS(10:0_18:0)+H","680.44976","495.44081","341.30506","229.17986","155.14305","267.26825","4.91009027777778","5.21009027777778","12764"
"","PS(10:0_18:1)+H",0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H",0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PS(10:0_18:1)+H","678.43416","493.42521","339.28946","229.17986","155.14305","265.25265","1.40908333333333","1.70908333333333","10447"
"","PS(10:0_18:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(10:0_18:2)+H","676.41846","491.40951","337.27376","229.17986","155.14305","263.23695","1.04389166666667","1.34389166666667","10733"
"","PS(10:0_19:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(10:0_19:0)+H","694.46546","509.45651","355.32076","229.17986","155.14305","281.28395","5.00976527777778","5.30976527777778","981"
"","PS(10:0_19:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(10:0_19:0)+H","694.46546","509.45651","355.32076","229.17986","155.14305","281.28395","1.50699722222222","1.80699722222222","14667"
"","PS(10:0_20:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(10:0_20:1)+H","706.46546","521.45651","367.32076","229.17986","155.14305","293.28395","1.34317916666667","1.64317916666667","6183"
"","PS(10:0_20:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(10:0_20:2)+H","704.44976","519.44081","365.30506","229.17986","155.14305","291.26825","1.05886111111111","1.35886111111111","7726"
"","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(10:0_20:3)+H","702.43416","517.42521","363.28946","229.17986","155.14305","289.25265","3.85204848484848","4.15204848484848","2390"
"","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_20:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(10:0_20:3)+H","702.43416","517.42521","363.28946","229.17986","155.14305","289.25265","3.85645138888889","4.15645138888889","12785"
"","PS(10:0_21:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(10:0_21:0)+H","722.49676","537.48781","383.35206","229.17986","155.14305","309.31525","5.71002361111111","6.01002361111111","952"
"","PS(10:0_22:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(10:0_22:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(10:0_22:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(10:0_22:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(10:0_22:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(10:0_22:1)+H","734.49676","549.48781","395.35206","229.17986","155.14305","321.31525","1.86179583333333","2.16179583333333","9016"
"","PS(10:0_22:2)+H",0,0,0,0,0,0,"1.54857083333333","1.84857083333333","12234","","PS(10:0_22:2)+H",0,0,0,0,0,0,"1.54857083333333","1.84857083333333","12234","","PS(10:0_22:2)+H",0,0,0,0,0,0,"1.54857083333333","1.84857083333333","12234","","PS(10:0_22:2)+H",0,0,0,0,0,0,"1.54857083333333","1.84857083333333","12234","","PS(10:0_22:2)+H",0,0,0,0,0,0,"1.54857083333333","1.84857083333333","12234","","PS(10:0_22:2)+H","732.48106","547.47211","393.33636","229.17986","155.14305","319.29955","1.54857083333333","1.84857083333333","12234"
"","PS(10:0_22:3)+H",0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_22:3)+H",0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_22:3)+H",0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_22:3)+H",0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_22:3)+H",0,0,0,0,0,0,"1.47424166666667","1.77424166666667","7817","","PS(10:0_22:3)+H","730.46546","545.45651","391.32076","229.17986","155.14305","317.28395","1.47424166666667","1.77424166666667","7817"
"","PS(10:0_24:0)+H",1,1,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(10:0_24:0)+H",7.867475,7.867475,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(10:0_24:0)+H",1,1,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(10:0_24:0)+H",4952.251,7554868,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(10:0_24:0)+H",764.5439,579.535,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(10:0_24:0)+H","764.54366","579.53471","425.39896","229.17986","155.14305","351.36215","7.68959027777778","7.98959027777778","200"
