"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","RT at Max Intensity","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Number of Scans","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Max Intensity","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Average m/z","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CerP","[M+H]+","Prec_-H2O","Prec_-H3PO4","Prec_-H3PO4-H20","Prec_-HPO3","NL_SN2","RT_min","RT_max","Comment"
"","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d16:1/10:0)+H",0,0,0,0,0,0,"0.715829166666667","1.01582916666667","3245","","CerP(d16:1/10:0)+H","506.3604804","488.3499204","408.3835804","390.3730204","426.3941504","236.23713","0.715829166666667","1.01582916666667","3245"
"","CerP(d14:0/12:0)+H",1,1,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d14:0/12:0)+H",1.192938,1.192938,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d14:0/12:0)+H",1,1,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d14:0/12:0)+H",2143027,8834.07,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d14:0/12:0)+H",508.3766,490.3662,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d14:0/12:0)+H","508.376136","490.365576","410.399236","392.388676","428.409806","210.22149","1.05115416666667","1.35115416666667","373"
"","CerP(d16:0/10:0)+H",1,1,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d16:0/10:0)+H",1.192938,1.192938,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d16:0/10:0)+H",1,1,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d16:0/10:0)+H",2143027,8834.07,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d16:0/10:0)+H",508.3766,490.3662,0,0,0,0,"1.05115416666667","1.35115416666667","373","","CerP(d16:0/10:0)+H","508.376136","490.365576","410.399236","392.388676","428.409806","238.25277","1.05115416666667","1.35115416666667","373"
"","CerP(d15:1/12:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d15:1/12:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d15:1/12:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d15:1/12:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d15:1/12:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d15:1/12:0)+H","520.3761665","502.3656065","422.3992665","404.3887065","440.4098365","222.22149","1.54879861111111","1.84879861111111","3909"
"","CerP(d17:1/10:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d17:1/10:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d17:1/10:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d17:1/10:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d17:1/10:0)+H",0,0,0,0,0,0,"1.54879861111111","1.84879861111111","3909","","CerP(d17:1/10:0)+H","520.3761665","502.3656065","422.3992665","404.3887065","440.4098365","250.25277","1.54879861111111","1.84879861111111","3909"
"","CerP(d15:0/12:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d15:0/12:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d15:0/12:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d15:0/12:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d15:0/12:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d15:0/12:0)+H","522.3917915","504.3812315","424.4148915","406.4043315","442.4254615","224.23713","3.39722575757576","3.69722575757576","10883"
"","CerP(d17:0/10:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d17:0/10:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d17:0/10:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d17:0/10:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d17:0/10:0)+H",0,0,0,0,0,0,"3.39722575757576","3.69722575757576","10883","","CerP(d17:0/10:0)+H","522.3917915","504.3812315","424.4148915","406.4043315","442.4254615","252.26841","3.39722575757576","3.69722575757576","10883"
"","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d14:1/14:0)+H","534.3917915","516.3812315","436.4148915","418.4043315","454.4254615","208.20585","1.13641805555556","1.43641805555556","3216"
"","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.5121875","1.8121875","17015","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.5121875","1.8121875","17015","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.5121875","1.8121875","17015","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.5121875","1.8121875","17015","","CerP(d14:1/14:0)+H",0,0,0,0,0,0,"1.5121875","1.8121875","17015","","CerP(d14:1/14:0)+H","534.3917915","516.3812315","436.4148915","418.4043315","454.4254615","208.20585","1.5121875","1.8121875","17015"
"","CerP(d16:1/12:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d16:1/12:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d16:1/12:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d16:1/12:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d16:1/12:0)+H",0,0,0,0,0,0,"1.13641805555556","1.43641805555556","3216","","CerP(d16:1/12:0)+H","534.3917915","516.3812315","436.4148915","418.4043315","454.4254615","236.23713","1.13641805555556","1.43641805555556","3216"
