"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Average m/z","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LDGTS","[M+H]+","[M-H20]+","FA acyl loss","[M-H20]-FA","C7H14NO2","RT_min","RT_max","Comment"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)",0,0,0,0,0,"8.27024861111111","8.57024861111111","13993","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","8.27024861111111","8.57024861111111","13993"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)",0,0,0,0,0,"12.6743888888889","12.9743888888889","14193","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","12.6743888888889","12.9743888888889","14193"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.3141111111111","14.6141111111111","14216","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","14.3141111111111","14.6141111111111","14216"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)",0,0,0,0,0,"14.8981361111111","15.1981361111111","15646","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","14.8981361111111","15.1981361111111","15646"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"5.670425","5.970425","15729","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.670425","5.970425","15729","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.670425","5.970425","15729","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.670425","5.970425","15729","","LDGTS(10:0/0:0)",0,0,0,0,0,"5.670425","5.970425","15729","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","5.670425","5.970425","15729"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"4.90852361111111","5.20852361111111","17043","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.90852361111111","5.20852361111111","17043","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.90852361111111","5.20852361111111","17043","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.90852361111111","5.20852361111111","17043","","LDGTS(10:0/0:0)",0,0,0,0,0,"4.90852361111111","5.20852361111111","17043","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","4.90852361111111","5.20852361111111","17043"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"10.6894902777778","10.9894902777778","17765","","LDGTS(10:0/0:0)",0,0,0,0,0,"10.6894902777778","10.9894902777778","17765","","LDGTS(10:0/0:0)",0,0,0,0,0,"10.6894902777778","10.9894902777778","17765","","LDGTS(10:0/0:0)",0,0,0,0,0,"10.6894902777778","10.9894902777778","17765","","LDGTS(10:0/0:0)",0,0,0,0,0,"10.6894902777778","10.9894902777778","17765","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","10.6894902777778","10.9894902777778","17765"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"15.0993513888889","15.3993513888889","18126","","LDGTS(10:0/0:0)",0,0,0,0,0,"15.0993513888889","15.3993513888889","18126","","LDGTS(10:0/0:0)",0,0,0,0,0,"15.0993513888889","15.3993513888889","18126","","LDGTS(10:0/0:0)",0,0,0,0,0,"15.0993513888889","15.3993513888889","18126","","LDGTS(10:0/0:0)",0,0,0,0,0,"15.0993513888889","15.3993513888889","18126","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","15.0993513888889","15.3993513888889","18126"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"9.29433472222222","9.59433472222222","18266","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.29433472222222","9.59433472222222","18266","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.29433472222222","9.59433472222222","18266","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.29433472222222","9.59433472222222","18266","","LDGTS(10:0/0:0)",0,0,0,0,0,"9.29433472222222","9.59433472222222","18266","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","9.29433472222222","9.59433472222222","18266"
"","LDGTS(10:0/0:0)",0,0,0,0,0,"0.524334722222222","0.824334722222222","18940","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.524334722222222","0.824334722222222","18940","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.524334722222222","0.824334722222222","18940","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.524334722222222","0.824334722222222","18940","","LDGTS(10:0/0:0)",0,0,0,0,0,"0.524334722222222","0.824334722222222","18940","","LDGTS(10:0/0:0)","390.285008","372.2744438","236.1493326","218.1387726","144.1024","0.524334722222222","0.824334722222222","18940"
