"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NDS(d16:0/22:1)+H","756.63475","594.58195","576.57145","558.56075","256.26295","238.25235","338.34115","226.25235","8.72719305555555","9.02719305555555","2137"
"","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NDS(d16:0/22:1)+H","756.63475","594.58195","576.57145","558.56075","256.26295","238.25235","338.34115","226.25235","9.20191944444444","9.50191944444444","6842"
"","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NDS(d16:0/22:1)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NDS(d16:0/22:1)+H","756.63475","594.58195","576.57145","558.56075","256.26295","238.25235","338.34115","226.25235","9.20142222222222","9.50142222222222","13508"
"","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NDS(d16:0/22:2)+H","754.61915","592.56625","574.55575","556.54515","256.26295","238.25235","336.32555","226.25235","7.74322222222222","8.04322222222222","9868"
"","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NDS(d16:0/22:2)+H","754.61915","592.56625","574.55575","556.54515","256.26295","238.25235","336.32555","226.25235","6.96971944444444","7.26971944444444","11887"
"","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NDS(d16:0/22:2)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NDS(d16:0/22:2)+H","754.61915","592.56625","574.55575","556.54515","256.26295","238.25235","336.32555","226.25235","6.79748055555556","7.09748055555556","16139"
"","GlcCer_NDS(d16:0/23:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NDS(d16:0/23:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NDS(d16:0/23:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NDS(d16:0/23:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NDS(d16:0/23:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NDS(d16:0/23:1)+H","770.65045","608.59755","590.58705","572.57645","256.26295","238.25235","352.35685","226.25235","9.25202638888889","9.55202638888889","3834"
"","GlcCer_NDS(d16:0/23:3)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NDS(d16:0/23:3)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NDS(d16:0/23:3)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NDS(d16:0/23:3)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NDS(d16:0/23:3)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NDS(d16:0/23:3)+H","766.61915","604.56625","586.55575","568.54515","256.26295","238.25235","348.32555","226.25235","8.579645","8.879645","7884"
"","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NDS(d16:0/24:1)+H","784.66605","622.61325","604.60265","586.59215","256.26295","238.25235","366.37245","226.25235","9.75355416666667","10.0535541666667","782"
"","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NDS(d16:0/24:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NDS(d16:0/24:1)+H","784.66605","622.61325","604.60265","586.59215","256.26295","238.25235","366.37245","226.25235","10.1036152777778","10.4036152777778","5567"
