"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","RT at Max Intensity","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Number of Scans","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Max Intensity","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Average m/z","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment"
"","TG(10:0_16:1_18:1)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(10:0_16:1_18:1)+Na","12.140320","12.14032","12.14032","12.14032","11.9743972222222","12.2743972222222","741","","TG(10:0_16:1_18:1)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(10:0_16:1_18:1)+Na"," 994725.6"," 18401.3000","  2284.9490","  9118.1580","11.9743972222222","12.2743972222222","741","","TG(10:0_16:1_18:1)+Na","769.6335","597.4871","515.4090","487.3770","11.9743972222222","12.2743972222222","741","","TG(10:0_16:1_18:1)+Na","769.6317404","597.4855464","515.4072464","487.3759464","11.9743972222222","12.2743972222222","741"
"","TG(14:0_14:0_16:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(14:0_14:0_16:1)+Na","12.800290","12.80029","12.80029","12.80029","12.5942611111111","12.8942611111111","576","","TG(14:0_14:0_16:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(14:0_14:0_16:1)+Na","1028672.0"," 21173.5300"," 21173.5300","  7077.4840","12.5942611111111","12.8942611111111","576","","TG(14:0_14:0_16:1)+Na","771.6496","543.4404","543.4404","517.4248","12.5942611111111","12.8942611111111","576","","TG(14:0_14:0_16:1)+Na","771.6473404","543.4385464","543.4385464","517.4228464","12.5942611111111","12.8942611111111","576"
"","TG(14:0_14:1_16:0)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(14:0_14:1_16:0)+Na","12.800290","12.80029","12.80029","12.80029","12.5942611111111","12.8942611111111","576","","TG(14:0_14:1_16:0)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(14:0_14:1_16:0)+Na","1028672.0"," 21173.5300","  4025.4160"," 32115.0900","12.5942611111111","12.8942611111111","576","","TG(14:0_14:1_16:0)+Na","771.6496","543.4404","545.4559","515.4089","12.5942611111111","12.8942611111111","576","","TG(14:0_14:1_16:0)+Na","771.6473404","543.4385464","545.4541464","515.4072464","12.5942611111111","12.8942611111111","576"
"","TG(12:0_14:0_18:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(12:0_14:0_18:1)+Na","12.800290","12.80029","12.80029","12.80029","12.5942611111111","12.8942611111111","576","","TG(12:0_14:0_18:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(12:0_14:0_18:1)+Na","1028672.0"," 16327.5300"," 21173.5300"," 28217.9400","12.5942611111111","12.8942611111111","576","","TG(12:0_14:0_18:1)+Na","771.6496","571.4717","543.4404","489.3931","12.5942611111111","12.8942611111111","576","","TG(12:0_14:0_18:1)+Na","771.6473404","571.4698464","543.4385464","489.3915464","12.5942611111111","12.8942611111111","576"
"","TG(12:0_16:0_16:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(12:0_16:0_16:1)+Na","12.800290","12.80029","12.80029","12.80029","12.5942611111111","12.8942611111111","576","","TG(12:0_16:0_16:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(12:0_16:0_16:1)+Na","1028672.0"," 16327.5300"," 32115.0900","  7077.4840","12.5942611111111","12.8942611111111","576","","TG(12:0_16:0_16:1)+Na","771.6496","571.4717","515.4089","517.4248","12.5942611111111","12.8942611111111","576","","TG(12:0_16:0_16:1)+Na","771.6473404","571.4698464","515.4072464","517.4228464","12.5942611111111","12.8942611111111","576"
"","TG(10:0_16:0_18:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(10:0_16:0_18:1)+Na","12.800290","12.80029","12.80029","12.80029","12.5942611111111","12.8942611111111","576","","TG(10:0_16:0_18:1)+Na","1","1","1","1","12.5942611111111","12.8942611111111","576","","TG(10:0_16:0_18:1)+Na","1028672.0"," 11308.7300"," 32115.0900"," 28217.9400","12.5942611111111","12.8942611111111","576","","TG(10:0_16:0_18:1)+Na","771.6496","599.5031","515.4089","489.3931","12.5942611111111","12.8942611111111","576","","TG(10:0_16:0_18:1)+Na","771.6473404","599.5011464","515.4072464","489.3915464","12.5942611111111","12.8942611111111","576"
"","TG(15:0_15:0_15:0)+Na","1","1","1","1","13.5698375","13.8698375","337","","TG(15:0_15:0_15:0)+Na","13.728410","13.72841","13.72841","13.72841","13.5698375","13.8698375","337","","TG(15:0_15:0_15:0)+Na","1","1","1","1","13.5698375","13.8698375","337","","TG(15:0_15:0_15:0)+Na","2822340.0","389255.7000","389255.7000","389255.7000","13.5698375","13.8698375","337","","TG(15:0_15:0_15:0)+Na","787.6796","545.4550","545.4550","545.4550","13.5698375","13.8698375","337","","TG(15:0_15:0_15:0)+Na","787.6787404","545.4542464","545.4542464","545.4542464","13.5698375","13.8698375","337"
"","TG(14:0_14:1_18:2)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(14:0_14:1_18:2)+Na","12.182190","12.18219","12.18219","12.18219","12.0035972222222","12.3035972222222","928","","TG(14:0_14:1_18:2)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(14:0_14:1_18:2)+Na"," 665904.5","  5326.9840","  6345.6900"," 29104.4200","12.0035972222222","12.3035972222222","928","","TG(14:0_14:1_18:2)+Na","795.6497","567.4405","569.4563","515.4090","12.0035972222222","12.3035972222222","928","","TG(14:0_14:1_18:2)+Na","795.6473404","567.4385464","569.4541464","515.4072464","12.0035972222222","12.3035972222222","928"
"","TG(12:0_16:1_18:2)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(12:0_16:1_18:2)+Na","12.182190","12.18219","12.18219","12.18219","12.0035972222222","12.3035972222222","928","","TG(12:0_16:1_18:2)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(12:0_16:1_18:2)+Na"," 665904.5","  7877.3780","  6343.2910"," 29104.4200","12.0035972222222","12.3035972222222","928","","TG(12:0_16:1_18:2)+Na","795.6497","595.4719","541.4240","515.4090","12.0035972222222","12.3035972222222","928","","TG(12:0_16:1_18:2)+Na","795.6473404","595.4698464","541.4228464","515.4072464","12.0035972222222","12.3035972222222","928"
"","TG(10:0_18:1_18:2)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(10:0_18:1_18:2)+Na","12.182190","12.18219","12.18219","12.18219","12.0035972222222","12.3035972222222","928","","TG(10:0_18:1_18:2)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(10:0_18:1_18:2)+Na"," 665904.5"," 15154.6400"," 18956.2800"," 29104.4200","12.0035972222222","12.3035972222222","928","","TG(10:0_18:1_18:2)+Na","795.6497","623.5034","513.3932","515.4090","12.0035972222222","12.3035972222222","928","","TG(10:0_18:1_18:2)+Na","795.6473404","623.5011464","513.3915464","515.4072464","12.0035972222222","12.3035972222222","928"
"","TG(14:1_14:1_18:1)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(14:1_14:1_18:1)+Na","12.182190","12.18219","12.18219","12.18219","12.0035972222222","12.3035972222222","928","","TG(14:1_14:1_18:1)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(14:1_14:1_18:1)+Na"," 665904.5","  6345.6900","  6345.6900"," 18956.2800","12.0035972222222","12.3035972222222","928","","TG(14:1_14:1_18:1)+Na","795.6497","569.4563","569.4563","513.3932","12.0035972222222","12.3035972222222","928","","TG(14:1_14:1_18:1)+Na","795.6474404","569.4542464","569.4542464","513.3916464","12.0035972222222","12.3035972222222","928"
"","TG(14:1_16:1_16:1)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(14:1_16:1_16:1)+Na","12.182190","12.18219","12.18219","12.18219","12.0035972222222","12.3035972222222","928","","TG(14:1_16:1_16:1)+Na","1","1","1","1","12.0035972222222","12.3035972222222","928","","TG(14:1_16:1_16:1)+Na"," 665904.5","  6345.6900","  6343.2910","  6343.2910","12.0035972222222","12.3035972222222","928","","TG(14:1_16:1_16:1)+Na","795.6497","569.4563","541.4240","541.4240","12.0035972222222","12.3035972222222","928","","TG(14:1_16:1_16:1)+Na","795.6474404","569.4542464","541.4229464","541.4229464","12.0035972222222","12.3035972222222","928"
"","TG(14:0_14:0_18:1)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:0_14:0_18:1)+Na","13.416260","13.41626","13.41626","13.41626","13.2412","13.5412","441","","TG(14:0_14:0_18:1)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:0_14:0_18:1)+Na","2384834.0"," 61840.7500"," 61840.7500"," 75618.5100","13.2412","13.5412","441","","TG(14:0_14:0_18:1)+Na","799.6796","571.4706","571.4706","517.4237","13.2412","13.5412","441","","TG(14:0_14:0_18:1)+Na","799.6786404","571.4698464","571.4698464","517.4228464","13.2412","13.5412","441"
"","TG(14:0_16:0_16:1)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:0_16:0_16:1)+Na","13.416260","13.41626","13.41626","13.41626","13.2412","13.5412","441","","TG(14:0_16:0_16:1)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:0_16:0_16:1)+Na","2384834.0"," 61840.7500"," 95385.2000"," 19955.9200","13.2412","13.5412","441","","TG(14:0_16:0_16:1)+Na","799.6796","571.4706","543.4393","545.4550","13.2412","13.5412","441","","TG(14:0_16:0_16:1)+Na","799.6786404","571.4698464","543.4385464","545.4541464","13.2412","13.5412","441"
"","TG(14:0_14:1_18:0)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:0_14:1_18:0)+Na","13.416260","13.41626","13.41626","13.41626","13.2412","13.5412","441","","TG(14:0_14:1_18:0)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:0_14:1_18:0)+Na","2384834.0"," 61840.7500","  6926.9310","  3950.0750","13.2412","13.5412","441","","TG(14:0_14:1_18:0)+Na","799.6796","571.4706","573.4868","515.4084","13.2412","13.5412","441","","TG(14:0_14:1_18:0)+Na","799.6786404","571.4698464","573.4854464","515.4072464","13.2412","13.5412","441"
"","TG(14:1_16:0_16:0)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:1_16:0_16:0)+Na","13.416260","13.41626","13.41626","13.41626","13.2412","13.5412","441","","TG(14:1_16:0_16:0)+Na","1","1","1","1","13.2412","13.5412","441","","TG(14:1_16:0_16:0)+Na","2384834.0","  6926.9310"," 95385.2000"," 95385.2000","13.2412","13.5412","441","","TG(14:1_16:0_16:0)+Na","799.6796","573.4868","543.4393","543.4393","13.2412","13.5412","441","","TG(14:1_16:0_16:0)+Na","799.6786404","573.4854464","543.4385464","543.4385464","13.2412","13.5412","441"
"","TG(12:0_16:1_18:0)+Na","1","1","1","1","13.2412","13.5412","441","","TG(12:0_16:1_18:0)+Na","13.416260","13.41626","13.41626","13.41626","13.2412","13.5412","441","","TG(12:0_16:1_18:0)+Na","1","1","1","1","13.2412","13.5412","441","","TG(12:0_16:1_18:0)+Na","2384834.0"," 54480.1500"," 19955.9200","  3950.0750","13.2412","13.5412","441","","TG(12:0_16:1_18:0)+Na","799.6796","599.5018","545.4550","515.4084","13.2412","13.5412","441","","TG(12:0_16:1_18:0)+Na","799.6786404","599.5011464","545.4541464","515.4072464","13.2412","13.5412","441"
"","TG(12:0_16:0_18:1)+Na","1","1","1","1","13.2412","13.5412","441","","TG(12:0_16:0_18:1)+Na","13.416260","13.41626","13.41626","13.41626","13.2412","13.5412","441","","TG(12:0_16:0_18:1)+Na","1","1","1","1","13.2412","13.5412","441","","TG(12:0_16:0_18:1)+Na","2384834.0"," 54480.1500"," 95385.2000"," 75618.5100","13.2412","13.5412","441","","TG(12:0_16:0_18:1)+Na","799.6796","599.5018","543.4393","517.4237","13.2412","13.5412","441","","TG(12:0_16:0_18:1)+Na","799.6786404","599.5011464","543.4385464","517.4228464","13.2412","13.5412","441"
