"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Number of Scans","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Average m/z","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment"
"","OxTG(16:0_16:0_18:2(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4"," 0.000000","12.912660","12.912660","12.795100","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","0","2","2","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","     0.000","  5332.6070","  5332.6070","  1208.032","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","  0.0000","589.4851","589.4851","551.5060","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:2(Ke))+NH4","862.7494504","589.4826764","589.4826764","551.5033764","12.7495875","13.0495875","15937"
"","OxTG(16:0_16:1_18:1(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4"," 0.000000","12.912660","12.912660","12.912660","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","0","2","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","     0.000","  5332.6070","  1041.2340"," 25206.860","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","  0.0000","589.4851","591.5004","549.4900","12.7495875","13.0495875","15937","","OxTG(16:0_16:1_18:1(Ke))+NH4","862.7495504","589.4827764","591.4983764","549.4877764","12.7495875","13.0495875","15937"
"","OxTG(16:0_18:1_14:1(OH))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4"," 0.000000","12.737800","12.737800","12.737800","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","     0.000","  1309.6150","  1047.0070"," 53139.560","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","  0.0000","563.4692","537.4528","577.5206","12.647975","12.947975","2259","","OxTG(16:0_18:1_14:1(OH))+NH4","836.7338504","563.4670764","537.4513764","577.5190764","12.647975","12.947975","2259"
"","OxTG(16:0_18:1_18:1(OH))+NH4","0","1","1","1","12.2511196969697","12.5511196969697","14279","","OxTG(16:0_18:1_18:1(OH))+NH4"," 0.000000","12.488940","12.488940","12.488940","12.2511196969697","12.5511196969697","14279","","OxTG(16:0_18:1_18:1(OH))+NH4","0","2","2","2","12.2511196969697","12.5511196969697","14279","","OxTG(16:0_18:1_18:1(OH))+NH4","     0.000"," 48519.5000"," 39073.2700"," 61901.180","12.2511196969697","12.5511196969697","14279","","OxTG(16:0_18:1_18:1(OH))+NH4","  0.0000","619.5296","593.5138","577.5211","12.2511196969697","12.5511196969697","14279","","OxTG(16:0_18:1_18:1(OH))+NH4","892.7964504","619.5296764","593.5139764","577.5190764","12.2511196969697","12.5511196969697","14279"
"","OxTG(16:0_18:1_20:2(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:2(OH))+NH4"," 0.000000","12.732610","12.732610","12.732610","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:2(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:2(OH))+NH4","     0.000","  9235.4060","107944.6000","  4284.851","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:2(OH))+NH4","  0.0000","645.5462","619.5316","577.5215","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:2(OH))+NH4","918.8120504","645.5452764","619.5295764","577.5190764","12.6838541666667","12.9838541666667","1968"
"","OxTG(16:0_18:1_16:1(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4"," 0.000000","12.912660","12.795100","12.912660","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","0","2","2","2","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","     0.000","  5332.6070","  5726.2610"," 18117.910","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","  0.0000","589.4851","563.4686","577.5213","12.7495875","13.0495875","15937","","OxTG(16:0_18:1_16:1(Ke))+NH4","862.7495504","589.4827764","563.4670764","577.5190764","12.7495875","13.0495875","15937"
"","OxTG(16:0_18:1_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","  2363.071"," 12025.2200"," 15574.6100"," 89051.770","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","890.7828","617.5165","591.5010","577.5210","11.6719305555556","11.9719305555556","1419","","OxTG(16:0_18:1_18:1(Ke))+NH4","890.7808504","617.5140764","591.4983764","577.5190764","11.6719305555556","11.9719305555556","1419"
"","OxTG(16:0_18:1_18:1(Ke))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4"," 0.000000","13.450280","13.450280","13.450280","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","     0.000","  3654.4700","  7051.8270"," 15438.800","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","  0.0000","617.5144","591.4992","577.5204","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:1_18:1(Ke))+NH4","890.7808504","617.5140764","591.4983764","577.5190764","13.3667013888889","13.6667013888889","2095"
"","OxTG(16:0_18:1_20:1(Ke))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:1(Ke))+NH4"," 0.000000","12.732610","12.732610","12.732610","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:1(Ke))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:1(Ke))+NH4","     0.000","  9235.4060","107944.6000","  4284.851","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:1(Ke))+NH4","  0.0000","645.5462","619.5316","577.5215","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:1_20:1(Ke))+NH4","918.8121504","645.5453764","619.5296764","577.5190764","12.6838541666667","12.9838541666667","1968"
"","OxTG(16:0_18:2_14:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4"," 0.000000","10.848150","10.848150","10.848150","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","     0.000","  3932.9280","  4252.1490","  1181.400","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","  0.0000","561.4532","537.4529","575.5043","10.5693","10.8693","7124","","OxTG(16:0_18:2_14:1(OH))+NH4","834.7181504","561.4513764","537.4513764","575.5033764","10.5693","10.8693","7124"
