"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Number of Scans","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Average m/z","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment"
"","Cer(d18:1/20:0)+H","0","1","1","1","1","9.4545","9.7545","1448","","Cer(d18:1/20:0)+H"," 0.0000000"," 9.6606470"," 9.660647"," 9.660647"," 9.660647","9.4545","9.7545","1448","","Cer(d18:1/20:0)+H","0","1","1","1","1","9.4545","9.7545","1448","","Cer(d18:1/20:0)+H","      0.0000","  84726.5300"," 17821.57","  15789.8800","1.145546e+05","9.4545","9.7545","1448","","Cer(d18:1/20:0)+H","  0.0000","576.5723","558.5617","282.2793","264.2688","9.4545","9.7545","1448","","Cer(d18:1/20:0)+H","594.58198","576.5714","558.56082","282.278995","264.268415","9.4545","9.7545","1448"
"","Cer(d18:1/22:0)+H","0","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer(d18:1/22:0)+H","10.6160200","10.6160200","10.616020","10.616020","10.616020","10.4325819444444","10.7325819444444","365","","Cer(d18:1/22:0)+H","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer(d18:1/22:0)+H","    743.6637"," 724078.8000","166113.50"," 219439.1000","1.576193e+06","10.4325819444444","10.7325819444444","365","","Cer(d18:1/22:0)+H","622.6155","604.6035","586.5930","282.2794","264.2688","10.4325819444444","10.7325819444444","365","","Cer(d18:1/22:0)+H","622.61328","604.6027","586.59212","282.278995","264.268415","10.4325819444444","10.7325819444444","365"
"","Cer(d18:1/22:1)+H","0","1","1","1","1","9.54950555555556","9.84950555555556","1092","","Cer(d18:1/22:1)+H"," 0.0000000"," 9.7237320"," 9.723732"," 9.723732"," 9.723732","9.54950555555556","9.84950555555556","1092","","Cer(d18:1/22:1)+H","0","1","1","1","1","9.54950555555556","9.84950555555556","1092","","Cer(d18:1/22:1)+H","      0.0000"," 145523.6000"," 35235.78","   3532.6110","2.686528e+04","9.54950555555556","9.84950555555556","1092","","Cer(d18:1/22:1)+H","  0.0000","602.5880","584.5775","282.2792","264.2689","9.54950555555556","9.84950555555556","1092","","Cer(d18:1/22:1)+H","620.59768","602.5871","584.57652","282.278995","264.268415","9.54950555555556","9.84950555555556","1092"
"","Cer(d18:1/23:0)+H","1","1","1","1","1","10.8764486111111","11.1764486111111","438","","Cer(d18:1/23:0)+H","10.9864900","10.9864900","10.986490","10.986490","10.986490","10.8764486111111","11.1764486111111","438","","Cer(d18:1/23:0)+H","1","2","2","2","2","10.8764486111111","11.1764486111111","438","","Cer(d18:1/23:0)+H","   2483.6190"," 413020.9000"," 93169.66"," 138723.9000","9.682023e+05","10.8764486111111","11.1764486111111","438","","Cer(d18:1/23:0)+H","636.6304","618.6199","600.6092","282.2797","264.2690","10.8764486111111","11.1764486111111","438","","Cer(d18:1/23:0)+H","636.62898","618.6184","600.60782","282.278995","264.268415","10.8764486111111","11.1764486111111","438"
"","Cer(d18:1/24:0)+H","1","1","1","1","1","11.3082560606061","11.6082560606061","148","","Cer(d18:1/24:0)+H","11.4440600","11.4440600","11.444060","11.444060","11.444060","11.3082560606061","11.6082560606061","148","","Cer(d18:1/24:0)+H","3","3","3","3","3","11.3082560606061","11.6082560606061","148","","Cer(d18:1/24:0)+H","  15923.2200","2796524.0000","620834.20","1510326.0000","1.032787e+07","11.3082560606061","11.6082560606061","148","","Cer(d18:1/24:0)+H","650.6451","632.6350","614.6246","282.2794","264.2689","11.3082560606061","11.6082560606061","148","","Cer(d18:1/24:0)+H","650.64458","632.634","614.62342","282.278995","264.268415","11.3082560606061","11.6082560606061","148"
"","Cer(d18:1/24:0)+H","0","1","1","1","1","11.140325","11.440325","1404","","Cer(d18:1/24:0)+H","11.3153200","11.3153200","11.315320","11.315320","11.315320","11.140325","11.440325","1404","","Cer(d18:1/24:0)+H","1","1","1","1","1","11.140325","11.440325","1404","","Cer(d18:1/24:0)+H","    734.6305"," 227217.7000"," 49396.18","  61433.3100","4.320394e+05","11.140325","11.440325","1404","","Cer(d18:1/24:0)+H","650.6444","632.6354","614.6249","282.2796","264.2690","11.140325","11.440325","1404","","Cer(d18:1/24:0)+H","650.64458","632.634","614.62342","282.278995","264.268415","11.140325","11.440325","1404"
"","Cer(d18:1/24:1)+H","0","1","1","1","1","10.3596444444444","10.6596444444444","494","","Cer(d18:1/24:1)+H"," 0.0000000","10.4602500","10.460250","10.460250","10.460250","10.3596444444444","10.6596444444444","494","","Cer(d18:1/24:1)+H","0","2","2","2","2","10.3596444444444","10.6596444444444","494","","Cer(d18:1/24:1)+H","      0.0000"," 334557.6000"," 90379.96"," 128877.1000","9.347331e+05","10.3596444444444","10.6596444444444","494","","Cer(d18:1/24:1)+H","  0.0000","630.6192","612.6087","282.2794","264.2688","10.3596444444444","10.6596444444444","494","","Cer(d18:1/24:1)+H","648.62898","630.6184","612.60782","282.278995","264.268415","10.3596444444444","10.6596444444444","494"
"","Cer(d18:1/24:1)+H","0","1","1","1","1","10.2047847222222","10.5047847222222","4758","","Cer(d18:1/24:1)+H"," 0.0000000","10.4602500","10.460250","10.460250","10.460250","10.2047847222222","10.5047847222222","4758","","Cer(d18:1/24:1)+H","0","1","1","1","1","10.2047847222222","10.5047847222222","4758","","Cer(d18:1/24:1)+H","      0.0000"," 334557.6000"," 90379.96"," 128877.1000","9.347331e+05","10.2047847222222","10.5047847222222","4758","","Cer(d18:1/24:1)+H","  0.0000","630.6191","612.6087","282.2794","264.2688","10.2047847222222","10.5047847222222","4758","","Cer(d18:1/24:1)+H","648.62898","630.6184","612.60782","282.278995","264.268415","10.2047847222222","10.5047847222222","4758"
"","Cer(d18:1/24:1)+H","1","1","1","1","1","10.4972958333333","10.7972958333333","9098","","Cer(d18:1/24:1)+H","10.7058200","10.7058200","10.705820","10.579110","10.579110","10.4972958333333","10.7972958333333","9098","","Cer(d18:1/24:1)+H","1","2","2","2","2","10.4972958333333","10.7972958333333","9098","","Cer(d18:1/24:1)+H","   1106.1670"," 394643.0000"," 84226.80","  59220.7800","4.379805e+05","10.4972958333333","10.7972958333333","9098","","Cer(d18:1/24:1)+H","648.6307","630.6197","612.6091","282.2795","264.2690","10.4972958333333","10.7972958333333","9098","","Cer(d18:1/24:1)+H","648.62898","630.6184","612.60782","282.278995","264.268415","10.4972958333333","10.7972958333333","9098"
"","Cer(d18:1/25:0)+H","1","1","1","1","1","11.5449138888889","11.8449138888889","712","","Cer(d18:1/25:0)+H","11.8291800","11.6843800","11.684380","11.829180","11.829180","11.5449138888889","11.8449138888889","712","","Cer(d18:1/25:0)+H","1","2","2","2","2","11.5449138888889","11.8449138888889","712","","Cer(d18:1/25:0)+H","   1941.9030"," 424839.7000"," 88524.15","  54320.4200","4.179666e+05","11.5449138888889","11.8449138888889","712","","Cer(d18:1/25:0)+H","664.6602","646.6509","628.6404","282.2796","264.2690","11.5449138888889","11.8449138888889","712","","Cer(d18:1/25:0)+H","664.66028","646.6497","628.63912","282.278995","264.268415","11.5449138888889","11.8449138888889","712"
