"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","2.60543181818182","2.90543181818182","1267"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","11.1358515151515","11.4358515151515","1413"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","14.9866727272727","15.2866727272727","2812"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","12.5019181818182","12.8019181818182","2827"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","12.3155621212121","12.6155621212121","2935"
"","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d20:0/36:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d20:0/36:1)-H","860.84405","370.33325","338.30705","328.32265","267.26985","1.36585606060606","1.66585606060606","3635"
"","Cer_BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d21:0/22:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d21:0/22:0)-H","680.65625","384.34885","352.32265","342.33835","281.28555","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d21:0/22:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d21:0/22:1)-H","678.64055","384.34885","352.32265","342.33835","281.28555","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","1.77463484848485","2.07463484848485","869"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","2.60543181818182","2.90543181818182","1267"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","11.1358515151515","11.4358515151515","1413"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","14.9866727272727","15.2866727272727","2812"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","12.5019181818182","12.8019181818182","2827"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","12.3155621212121","12.6155621212121","2935"
"","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d21:0/35:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d21:0/35:1)-H","860.84405","384.34885","352.32265","342.33835","281.28555","1.36585606060606","1.66585606060606","3635"
"","Cer_BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d22:0/21:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer_BDS(d22:0/21:0)-H","680.65625","398.36455","366.33835","356.35395","295.30125","11.7277909090909","12.0277909090909","1062"
"","Cer_BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d22:0/21:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer_BDS(d22:0/21:1)-H","678.64055","398.36455","366.33835","356.35395","295.30125","10.9600636363636","11.2600636363636","1038"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.77463484848485","2.07463484848485","869","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","1.77463484848485","2.07463484848485","869"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"2.60543181818182","2.90543181818182","1267","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","2.60543181818182","2.90543181818182","1267"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"11.1358515151515","11.4358515151515","1413","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","11.1358515151515","11.4358515151515","1413"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"14.9866727272727","15.2866727272727","2812","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","14.9866727272727","15.2866727272727","2812"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.5019181818182","12.8019181818182","2827","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","12.5019181818182","12.8019181818182","2827"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"12.3155621212121","12.6155621212121","2935","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","12.3155621212121","12.6155621212121","2935"
"","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d22:0/34:1)-H",0,0,0,0,0,"1.36585606060606","1.66585606060606","3635","","Cer_BDS(d22:0/34:1)-H","860.84405","398.36455","366.33835","356.35395","295.30125","1.36585606060606","1.66585606060606","3635"
