"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M-H]-","NL_T1Ketene&serene","NL_T2Ketene&serene","NL_T1RCOOH","NL_T2RCOOH","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(12:0_22:2)-H","714.50792","532.34085","396.21565","514.33029","378.20509","199.17035","335.29555","152.99586","96.96964","78.95852","140.01128","122.0007","4.60836818181818","4.90836818181818","1332"
"","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(12:0_22:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(12:0_22:2)-H","714.50792","532.34085","396.21565","514.33029","378.20509","199.17035","335.29555","152.99586","96.96964","78.95852","140.01128","122.0007","6.5105303030303","6.8105303030303","1416"
"","PE(12:0_24:1)-H",1,0,0,0,0,0,0,0,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","PE(12:0_24:1)-H",8.71849,0,0,0,0,0,0,0,0,0,8.71849,0,"8.54963333333333","8.84963333333333","1115","","PE(12:0_24:1)-H",1,0,0,0,0,0,0,0,0,0,1,0,"8.54963333333333","8.84963333333333","1115","","PE(12:0_24:1)-H",17193.23,0,0,0,0,0,0,0,0,0,788.049,0,"8.54963333333333","8.84963333333333","1115","","PE(12:0_24:1)-H",744.5564,0,0,0,0,0,0,0,0,0,140.0119,0,"8.54963333333333","8.84963333333333","1115","","PE(12:0_24:1)-H","744.55492","562.38785","396.21565","544.37729","378.20509","199.17035","365.34255","152.99586","96.96964","78.95852","140.01128","122.0007","8.54963333333333","8.84963333333333","1115"
"","PE(13:0_17:0)-H",1,0,0,0,0,0,0,0,0,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(13:0_17:0)-H",6.281945,0,0,0,0,0,0,0,6.281945,0,6.281945,0,"6.13960757575758","6.43960757575758","188","","PE(13:0_17:0)-H",2,0,0,0,0,0,0,0,1,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(13:0_17:0)-H",234516.4,0,0,0,0,0,0,0,715.7395,0,9773.003,0,"6.13960757575758","6.43960757575758","188","","PE(13:0_17:0)-H",662.47755,0,0,0,0,0,0,0,96.96992,0,140.0118,0,"6.13960757575758","6.43960757575758","188","","PE(13:0_17:0)-H","662.47672","466.29395","410.23135","448.28339","392.22079","213.18605","269.24865","152.99586","96.96964","78.95852","140.01128","122.0007","6.13960757575758","6.43960757575758","188"
"","PE(13:0_18:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(13:0_18:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(13:0_18:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(13:0_18:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(13:0_18:3)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(13:0_18:3)-H","670.44542","474.26265","410.23135","456.25209","392.22079","213.18605","277.21735","152.99586","96.96964","78.95852","140.01128","122.0007","2.93351060606061","3.23351060606061","3661"
"","PE(13:0_18:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.12131818181818","2.42131818181818","3091","","PE(13:0_18:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.12131818181818","2.42131818181818","3091","","PE(13:0_18:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.12131818181818","2.42131818181818","3091","","PE(13:0_18:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.12131818181818","2.42131818181818","3091","","PE(13:0_18:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.12131818181818","2.42131818181818","3091","","PE(13:0_18:4)-H","668.42972","472.24695","410.23135","454.23639","392.22079","213.18605","275.20165","152.99586","96.96964","78.95852","140.01128","122.0007","2.12131818181818","2.42131818181818","3091"
"","PE(13:0_21:0)-H",1,0,0,0,0,0,0,0,0,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(13:0_21:0)-H",8.627286,0,0,0,0,0,0,0,8.627286,0,8.627286,8.627286,"8.47925757575758","8.77925757575758","193","","PE(13:0_21:0)-H",1,0,0,0,0,0,0,0,1,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(13:0_21:0)-H",381988.7,0,0,0,0,0,0,0,684.2014,0,16745.46,1310.426,"8.47925757575758","8.77925757575758","193","","PE(13:0_21:0)-H",718.54,0,0,0,0,0,0,0,96.96995,0,140.0119,122.0013,"8.47925757575758","8.77925757575758","193","","PE(13:0_21:0)-H","718.53932","522.35655","410.23135","504.34599","392.22079","213.18605","325.31125","152.99586","96.96964","78.95852","140.01128","122.0007","8.47925757575758","8.77925757575758","193"
"","PE(14:0_16:0)-H",1,0,0,0,0,0,0,0,0,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(14:0_16:0)-H",6.281945,0,0,0,0,0,0,0,6.281945,0,6.281945,0,"6.13960757575758","6.43960757575758","188","","PE(14:0_16:0)-H",2,0,0,0,0,0,0,0,1,0,1,0,"6.13960757575758","6.43960757575758","188","","PE(14:0_16:0)-H",234516.4,0,0,0,0,0,0,0,715.7395,0,9773.003,0,"6.13960757575758","6.43960757575758","188","","PE(14:0_16:0)-H",662.47755,0,0,0,0,0,0,0,96.96992,0,140.0118,0,"6.13960757575758","6.43960757575758","188","","PE(14:0_16:0)-H","662.47662","452.27825","424.24695","434.26769","406.23639","227.20165","255.23295","152.99586","96.96964","78.95852","140.01128","122.0007","6.13960757575758","6.43960757575758","188"
"","PE(14:0_20:0)-H",1,0,0,0,0,0,0,0,0,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(14:0_20:0)-H",8.627286,0,0,0,0,0,0,0,8.627286,0,8.627286,8.627286,"8.47925757575758","8.77925757575758","193","","PE(14:0_20:0)-H",1,0,0,0,0,0,0,0,1,0,1,1,"8.47925757575758","8.77925757575758","193","","PE(14:0_20:0)-H",381988.7,0,0,0,0,0,0,0,684.2014,0,16745.46,1310.426,"8.47925757575758","8.77925757575758","193","","PE(14:0_20:0)-H",718.54,0,0,0,0,0,0,0,96.96995,0,140.0119,122.0013,"8.47925757575758","8.77925757575758","193","","PE(14:0_20:0)-H","718.53922","508.34085","424.24695","490.33029","406.23639","227.20165","311.29555","152.99586","96.96964","78.95852","140.01128","122.0007","8.47925757575758","8.77925757575758","193"
"","PE(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:0_20:1)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:0_20:1)-H","716.52362","506.32525","424.24695","488.31469","406.23639","227.20165","309.27995","152.99586","96.96964","78.95852","140.01128","122.0007","5.62081363636364","5.92081363636364","1824"
"","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.60836818181818","4.90836818181818","1332","","PE(14:0_20:2)-H","714.50792","504.30955","424.24695","486.29899","406.23639","227.20165","307.26425","152.99586","96.96964","78.95852","140.01128","122.0007","4.60836818181818","4.90836818181818","1332"
"","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(14:0_20:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.5105303030303","6.8105303030303","1416","","PE(14:0_20:2)-H","714.50792","504.30955","424.24695","486.29899","406.23639","227.20165","307.26425","152.99586","96.96964","78.95852","140.01128","122.0007","6.5105303030303","6.8105303030303","1416"
"","PE(14:0_22:1)-H",1,0,0,0,0,0,0,0,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","PE(14:0_22:1)-H",8.71849,0,0,0,0,0,0,0,0,0,8.71849,0,"8.54963333333333","8.84963333333333","1115","","PE(14:0_22:1)-H",1,0,0,0,0,0,0,0,0,0,1,0,"8.54963333333333","8.84963333333333","1115","","PE(14:0_22:1)-H",17193.23,0,0,0,0,0,0,0,0,0,788.049,0,"8.54963333333333","8.84963333333333","1115","","PE(14:0_22:1)-H",744.5564,0,0,0,0,0,0,0,0,0,140.0119,0,"8.54963333333333","8.84963333333333","1115","","PE(14:0_22:1)-H","744.55492","534.35655","424.24695","516.34599","406.23639","227.20165","337.31125","152.99586","96.96964","78.95852","140.01128","122.0007","8.54963333333333","8.84963333333333","1115"
"","PE(14:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,1,0,"7.6800106060606","7.9800106060606","773","","PE(14:0_22:2)-H",7.870355,0,0,0,0,0,0,0,0,0,7.870355,0,"7.6800106060606","7.9800106060606","773","","PE(14:0_22:2)-H",1,0,0,0,0,0,0,0,0,0,1,0,"7.6800106060606","7.9800106060606","773","","PE(14:0_22:2)-H",35126.13,0,0,0,0,0,0,0,0,0,2492.297,0,"7.6800106060606","7.9800106060606","773","","PE(14:0_22:2)-H",742.5406,0,0,0,0,0,0,0,0,0,140.0119,0,"7.6800106060606","7.9800106060606","773","","PE(14:0_22:2)-H","742.53922","532.34085","424.24695","514.33029","406.23639","227.20165","335.29555","152.99586","96.96964","78.95852","140.01128","122.0007","7.6800106060606","7.9800106060606","773"
"","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.65324848484848","5.95324848484848","923","","PE(14:0_22:4)-H","738.50792","528.30955","424.24695","510.29899","406.23639","227.20165","331.26425","152.99586","96.96964","78.95852","140.01128","122.0007","5.65324848484848","5.95324848484848","923"
"","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"6.33049696969697","6.63049696969697","1643","","PE(14:0_22:4)-H","738.50792","528.30955","424.24695","510.29899","406.23639","227.20165","331.26425","152.99586","96.96964","78.95852","140.01128","122.0007","6.33049696969697","6.63049696969697","1643"
"","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"4.35774848484849","4.65774848484849","2622","","PE(14:0_22:4)-H","738.50792","528.30955","424.24695","510.29899","406.23639","227.20165","331.26425","152.99586","96.96964","78.95852","140.01128","122.0007","4.35774848484849","4.65774848484849","2622"
"","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","PE(14:0_22:4)-H",0,0,0,0,0,0,0,0,0,0,0,0,"3.80641212121212","4.10641212121212","3147","","PE(14:0_22:4)-H","738.50792","528.30955","424.24695","510.29899","406.23639","227.20165","331.26425","152.99586","96.96964","78.95852","140.01128","122.0007","3.80641212121212","4.10641212121212","3147"
"","PE(14:1_17:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(14:1_17:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(14:1_17:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(14:1_17:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(14:1_17:2)-H",0,0,0,0,0,0,0,0,0,0,0,0,"2.93351060606061","3.23351060606061","3661","","PE(14:1_17:2)-H","670.44542","462.26265","422.23135","444.25209","404.22079","225.18605","265.21735","152.99586","96.96964","78.95852","140.01128","122.0007","2.93351060606061","3.23351060606061","3661"
"","PE(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:1_20:0)-H",0,0,0,0,0,0,0,0,0,0,0,0,"5.62081363636364","5.92081363636364","1824","","PE(14:1_20:0)-H","716.52362","508.34085","422.23135","490.33029","404.22079","225.18605","311.29555","152.99586","96.96964","78.95852","140.01128","122.0007","5.62081363636364","5.92081363636364","1824"
