"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Number of Scans","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Max Intensity","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Average m/z","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+HCO2]-","M-CH3","FA(16:0)-H","(P-Cho)-CH3-H","RT_min","RT_max","Comment"
"","SM(d13:0/18:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d13:0/18:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d13:0/18:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d13:0/18:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d13:0/18:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d13:0/18:1)+HCO2","705.5189","645.4931","281.2486","168.0431","3.68042878787879","3.98042878787879","1087"
"","SM(d13:0/19:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d13:0/19:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d13:0/19:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d13:0/19:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d13:0/19:0)+HCO2",0,0,0,0,"4.9380196969697","5.2380196969697","2362","","SM(d13:0/19:0)+HCO2","721.5502","661.5244","297.2799","168.0431","4.9380196969697","5.2380196969697","2362"
"","SM(d13:0/20:1)+HCO2",1,0,0,1,"5.12009393939394","5.42009393939394","157","","SM(d13:0/20:1)+HCO2",5.307962,0,0,5.307962,"5.12009393939394","5.42009393939394","157","","SM(d13:0/20:1)+HCO2",1,0,0,1,"5.12009393939394","5.42009393939394","157","","SM(d13:0/20:1)+HCO2",10972.12,0,0,18512.45,"5.12009393939394","5.42009393939394","157","","SM(d13:0/20:1)+HCO2",733.5515,0,0,168.0431,"5.12009393939394","5.42009393939394","157","","SM(d13:0/20:1)+HCO2","733.5502","673.5244","309.2799","168.0431","5.12009393939394","5.42009393939394","157"
"","SM(d13:0/20:2)+HCO2",0,0,0,0,"3.91400454545455","4.21400454545455","1719","","SM(d13:0/20:2)+HCO2",0,0,0,0,"3.91400454545455","4.21400454545455","1719","","SM(d13:0/20:2)+HCO2",0,0,0,0,"3.91400454545455","4.21400454545455","1719","","SM(d13:0/20:2)+HCO2",0,0,0,0,"3.91400454545455","4.21400454545455","1719","","SM(d13:0/20:2)+HCO2",0,0,0,0,"3.91400454545455","4.21400454545455","1719","","SM(d13:0/20:2)+HCO2","731.5345","671.5087","307.2642","168.0431","3.91400454545455","4.21400454545455","1719"
"","SM(d13:0/21:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d13:0/21:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d13:0/21:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d13:0/21:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d13:0/21:0)+HCO2",0,0,0,0,"6.26434696969697","6.56434696969697","884","","SM(d13:0/21:0)+HCO2","749.5815","689.5557","325.3112","168.0431","6.26434696969697","6.56434696969697","884"
"","SM(d13:0/22:1)+HCO2",0,0,0,0,"6.42851060606061","6.72851060606061","1210","","SM(d13:0/22:1)+HCO2",0,0,0,0,"6.42851060606061","6.72851060606061","1210","","SM(d13:0/22:1)+HCO2",0,0,0,0,"6.42851060606061","6.72851060606061","1210","","SM(d13:0/22:1)+HCO2",0,0,0,0,"6.42851060606061","6.72851060606061","1210","","SM(d13:0/22:1)+HCO2",0,0,0,0,"6.42851060606061","6.72851060606061","1210","","SM(d13:0/22:1)+HCO2","761.5815","701.5557","337.3112","168.0431","6.42851060606061","6.72851060606061","1210"
"","SM(d13:0/22:2)+HCO2",0,0,0,0,"5.30355909090909","5.60355909090909","853","","SM(d13:0/22:2)+HCO2",0,0,0,0,"5.30355909090909","5.60355909090909","853","","SM(d13:0/22:2)+HCO2",0,0,0,0,"5.30355909090909","5.60355909090909","853","","SM(d13:0/22:2)+HCO2",0,0,0,0,"5.30355909090909","5.60355909090909","853","","SM(d13:0/22:2)+HCO2",0,0,0,0,"5.30355909090909","5.60355909090909","853","","SM(d13:0/22:2)+HCO2","759.5658","699.54","335.2955","168.0431","5.30355909090909","5.60355909090909","853"
"","SM(d13:0/25:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d13:0/25:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d13:0/25:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d13:0/25:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d13:0/25:0)+HCO2",0,0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(d13:0/25:0)+HCO2","805.6441","745.6183","381.3738","168.0431","8.62740151515151","8.92740151515151","1392"
"","SM(d14:0/16:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d14:0/16:1)+HCO2",3.240458,0,0,3.240458,"3.06854848484848","3.36854848484848","655","","SM(d14:0/16:1)+HCO2",1,0,0,1,"3.06854848484848","3.36854848484848","655","","SM(d14:0/16:1)+HCO2",1768.59,0,0,1769.81,"3.06854848484848","3.36854848484848","655","","SM(d14:0/16:1)+HCO2",691.5045,0,0,168.0431,"3.06854848484848","3.36854848484848","655","","SM(d14:0/16:1)+HCO2","691.5032","631.4774","253.2173","168.0431","3.06854848484848","3.36854848484848","655"
"","SM(d14:0/17:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d14:0/17:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d14:0/17:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d14:0/17:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d14:0/17:1)+HCO2",0,0,0,0,"3.68042878787879","3.98042878787879","1087","","SM(d14:0/17:1)+HCO2","705.5188","645.493","267.2329","168.0431","3.68042878787879","3.98042878787879","1087"
