"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","MMPE(13:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(13:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(13:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(13:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(13:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","MMPE(13:0_22:4)-H","738.50797","213.18605","331.26425","4.35774848484849","4.65774848484849","2622"
"","MMPE(13:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(13:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(13:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(13:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(13:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","MMPE(13:0_22:4)-H","738.50797","213.18605","331.26425","3.80641212121212","4.10641212121212","3147"
"","MMPE(14:0_15:0)-H",1,0,1,"6.13960757575758","6.43960757575758","188","","MMPE(14:0_15:0)-H",6.281945,0,6.281945,"6.13960757575758","6.43960757575758","188","","MMPE(14:0_15:0)-H",2,0,2,"6.13960757575758","6.43960757575758","188","","MMPE(14:0_15:0)-H",234516.4,0,723805.1,"6.13960757575758","6.43960757575758","188","","MMPE(14:0_15:0)-H",662.47755,0,241.2174,"6.13960757575758","6.43960757575758","188","","MMPE(14:0_15:0)-H","662.47667","227.20165","241.21735","6.13960757575758","6.43960757575758","188"
"","MMPE(14:0_19:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(14:0_19:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(14:0_19:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(14:0_19:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(14:0_19:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(14:0_19:0)-H","718.53927","227.20165","297.27995","8.47925757575758","8.77925757575758","193"
"","MMPE(14:1_19:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(14:1_19:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(14:1_19:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(14:1_19:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(14:1_19:0)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(14:1_19:0)-H","716.52367","225.18605","297.27995","5.62081363636364","5.92081363636364","1824"
"","MMPE(14:1_21:0)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(14:1_21:0)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(14:1_21:0)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(14:1_21:0)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(14:1_21:0)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","MMPE(14:1_21:0)-H","744.55497","225.18605","325.31125","8.54963333333333","8.84963333333333","1115"
"","MMPE(15:0_18:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","MMPE(15:0_18:0)-H",8.627286,0,8.627286,"8.47925757575758","8.77925757575758","193","","MMPE(15:0_18:0)-H",1,0,1,"8.47925757575758","8.77925757575758","193","","MMPE(15:0_18:0)-H",381988.7,0,590.8401,"8.47925757575758","8.77925757575758","193","","MMPE(15:0_18:0)-H",718.54,0,283.265,"8.47925757575758","8.77925757575758","193","","MMPE(15:0_18:0)-H","718.53927","241.21735","283.26425","8.47925757575758","8.77925757575758","193"
"","MMPE(15:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","MMPE(15:0_18:1)-H","716.52367","241.21735","281.24865","5.62081363636364","5.92081363636364","1824"
"","MMPE(15:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","MMPE(15:0_18:2)-H","714.50797","241.21735","279.23295","4.60836818181818","4.90836818181818","1332"
"","MMPE(15:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","MMPE(15:0_18:2)-H","714.50797","241.21735","279.23295","6.5105303030303","6.8105303030303","1416"
