"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","RT at Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Number of Scans","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Max Intensity","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Average m/z","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DMPE","[M-H]-","T1_RCOO-","T2_RCOO-","RT_min","RT_max","Comment"
"","DMPE(12:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(12:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(12:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(12:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(12:0_22:4)-H",0,0,0,"4.35774848484849","4.65774848484849","2622","","DMPE(12:0_22:4)-H","738.5079","199.17035","331.26425","4.35774848484849","4.65774848484849","2622"
"","DMPE(12:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(12:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(12:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(12:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(12:0_22:4)-H",0,0,0,"3.80641212121212","4.10641212121212","3147","","DMPE(12:0_22:4)-H","738.5079","199.17035","331.26425","3.80641212121212","4.10641212121212","3147"
"","DMPE(13:0_15:0)-H",1,0,1,"6.13960757575758","6.43960757575758","188","","DMPE(13:0_15:0)-H",6.281945,0,6.281945,"6.13960757575758","6.43960757575758","188","","DMPE(13:0_15:0)-H",2,0,2,"6.13960757575758","6.43960757575758","188","","DMPE(13:0_15:0)-H",234516.4,0,723805.1,"6.13960757575758","6.43960757575758","188","","DMPE(13:0_15:0)-H",662.47755,0,241.2174,"6.13960757575758","6.43960757575758","188","","DMPE(13:0_15:0)-H","662.4767","213.18605","241.21735","6.13960757575758","6.43960757575758","188"
"","DMPE(13:0_19:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(13:0_19:0)-H",8.627286,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(13:0_19:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(13:0_19:0)-H",381988.7,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(13:0_19:0)-H",718.54,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(13:0_19:0)-H","718.5393","213.18605","297.27995","8.47925757575758","8.77925757575758","193"
"","DMPE(14:0_14:0)-H",1,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(14:0_14:0)-H",6.281945,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(14:0_14:0)-H",2,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(14:0_14:0)-H",234516.4,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(14:0_14:0)-H",662.47755,0,0,"6.13960757575758","6.43960757575758","188","","DMPE(14:0_14:0)-H","662.4766","227.20165","227.20165","6.13960757575758","6.43960757575758","188"
"","DMPE(14:0_18:0)-H",1,0,0,"8.47925757575758","8.77925757575758","193","","DMPE(14:0_18:0)-H",8.627286,0,8.627286,"8.47925757575758","8.77925757575758","193","","DMPE(14:0_18:0)-H",1,0,1,"8.47925757575758","8.77925757575758","193","","DMPE(14:0_18:0)-H",381988.7,0,590.8401,"8.47925757575758","8.77925757575758","193","","DMPE(14:0_18:0)-H",718.54,0,283.265,"8.47925757575758","8.77925757575758","193","","DMPE(14:0_18:0)-H","718.5392","227.20165","283.26425","8.47925757575758","8.77925757575758","193"
"","DMPE(14:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:0_18:1)-H",0,0,0,"5.62081363636364","5.92081363636364","1824","","DMPE(14:0_18:1)-H","716.5236","227.20165","281.24865","5.62081363636364","5.92081363636364","1824"
"","DMPE(14:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:0_18:2)-H",0,0,0,"4.60836818181818","4.90836818181818","1332","","DMPE(14:0_18:2)-H","714.5079","227.20165","279.23295","4.60836818181818","4.90836818181818","1332"
"","DMPE(14:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(14:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(14:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(14:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(14:0_18:2)-H",0,0,0,"6.5105303030303","6.8105303030303","1416","","DMPE(14:0_18:2)-H","714.5079","227.20165","279.23295","6.5105303030303","6.8105303030303","1416"
"","DMPE(14:0_20:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(14:0_20:1)-H",8.71849,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(14:0_20:1)-H",1,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(14:0_20:1)-H",17193.23,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(14:0_20:1)-H",744.5564,0,0,"8.54963333333333","8.84963333333333","1115","","DMPE(14:0_20:1)-H","744.5549","227.20165","309.27995","8.54963333333333","8.84963333333333","1115"
