OxLPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,phosphoethanolamine+Na
OxLPE(22:5(Ke))+Na,564.26863,521.22643,423.2495357,176.99139,164.00888
OxLPE(22:6(Ke))+Na,562.25293,519.21073,421.2338357,176.99139,164.00888
OxLPE(24:1(Ke))+Na,600.36253,557.32033,459.3434357,176.99139,164.00888
"OxLPE(14:1(Ke,OH))+Na",476.20095,433.15875,335.1818557,176.99139,164.00888
"OxLPE(15:1(Ke,OH))+Na",490.21655,447.17435,349.1974557,176.99139,164.00888
"OxLPE(16:1(Ke,OH))+Na",504.23225,461.19005,363.2131557,176.99139,164.00888
"OxLPE(17:1(Ke,OH))+Na",518.24785,475.20565,377.2287557,176.99139,164.00888
"OxLPE(17:2(Ke,OH))+Na",516.23225,473.19005,375.2131557,176.99139,164.00888
"OxLPE(18:1(Ke,OH))+Na",532.26355,489.22135,391.2444557,176.99139,164.00888
"OxLPE(18:2(Ke,OH))+Na",530.24785,487.20565,389.2287557,176.99139,164.00888
"OxLPE(18:3(Ke,OH))+Na",528.23225,485.19005,387.2131557,176.99139,164.00888
"OxLPE(18:4(Ke,OH))+Na",526.21655,483.17435,385.1974557,176.99139,164.00888
"OxLPE(20:1(Ke,OH))+Na",560.29485,517.25265,419.2757557,176.99139,164.00888
"OxLPE(20:2(Ke,OH))+Na",558.27915,515.23695,417.2600557,176.99139,164.00888
"OxLPE(20:3(Ke,OH))+Na",556.26355,513.22135,415.2444557,176.99139,164.00888
"OxLPE(20:4(Ke,OH))+Na",554.24785,511.20565,413.2287557,176.99139,164.00888
"OxLPE(20:5(Ke,OH))+Na",552.23225,509.19005,411.2131557,176.99139,164.00888
"OxLPE(22:1(Ke,OH))+Na",588.32615,545.28395,447.3070557,176.99139,164.00888
"OxLPE(22:2(Ke,OH))+Na",586.31045,543.26825,445.2913557,176.99139,164.00888
"OxLPE(22:3(Ke,OH))+Na",584.29485,541.25265,443.2757557,176.99139,164.00888
"OxLPE(22:4(Ke,OH))+Na",582.27915,539.23695,441.2600557,176.99139,164.00888
"OxLPE(22:5(Ke,OH))+Na",580.26355,537.22135,439.2444557,176.99139,164.00888
"OxLPE(22:6(Ke,OH))+Na",578.24785,535.20565,437.2287557,176.99139,164.00888
"OxLPE(24:1(Ke,OH))+Na",616.35745,573.31525,475.3383557,176.99139,164.00888
