OxPG,[M-H]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1
OxPG(18:0_22:6(1O))-H,837.5282,343.2279,325.2173,0.01,283.2635
OxPG(18:0_22:6(2O))-H,853.5231,359.2228,341.2122,323.2017,283.2635
OxPG(18:0_22:6(3O))-H,869.518,375.2177,357.2072,339.1966,283.2635
OxPG(18:0_22:6(4O))-H,885.5129,391.2126,373.2021,355.1915,283.2635
OxPG(18:1_18:0(1O))-H,791.5438,299.2592,281.2486,0.01,281.2479
OxPG(18:1_18:0(1O(1Cyc)))-H,789.5282,297.2435,0.01,0.01,281.2479
OxPG(18:1_18:0(2O))-H,807.5388,315.2541,297.2435,279.233,281.2479
OxPG(18:1_18:1(1O))-H,789.5282,297.2435,279.233,0.01,281.2479
OxPG(18:1_18:1(1O(1Cyc)))-H,787.5125,295.2279,0.01,0.01,281.2479
OxPG(18:1_18:1(2O))-H,805.5231,313.2384,295.2279,277.2173,281.2479
OxPG(18:1_18:1(3O))-H,821.518,329.2333,311.2228,293.2122,281.2479
OxPG(18:1_18:2(1O))-H,787.5125,295.2279,277.2173,0.01,281.2479
OxPG(18:1_18:2(2O))-H,803.5074,311.2228,293.2122,275.2017,281.2479
OxPG(18:1_18:3(1O))-H,785.4969,293.2122,275.2017,0.01,281.2479
OxPG(18:1_20:3(1O))-H,813.5282,321.2435,303.233,0.01,281.2479
OxPG(18:1_20:3(1O(1Cyc)))-H,811.5125,319.2279,0.01,0.01,281.2479
OxPG(18:1_20:3(2O))-H,829.5231,337.2384,319.2279,301.2173,281.2479
OxPG(18:1_20:3(2O(1Cyc)))-H,827.5074,335.2228,317.2122,0.01,281.2479
OxPG(18:1_20:3(3O))-H,845.518,353.2333,335.2228,317.2122,281.2479
OxPG(18:1_20:3(4O(1Cyc)))-H,861.5129,369.2283,351.2177,333.2072,281.2479
OxPG(18:1_20:4(1O))-H,811.5125,319.2279,301.2173,0.01,281.2479
OxPG(18:1_20:4(1O(1Cyc)))-H,809.4969,317.2122,0.01,0.01,281.2479
OxPG(18:1_20:4(2O))-H,827.5074,335.2228,317.2122,299.2017,281.2479
OxPG(18:1_20:4(3O))-H,843.5024,351.2177,333.2072,315.1966,281.2479
OxPG(18:1_20:4(3O(2Cyc)))-H,843.5024,351.2177,333.2072,0.01,281.2479
OxPG(18:1_20:4(4O(1Cyc)))-H,859.4973,367.2126,349.2021,331.1915,281.2479
OxPG(18:1_20:4(4O(2Cyc)))-H,859.4973,367.2126,349.2021,331.1915,281.2479
OxPG(18:1_20:5(1O))-H,809.4969,317.2122,299.2017,0.01,281.2479
OxPG(18:1_20:5(1O(1Cyc)))-H,807.4812,315.1966,0.01,0.01,281.2479
OxPG(18:1_20:5(2O))-H,825.4918,333.2071,315.1966,297.186,281.2479
