LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [10_14_(60)],1824.242872,1742.260892,1726.265972,1636.101712,1580.039152,1538.124812,1482.062252
LipidA-PP [10_14_(62)],1852.274173,1770.292193,1754.297273,1664.133013,1608.070453,1566.156113,1510.093553
LipidA-PP [10_14_(64)],1880.305473,1798.323493,1782.328573,1692.164313,1636.101753,1594.187413,1538.124853
LipidA-PP [10_14_(66)],1908.336773,1826.354793,1810.359873,1720.195613,1664.133053,1622.218713,1566.156153
LipidA-PP [10_14_(68)],1936.368073,1854.386093,1838.391173,1748.226913,1692.164353,1650.250013,1594.187453
LipidA-PP [10_14_(70)],1964.399373,1882.417393,1866.422473,1776.258213,1720.195653,1678.281313,1622.218753
LipidA-PP [10_14_(72)],1992.430673,1910.448693,1894.453773,1804.289513,1748.226953,1706.312613,1650.250053
LipidA-PP [10_16_(40)],1571.961171,1489.979191,1473.984271,1383.820011,1299.726171,1285.843111,1201.749271
LipidA-PP [10_16_(42)],1599.992471,1518.010491,1502.015571,1411.851311,1327.757471,1313.874411,1229.780571
LipidA-PP [10_16_(44)],1628.023772,1546.041792,1530.046872,1439.882612,1355.788772,1341.905712,1257.811872
LipidA-PP [10_16_(46)],1656.055072,1574.073092,1558.078172,1467.913912,1383.820072,1369.937012,1285.843172
LipidA-PP [10_16_(48)],1684.086372,1602.104392,1586.109472,1495.945212,1411.851372,1397.968312,1313.874472
LipidA-PP [10_16_(50)],1712.117672,1630.135692,1614.140772,1523.976512,1439.882672,1425.999612,1341.905772
LipidA-PP [10_16_(52)],1740.148972,1658.166992,1642.172072,1552.007812,1467.913972,1454.030912,1369.937072
LipidA-PP [10_16_(54)],1768.180272,1686.198292,1670.203372,1580.039112,1495.945272,1482.062212,1397.968372
LipidA-PP [10_16_(56)],1796.211572,1714.229592,1698.234672,1608.070412,1523.976572,1510.093512,1425.999672
LipidA-PP [10_16_(58)],1824.242872,1742.260892,1726.265972,1636.101712,1552.007872,1538.124812,1454.030972
LipidA-PP [10_16_(60)],1852.274173,1770.292193,1754.297273,1664.133013,1580.039173,1566.156113,1482.062273
LipidA-PP [10_16_(62)],1880.305473,1798.323493,1782.328573,1692.164313,1608.070473,1594.187413,1510.093573
LipidA-PP [10_16_(64)],1908.336773,1826.354793,1810.359873,1720.195613,1636.101773,1622.218713,1538.124873
LipidA-PP [10_16_(66)],1936.368073,1854.386093,1838.391173,1748.226913,1664.133073,1650.250013,1566.156173
LipidA-PP [10_16_(68)],1964.399373,1882.417393,1866.422473,1776.258213,1692.164373,1678.281313,1594.187473
LipidA-PP [10_16_(70)],1992.430673,1910.448693,1894.453773,1804.289513,1720.195673,1706.312613,1622.218773
LipidA-PP [10_16_(72)],2020.461973,1938.479993,1922.485073,1832.320813,1748.226973,1734.343913,1650.250073
LipidA-PP [10_18_(40)],1599.992471,1518.010491,1502.015571,1411.851311,1299.726191,1313.874411,1201.749291
LipidA-PP [10_18_(42)],1628.023772,1546.041792,1530.046872,1439.882612,1327.757492,1341.905712,1229.780592
LipidA-PP [10_18_(44)],1656.055072,1574.073092,1558.078172,1467.913912,1355.788792,1369.937012,1257.811892
LipidA-PP [10_18_(46)],1684.086372,1602.104392,1586.109472,1495.945212,1383.820092,1397.968312,1285.843192
LipidA-PP [10_18_(48)],1712.117672,1630.135692,1614.140772,1523.976512,1411.851392,1425.999612,1313.874492
LipidA-PP [10_18_(50)],1740.148972,1658.166992,1642.172072,1552.007812,1439.882692,1454.030912,1341.905792
LipidA-PP [10_18_(52)],1768.180272,1686.198292,1670.203372,1580.039112,1467.913992,1482.062212,1369.937092
LipidA-PP [10_18_(54)],1796.211572,1714.229592,1698.234672,1608.070412,1495.945292,1510.093512,1397.968392
LipidA-PP [10_18_(56)],1824.242872,1742.260892,1726.265972,1636.101712,1523.976592,1538.124812,1425.999692
LipidA-PP [10_18_(58)],1852.274173,1770.292193,1754.297273,1664.133013,1552.007893,1566.156113,1454.030993
LipidA-PP [10_18_(60)],1880.305473,1798.323493,1782.328573,1692.164313,1580.039193,1594.187413,1482.062293
LipidA-PP [10_18_(62)],1908.336773,1826.354793,1810.359873,1720.195613,1608.070493,1622.218713,1510.093593
LipidA-PP [10_18_(64)],1936.368073,1854.386093,1838.391173,1748.226913,1636.101793,1650.250013,1538.124893
LipidA-PP [10_18_(66)],1964.399373,1882.417393,1866.422473,1776.258213,1664.133093,1678.281313,1566.156193
LipidA-PP [10_18_(68)],1992.430673,1910.448693,1894.453773,1804.289513,1692.164393,1706.312613,1594.187493
LipidA-PP [10_18_(70)],2020.461973,1938.479993,1922.485073,1832.320813,1720.195693,1734.343913,1622.218793
LipidA-PP [10_18_(72)],2048.493273,1966.511293,1950.516373,1860.352113,1748.226993,1762.375213,1650.250093
LipidA-PP [12_10_(40)],1515.898571,1433.916591,1417.921671,1299.726131,1327.757411,1201.749231,1229.780511
LipidA-PP [12_10_(42)],1543.929871,1461.947891,1445.952971,1327.757431,1355.788711,1229.780531,1257.811811
LipidA-PP [12_10_(44)],1571.961171,1489.979191,1473.984271,1355.788731,1383.820011,1257.811831,1285.843111
LipidA-PP [12_10_(46)],1599.992471,1518.010491,1502.015571,1383.820031,1411.851311,1285.843131,1313.874411
LipidA-PP [12_10_(48)],1628.023772,1546.041792,1530.046872,1411.851332,1439.882612,1313.874432,1341.905712
LipidA-PP [12_10_(50)],1656.055072,1574.073092,1558.078172,1439.882632,1467.913912,1341.905732,1369.937012
LipidA-PP [12_10_(52)],1684.086372,1602.104392,1586.109472,1467.913932,1495.945212,1369.937032,1397.968312
LipidA-PP [12_10_(54)],1712.117672,1630.135692,1614.140772,1495.945232,1523.976512,1397.968332,1425.999612
LipidA-PP [12_10_(56)],1740.148972,1658.166992,1642.172072,1523.976532,1552.007812,1425.999632,1454.030912
LipidA-PP [12_10_(58)],1768.180272,1686.198292,1670.203372,1552.007832,1580.039112,1454.030932,1482.062212
LipidA-PP [12_10_(60)],1796.211572,1714.229592,1698.234672,1580.039132,1608.070412,1482.062232,1510.093512
LipidA-PP [12_10_(62)],1824.242872,1742.260892,1726.265972,1608.070432,1636.101712,1510.093532,1538.124812
LipidA-PP [12_10_(64)],1852.274173,1770.292193,1754.297273,1636.101733,1664.133013,1538.124833,1566.156113
LipidA-PP [12_10_(66)],1880.305473,1798.323493,1782.328573,1664.133033,1692.164313,1566.156133,1594.187413
LipidA-PP [12_10_(68)],1908.336773,1826.354793,1810.359873,1692.164333,1720.195613,1594.187433,1622.218713
