Cer-BDS,[M+HCO2]-,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer-BDS(d15:0/26:0)+HCO2,698.6299,652.6244,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/26:1)+HCO2,696.6142,650.6088,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/26:2)+HCO2,694.5986,648.5931,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/27:0)+HCO2,712.6455,666.64,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/27:1)+HCO2,710.6299,664.6244,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/28:0)+HCO2,726.6611,680.6557,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/28:1)+HCO2,724.6455,678.64,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/28:2)+HCO2,722.6299,676.6244,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/29:0)+HCO2,740.6768,694.6713,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/29:1)+HCO2,738.6611,692.6557,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/30:0)+HCO2,754.6924,708.687,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/30:1)+HCO2,752.6768,706.6713,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/30:2)+HCO2,750.6611,704.6557,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/31:0)+HCO2,768.7081,722.7026,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/31:1)+HCO2,766.6924,720.687,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/32:0)+HCO2,782.7238,736.7183,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/32:1)+HCO2,780.7081,734.7026,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/32:2)+HCO2,778.6924,732.687,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/33:0)+HCO2,796.7394,750.7339,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/33:1)+HCO2,794.7238,748.7183,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/34:0)+HCO2,810.7551,764.7496,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/34:1)+HCO2,808.7394,762.7339,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/34:2)+HCO2,806.7238,760.7183,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/35:0)+HCO2,824.7707,778.7653,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/35:1)+HCO2,822.7551,776.7496,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/36:0)+HCO2,838.7864,792.7809,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/36:1)+HCO2,836.7707,790.7653,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/36:2)+HCO2,834.7551,788.7496,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/38:0)+HCO2,866.8177,820.8122,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/38:1)+HCO2,864.802,818.7966,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/38:2)+HCO2,862.7864,816.7809,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/40:0)+HCO2,894.849,848.8435,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/40:1)+HCO2,892.8333,846.8278,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/40:2)+HCO2,890.8177,844.8122,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/42:0)+HCO2,922.8802,876.8748,300.2544,268.2282,258.2439,197.1911
Cer-BDS(d15:0/42:1)+HCO2,920.8646,874.8591,300.2544,268.2282,258.2439,197.1911
