Cer-AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer-AS(d22:2/21:0)-H,676.6244,658.6138,644.5981,628.6033,350.3065,334.3116,341.3061,340.3221,322.3116,323.2956,293.285,291.2693,295.3006
Cer-AS(d22:2/21:1)-H,674.6088,656.5981,642.5825,626.5876,350.3065,334.3116,339.2905,338.3065,322.3116,321.2799,293.285,291.2693,293.285
Cer-AS(d22:2/22:0)-H,690.64,672.6295,658.6138,642.6189,350.3065,334.3116,355.3218,354.3378,322.3116,337.3112,293.285,291.2693,309.3163
Cer-AS(d22:2/22:1)-H,688.6244,670.6138,656.5981,640.6033,350.3065,334.3116,353.3061,352.3221,322.3116,335.2956,293.285,291.2693,307.3006
Cer-AS(d22:2/22:2)-H,686.6088,668.5981,654.5825,638.5876,350.3065,334.3116,351.2905,350.3065,322.3116,333.2799,293.285,291.2693,305.285
Cer-AS(d22:2/23:0)-H,704.6557,686.6451,672.6295,656.6345,350.3065,334.3116,369.3374,368.3534,322.3116,351.3269,293.285,291.2693,323.3319
Cer-AS(d22:2/23:1)-H,702.64,684.6295,670.6138,654.6189,350.3065,334.3116,367.3218,366.3378,322.3116,349.3112,293.285,291.2693,321.3163
Cer-AS(d22:2/24:0)-H,718.6713,700.6608,686.6451,670.6502,350.3065,334.3116,383.3531,382.369,322.3116,365.3425,293.285,291.2693,337.3476
Cer-AS(d22:2/24:1)-H,716.6557,698.6451,684.6295,668.6345,350.3065,334.3116,381.3374,380.3534,322.3116,363.3269,293.285,291.2693,335.3319
Cer-AS(d22:2/24:2)-H,714.64,696.6295,682.6138,666.6189,350.3065,334.3116,379.3218,378.3378,322.3116,361.3112,293.285,291.2693,333.3163
Cer-AS(d22:2/25:0)-H,732.687,714.6764,700.6608,684.6658,350.3065,334.3116,397.3687,396.3847,322.3116,379.3582,293.285,291.2693,351.3633
Cer-AS(d22:2/25:1)-H,730.6713,712.6608,698.6451,682.6502,350.3065,334.3116,395.3531,394.369,322.3116,377.3425,293.285,291.2693,349.3476
Cer-AS(d22:2/26:0)-H,746.7026,728.6921,714.6764,698.6815,350.3065,334.3116,411.3844,410.4004,322.3116,393.3738,293.285,291.2693,365.3789
Cer-AS(d22:2/26:1)-H,744.687,726.6764,712.6608,696.6658,350.3065,334.3116,409.3687,408.3847,322.3116,391.3582,293.285,291.2693,363.3633
Cer-AS(d22:2/26:2)-H,742.6713,724.6608,710.6451,694.6502,350.3065,334.3116,407.3531,406.369,322.3116,389.3425,293.285,291.2693,361.3476
Cer-AS(d22:2/27:0)-H,760.7183,742.7077,728.6921,712.6971,350.3065,334.3116,425.4,424.416,322.3116,407.3895,293.285,291.2693,379.3945
Cer-AS(d22:2/27:1)-H,758.7026,740.6921,726.6764,710.6815,350.3065,334.3116,423.3844,422.4004,322.3116,405.3738,293.285,291.2693,377.3789
Cer-AS(d22:2/28:0)-H,774.7339,756.7234,742.7077,726.7128,350.3065,334.3116,439.4157,438.4317,322.3116,421.4051,293.285,291.2693,393.4102
Cer-AS(d22:2/28:1)-H,772.7183,754.7077,740.6921,724.6971,350.3065,334.3116,437.4,436.416,322.3116,419.3895,293.285,291.2693,391.3945
Cer-AS(d22:2/28:2)-H,770.7026,752.6921,738.6764,722.6815,350.3065,334.3116,435.3844,434.4004,322.3116,417.3738,293.285,291.2693,389.3789
Cer-AS(d22:2/29:0)-H,788.7496,770.739,756.7234,740.7285,350.3065,334.3116,453.4313,452.4473,322.3116,435.4207,293.285,291.2693,407.4258
Cer-AS(d22:2/29:1)-H,786.7339,768.7234,754.7077,738.7128,350.3065,334.3116,451.4157,450.4317,322.3116,433.4051,293.285,291.2693,405.4102
Cer-AS(d22:2/30:0)-H,802.7653,784.7547,770.739,754.7441,350.3065,334.3116,467.447,466.463,322.3116,449.4364,293.285,291.2693,421.4415
Cer-AS(d22:2/30:1)-H,800.7496,782.739,768.7234,752.7285,350.3065,334.3116,465.4313,464.4473,322.3116,447.4207,293.285,291.2693,419.4258
Cer-AS(d22:2/30:2)-H,798.7339,780.7234,766.7077,750.7128,350.3065,334.3116,463.4157,462.4317,322.3116,445.4051,293.285,291.2693,417.4102
Cer-AS(d22:2/31:0)-H,816.7809,798.7703,784.7547,768.7598,350.3065,334.3116,481.4626,480.4786,322.3116,463.4521,293.285,291.2693,435.4572
Cer-AS(d22:2/31:1)-H,814.7653,796.7547,782.739,766.7441,350.3065,334.3116,479.447,478.463,322.3116,461.4364,293.285,291.2693,433.4415
Cer-AS(d22:2/32:0)-H,830.7966,812.7859,798.7703,782.7754,350.3065,334.3116,495.4783,494.4943,322.3116,477.4677,293.285,291.2693,449.4728
Cer-AS(d22:2/32:1)-H,828.7809,810.7703,796.7547,780.7598,350.3065,334.3116,493.4626,492.4786,322.3116,475.4521,293.285,291.2693,447.4572
Cer-AS(d22:2/32:2)-H,826.7653,808.7547,794.739,778.7441,350.3065,334.3116,491.447,490.463,322.3116,473.4364,293.285,291.2693,445.4415
Cer-AS(d22:2/33:0)-H,844.8122,826.8016,812.7859,796.7911,350.3065,334.3116,509.4939,508.5099,322.3116,491.4834,293.285,291.2693,463.4884
Cer-AS(d22:2/33:1)-H,842.7966,824.7859,810.7703,794.7754,350.3065,334.3116,507.4783,506.4943,322.3116,489.4677,293.285,291.2693,461.4728
Cer-AS(d22:2/34:0)-H,858.8278,840.8173,826.8016,810.8067,350.3065,334.3116,523.5096,522.5256,322.3116,505.499,293.285,291.2693,477.5041
Cer-AS(d22:2/34:1)-H,856.8122,838.8016,824.7859,808.7911,350.3065,334.3116,521.494,520.5099,322.3116,503.4834,293.285,291.2693,475.4884
Cer-AS(d22:2/34:2)-H,854.7966,836.7859,822.7703,806.7754,350.3065,334.3116,519.4783,518.4943,322.3116,501.4677,293.285,291.2693,473.4728
Cer-AS(d22:2/35:0)-H,872.8435,854.8329,840.8173,824.8223,350.3065,334.3116,537.5252,536.5412,322.3116,519.5146,293.285,291.2693,491.5197
Cer-AS(d22:2/35:1)-H,870.8278,852.8173,838.8016,822.8067,350.3065,334.3116,535.5096,534.5256,322.3116,517.499,293.285,291.2693,489.5041
Cer-AS(d22:2/36:0)-H,886.8591,868.8486,854.8329,838.838,350.3065,334.3116,551.5409,550.5569,322.3116,533.5303,293.285,291.2693,505.5354
Cer-AS(d22:2/36:1)-H,884.8435,866.8329,852.8173,836.8223,350.3065,334.3116,549.5252,548.5412,322.3116,531.5146,293.285,291.2693,503.5197
Cer-AS(d22:2/36:2)-H,882.8278,864.8173,850.8016,834.8067,350.3065,334.3116,547.5096,546.5256,322.3116,529.499,293.285,291.2693,501.5041
Cer-AS(d22:2/38:0)-H,914.8904,896.8799,882.8642,866.8693,350.3065,334.3116,579.5722,578.5881,322.3116,561.5616,293.285,291.2693,533.5667
Cer-AS(d22:2/38:1)-H,912.8748,894.8642,880.8486,864.8536,350.3065,334.3116,577.5565,576.5725,322.3116,559.546,293.285,291.2693,531.551
Cer-AS(d22:2/38:2)-H,910.8591,892.8486,878.8329,862.838,350.3065,334.3116,575.5409,574.5569,322.3116,557.5303,293.285,291.2693,529.5354
Cer-AS(d22:2/40:0)-H,942.9218,924.9112,910.8955,894.9006,350.3065,334.3116,607.6035,606.6194,322.3116,589.5929,293.285,291.2693,561.598
Cer-AS(d22:2/40:1)-H,940.9061,922.8955,908.8799,892.8849,350.3065,334.3116,605.5878,604.6038,322.3116,587.5773,293.285,291.2693,559.5823
Cer-AS(d22:2/40:2)-H,938.8904,920.8799,906.8642,890.8693,350.3065,334.3116,603.5722,602.5881,322.3116,585.5616,293.285,291.2693,557.5667
Cer-AS(d22:2/42:0)-H,970.9531,952.9424,938.9268,922.9319,350.3065,334.3116,635.6348,634.6508,322.3116,617.6242,293.285,291.2693,589.6293
Cer-AS(d22:2/42:1)-H,968.9374,950.9268,936.9112,920.9163,350.3065,334.3116,633.6191,632.6351,322.3116,615.6086,293.285,291.2693,587.6136
Cer-AS(d22:2/42:2)-H,966.9218,948.9112,934.8955,918.9006,350.3065,334.3116,631.6035,630.6194,322.3116,613.5929,293.285,291.2693,585.598
Cer-AS(d22:3/12:0)-H,548.4679,530.4573,516.4417,500.4467,348.2908,332.2959,215.1653,214.1813,320.2959,197.1547,291.2693,289.2537,169.1598
Cer-AS(d22:3/12:1)-H,546.4523,528.4417,514.426,498.4311,348.2908,332.2959,213.1496,212.1656,320.2959,195.1391,291.2693,289.2537,167.1441
Cer-AS(d22:3/13:0)-H,562.4835,544.473,530.4573,514.4624,348.2908,332.2959,229.1809,228.1969,320.2959,211.1704,291.2693,289.2537,183.1754
Cer-AS(d22:3/13:1)-H,560.4679,542.4573,528.4417,512.4468,348.2908,332.2959,227.1653,226.1813,320.2959,209.1547,291.2693,289.2537,181.1598
Cer-AS(d22:3/14:0)-H,576.4992,558.4886,544.473,528.478,348.2908,332.2959,243.1966,242.2126,320.2959,225.186,291.2693,289.2537,197.1911
Cer-AS(d22:3/14:1)-H,574.4835,556.473,542.4573,526.4624,348.2908,332.2959,241.1809,240.1969,320.2959,223.1704,291.2693,289.2537,195.1754
Cer-AS(d22:3/15:0)-H,590.5148,572.5043,558.4886,542.4937,348.2908,332.2959,257.2122,256.2282,320.2959,239.2017,291.2693,289.2537,211.2067
Cer-AS(d22:3/15:1)-H,588.4992,570.4886,556.473,540.478,348.2908,332.2959,255.1966,254.2126,320.2959,237.186,291.2693,289.2537,209.1911
Cer-AS(d22:3/16:0)-H,604.5305,586.5199,572.5043,556.5093,348.2908,332.2959,271.2279,270.2439,320.2959,253.2173,291.2693,289.2537,225.2224
Cer-AS(d22:3/16:1)-H,602.5148,584.5043,570.4886,554.4937,348.2908,332.2959,269.2122,268.2282,320.2959,251.2017,291.2693,289.2537,223.2067
Cer-AS(d22:3/16:2)-H,600.4992,582.4886,568.473,552.478,348.2908,332.2959,267.1966,266.2126,320.2959,249.186,291.2693,289.2537,221.1911
Cer-AS(d22:3/17:0)-H,618.5461,600.5356,586.5199,570.525,348.2908,332.2959,285.2435,284.2595,320.2959,267.233,291.2693,289.2537,239.238
Cer-AS(d22:3/18:0)-H,632.5618,614.5512,600.5356,584.5406,348.2908,332.2959,299.2592,298.2751,320.2959,281.2486,291.2693,289.2537,253.2537
Cer-AS(d22:3/18:1)-H,630.5461,612.5356,598.5199,582.525,348.2908,332.2959,297.2435,296.2595,320.2959,279.233,291.2693,289.2537,251.238
Cer-AS(d22:3/18:2)-H,628.5305,610.5199,596.5043,580.5093,348.2908,332.2959,295.2279,294.2439,320.2959,277.2173,291.2693,289.2537,249.2224
Cer-AS(d22:3/19:0)-H,646.5775,628.5669,614.5512,598.5563,348.2908,332.2959,313.2748,312.2908,320.2959,295.2643,291.2693,289.2537,267.2693
Cer-AS(d22:3/19:1)-H,644.5618,626.5512,612.5356,596.5406,348.2908,332.2959,311.2592,310.2751,320.2959,293.2486,291.2693,289.2537,265.2537
Cer-AS(d22:3/20:0)-H,660.5931,642.5825,628.5669,612.572,348.2908,332.2959,327.2905,326.3065,320.2959,309.2799,291.2693,289.2537,281.285
Cer-AS(d22:3/20:1)-H,658.5775,640.5669,626.5512,610.5563,348.2908,332.2959,325.2748,324.2908,320.2959,307.2643,291.2693,289.2537,279.2693
Cer-AS(d22:3/20:2)-H,656.5618,638.5512,624.5356,608.5406,348.2908,332.2959,323.2592,322.2751,320.2959,305.2486,291.2693,289.2537,277.2537
Cer-AS(d22:3/21:0)-H,674.6088,656.5981,642.5825,626.5876,348.2908,332.2959,341.3061,340.3221,320.2959,323.2956,291.2693,289.2537,295.3006
Cer-AS(d22:3/21:1)-H,672.5931,654.5825,640.5669,624.572,348.2908,332.2959,339.2905,338.3065,320.2959,321.2799,291.2693,289.2537,293.285
Cer-AS(d22:3/22:0)-H,688.6244,670.6138,656.5981,640.6033,348.2908,332.2959,355.3218,354.3378,320.2959,337.3112,291.2693,289.2537,309.3163
Cer-AS(d22:3/22:1)-H,686.6088,668.5981,654.5825,638.5876,348.2908,332.2959,353.3061,352.3221,320.2959,335.2956,291.2693,289.2537,307.3006
Cer-AS(d22:3/22:2)-H,684.5931,666.5825,652.5669,636.572,348.2908,332.2959,351.2905,350.3065,320.2959,333.2799,291.2693,289.2537,305.285
Cer-AS(d22:3/23:0)-H,702.64,684.6295,670.6138,654.6189,348.2908,332.2959,369.3374,368.3534,320.2959,351.3269,291.2693,289.2537,323.3319
Cer-AS(d22:3/23:1)-H,700.6244,682.6138,668.5981,652.6033,348.2908,332.2959,367.3218,366.3378,320.2959,349.3112,291.2693,289.2537,321.3163
Cer-AS(d22:3/24:0)-H,716.6557,698.6451,684.6295,668.6345,348.2908,332.2959,383.3531,382.369,320.2959,365.3425,291.2693,289.2537,337.3476
Cer-AS(d22:3/24:1)-H,714.64,696.6295,682.6138,666.6189,348.2908,332.2959,381.3374,380.3534,320.2959,363.3269,291.2693,289.2537,335.3319
Cer-AS(d22:3/24:2)-H,712.6244,694.6138,680.5981,664.6033,348.2908,332.2959,379.3218,378.3378,320.2959,361.3112,291.2693,289.2537,333.3163
Cer-AS(d22:3/25:0)-H,730.6713,712.6608,698.6451,682.6502,348.2908,332.2959,397.3687,396.3847,320.2959,379.3582,291.2693,289.2537,351.3633
Cer-AS(d22:3/25:1)-H,728.6557,710.6451,696.6295,680.6345,348.2908,332.2959,395.3531,394.369,320.2959,377.3425,291.2693,289.2537,349.3476
Cer-AS(d22:3/26:0)-H,744.687,726.6764,712.6608,696.6658,348.2908,332.2959,411.3844,410.4004,320.2959,393.3738,291.2693,289.2537,365.3789
Cer-AS(d22:3/26:1)-H,742.6713,724.6608,710.6451,694.6502,348.2908,332.2959,409.3687,408.3847,320.2959,391.3582,291.2693,289.2537,363.3633
Cer-AS(d22:3/26:2)-H,740.6557,722.6451,708.6295,692.6345,348.2908,332.2959,407.3531,406.369,320.2959,389.3425,291.2693,289.2537,361.3476
Cer-AS(d22:3/27:0)-H,758.7026,740.6921,726.6764,710.6815,348.2908,332.2959,425.4,424.416,320.2959,407.3895,291.2693,289.2537,379.3945
Cer-AS(d22:3/27:1)-H,756.687,738.6764,724.6608,708.6658,348.2908,332.2959,423.3844,422.4004,320.2959,405.3738,291.2693,289.2537,377.3789
Cer-AS(d22:3/28:0)-H,772.7183,754.7077,740.6921,724.6971,348.2908,332.2959,439.4157,438.4317,320.2959,421.4051,291.2693,289.2537,393.4102
Cer-AS(d22:3/28:1)-H,770.7026,752.6921,738.6764,722.6815,348.2908,332.2959,437.4,436.416,320.2959,419.3895,291.2693,289.2537,391.3945
Cer-AS(d22:3/28:2)-H,768.687,750.6764,736.6608,720.6658,348.2908,332.2959,435.3844,434.4004,320.2959,417.3738,291.2693,289.2537,389.3789
Cer-AS(d22:3/29:0)-H,786.7339,768.7234,754.7077,738.7128,348.2908,332.2959,453.4313,452.4473,320.2959,435.4207,291.2693,289.2537,407.4258
Cer-AS(d22:3/29:1)-H,784.7183,766.7077,752.6921,736.6971,348.2908,332.2959,451.4157,450.4317,320.2959,433.4051,291.2693,289.2537,405.4102
Cer-AS(d22:3/30:0)-H,800.7496,782.739,768.7234,752.7285,348.2908,332.2959,467.447,466.463,320.2959,449.4364,291.2693,289.2537,421.4415
Cer-AS(d22:3/30:1)-H,798.7339,780.7234,766.7077,750.7128,348.2908,332.2959,465.4313,464.4473,320.2959,447.4207,291.2693,289.2537,419.4258
Cer-AS(d22:3/30:2)-H,796.7183,778.7077,764.6921,748.6971,348.2908,332.2959,463.4157,462.4317,320.2959,445.4051,291.2693,289.2537,417.4102
Cer-AS(d22:3/31:0)-H,814.7653,796.7547,782.739,766.7441,348.2908,332.2959,481.4626,480.4786,320.2959,463.4521,291.2693,289.2537,435.4572
Cer-AS(d22:3/31:1)-H,812.7496,794.739,780.7234,764.7285,348.2908,332.2959,479.447,478.463,320.2959,461.4364,291.2693,289.2537,433.4415
Cer-AS(d22:3/32:0)-H,828.7809,810.7703,796.7547,780.7598,348.2908,332.2959,495.4783,494.4943,320.2959,477.4677,291.2693,289.2537,449.4728
Cer-AS(d22:3/32:1)-H,826.7653,808.7547,794.739,778.7441,348.2908,332.2959,493.4626,492.4786,320.2959,475.4521,291.2693,289.2537,447.4572
Cer-AS(d22:3/32:2)-H,824.7496,806.739,792.7234,776.7285,348.2908,332.2959,491.447,490.463,320.2959,473.4364,291.2693,289.2537,445.4415
Cer-AS(d22:3/33:0)-H,842.7966,824.7859,810.7703,794.7754,348.2908,332.2959,509.4939,508.5099,320.2959,491.4834,291.2693,289.2537,463.4884
Cer-AS(d22:3/33:1)-H,840.7809,822.7703,808.7547,792.7598,348.2908,332.2959,507.4783,506.4943,320.2959,489.4677,291.2693,289.2537,461.4728
Cer-AS(d22:3/34:0)-H,856.8122,838.8016,824.7859,808.7911,348.2908,332.2959,523.5096,522.5256,320.2959,505.499,291.2693,289.2537,477.5041
Cer-AS(d22:3/34:1)-H,854.7966,836.7859,822.7703,806.7754,348.2908,332.2959,521.494,520.5099,320.2959,503.4834,291.2693,289.2537,475.4884
Cer-AS(d22:3/34:2)-H,852.7809,834.7703,820.7547,804.7598,348.2908,332.2959,519.4783,518.4943,320.2959,501.4677,291.2693,289.2537,473.4728
Cer-AS(d22:3/35:0)-H,870.8278,852.8173,838.8016,822.8067,348.2908,332.2959,537.5252,536.5412,320.2959,519.5146,291.2693,289.2537,491.5197
Cer-AS(d22:3/35:1)-H,868.8122,850.8016,836.7859,820.7911,348.2908,332.2959,535.5096,534.5256,320.2959,517.499,291.2693,289.2537,489.5041
Cer-AS(d22:3/36:0)-H,884.8435,866.8329,852.8173,836.8223,348.2908,332.2959,551.5409,550.5569,320.2959,533.5303,291.2693,289.2537,505.5354
Cer-AS(d22:3/36:1)-H,882.8278,864.8173,850.8016,834.8067,348.2908,332.2959,549.5252,548.5412,320.2959,531.5146,291.2693,289.2537,503.5197
Cer-AS(d22:3/36:2)-H,880.8122,862.8016,848.7859,832.7911,348.2908,332.2959,547.5096,546.5256,320.2959,529.499,291.2693,289.2537,501.5041
Cer-AS(d22:3/38:0)-H,912.8748,894.8642,880.8486,864.8536,348.2908,332.2959,579.5722,578.5881,320.2959,561.5616,291.2693,289.2537,533.5667
Cer-AS(d22:3/38:1)-H,910.8591,892.8486,878.8329,862.838,348.2908,332.2959,577.5565,576.5725,320.2959,559.546,291.2693,289.2537,531.551
Cer-AS(d22:3/38:2)-H,908.8435,890.8329,876.8173,860.8223,348.2908,332.2959,575.5409,574.5569,320.2959,557.5303,291.2693,289.2537,529.5354
Cer-AS(d22:3/40:0)-H,940.9061,922.8955,908.8799,892.8849,348.2908,332.2959,607.6035,606.6194,320.2959,589.5929,291.2693,289.2537,561.598
Cer-AS(d22:3/40:1)-H,938.8904,920.8799,906.8642,890.8693,348.2908,332.2959,605.5878,604.6038,320.2959,587.5773,291.2693,289.2537,559.5823
Cer-AS(d22:3/40:2)-H,936.8748,918.8642,904.8486,888.8536,348.2908,332.2959,603.5722,602.5881,320.2959,585.5616,291.2693,289.2537,557.5667
Cer-AS(d22:3/42:0)-H,968.9374,950.9268,936.9112,920.9163,348.2908,332.2959,635.6348,634.6508,320.2959,617.6242,291.2693,289.2537,589.6293
Cer-AS(d22:3/42:1)-H,966.9218,948.9112,934.8955,918.9006,348.2908,332.2959,633.6191,632.6351,320.2959,615.6086,291.2693,289.2537,587.6136
Cer-AS(d22:3/42:2)-H,964.9061,946.8955,932.8799,916.8849,348.2908,332.2959,631.6035,630.6194,320.2959,613.5929,291.2693,289.2537,585.598
Cer-AS(d23:1/12:0)-H,566.5148,548.5043,534.4886,518.4937,366.3378,350.3428,215.1653,214.1813,338.3428,197.1547,309.3163,307.3006,169.1598
Cer-AS(d23:1/12:1)-H,564.4992,546.4886,532.473,516.478,366.3378,350.3428,213.1496,212.1656,338.3428,195.1391,309.3163,307.3006,167.1441
Cer-AS(d23:1/13:0)-H,580.5305,562.5199,548.5043,532.5093,366.3378,350.3428,229.1809,228.1969,338.3428,211.1704,309.3163,307.3006,183.1754
Cer-AS(d23:1/13:1)-H,578.5148,560.5043,546.4886,530.4937,366.3378,350.3428,227.1653,226.1813,338.3428,209.1547,309.3163,307.3006,181.1598
Cer-AS(d23:1/14:0)-H,594.5461,576.5356,562.5199,546.525,366.3378,350.3428,243.1966,242.2126,338.3428,225.186,309.3163,307.3006,197.1911
Cer-AS(d23:1/14:1)-H,592.5305,574.5199,560.5043,544.5093,366.3378,350.3428,241.1809,240.1969,338.3428,223.1704,309.3163,307.3006,195.1754
Cer-AS(d23:1/15:0)-H,608.5618,590.5512,576.5356,560.5406,366.3378,350.3428,257.2122,256.2282,338.3428,239.2017,309.3163,307.3006,211.2067
Cer-AS(d23:1/15:1)-H,606.5461,588.5356,574.5199,558.525,366.3378,350.3428,255.1966,254.2126,338.3428,237.186,309.3163,307.3006,209.1911
Cer-AS(d23:1/16:0)-H,622.5775,604.5669,590.5512,574.5563,366.3378,350.3428,271.2279,270.2439,338.3428,253.2173,309.3163,307.3006,225.2224
Cer-AS(d23:1/16:1)-H,620.5618,602.5512,588.5356,572.5406,366.3378,350.3428,269.2122,268.2282,338.3428,251.2017,309.3163,307.3006,223.2067
Cer-AS(d23:1/16:2)-H,618.5461,600.5356,586.5199,570.525,366.3378,350.3428,267.1966,266.2126,338.3428,249.186,309.3163,307.3006,221.1911
Cer-AS(d23:1/17:0)-H,636.5931,618.5825,604.5669,588.572,366.3378,350.3428,285.2435,284.2595,338.3428,267.233,309.3163,307.3006,239.238
Cer-AS(d23:1/18:0)-H,650.6088,632.5981,618.5825,602.5876,366.3378,350.3428,299.2592,298.2751,338.3428,281.2486,309.3163,307.3006,253.2537
Cer-AS(d23:1/18:1)-H,648.5931,630.5825,616.5669,600.572,366.3378,350.3428,297.2435,296.2595,338.3428,279.233,309.3163,307.3006,251.238
Cer-AS(d23:1/18:2)-H,646.5775,628.5669,614.5512,598.5563,366.3378,350.3428,295.2279,294.2439,338.3428,277.2173,309.3163,307.3006,249.2224
Cer-AS(d23:1/19:0)-H,664.6244,646.6138,632.5981,616.6033,366.3378,350.3428,313.2748,312.2908,338.3428,295.2643,309.3163,307.3006,267.2693
Cer-AS(d23:1/19:1)-H,662.6088,644.5981,630.5825,614.5876,366.3378,350.3428,311.2592,310.2751,338.3428,293.2486,309.3163,307.3006,265.2537
Cer-AS(d23:1/20:0)-H,678.64,660.6295,646.6138,630.6189,366.3378,350.3428,327.2905,326.3065,338.3428,309.2799,309.3163,307.3006,281.285
Cer-AS(d23:1/20:1)-H,676.6244,658.6138,644.5981,628.6033,366.3378,350.3428,325.2748,324.2908,338.3428,307.2643,309.3163,307.3006,279.2693
Cer-AS(d23:1/20:2)-H,674.6088,656.5981,642.5825,626.5876,366.3378,350.3428,323.2592,322.2751,338.3428,305.2486,309.3163,307.3006,277.2537
Cer-AS(d23:1/21:0)-H,692.6557,674.6451,660.6295,644.6345,366.3378,350.3428,341.3061,340.3221,338.3428,323.2956,309.3163,307.3006,295.3006
Cer-AS(d23:1/21:1)-H,690.64,672.6295,658.6138,642.6189,366.3378,350.3428,339.2905,338.3065,338.3428,321.2799,309.3163,307.3006,293.285
Cer-AS(d23:1/22:0)-H,706.6713,688.6608,674.6451,658.6502,366.3378,350.3428,355.3218,354.3378,338.3428,337.3112,309.3163,307.3006,309.3163
Cer-AS(d23:1/22:1)-H,704.6557,686.6451,672.6295,656.6345,366.3378,350.3428,353.3061,352.3221,338.3428,335.2956,309.3163,307.3006,307.3006
Cer-AS(d23:1/22:2)-H,702.64,684.6295,670.6138,654.6189,366.3378,350.3428,351.2905,350.3065,338.3428,333.2799,309.3163,307.3006,305.285
Cer-AS(d23:1/23:0)-H,720.687,702.6764,688.6608,672.6658,366.3378,350.3428,369.3374,368.3534,338.3428,351.3269,309.3163,307.3006,323.3319
Cer-AS(d23:1/23:1)-H,718.6713,700.6608,686.6451,670.6502,366.3378,350.3428,367.3218,366.3378,338.3428,349.3112,309.3163,307.3006,321.3163
Cer-AS(d23:1/24:0)-H,734.7026,716.6921,702.6764,686.6815,366.3378,350.3428,383.3531,382.369,338.3428,365.3425,309.3163,307.3006,337.3476
Cer-AS(d23:1/24:1)-H,732.687,714.6764,700.6608,684.6658,366.3378,350.3428,381.3374,380.3534,338.3428,363.3269,309.3163,307.3006,335.3319
Cer-AS(d23:1/24:2)-H,730.6713,712.6608,698.6451,682.6502,366.3378,350.3428,379.3218,378.3378,338.3428,361.3112,309.3163,307.3006,333.3163
Cer-AS(d23:1/25:0)-H,748.7183,730.7077,716.6921,700.6971,366.3378,350.3428,397.3687,396.3847,338.3428,379.3582,309.3163,307.3006,351.3633
Cer-AS(d23:1/25:1)-H,746.7026,728.6921,714.6764,698.6815,366.3378,350.3428,395.3531,394.369,338.3428,377.3425,309.3163,307.3006,349.3476
Cer-AS(d23:1/26:0)-H,762.7339,744.7234,730.7077,714.7128,366.3378,350.3428,411.3844,410.4004,338.3428,393.3738,309.3163,307.3006,365.3789
Cer-AS(d23:1/26:1)-H,760.7183,742.7077,728.6921,712.6971,366.3378,350.3428,409.3687,408.3847,338.3428,391.3582,309.3163,307.3006,363.3633
Cer-AS(d23:1/26:2)-H,758.7026,740.6921,726.6764,710.6815,366.3378,350.3428,407.3531,406.369,338.3428,389.3425,309.3163,307.3006,361.3476
Cer-AS(d23:1/27:0)-H,776.7496,758.739,744.7234,728.7285,366.3378,350.3428,425.4,424.416,338.3428,407.3895,309.3163,307.3006,379.3945
Cer-AS(d23:1/27:1)-H,774.7339,756.7234,742.7077,726.7128,366.3378,350.3428,423.3844,422.4004,338.3428,405.3738,309.3163,307.3006,377.3789
Cer-AS(d23:1/28:0)-H,790.7653,772.7547,758.739,742.7441,366.3378,350.3428,439.4157,438.4317,338.3428,421.4051,309.3163,307.3006,393.4102
Cer-AS(d23:1/28:1)-H,788.7496,770.739,756.7234,740.7285,366.3378,350.3428,437.4,436.416,338.3428,419.3895,309.3163,307.3006,391.3945
Cer-AS(d23:1/28:2)-H,786.7339,768.7234,754.7077,738.7128,366.3378,350.3428,435.3844,434.4004,338.3428,417.3738,309.3163,307.3006,389.3789
Cer-AS(d23:1/29:0)-H,804.7809,786.7703,772.7547,756.7598,366.3378,350.3428,453.4313,452.4473,338.3428,435.4207,309.3163,307.3006,407.4258
Cer-AS(d23:1/29:1)-H,802.7653,784.7547,770.739,754.7441,366.3378,350.3428,451.4157,450.4317,338.3428,433.4051,309.3163,307.3006,405.4102
Cer-AS(d23:1/30:0)-H,818.7966,800.7859,786.7703,770.7754,366.3378,350.3428,467.447,466.463,338.3428,449.4364,309.3163,307.3006,421.4415
Cer-AS(d23:1/30:1)-H,816.7809,798.7703,784.7547,768.7598,366.3378,350.3428,465.4313,464.4473,338.3428,447.4207,309.3163,307.3006,419.4258
Cer-AS(d23:1/30:2)-H,814.7653,796.7547,782.739,766.7441,366.3378,350.3428,463.4157,462.4317,338.3428,445.4051,309.3163,307.3006,417.4102
Cer-AS(d23:1/31:0)-H,832.8122,814.8016,800.7859,784.7911,366.3378,350.3428,481.4626,480.4786,338.3428,463.4521,309.3163,307.3006,435.4572
Cer-AS(d23:1/31:1)-H,830.7966,812.7859,798.7703,782.7754,366.3378,350.3428,479.447,478.463,338.3428,461.4364,309.3163,307.3006,433.4415
Cer-AS(d23:1/32:0)-H,846.8278,828.8173,814.8016,798.8067,366.3378,350.3428,495.4783,494.4943,338.3428,477.4677,309.3163,307.3006,449.4728
Cer-AS(d23:1/32:1)-H,844.8122,826.8016,812.7859,796.7911,366.3378,350.3428,493.4626,492.4786,338.3428,475.4521,309.3163,307.3006,447.4572
