HexCer-NDS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NDS(d15:0/30:0)+H,856.7606,694.7077,676.6971,658.6866,242.2478,224.2373,452.4826,212.2373
HexCer-NDS(d15:0/30:1)+H,854.7449,692.6921,674.6815,656.6709,242.2478,224.2373,450.4669,212.2373
HexCer-NDS(d15:0/30:2)+H,852.7292,690.6764,672.6658,654.6553,242.2478,224.2373,448.4513,212.2373
HexCer-NDS(d15:0/31:0)+H,870.7762,708.7234,690.7128,672.7022,242.2478,224.2373,466.4983,212.2373
HexCer-NDS(d15:0/31:1)+H,868.7606,706.7077,688.6971,670.6866,242.2478,224.2373,464.4826,212.2373
HexCer-NDS(d15:0/32:0)+H,884.7919,722.739,704.7285,686.7179,242.2478,224.2373,480.5139,212.2373
HexCer-NDS(d15:0/32:1)+H,882.7762,720.7234,702.7128,684.7022,242.2478,224.2373,478.4983,212.2373
HexCer-NDS(d15:0/32:2)+H,880.7606,718.7077,700.6971,682.6866,242.2478,224.2373,476.4826,212.2373
HexCer-NDS(d15:0/33:0)+H,898.8075,736.7546,718.7441,700.7335,242.2478,224.2373,494.5295,212.2373
HexCer-NDS(d15:0/33:1)+H,896.7919,734.739,716.7285,698.7179,242.2478,224.2373,492.5139,212.2373
HexCer-NDS(d15:0/34:0)+H,912.8231,750.7703,732.7598,714.7491,242.2478,224.2373,508.5452,212.2373
HexCer-NDS(d15:0/34:1)+H,910.8075,748.7546,730.7441,712.7335,242.2478,224.2373,506.5295,212.2373
HexCer-NDS(d15:0/34:2)+H,908.7919,746.739,728.7285,710.7179,242.2478,224.2373,504.5139,212.2373
HexCer-NDS(d15:0/35:0)+H,926.8388,764.7859,746.7754,728.7648,242.2478,224.2373,522.5609,212.2373
HexCer-NDS(d15:0/35:1)+H,924.8231,762.7703,744.7598,726.7491,242.2478,224.2373,520.5452,212.2373
HexCer-NDS(d15:0/36:0)+H,940.8544,778.8016,760.791,742.7805,242.2478,224.2373,536.5765,212.2373
HexCer-NDS(d15:0/36:1)+H,938.8388,776.7859,758.7754,740.7648,242.2478,224.2373,534.5609,212.2373
HexCer-NDS(d15:0/36:2)+H,936.8231,774.7703,756.7598,738.7491,242.2478,224.2373,532.5452,212.2373
HexCer-NDS(d15:0/38:0)+H,968.8857,806.8329,788.8223,770.8118,242.2478,224.2373,564.6078,212.2373
HexCer-NDS(d15:0/38:1)+H,966.8701,804.8173,786.8067,768.7961,242.2478,224.2373,562.5922,212.2373
HexCer-NDS(d15:0/38:2)+H,964.8544,802.8016,784.791,766.7805,242.2478,224.2373,560.5765,212.2373
