OxPC,[M+C2H3O2]-,[M-CH3]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1,C7H15NO5P
OxPC(18:1_20:4(1O(1Cyc)))+C2H3O2,880.5704,806.5336,317.2122,0.01,0.01,281.2479,224.0693
OxPC(18:1_20:4(2O))+C2H3O2,898.5809,824.5442,335.2228,317.2122,299.2017,281.2479,224.0693
OxPC(18:1_20:4(3O))+C2H3O2,914.5759,840.5391,351.2177,333.2072,315.1966,281.2479,224.0693
OxPC(18:1_20:4(3O(2Cyc)))+C2H3O2,914.5759,840.5391,351.2177,333.2072,0.01,281.2479,224.0693
OxPC(18:1_20:4(4O(1Cyc)))+C2H3O2,930.5707,856.534,367.2126,349.2021,331.1915,281.2479,224.0693
OxPC(18:1_20:4(4O(2Cyc)))+C2H3O2,930.5707,856.534,367.2126,349.2021,331.1915,281.2479,224.0693
OxPC(18:1_20:5(1O))+C2H3O2,880.5704,806.5336,317.2122,299.2017,0.01,281.2479,224.0693
OxPC(18:1_20:5(1O(1Cyc)))+C2H3O2,878.5547,804.5179,315.1966,0.01,0.01,281.2479,224.0693
OxPC(18:1_20:5(2O))+C2H3O2,896.5653,822.5285,333.2071,315.1966,297.186,281.2479,224.0693
OxPC(18:1_20:5(3O))+C2H3O2,912.5602,838.5234,349.2021,331.1915,313.1809,281.2479,224.0693
OxPC(18:1_20:5(3O(2Cyc)))+C2H3O2,912.5602,838.5234,349.2021,331.1915,0.01,281.2479,224.0693
OxPC(18:1_20:5(4O(2Cyc)))+C2H3O2,928.5551,854.5183,365.197,347.1864,329.1758,281.2479,224.0693
OxPC(18:1_22:5(1O(1Cyc)))+C2H3O2,906.5861,832.5493,343.2279,0.01,0.01,281.2479,224.0693
OxPC(18:1_22:5(2O))+C2H3O2,924.5966,850.5598,361.2384,343.2279,325.2173,281.2479,224.0693
OxPC(18:1_22:6(1O))+C2H3O2,906.5861,832.5493,343.2279,325.2173,0.01,281.2479,224.0693
OxPC(18:1_22:6(2O))+C2H3O2,922.5809,848.5442,359.2228,341.2122,323.2017,281.2479,224.0693
OxPC(18:1_22:6(3O))+C2H3O2,938.5759,864.5391,375.2177,357.2072,339.1966,281.2479,224.0693
OxPC(18:1_22:6(4O))+C2H3O2,954.5707,880.534,391.2126,373.2021,355.1915,281.2479,224.0693
