PEtOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C5H11O5P-H]-
PEtOH(13:0_22:5)-H,707.4657,511.2831,395.2206,329.2479,213.1853,181.0271
PEtOH(13:0_22:6)-H,705.45,509.2674,395.2205,327.2323,213.1853,181.0271
PEtOH(13:0_23:0)-H,731.5596,535.377,395.2206,353.3417,213.1853,181.0271
PEtOH(13:0_24:0)-H,745.5753,549.3927,395.2207,367.3574,213.1853,181.0271
PEtOH(13:0_24:1)-H,743.5596,547.377,395.2206,365.3417,213.1853,181.0271
PEtOH(13:0_24:2)-H,741.544,545.3615,395.2207,363.3261,213.1853,181.0271
PEtOH(13:0_24:4)-H,737.5127,541.3301,395.2206,359.2948,213.1853,181.0271
PEtOH(13:0_25:0)-H,759.5909,563.4083,395.2206,381.373,213.1853,181.0271
PEtOH(13:0_26:0)-H,773.6065,577.424,395.2206,395.3887,213.1853,181.0271
PEtOH(13:0_26:1)-H,771.5909,575.4083,395.2206,393.373,213.1853,181.0271
PEtOH(13:0_26:2)-H,769.5753,573.3927,395.2207,391.3574,213.1853,181.0271
PEtOH(13:0_26:4)-H,765.544,569.3615,395.2207,387.3261,213.1853,181.0271
PEtOH(13:0_27:0)-H,787.6222,591.4396,395.2207,409.4043,213.1853,181.0271
PEtOH(13:1_13:1)-H,587.3718,393.2049,393.2049,211.1697,211.1697,181.0271
PEtOH(14:0_13:1)-H,603.4031,393.2049,409.2361,211.1697,227.201,181.0271
PEtOH(13:1_14:1)-H,601.3875,407.2206,393.2049,225.1853,211.1697,181.0271
PEtOH(15:0_13:1)-H,617.4188,393.2049,423.2519,211.1697,241.2166,181.0271
PEtOH(13:1_15:1)-H,615.4031,421.2361,393.2049,239.201,211.1697,181.0271
PEtOH(16:0_13:1)-H,631.4344,393.2049,437.2675,211.1697,255.2323,181.0271
PEtOH(13:1_16:1)-H,629.4188,435.2519,393.2049,253.2166,211.1697,181.0271
PEtOH(13:1_16:2)-H,627.4031,433.2361,393.2049,251.201,211.1697,181.0271
PEtOH(13:1_16:3)-H,625.3875,431.2206,393.2049,249.1853,211.1697,181.0271
PEtOH(13:1_16:4)-H,623.3718,429.2049,393.2049,247.1697,211.1697,181.0271
PEtOH(17:0_13:1)-H,645.45,393.2049,451.2831,211.1697,269.2479,181.0271
PEtOH(13:1_17:1)-H,643.4344,449.2675,393.2049,267.2323,211.1697,181.0271
PEtOH(13:1_17:2)-H,641.4188,447.2519,393.2049,265.2166,211.1697,181.0271
PEtOH(18:0_13:1)-H,659.4657,393.2049,465.2988,211.1697,283.2635,181.0271
PEtOH(13:1_18:1)-H,657.45,463.2831,393.2049,281.2479,211.1697,181.0271
PEtOH(13:1_18:2)-H,655.4344,461.2675,393.2049,279.2323,211.1697,181.0271
PEtOH(13:1_18:3)-H,653.4188,459.2519,393.2049,277.2166,211.1697,181.0271
PEtOH(13:1_18:4)-H,651.4031,457.2361,393.2049,275.201,211.1697,181.0271
PEtOH(13:1_18:5)-H,649.3875,455.2206,393.2049,273.1853,211.1697,181.0271
PEtOH(19:0_13:1)-H,673.4813,393.2049,479.3144,211.1697,297.2792,181.0271
PEtOH(13:1_19:1)-H,671.4657,477.2988,393.2049,295.2635,211.1697,181.0271
PEtOH(13:1_19:2)-H,669.45,475.2831,393.2049,293.2479,211.1697,181.0271
PEtOH(20:0_13:1)-H,687.497,393.2049,493.33,211.1697,311.2948,181.0271
PEtOH(13:1_20:1)-H,685.4813,491.3144,393.2049,309.2792,211.1697,181.0271
PEtOH(13:1_20:2)-H,683.4657,489.2988,393.2049,307.2635,211.1697,181.0271
PEtOH(13:1_20:3)-H,681.45,487.2831,393.2049,305.2479,211.1697,181.0271
PEtOH(13:1_20:4)-H,679.4344,485.2675,393.2049,303.2323,211.1697,181.0271
PEtOH(13:1_20:5)-H,677.4188,483.2519,393.2049,301.2166,211.1697,181.0271
PEtOH(21:0_13:1)-H,701.5127,393.205,507.3458,211.1697,325.3105,181.0271
PEtOH(13:1_21:1)-H,699.497,505.33,393.2049,323.2948,211.1697,181.0271
PEtOH(13:1_21:2)-H,697.4813,503.3144,393.2049,321.2792,211.1697,181.0271
PEtOH(22:0_13:1)-H,715.5283,393.205,521.3614,211.1697,339.3261,181.0271
PEtOH(13:1_22:1)-H,713.5127,519.3458,393.205,337.3105,211.1697,181.0271
PEtOH(13:1_22:2)-H,711.497,517.3301,393.2049,335.2948,211.1697,181.0271
PEtOH(13:1_22:3)-H,709.4813,515.3143,393.2049,333.2792,211.1697,181.0271
PEtOH(13:1_22:4)-H,707.4657,513.2988,393.2049,331.2635,211.1697,181.0271
PEtOH(13:1_22:5)-H,705.45,511.2831,393.2049,329.2479,211.1697,181.0271
PEtOH(13:1_22:6)-H,703.4344,509.2675,393.2049,327.2323,211.1697,181.0271
PEtOH(23:0_13:1)-H,729.544,393.205,535.3771,211.1697,353.3417,181.0271
PEtOH(24:0_13:1)-H,743.5596,393.205,549.3926,211.1697,367.3574,181.0271
PEtOH(13:1_24:1)-H,741.544,547.3771,393.205,365.3417,211.1697,181.0271
PEtOH(13:1_24:2)-H,739.5283,545.3614,393.205,363.3261,211.1697,181.0271
PEtOH(13:1_24:4)-H,735.497,541.3301,393.2049,359.2948,211.1697,181.0271
PEtOH(25:0_13:1)-H,757.5753,393.205,563.4084,211.1697,381.373,181.0271
PEtOH(26:0_13:1)-H,771.5909,393.205,577.424,211.1697,395.3887,181.0271
PEtOH(13:1_26:1)-H,769.5753,575.4084,393.205,393.373,211.1697,181.0271
PEtOH(13:1_26:2)-H,767.5596,573.3926,393.205,391.3574,211.1697,181.0271
PEtOH(13:1_26:4)-H,763.5283,569.3614,393.205,387.3261,211.1697,181.0271
PEtOH(27:0_13:1)-H,785.6065,393.205,591.4396,211.1697,409.4043,181.0271
PEtOH(14:0_14:0)-H,619.4344,409.2362,409.2362,227.201,227.201,181.0271
PEtOH(14:0_14:1)-H,617.4188,407.2206,409.2362,225.1853,227.201,181.0271
PEtOH(14:0_15:0)-H,633.45,423.2518,409.2361,241.2166,227.201,181.0271
PEtOH(14:0_15:1)-H,631.4344,421.2362,409.2362,239.201,227.201,181.0271
PEtOH(14:0_16:0)-H,647.4657,437.2675,409.2362,255.2323,227.201,181.0271
PEtOH(14:0_16:1)-H,645.45,435.2518,409.2361,253.2166,227.201,181.0271
PEtOH(14:0_16:2)-H,643.4344,433.2362,409.2362,251.201,227.201,181.0271
PEtOH(14:0_16:3)-H,641.4188,431.2206,409.2362,249.1853,227.201,181.0271
PEtOH(14:0_16:4)-H,639.4031,429.2049,409.2361,247.1697,227.201,181.0271
PEtOH(14:0_17:0)-H,661.4813,451.2831,409.2361,269.2479,227.201,181.0271
PEtOH(14:0_17:1)-H,659.4657,449.2675,409.2362,267.2323,227.201,181.0271
PEtOH(14:0_17:2)-H,657.45,447.2518,409.2361,265.2166,227.201,181.0271
PEtOH(14:0_18:0)-H,675.497,465.2988,409.2362,283.2635,227.201,181.0271
PEtOH(14:0_18:1)-H,673.4813,463.2831,409.2361,281.2479,227.201,181.0271
PEtOH(14:0_18:2)-H,671.4657,461.2675,409.2362,279.2323,227.201,181.0271
PEtOH(14:0_18:3)-H,669.45,459.2518,409.2361,277.2166,227.201,181.0271
PEtOH(14:0_18:4)-H,667.4344,457.2362,409.2362,275.201,227.201,181.0271
PEtOH(14:0_18:5)-H,665.4188,455.2206,409.2362,273.1853,227.201,181.0271
PEtOH(14:0_19:0)-H,689.5127,479.3145,409.2363,297.2792,227.201,181.0271
PEtOH(14:0_19:1)-H,687.497,477.2988,409.2362,295.2635,227.201,181.0271
PEtOH(14:0_19:2)-H,685.4813,475.2831,409.2361,293.2479,227.201,181.0271
PEtOH(14:0_20:0)-H,703.5283,493.3301,409.2362,311.2948,227.201,181.0271
PEtOH(14:0_20:1)-H,701.5127,491.3145,409.2363,309.2792,227.201,181.0271
PEtOH(14:0_20:2)-H,699.497,489.2988,409.2362,307.2635,227.201,181.0271
PEtOH(14:0_20:3)-H,697.4813,487.2831,409.2361,305.2479,227.201,181.0271
PEtOH(14:0_20:4)-H,695.4657,485.2675,409.2362,303.2323,227.201,181.0271
PEtOH(14:0_20:5)-H,693.45,483.2518,409.2361,301.2166,227.201,181.0271
PEtOH(14:0_21:0)-H,717.544,507.3458,409.2363,325.3105,227.201,181.0271
PEtOH(14:0_21:1)-H,715.5283,505.3301,409.2362,323.2948,227.201,181.0271
PEtOH(14:0_21:2)-H,713.5127,503.3145,409.2363,321.2792,227.201,181.0271
PEtOH(14:0_22:0)-H,731.5596,521.3614,409.2363,339.3261,227.201,181.0271
PEtOH(14:0_22:1)-H,729.544,519.3458,409.2363,337.3105,227.201,181.0271
PEtOH(14:0_22:2)-H,727.5283,517.3301,409.2362,335.2948,227.201,181.0271
PEtOH(14:0_22:3)-H,725.5127,515.3145,409.2363,333.2792,227.201,181.0271
PEtOH(14:0_22:4)-H,723.497,513.2988,409.2362,331.2635,227.201,181.0271
PEtOH(14:0_22:5)-H,721.4813,511.2831,409.2361,329.2479,227.201,181.0271
PEtOH(14:0_22:6)-H,719.4657,509.2675,409.2362,327.2323,227.201,181.0271
PEtOH(14:0_23:0)-H,745.5753,535.3771,409.2363,353.3417,227.201,181.0271
PEtOH(14:0_24:0)-H,759.5909,549.3927,409.2363,367.3574,227.201,181.0271
PEtOH(14:0_24:1)-H,757.5753,547.3771,409.2363,365.3417,227.201,181.0271
PEtOH(14:0_24:2)-H,755.5596,545.3614,409.2363,363.3261,227.201,181.0271
PEtOH(14:0_24:4)-H,751.5283,541.3301,409.2362,359.2948,227.201,181.0271
PEtOH(14:0_25:0)-H,773.6065,563.4083,409.2362,381.373,227.201,181.0271
PEtOH(14:0_26:0)-H,787.6222,577.424,409.2363,395.3887,227.201,181.0271
PEtOH(14:0_26:1)-H,785.6065,575.4083,409.2362,393.373,227.201,181.0271
PEtOH(14:0_26:2)-H,783.5909,573.3927,409.2363,391.3574,227.201,181.0271
PEtOH(14:0_26:4)-H,779.5596,569.3614,409.2363,387.3261,227.201,181.0271
PEtOH(14:0_27:0)-H,801.6378,591.4396,409.2363,409.4043,227.201,181.0271
PEtOH(14:1_14:1)-H,615.4031,407.2205,407.2205,225.1853,225.1853,181.0271
PEtOH(15:0_14:1)-H,631.4344,407.2206,423.2518,225.1853,241.2166,181.0271
PEtOH(14:1_15:1)-H,629.4188,421.2362,407.2206,239.201,225.1853,181.0271
PEtOH(16:0_14:1)-H,645.45,407.2205,437.2674,225.1853,255.2323,181.0271
PEtOH(14:1_16:1)-H,643.4344,435.2518,407.2206,253.2166,225.1853,181.0271
PEtOH(14:1_16:2)-H,641.4188,433.2362,407.2206,251.201,225.1853,181.0271
PEtOH(14:1_16:3)-H,639.4031,431.2205,407.2205,249.1853,225.1853,181.0271
PEtOH(14:1_16:4)-H,637.3875,429.2049,407.2206,247.1697,225.1853,181.0271
PEtOH(17:0_14:1)-H,659.4657,407.2206,451.2831,225.1853,269.2479,181.0271
PEtOH(14:1_17:1)-H,657.45,449.2674,407.2205,267.2323,225.1853,181.0271
PEtOH(14:1_17:2)-H,655.4344,447.2518,407.2206,265.2166,225.1853,181.0271
PEtOH(18:0_14:1)-H,673.4813,407.2205,465.2987,225.1853,283.2635,181.0271
PEtOH(14:1_18:1)-H,671.4657,463.2831,407.2206,281.2479,225.1853,181.0271
PEtOH(14:1_18:2)-H,669.45,461.2674,407.2205,279.2323,225.1853,181.0271
PEtOH(14:1_18:3)-H,667.4344,459.2518,407.2206,277.2166,225.1853,181.0271
PEtOH(14:1_18:4)-H,665.4188,457.2362,407.2206,275.201,225.1853,181.0271
PEtOH(14:1_18:5)-H,663.4031,455.2205,407.2205,273.1853,225.1853,181.0271
PEtOH(19:0_14:1)-H,687.497,407.2206,479.3144,225.1853,297.2792,181.0271
PEtOH(14:1_19:1)-H,685.4813,477.2987,407.2205,295.2635,225.1853,181.0271
PEtOH(14:1_19:2)-H,683.4657,475.2831,407.2206,293.2479,225.1853,181.0271
PEtOH(20:0_14:1)-H,701.5127,407.2206,493.3301,225.1853,311.2948,181.0271
PEtOH(14:1_20:1)-H,699.497,491.3144,407.2206,309.2792,225.1853,181.0271
PEtOH(14:1_20:2)-H,697.4813,489.2987,407.2205,307.2635,225.1853,181.0271
PEtOH(14:1_20:3)-H,695.4657,487.2831,407.2206,305.2479,225.1853,181.0271
PEtOH(14:1_20:4)-H,693.45,485.2674,407.2205,303.2323,225.1853,181.0271
PEtOH(14:1_20:5)-H,691.4344,483.2518,407.2206,301.2166,225.1853,181.0271
PEtOH(21:0_14:1)-H,715.5283,407.2206,507.3457,225.1853,325.3105,181.0271
PEtOH(14:1_21:1)-H,713.5127,505.3301,407.2206,323.2948,225.1853,181.0271
PEtOH(14:1_21:2)-H,711.497,503.3144,407.2206,321.2792,225.1853,181.0271
PEtOH(22:0_14:1)-H,729.544,407.2207,521.3615,225.1853,339.3261,181.0271
PEtOH(14:1_22:1)-H,727.5283,519.3457,407.2206,337.3105,225.1853,181.0271
PEtOH(14:1_22:2)-H,725.5127,517.3301,407.2206,335.2948,225.1853,181.0271
PEtOH(14:1_22:3)-H,723.497,515.3144,407.2206,333.2792,225.1853,181.0271
PEtOH(14:1_22:4)-H,721.4813,513.2987,407.2205,331.2635,225.1853,181.0271
PEtOH(14:1_22:5)-H,719.4657,511.2831,407.2206,329.2479,225.1853,181.0271
PEtOH(14:1_22:6)-H,717.45,509.2674,407.2205,327.2323,225.1853,181.0271
PEtOH(23:0_14:1)-H,743.5596,407.2206,535.377,225.1853,353.3417,181.0271
PEtOH(24:0_14:1)-H,757.5753,407.2207,549.3927,225.1853,367.3574,181.0271
PEtOH(14:1_24:1)-H,755.5596,547.377,407.2206,365.3417,225.1853,181.0271
PEtOH(14:1_24:2)-H,753.544,545.3615,407.2207,363.3261,225.1853,181.0271
PEtOH(14:1_24:4)-H,749.5127,541.3301,407.2206,359.2948,225.1853,181.0271
PEtOH(25:0_14:1)-H,771.5909,407.2206,563.4083,225.1853,381.373,181.0271
PEtOH(26:0_14:1)-H,785.6065,407.2206,577.424,225.1853,395.3887,181.0271
PEtOH(14:1_26:1)-H,783.5909,575.4083,407.2206,393.373,225.1853,181.0271
PEtOH(14:1_26:2)-H,781.5753,573.3927,407.2207,391.3574,225.1853,181.0271
PEtOH(14:1_26:4)-H,777.544,569.3615,407.2207,387.3261,225.1853,181.0271
PEtOH(27:0_14:1)-H,799.6222,407.2207,591.4396,225.1853,409.4043,181.0271
PEtOH(15:0_15:0)-H,647.4657,423.2518,423.2518,241.2166,241.2166,181.0271
PEtOH(15:0_15:1)-H,645.45,421.2361,423.2518,239.201,241.2166,181.0271
PEtOH(15:0_16:0)-H,661.4813,437.2674,423.2518,255.2323,241.2166,181.0271
PEtOH(15:0_16:1)-H,659.4657,435.2518,423.2518,253.2166,241.2166,181.0271
PEtOH(15:0_16:2)-H,657.45,433.2361,423.2518,251.201,241.2166,181.0271
PEtOH(15:0_16:3)-H,655.4344,431.2206,423.2518,249.1853,241.2166,181.0271
PEtOH(15:0_16:4)-H,653.4188,429.2049,423.2519,247.1697,241.2166,181.0271
PEtOH(15:0_17:0)-H,675.497,451.2831,423.2519,269.2479,241.2166,181.0271
PEtOH(15:0_17:1)-H,673.4813,449.2674,423.2518,267.2323,241.2166,181.0271
PEtOH(15:0_17:2)-H,671.4657,447.2518,423.2518,265.2166,241.2166,181.0271
PEtOH(15:0_18:0)-H,689.5127,465.2988,423.2519,283.2635,241.2166,181.0271
PEtOH(15:0_18:1)-H,687.497,463.2831,423.2519,281.2479,241.2166,181.0271
PEtOH(15:0_18:2)-H,685.4813,461.2674,423.2518,279.2323,241.2166,181.0271
PEtOH(15:0_18:3)-H,683.4657,459.2518,423.2518,277.2166,241.2166,181.0271
PEtOH(15:0_18:4)-H,681.45,457.2361,423.2518,275.201,241.2166,181.0271
PEtOH(15:0_18:5)-H,679.4344,455.2206,423.2518,273.1853,241.2166,181.0271
PEtOH(15:0_19:0)-H,703.5283,479.3145,423.2519,297.2792,241.2166,181.0271
PEtOH(15:0_19:1)-H,701.5127,477.2988,423.2519,295.2635,241.2166,181.0271
PEtOH(15:0_19:2)-H,699.497,475.2831,423.2519,293.2479,241.2166,181.0271
PEtOH(15:0_20:0)-H,717.544,493.3301,423.252,311.2948,241.2166,181.0271
PEtOH(15:0_20:1)-H,715.5283,491.3145,423.2519,309.2792,241.2166,181.0271
PEtOH(15:0_20:2)-H,713.5127,489.2988,423.2519,307.2635,241.2166,181.0271
PEtOH(15:0_20:3)-H,711.497,487.2831,423.2519,305.2479,241.2166,181.0271
PEtOH(15:0_20:4)-H,709.4813,485.2674,423.2518,303.2323,241.2166,181.0271
PEtOH(15:0_20:5)-H,707.4657,483.2518,423.2518,301.2166,241.2166,181.0271
PEtOH(15:0_21:0)-H,731.5596,507.3457,423.2519,325.3105,241.2166,181.0271
PEtOH(15:0_21:1)-H,729.544,505.3301,423.252,323.2948,241.2166,181.0271
PEtOH(15:0_21:2)-H,727.5283,503.3145,423.2519,321.2792,241.2166,181.0271
PEtOH(15:0_22:0)-H,745.5753,521.3615,423.252,339.3261,241.2166,181.0271
PEtOH(15:0_22:1)-H,743.5596,519.3458,423.2519,337.3105,241.2166,181.0271
PEtOH(15:0_22:2)-H,741.544,517.3301,423.252,335.2948,241.2166,181.0271
PEtOH(15:0_22:3)-H,739.5283,515.3145,423.2519,333.2792,241.2166,181.0271
PEtOH(15:0_22:4)-H,737.5127,513.2988,423.2519,331.2635,241.2166,181.0271
PEtOH(15:0_22:5)-H,735.497,511.2831,423.2519,329.2479,241.2166,181.0271
PEtOH(15:0_22:6)-H,733.4813,509.2674,423.2518,327.2323,241.2166,181.0271
PEtOH(15:0_23:0)-H,759.5909,535.377,423.2519,353.3417,241.2166,181.0271
PEtOH(15:0_24:0)-H,773.6065,549.3926,423.2519,367.3574,241.2166,181.0271
PEtOH(15:0_24:1)-H,771.5909,547.377,423.2519,365.3417,241.2166,181.0271
PEtOH(15:0_24:2)-H,769.5753,545.3615,423.252,363.3261,241.2166,181.0271
PEtOH(15:0_24:4)-H,765.544,541.3301,423.252,359.2948,241.2166,181.0271
PEtOH(15:0_25:0)-H,787.6222,563.4083,423.252,381.373,241.2166,181.0271
PEtOH(15:0_26:0)-H,801.6378,577.424,423.2519,395.3887,241.2166,181.0271
PEtOH(15:0_26:1)-H,799.6222,575.4083,423.252,393.373,241.2166,181.0271
PEtOH(15:0_26:2)-H,797.6065,573.3926,423.2519,391.3574,241.2166,181.0271
PEtOH(15:0_26:4)-H,793.5753,569.3615,423.252,387.3261,241.2166,181.0271
PEtOH(15:0_27:0)-H,815.6535,591.4396,423.252,409.4043,241.2166,181.0271
PEtOH(15:1_15:1)-H,643.4344,421.2362,421.2362,239.201,239.201,181.0271
PEtOH(16:0_15:1)-H,659.4657,421.2362,437.2675,239.201,255.2323,181.0271
PEtOH(15:1_16:1)-H,657.45,435.2518,421.2361,253.2166,239.201,181.0271
PEtOH(15:1_16:2)-H,655.4344,433.2362,421.2362,251.201,239.201,181.0271
PEtOH(15:1_16:3)-H,653.4188,431.2206,421.2362,249.1853,239.201,181.0271
PEtOH(15:1_16:4)-H,651.4031,429.2049,421.2361,247.1697,239.201,181.0271
PEtOH(17:0_15:1)-H,673.4813,421.2361,451.2831,239.201,269.2479,181.0271
PEtOH(15:1_17:1)-H,671.4657,449.2675,421.2362,267.2323,239.201,181.0271
PEtOH(15:1_17:2)-H,669.45,447.2518,421.2361,265.2166,239.201,181.0271
