Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d21:0/19:1)+H,622.6133,604.6027,586.5921,326.3417,308.3312,296.2948,296.3312
Cer-NDS(d21:0/20:0)+H,638.6446,620.634,602.6234,326.3417,308.3312,312.3261,296.3312
Cer-NDS(d21:0/20:1)+H,636.6289,618.6183,600.6078,326.3417,308.3312,310.3105,296.3312
Cer-NDS(d21:0/20:2)+H,634.6133,616.6027,598.5921,326.3417,308.3312,308.2948,296.3312
Cer-NDS(d21:0/21:0)+H,652.6602,634.6497,616.6391,326.3417,308.3312,326.3417,296.3312
Cer-NDS(d21:0/21:1)+H,650.6446,632.634,614.6234,326.3417,308.3312,324.3261,296.3312
Cer-NDS(d21:0/22:0)+H,666.6758,648.6653,630.6547,326.3417,308.3312,340.3574,296.3312
Cer-NDS(d21:0/22:1)+H,664.6602,646.6497,628.6391,326.3417,308.3312,338.3417,296.3312
Cer-NDS(d21:0/22:2)+H,662.6446,644.634,626.6234,326.3417,308.3312,336.3261,296.3312
Cer-NDS(d21:0/23:0)+H,680.6915,662.681,644.6704,326.3417,308.3312,354.373,296.3312
Cer-NDS(d21:0/23:1)+H,678.6758,660.6653,642.6547,326.3417,308.3312,352.3574,296.3312
Cer-NDS(d21:0/24:0)+H,694.7072,676.6966,658.686,326.3417,308.3312,368.3887,296.3312
Cer-NDS(d21:0/24:1)+H,692.6915,674.681,656.6704,326.3417,308.3312,366.373,296.3312
Cer-NDS(d21:0/24:2)+H,690.6758,672.6653,654.6547,326.3417,308.3312,364.3574,296.3312
Cer-NDS(d21:0/25:0)+H,708.7228,690.7123,672.7017,326.3417,308.3312,382.4044,296.3312
Cer-NDS(d21:0/25:1)+H,706.7072,688.6966,670.686,326.3417,308.3312,380.3887,296.3312
Cer-NDS(d21:0/26:0)+H,722.7385,704.7279,686.7173,326.3417,308.3312,396.42,296.3312
Cer-NDS(d21:0/26:1)+H,720.7228,702.7123,684.7017,326.3417,308.3312,394.4044,296.3312
Cer-NDS(d21:0/26:2)+H,718.7072,700.6966,682.686,326.3417,308.3312,392.3887,296.3312
Cer-NDS(d21:0/27:0)+H,736.7542,718.7435,700.733,326.3417,308.3312,410.4356,296.3312
Cer-NDS(d21:0/27:1)+H,734.7385,716.7279,698.7173,326.3417,308.3312,408.42,296.3312
Cer-NDS(d21:0/28:0)+H,750.7698,732.7592,714.7487,326.3417,308.3312,424.4513,296.3312
Cer-NDS(d21:0/28:1)+H,748.7542,730.7435,712.733,326.3417,308.3312,422.4356,296.3312
Cer-NDS(d21:0/28:2)+H,746.7385,728.7279,710.7173,326.3417,308.3312,420.42,296.3312
Cer-NDS(d21:0/29:0)+H,764.7854,746.7748,728.7643,326.3417,308.3312,438.4669,296.3312
Cer-NDS(d21:0/29:1)+H,762.7698,744.7592,726.7487,326.3417,308.3312,436.4513,296.3312
Cer-NDS(d21:0/30:0)+H,778.8011,760.7905,742.7799,326.3417,308.3312,452.4826,296.3312
Cer-NDS(d21:0/30:1)+H,776.7854,758.7748,740.7643,326.3417,308.3312,450.4669,296.3312
Cer-NDS(d21:0/30:2)+H,774.7698,756.7592,738.7487,326.3417,308.3312,448.4513,296.3312
Cer-NDS(d21:0/31:0)+H,792.8167,774.8062,756.7956,326.3417,308.3312,466.4983,296.3312
Cer-NDS(d21:0/31:1)+H,790.8011,772.7905,754.7799,326.3417,308.3312,464.4826,296.3312
Cer-NDS(d21:0/32:0)+H,806.8324,788.8218,770.8112,326.3417,308.3312,480.5139,296.3312
Cer-NDS(d21:0/32:1)+H,804.8167,786.8062,768.7956,326.3417,308.3312,478.4983,296.3312
Cer-NDS(d21:0/32:2)+H,802.8011,784.7905,766.7799,326.3417,308.3312,476.4826,296.3312
Cer-NDS(d21:0/33:0)+H,820.848,802.8375,784.8269,326.3417,308.3312,494.5295,296.3312
Cer-NDS(d21:0/33:1)+H,818.8324,800.8218,782.8112,326.3417,308.3312,492.5139,296.3312
Cer-NDS(d21:0/34:0)+H,834.8636,816.8531,798.8425,326.3417,308.3312,508.5452,296.3312
Cer-NDS(d21:0/34:1)+H,832.848,814.8375,796.8269,326.3417,308.3312,506.5295,296.3312
Cer-NDS(d21:0/34:2)+H,830.8324,812.8218,794.8112,326.3417,308.3312,504.5139,296.3312
Cer-NDS(d21:0/35:0)+H,848.8793,830.8688,812.8582,326.3417,308.3312,522.5609,296.3312
Cer-NDS(d21:0/35:1)+H,846.8636,828.8531,810.8425,326.3417,308.3312,520.5452,296.3312
Cer-NDS(d21:0/36:0)+H,862.895,844.8844,826.8738,326.3417,308.3312,536.5765,296.3312
Cer-NDS(d21:0/36:1)+H,860.8793,842.8688,824.8582,326.3417,308.3312,534.5609,296.3312
Cer-NDS(d21:0/36:2)+H,858.8636,840.8531,822.8425,326.3417,308.3312,532.5452,296.3312
Cer-NDS(d21:0/38:0)+H,890.9263,872.9157,854.9052,326.3417,308.3312,564.6078,296.3312
Cer-NDS(d21:0/38:1)+H,888.9106,870.9,852.8895,326.3417,308.3312,562.5922,296.3312
Cer-NDS(d21:0/38:2)+H,886.895,868.8844,850.8738,326.3417,308.3312,560.5765,296.3312
Cer-NDS(d21:0/40:0)+H,918.9576,900.947,882.9364,326.3417,308.3312,592.6391,296.3312
Cer-NDS(d21:0/40:1)+H,916.9419,898.9313,880.9208,326.3417,308.3312,590.6235,296.3312
Cer-NDS(d21:0/40:2)+H,914.9263,896.9157,878.9052,326.3417,308.3312,588.6078,296.3312
Cer-NDS(d21:0/42:0)+H,946.9889,928.9783,910.9677,326.3417,308.3312,620.6704,296.3312
Cer-NDS(d21:0/42:1)+H,944.9732,926.9626,908.9521,326.3417,308.3312,618.6547,296.3312
Cer-NDS(d21:0/42:2)+H,942.9576,924.947,906.9364,326.3417,308.3312,616.6391,296.3312
Cer-NDS(d22:0/12:0)+H,540.535,522.5245,504.5139,340.3574,322.3468,200.2009,310.3468
Cer-NDS(d22:0/12:1)+H,538.5193,520.5088,502.4982,340.3574,322.3468,198.1853,310.3468
Cer-NDS(d22:0/13:0)+H,554.5507,536.5401,518.5295,340.3574,322.3468,214.2166,310.3468
Cer-NDS(d22:0/13:1)+H,552.535,534.5245,516.5139,340.3574,322.3468,212.2009,310.3468
Cer-NDS(d22:0/14:0)+H,568.5663,550.5557,532.5452,340.3574,322.3468,228.2322,310.3468
Cer-NDS(d22:0/14:1)+H,566.5507,548.5401,530.5295,340.3574,322.3468,226.2166,310.3468
Cer-NDS(d22:0/15:0)+H,582.582,564.5714,546.5609,340.3574,322.3468,242.2478,310.3468
Cer-NDS(d22:0/15:1)+H,580.5663,562.5557,544.5452,340.3574,322.3468,240.2322,310.3468
Cer-NDS(d22:0/16:0)+H,596.5976,578.587,560.5765,340.3574,322.3468,256.2635,310.3468
Cer-NDS(d22:0/16:1)+H,594.582,576.5714,558.5609,340.3574,322.3468,254.2478,310.3468
Cer-NDS(d22:0/16:2)+H,592.5663,574.5557,556.5452,340.3574,322.3468,252.2322,310.3468
Cer-NDS(d22:0/17:0)+H,610.6133,592.6027,574.5921,340.3574,322.3468,270.2791,310.3468
Cer-NDS(d22:0/18:0)+H,624.6289,606.6183,588.6078,340.3574,322.3468,284.2948,310.3468
Cer-NDS(d22:0/18:1)+H,622.6133,604.6027,586.5921,340.3574,322.3468,282.2791,310.3468
Cer-NDS(d22:0/18:2)+H,620.5976,602.587,584.5765,340.3574,322.3468,280.2635,310.3468
Cer-NDS(d22:0/19:0)+H,638.6446,620.634,602.6234,340.3574,322.3468,298.3105,310.3468
Cer-NDS(d22:0/19:1)+H,636.6289,618.6183,600.6078,340.3574,322.3468,296.2948,310.3468
Cer-NDS(d22:0/20:0)+H,652.6602,634.6497,616.6391,340.3574,322.3468,312.3261,310.3468
Cer-NDS(d22:0/20:1)+H,650.6446,632.634,614.6234,340.3574,322.3468,310.3105,310.3468
Cer-NDS(d22:0/20:2)+H,648.6289,630.6183,612.6078,340.3574,322.3468,308.2948,310.3468
Cer-NDS(d22:0/21:0)+H,666.6758,648.6653,630.6547,340.3574,322.3468,326.3417,310.3468
Cer-NDS(d22:0/21:1)+H,664.6602,646.6497,628.6391,340.3574,322.3468,324.3261,310.3468
Cer-NDS(d22:0/22:0)+H,680.6915,662.681,644.6704,340.3574,322.3468,340.3574,310.3468
Cer-NDS(d22:0/22:1)+H,678.6758,660.6653,642.6547,340.3574,322.3468,338.3417,310.3468
Cer-NDS(d22:0/22:2)+H,676.6602,658.6497,640.6391,340.3574,322.3468,336.3261,310.3468
Cer-NDS(d22:0/23:0)+H,694.7072,676.6966,658.686,340.3574,322.3468,354.373,310.3468
Cer-NDS(d22:0/23:1)+H,692.6915,674.681,656.6704,340.3574,322.3468,352.3574,310.3468
Cer-NDS(d22:0/24:0)+H,708.7228,690.7123,672.7017,340.3574,322.3468,368.3887,310.3468
Cer-NDS(d22:0/24:1)+H,706.7072,688.6966,670.686,340.3574,322.3468,366.373,310.3468
Cer-NDS(d22:0/24:2)+H,704.6915,686.681,668.6704,340.3574,322.3468,364.3574,310.3468
Cer-NDS(d22:0/25:0)+H,722.7385,704.7279,686.7173,340.3574,322.3468,382.4044,310.3468
Cer-NDS(d22:0/25:1)+H,720.7228,702.7123,684.7017,340.3574,322.3468,380.3887,310.3468
Cer-NDS(d22:0/26:0)+H,736.7542,718.7435,700.733,340.3574,322.3468,396.42,310.3468
Cer-NDS(d22:0/26:1)+H,734.7385,716.7279,698.7173,340.3574,322.3468,394.4044,310.3468
Cer-NDS(d22:0/26:2)+H,732.7228,714.7123,696.7017,340.3574,322.3468,392.3887,310.3468
Cer-NDS(d22:0/27:0)+H,750.7698,732.7592,714.7487,340.3574,322.3468,410.4356,310.3468
Cer-NDS(d22:0/27:1)+H,748.7542,730.7435,712.733,340.3574,322.3468,408.42,310.3468
Cer-NDS(d22:0/28:0)+H,764.7854,746.7748,728.7643,340.3574,322.3468,424.4513,310.3468
Cer-NDS(d22:0/28:1)+H,762.7698,744.7592,726.7487,340.3574,322.3468,422.4356,310.3468
Cer-NDS(d22:0/28:2)+H,760.7542,742.7435,724.733,340.3574,322.3468,420.42,310.3468
Cer-NDS(d22:0/29:0)+H,778.8011,760.7905,742.7799,340.3574,322.3468,438.4669,310.3468
Cer-NDS(d22:0/29:1)+H,776.7854,758.7748,740.7643,340.3574,322.3468,436.4513,310.3468
Cer-NDS(d22:0/30:0)+H,792.8167,774.8062,756.7956,340.3574,322.3468,452.4826,310.3468
Cer-NDS(d22:0/30:1)+H,790.8011,772.7905,754.7799,340.3574,322.3468,450.4669,310.3468
Cer-NDS(d22:0/30:2)+H,788.7854,770.7748,752.7643,340.3574,322.3468,448.4513,310.3468
Cer-NDS(d22:0/31:0)+H,806.8324,788.8218,770.8112,340.3574,322.3468,466.4983,310.3468
Cer-NDS(d22:0/31:1)+H,804.8167,786.8062,768.7956,340.3574,322.3468,464.4826,310.3468
Cer-NDS(d22:0/32:0)+H,820.848,802.8375,784.8269,340.3574,322.3468,480.5139,310.3468
Cer-NDS(d22:0/32:1)+H,818.8324,800.8218,782.8112,340.3574,322.3468,478.4983,310.3468
Cer-NDS(d22:0/32:2)+H,816.8167,798.8062,780.7956,340.3574,322.3468,476.4826,310.3468
Cer-NDS(d22:0/33:0)+H,834.8636,816.8531,798.8425,340.3574,322.3468,494.5295,310.3468
Cer-NDS(d22:0/33:1)+H,832.848,814.8375,796.8269,340.3574,322.3468,492.5139,310.3468
Cer-NDS(d22:0/34:0)+H,848.8793,830.8688,812.8582,340.3574,322.3468,508.5452,310.3468
Cer-NDS(d22:0/34:1)+H,846.8636,828.8531,810.8425,340.3574,322.3468,506.5295,310.3468
Cer-NDS(d22:0/34:2)+H,844.848,826.8375,808.8269,340.3574,322.3468,504.5139,310.3468
Cer-NDS(d22:0/35:0)+H,862.895,844.8844,826.8738,340.3574,322.3468,522.5609,310.3468
Cer-NDS(d22:0/35:1)+H,860.8793,842.8688,824.8582,340.3574,322.3468,520.5452,310.3468
Cer-NDS(d22:0/36:0)+H,876.9106,858.9,840.8895,340.3574,322.3468,536.5765,310.3468
Cer-NDS(d22:0/36:1)+H,874.895,856.8844,838.8738,340.3574,322.3468,534.5609,310.3468
Cer-NDS(d22:0/36:2)+H,872.8793,854.8688,836.8582,340.3574,322.3468,532.5452,310.3468
Cer-NDS(d22:0/38:0)+H,904.9419,886.9313,868.9208,340.3574,322.3468,564.6078,310.3468
Cer-NDS(d22:0/38:1)+H,902.9263,884.9157,866.9052,340.3574,322.3468,562.5922,310.3468
Cer-NDS(d22:0/38:2)+H,900.9106,882.9,864.8895,340.3574,322.3468,560.5765,310.3468
Cer-NDS(d22:0/40:0)+H,932.9732,914.9626,896.9521,340.3574,322.3468,592.6391,310.3468
Cer-NDS(d22:0/40:1)+H,930.9576,912.947,894.9364,340.3574,322.3468,590.6235,310.3468
Cer-NDS(d22:0/40:2)+H,928.9419,910.9313,892.9208,340.3574,322.3468,588.6078,310.3468
Cer-NDS(d22:0/42:0)+H,961.0045,942.994,924.9834,340.3574,322.3468,620.6704,310.3468
Cer-NDS(d22:0/42:1)+H,958.9889,940.9783,922.9677,340.3574,322.3468,618.6547,310.3468
Cer-NDS(d22:0/42:2)+H,956.9732,938.9626,920.9521,340.3574,322.3468,616.6391,310.3468
Cer-NDS(d23:0/12:0)+H,554.5507,536.5401,518.5295,354.373,336.3625,200.2009,324.3625
Cer-NDS(d23:0/12:1)+H,552.535,534.5245,516.5139,354.373,336.3625,198.1853,324.3625
Cer-NDS(d23:0/13:0)+H,568.5663,550.5557,532.5452,354.373,336.3625,214.2166,324.3625
Cer-NDS(d23:0/13:1)+H,566.5507,548.5401,530.5295,354.373,336.3625,212.2009,324.3625
Cer-NDS(d23:0/14:0)+H,582.582,564.5714,546.5609,354.373,336.3625,228.2322,324.3625
Cer-NDS(d23:0/14:1)+H,580.5663,562.5557,544.5452,354.373,336.3625,226.2166,324.3625
Cer-NDS(d23:0/15:0)+H,596.5976,578.587,560.5765,354.373,336.3625,242.2478,324.3625
Cer-NDS(d23:0/15:1)+H,594.582,576.5714,558.5609,354.373,336.3625,240.2322,324.3625
Cer-NDS(d23:0/16:0)+H,610.6133,592.6027,574.5921,354.373,336.3625,256.2635,324.3625
Cer-NDS(d23:0/16:1)+H,608.5976,590.587,572.5765,354.373,336.3625,254.2478,324.3625
Cer-NDS(d23:0/16:2)+H,606.582,588.5714,570.5609,354.373,336.3625,252.2322,324.3625
Cer-NDS(d23:0/17:0)+H,624.6289,606.6183,588.6078,354.373,336.3625,270.2791,324.3625
Cer-NDS(d23:0/18:0)+H,638.6446,620.634,602.6234,354.373,336.3625,284.2948,324.3625
Cer-NDS(d23:0/18:1)+H,636.6289,618.6183,600.6078,354.373,336.3625,282.2791,324.3625
Cer-NDS(d23:0/18:2)+H,634.6133,616.6027,598.5921,354.373,336.3625,280.2635,324.3625
Cer-NDS(d23:0/19:0)+H,652.6602,634.6497,616.6391,354.373,336.3625,298.3105,324.3625
Cer-NDS(d23:0/19:1)+H,650.6446,632.634,614.6234,354.373,336.3625,296.2948,324.3625
Cer-NDS(d23:0/20:0)+H,666.6758,648.6653,630.6547,354.373,336.3625,312.3261,324.3625
Cer-NDS(d23:0/20:1)+H,664.6602,646.6497,628.6391,354.373,336.3625,310.3105,324.3625
Cer-NDS(d23:0/20:2)+H,662.6446,644.634,626.6234,354.373,336.3625,308.2948,324.3625
Cer-NDS(d23:0/21:0)+H,680.6915,662.681,644.6704,354.373,336.3625,326.3417,324.3625
Cer-NDS(d23:0/21:1)+H,678.6758,660.6653,642.6547,354.373,336.3625,324.3261,324.3625
Cer-NDS(d23:0/22:0)+H,694.7072,676.6966,658.686,354.373,336.3625,340.3574,324.3625
Cer-NDS(d23:0/22:1)+H,692.6915,674.681,656.6704,354.373,336.3625,338.3417,324.3625
Cer-NDS(d23:0/22:2)+H,690.6758,672.6653,654.6547,354.373,336.3625,336.3261,324.3625
Cer-NDS(d23:0/23:0)+H,708.7228,690.7123,672.7017,354.373,336.3625,354.373,324.3625
Cer-NDS(d23:0/23:1)+H,706.7072,688.6966,670.686,354.373,336.3625,352.3574,324.3625
Cer-NDS(d23:0/24:0)+H,722.7385,704.7279,686.7173,354.373,336.3625,368.3887,324.3625
Cer-NDS(d23:0/24:1)+H,720.7228,702.7123,684.7017,354.373,336.3625,366.373,324.3625
Cer-NDS(d23:0/24:2)+H,718.7072,700.6966,682.686,354.373,336.3625,364.3574,324.3625
Cer-NDS(d23:0/25:0)+H,736.7542,718.7435,700.733,354.373,336.3625,382.4044,324.3625
Cer-NDS(d23:0/25:1)+H,734.7385,716.7279,698.7173,354.373,336.3625,380.3887,324.3625
Cer-NDS(d23:0/26:0)+H,750.7698,732.7592,714.7487,354.373,336.3625,396.42,324.3625
Cer-NDS(d23:0/26:1)+H,748.7542,730.7435,712.733,354.373,336.3625,394.4044,324.3625
Cer-NDS(d23:0/26:2)+H,746.7385,728.7279,710.7173,354.373,336.3625,392.3887,324.3625
Cer-NDS(d23:0/27:0)+H,764.7854,746.7748,728.7643,354.373,336.3625,410.4356,324.3625
Cer-NDS(d23:0/27:1)+H,762.7698,744.7592,726.7487,354.373,336.3625,408.42,324.3625
Cer-NDS(d23:0/28:0)+H,778.8011,760.7905,742.7799,354.373,336.3625,424.4513,324.3625
Cer-NDS(d23:0/28:1)+H,776.7854,758.7748,740.7643,354.373,336.3625,422.4356,324.3625
Cer-NDS(d23:0/28:2)+H,774.7698,756.7592,738.7487,354.373,336.3625,420.42,324.3625
Cer-NDS(d23:0/29:0)+H,792.8167,774.8062,756.7956,354.373,336.3625,438.4669,324.3625
Cer-NDS(d23:0/29:1)+H,790.8011,772.7905,754.7799,354.373,336.3625,436.4513,324.3625
Cer-NDS(d23:0/30:0)+H,806.8324,788.8218,770.8112,354.373,336.3625,452.4826,324.3625
Cer-NDS(d23:0/30:1)+H,804.8167,786.8062,768.7956,354.373,336.3625,450.4669,324.3625
Cer-NDS(d23:0/30:2)+H,802.8011,784.7905,766.7799,354.373,336.3625,448.4513,324.3625
Cer-NDS(d23:0/31:0)+H,820.848,802.8375,784.8269,354.373,336.3625,466.4983,324.3625
Cer-NDS(d23:0/31:1)+H,818.8324,800.8218,782.8112,354.373,336.3625,464.4826,324.3625
Cer-NDS(d23:0/32:0)+H,834.8636,816.8531,798.8425,354.373,336.3625,480.5139,324.3625
Cer-NDS(d23:0/32:1)+H,832.848,814.8375,796.8269,354.373,336.3625,478.4983,324.3625
Cer-NDS(d23:0/32:2)+H,830.8324,812.8218,794.8112,354.373,336.3625,476.4826,324.3625
Cer-NDS(d23:0/33:0)+H,848.8793,830.8688,812.8582,354.373,336.3625,494.5295,324.3625
Cer-NDS(d23:0/33:1)+H,846.8636,828.8531,810.8425,354.373,336.3625,492.5139,324.3625
Cer-NDS(d23:0/34:0)+H,862.895,844.8844,826.8738,354.373,336.3625,508.5452,324.3625
Cer-NDS(d23:0/34:1)+H,860.8793,842.8688,824.8582,354.373,336.3625,506.5295,324.3625
Cer-NDS(d23:0/34:2)+H,858.8636,840.8531,822.8425,354.373,336.3625,504.5139,324.3625
Cer-NDS(d23:0/35:0)+H,876.9106,858.9,840.8895,354.373,336.3625,522.5609,324.3625
Cer-NDS(d23:0/35:1)+H,874.895,856.8844,838.8738,354.373,336.3625,520.5452,324.3625
Cer-NDS(d23:0/36:0)+H,890.9263,872.9157,854.9052,354.373,336.3625,536.5765,324.3625
Cer-NDS(d23:0/36:1)+H,888.9106,870.9,852.8895,354.373,336.3625,534.5609,324.3625
Cer-NDS(d23:0/36:2)+H,886.895,868.8844,850.8738,354.373,336.3625,532.5452,324.3625
Cer-NDS(d23:0/38:0)+H,918.9576,900.947,882.9364,354.373,336.3625,564.6078,324.3625
Cer-NDS(d23:0/38:1)+H,916.9419,898.9313,880.9208,354.373,336.3625,562.5922,324.3625
Cer-NDS(d23:0/38:2)+H,914.9263,896.9157,878.9052,354.373,336.3625,560.5765,324.3625
Cer-NDS(d23:0/40:0)+H,946.9889,928.9783,910.9677,354.373,336.3625,592.6391,324.3625
Cer-NDS(d23:0/40:1)+H,944.9732,926.9626,908.9521,354.373,336.3625,590.6235,324.3625
Cer-NDS(d23:0/40:2)+H,942.9576,924.947,906.9364,354.373,336.3625,588.6078,324.3625
Cer-NDS(d23:0/42:0)+H,975.0201,957.0096,938.999,354.373,336.3625,620.6704,324.3625
Cer-NDS(d23:0/42:1)+H,973.0045,954.994,936.9834,354.373,336.3625,618.6547,324.3625
Cer-NDS(d23:0/42:2)+H,970.9889,952.9783,934.9677,354.373,336.3625,616.6391,324.3625
Cer-NDS(d24:0/12:0)+H,568.5663,550.5557,532.5452,368.3887,350.3781,200.2009,338.3781
Cer-NDS(d24:0/12:1)+H,566.5507,548.5401,530.5295,368.3887,350.3781,198.1853,338.3781
Cer-NDS(d24:0/13:0)+H,582.582,564.5714,546.5609,368.3887,350.3781,214.2166,338.3781
Cer-NDS(d24:0/13:1)+H,580.5663,562.5557,544.5452,368.3887,350.3781,212.2009,338.3781
Cer-NDS(d24:0/14:0)+H,596.5976,578.587,560.5765,368.3887,350.3781,228.2322,338.3781
Cer-NDS(d24:0/14:1)+H,594.582,576.5714,558.5609,368.3887,350.3781,226.2166,338.3781
Cer-NDS(d24:0/15:0)+H,610.6133,592.6027,574.5921,368.3887,350.3781,242.2478,338.3781
Cer-NDS(d24:0/15:1)+H,608.5976,590.587,572.5765,368.3887,350.3781,240.2322,338.3781
Cer-NDS(d24:0/16:0)+H,624.6289,606.6183,588.6078,368.3887,350.3781,256.2635,338.3781
Cer-NDS(d24:0/16:1)+H,622.6133,604.6027,586.5921,368.3887,350.3781,254.2478,338.3781
Cer-NDS(d24:0/16:2)+H,620.5976,602.587,584.5765,368.3887,350.3781,252.2322,338.3781
Cer-NDS(d24:0/17:0)+H,638.6446,620.634,602.6234,368.3887,350.3781,270.2791,338.3781
Cer-NDS(d24:0/18:0)+H,652.6602,634.6497,616.6391,368.3887,350.3781,284.2948,338.3781
Cer-NDS(d24:0/18:1)+H,650.6446,632.634,614.6234,368.3887,350.3781,282.2791,338.3781
Cer-NDS(d24:0/18:2)+H,648.6289,630.6183,612.6078,368.3887,350.3781,280.2635,338.3781
Cer-NDS(d24:0/19:0)+H,666.6758,648.6653,630.6547,368.3887,350.3781,298.3105,338.3781
Cer-NDS(d24:0/19:1)+H,664.6602,646.6497,628.6391,368.3887,350.3781,296.2948,338.3781
Cer-NDS(d24:0/20:0)+H,680.6915,662.681,644.6704,368.3887,350.3781,312.3261,338.3781
Cer-NDS(d24:0/20:1)+H,678.6758,660.6653,642.6547,368.3887,350.3781,310.3105,338.3781
Cer-NDS(d24:0/20:2)+H,676.6602,658.6497,640.6391,368.3887,350.3781,308.2948,338.3781
Cer-NDS(d24:0/21:0)+H,694.7072,676.6966,658.686,368.3887,350.3781,326.3417,338.3781
Cer-NDS(d24:0/21:1)+H,692.6915,674.681,656.6704,368.3887,350.3781,324.3261,338.3781
Cer-NDS(d24:0/22:0)+H,708.7228,690.7123,672.7017,368.3887,350.3781,340.3574,338.3781
Cer-NDS(d24:0/22:1)+H,706.7072,688.6966,670.686,368.3887,350.3781,338.3417,338.3781
Cer-NDS(d24:0/22:2)+H,704.6915,686.681,668.6704,368.3887,350.3781,336.3261,338.3781
Cer-NDS(d24:0/23:0)+H,722.7385,704.7279,686.7173,368.3887,350.3781,354.373,338.3781
Cer-NDS(d24:0/23:1)+H,720.7228,702.7123,684.7017,368.3887,350.3781,352.3574,338.3781
Cer-NDS(d24:0/24:0)+H,736.7542,718.7435,700.733,368.3887,350.3781,368.3887,338.3781
Cer-NDS(d24:0/24:1)+H,734.7385,716.7279,698.7173,368.3887,350.3781,366.373,338.3781
Cer-NDS(d24:0/24:2)+H,732.7228,714.7123,696.7017,368.3887,350.3781,364.3574,338.3781
Cer-NDS(d24:0/25:0)+H,750.7698,732.7592,714.7487,368.3887,350.3781,382.4044,338.3781
Cer-NDS(d24:0/25:1)+H,748.7542,730.7435,712.733,368.3887,350.3781,380.3887,338.3781
Cer-NDS(d24:0/26:0)+H,764.7854,746.7748,728.7643,368.3887,350.3781,396.42,338.3781
Cer-NDS(d24:0/26:1)+H,762.7698,744.7592,726.7487,368.3887,350.3781,394.4044,338.3781
Cer-NDS(d24:0/26:2)+H,760.7542,742.7435,724.733,368.3887,350.3781,392.3887,338.3781
Cer-NDS(d24:0/27:0)+H,778.8011,760.7905,742.7799,368.3887,350.3781,410.4356,338.3781
Cer-NDS(d24:0/27:1)+H,776.7854,758.7748,740.7643,368.3887,350.3781,408.42,338.3781
Cer-NDS(d24:0/28:0)+H,792.8167,774.8062,756.7956,368.3887,350.3781,424.4513,338.3781
Cer-NDS(d24:0/28:1)+H,790.8011,772.7905,754.7799,368.3887,350.3781,422.4356,338.3781
Cer-NDS(d24:0/28:2)+H,788.7854,770.7748,752.7643,368.3887,350.3781,420.42,338.3781
Cer-NDS(d24:0/29:0)+H,806.8324,788.8218,770.8112,368.3887,350.3781,438.4669,338.3781
Cer-NDS(d24:0/29:1)+H,804.8167,786.8062,768.7956,368.3887,350.3781,436.4513,338.3781
Cer-NDS(d24:0/30:0)+H,820.848,802.8375,784.8269,368.3887,350.3781,452.4826,338.3781
Cer-NDS(d24:0/30:1)+H,818.8324,800.8218,782.8112,368.3887,350.3781,450.4669,338.3781
Cer-NDS(d24:0/30:2)+H,816.8167,798.8062,780.7956,368.3887,350.3781,448.4513,338.3781
Cer-NDS(d24:0/31:0)+H,834.8636,816.8531,798.8425,368.3887,350.3781,466.4983,338.3781
Cer-NDS(d24:0/31:1)+H,832.848,814.8375,796.8269,368.3887,350.3781,464.4826,338.3781
Cer-NDS(d24:0/32:0)+H,848.8793,830.8688,812.8582,368.3887,350.3781,480.5139,338.3781
Cer-NDS(d24:0/32:1)+H,846.8636,828.8531,810.8425,368.3887,350.3781,478.4983,338.3781
Cer-NDS(d24:0/32:2)+H,844.848,826.8375,808.8269,368.3887,350.3781,476.4826,338.3781
Cer-NDS(d24:0/33:0)+H,862.895,844.8844,826.8738,368.3887,350.3781,494.5295,338.3781
Cer-NDS(d24:0/33:1)+H,860.8793,842.8688,824.8582,368.3887,350.3781,492.5139,338.3781
Cer-NDS(d24:0/34:0)+H,876.9106,858.9,840.8895,368.3887,350.3781,508.5452,338.3781
Cer-NDS(d24:0/34:1)+H,874.895,856.8844,838.8738,368.3887,350.3781,506.5295,338.3781
Cer-NDS(d24:0/34:2)+H,872.8793,854.8688,836.8582,368.3887,350.3781,504.5139,338.3781
Cer-NDS(d24:0/35:0)+H,890.9263,872.9157,854.9052,368.3887,350.3781,522.5609,338.3781
Cer-NDS(d24:0/35:1)+H,888.9106,870.9,852.8895,368.3887,350.3781,520.5452,338.3781
Cer-NDS(d24:0/36:0)+H,904.9419,886.9313,868.9208,368.3887,350.3781,536.5765,338.3781
Cer-NDS(d24:0/36:1)+H,902.9263,884.9157,866.9052,368.3887,350.3781,534.5609,338.3781
Cer-NDS(d24:0/36:2)+H,900.9106,882.9,864.8895,368.3887,350.3781,532.5452,338.3781
Cer-NDS(d24:0/38:0)+H,932.9732,914.9626,896.9521,368.3887,350.3781,564.6078,338.3781
Cer-NDS(d24:0/38:1)+H,930.9576,912.947,894.9364,368.3887,350.3781,562.5922,338.3781
Cer-NDS(d24:0/38:2)+H,928.9419,910.9313,892.9208,368.3887,350.3781,560.5765,338.3781
Cer-NDS(d24:0/40:0)+H,961.0045,942.994,924.9834,368.3887,350.3781,592.6391,338.3781
Cer-NDS(d24:0/40:1)+H,958.9889,940.9783,922.9677,368.3887,350.3781,590.6235,338.3781
