Cer-NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer-NDS(d15:0/19:0)+H,540.535,522.5245,504.5139,242.2478,224.2373,298.3105,212.2373
Cer-NDS(d15:0/19:1)+H,538.5193,520.5088,502.4982,242.2478,224.2373,296.2948,212.2373
Cer-NDS(d15:0/20:0)+H,554.5507,536.5401,518.5295,242.2478,224.2373,312.3261,212.2373
Cer-NDS(d15:0/20:1)+H,552.535,534.5245,516.5139,242.2478,224.2373,310.3105,212.2373
Cer-NDS(d15:0/20:2)+H,550.5193,532.5088,514.4982,242.2478,224.2373,308.2948,212.2373
Cer-NDS(d15:0/21:0)+H,568.5663,550.5557,532.5452,242.2478,224.2373,326.3417,212.2373
Cer-NDS(d15:0/21:1)+H,566.5507,548.5401,530.5295,242.2478,224.2373,324.3261,212.2373
Cer-NDS(d15:0/22:0)+H,582.582,564.5714,546.5609,242.2478,224.2373,340.3574,212.2373
Cer-NDS(d15:0/22:1)+H,580.5663,562.5557,544.5452,242.2478,224.2373,338.3417,212.2373
Cer-NDS(d15:0/22:2)+H,578.5507,560.5401,542.5295,242.2478,224.2373,336.3261,212.2373
Cer-NDS(d15:0/23:0)+H,596.5976,578.587,560.5765,242.2478,224.2373,354.373,212.2373
Cer-NDS(d15:0/23:1)+H,594.582,576.5714,558.5609,242.2478,224.2373,352.3574,212.2373
Cer-NDS(d15:0/24:0)+H,610.6133,592.6027,574.5921,242.2478,224.2373,368.3887,212.2373
Cer-NDS(d15:0/24:1)+H,608.5976,590.587,572.5765,242.2478,224.2373,366.373,212.2373
Cer-NDS(d15:0/24:2)+H,606.582,588.5714,570.5609,242.2478,224.2373,364.3574,212.2373
Cer-NDS(d15:0/25:0)+H,624.6289,606.6183,588.6078,242.2478,224.2373,382.4044,212.2373
Cer-NDS(d15:0/25:1)+H,622.6133,604.6027,586.5921,242.2478,224.2373,380.3887,212.2373
Cer-NDS(d15:0/26:0)+H,638.6446,620.634,602.6234,242.2478,224.2373,396.42,212.2373
Cer-NDS(d15:0/26:1)+H,636.6289,618.6183,600.6078,242.2478,224.2373,394.4044,212.2373
Cer-NDS(d15:0/26:2)+H,634.6133,616.6027,598.5921,242.2478,224.2373,392.3887,212.2373
Cer-NDS(d15:0/27:0)+H,652.6602,634.6497,616.6391,242.2478,224.2373,410.4356,212.2373
Cer-NDS(d15:0/27:1)+H,650.6446,632.634,614.6234,242.2478,224.2373,408.42,212.2373
Cer-NDS(d15:0/28:0)+H,666.6758,648.6653,630.6547,242.2478,224.2373,424.4513,212.2373
Cer-NDS(d15:0/28:1)+H,664.6602,646.6497,628.6391,242.2478,224.2373,422.4356,212.2373
Cer-NDS(d15:0/28:2)+H,662.6446,644.634,626.6234,242.2478,224.2373,420.42,212.2373
Cer-NDS(d15:0/29:0)+H,680.6915,662.681,644.6704,242.2478,224.2373,438.4669,212.2373
Cer-NDS(d15:0/29:1)+H,678.6758,660.6653,642.6547,242.2478,224.2373,436.4513,212.2373
Cer-NDS(d15:0/30:0)+H,694.7072,676.6966,658.686,242.2478,224.2373,452.4826,212.2373
Cer-NDS(d15:0/30:1)+H,692.6915,674.681,656.6704,242.2478,224.2373,450.4669,212.2373
Cer-NDS(d15:0/30:2)+H,690.6758,672.6653,654.6547,242.2478,224.2373,448.4513,212.2373
Cer-NDS(d15:0/31:0)+H,708.7228,690.7123,672.7017,242.2478,224.2373,466.4983,212.2373
Cer-NDS(d15:0/31:1)+H,706.7072,688.6966,670.686,242.2478,224.2373,464.4826,212.2373
Cer-NDS(d15:0/32:0)+H,722.7385,704.7279,686.7173,242.2478,224.2373,480.5139,212.2373
Cer-NDS(d15:0/32:1)+H,720.7228,702.7123,684.7017,242.2478,224.2373,478.4983,212.2373
Cer-NDS(d15:0/32:2)+H,718.7072,700.6966,682.686,242.2478,224.2373,476.4826,212.2373
Cer-NDS(d15:0/33:0)+H,736.7542,718.7435,700.733,242.2478,224.2373,494.5295,212.2373
Cer-NDS(d15:0/33:1)+H,734.7385,716.7279,698.7173,242.2478,224.2373,492.5139,212.2373
Cer-NDS(d15:0/34:0)+H,750.7698,732.7592,714.7487,242.2478,224.2373,508.5452,212.2373
Cer-NDS(d15:0/34:1)+H,748.7542,730.7435,712.733,242.2478,224.2373,506.5295,212.2373
Cer-NDS(d15:0/34:2)+H,746.7385,728.7279,710.7173,242.2478,224.2373,504.5139,212.2373
Cer-NDS(d15:0/35:0)+H,764.7854,746.7748,728.7643,242.2478,224.2373,522.5609,212.2373
Cer-NDS(d15:0/35:1)+H,762.7698,744.7592,726.7487,242.2478,224.2373,520.5452,212.2373
Cer-NDS(d15:0/36:0)+H,778.8011,760.7905,742.7799,242.2478,224.2373,536.5765,212.2373
Cer-NDS(d15:0/36:1)+H,776.7854,758.7748,740.7643,242.2478,224.2373,534.5609,212.2373
Cer-NDS(d15:0/36:2)+H,774.7698,756.7592,738.7487,242.2478,224.2373,532.5452,212.2373
Cer-NDS(d15:0/38:0)+H,806.8324,788.8218,770.8112,242.2478,224.2373,564.6078,212.2373
Cer-NDS(d15:0/38:1)+H,804.8167,786.8062,768.7956,242.2478,224.2373,562.5922,212.2373
Cer-NDS(d15:0/38:2)+H,802.8011,784.7905,766.7799,242.2478,224.2373,560.5765,212.2373
Cer-NDS(d15:0/40:0)+H,834.8636,816.8531,798.8425,242.2478,224.2373,592.6391,212.2373
Cer-NDS(d15:0/40:1)+H,832.848,814.8375,796.8269,242.2478,224.2373,590.6235,212.2373
Cer-NDS(d15:0/40:2)+H,830.8324,812.8218,794.8112,242.2478,224.2373,588.6078,212.2373
Cer-NDS(d15:0/42:0)+H,862.895,844.8844,826.8738,242.2478,224.2373,620.6704,212.2373
Cer-NDS(d15:0/42:1)+H,860.8793,842.8688,824.8582,242.2478,224.2373,618.6547,212.2373
Cer-NDS(d15:0/42:2)+H,858.8636,840.8531,822.8425,242.2478,224.2373,616.6391,212.2373
Cer-NDS(d16:0/12:0)+H,456.4411,438.4305,420.42,256.2635,238.2529,200.2009,226.2529
Cer-NDS(d16:0/12:1)+H,454.4255,436.4149,418.4043,256.2635,238.2529,198.1853,226.2529
Cer-NDS(d16:0/13:0)+H,470.4568,452.4462,434.4356,256.2635,238.2529,214.2166,226.2529
Cer-NDS(d16:0/13:1)+H,468.4411,450.4305,432.42,256.2635,238.2529,212.2009,226.2529
Cer-NDS(d16:0/14:0)+H,484.4724,466.4619,448.4513,256.2635,238.2529,228.2322,226.2529
Cer-NDS(d16:0/14:1)+H,482.4568,464.4462,446.4356,256.2635,238.2529,226.2166,226.2529
Cer-NDS(d16:0/15:0)+H,498.4881,480.4775,462.4669,256.2635,238.2529,242.2478,226.2529
Cer-NDS(d16:0/15:1)+H,496.4724,478.4619,460.4513,256.2635,238.2529,240.2322,226.2529
Cer-NDS(d16:0/16:0)+H,512.5037,494.4932,476.4826,256.2635,238.2529,256.2635,226.2529
Cer-NDS(d16:0/16:1)+H,510.4881,492.4775,474.4669,256.2635,238.2529,254.2478,226.2529
Cer-NDS(d16:0/16:2)+H,508.4724,490.4619,472.4513,256.2635,238.2529,252.2322,226.2529
Cer-NDS(d16:0/17:0)+H,526.5193,508.5088,490.4982,256.2635,238.2529,270.2791,226.2529
Cer-NDS(d16:0/18:0)+H,540.535,522.5245,504.5139,256.2635,238.2529,284.2948,226.2529
Cer-NDS(d16:0/18:1)+H,538.5193,520.5088,502.4982,256.2635,238.2529,282.2791,226.2529
Cer-NDS(d16:0/18:2)+H,536.5037,518.4932,500.4826,256.2635,238.2529,280.2635,226.2529
Cer-NDS(d16:0/19:0)+H,554.5507,536.5401,518.5295,256.2635,238.2529,298.3105,226.2529
Cer-NDS(d16:0/19:1)+H,552.535,534.5245,516.5139,256.2635,238.2529,296.2948,226.2529
Cer-NDS(d16:0/20:0)+H,568.5663,550.5557,532.5452,256.2635,238.2529,312.3261,226.2529
Cer-NDS(d16:0/20:1)+H,566.5507,548.5401,530.5295,256.2635,238.2529,310.3105,226.2529
Cer-NDS(d16:0/20:2)+H,564.535,546.5245,528.5139,256.2635,238.2529,308.2948,226.2529
Cer-NDS(d16:0/21:0)+H,582.582,564.5714,546.5609,256.2635,238.2529,326.3417,226.2529
Cer-NDS(d16:0/21:1)+H,580.5663,562.5557,544.5452,256.2635,238.2529,324.3261,226.2529
Cer-NDS(d16:0/22:0)+H,596.5976,578.587,560.5765,256.2635,238.2529,340.3574,226.2529
Cer-NDS(d16:0/22:1)+H,594.582,576.5714,558.5609,256.2635,238.2529,338.3417,226.2529
Cer-NDS(d16:0/22:2)+H,592.5663,574.5557,556.5452,256.2635,238.2529,336.3261,226.2529
Cer-NDS(d16:0/23:0)+H,610.6133,592.6027,574.5921,256.2635,238.2529,354.373,226.2529
Cer-NDS(d16:0/23:1)+H,608.5976,590.587,572.5765,256.2635,238.2529,352.3574,226.2529
Cer-NDS(d16:0/24:0)+H,624.6289,606.6183,588.6078,256.2635,238.2529,368.3887,226.2529
Cer-NDS(d16:0/24:1)+H,622.6133,604.6027,586.5921,256.2635,238.2529,366.373,226.2529
Cer-NDS(d16:0/24:2)+H,620.5976,602.587,584.5765,256.2635,238.2529,364.3574,226.2529
