OxPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-R1COOH&TrimethylAmine,Mna-R2COOH&TrimethylAmine,Mna-R1COOH,Mna-R2COOH,Mna-R2COONa
OxPC(10:0_12:3(CHO))+Na,624.3272,441.26116,565.253701,419.27922,393.107371,357.143751,452.18087,416.21725,394.23529
OxPC(10:0_13:1(CHO))+Na,642.37415,459.30811,583.300651,437.32617,411.154321,357.143751,470.22782,416.21725,394.23529
OxPC(10:0_13:2(CHO))+Na,640.3585,457.29246,581.285001,435.31052,409.138671,357.143751,468.21217,416.21725,394.23529
OxPC(10:0_13:3(CHO))+Na,638.34285,455.27681,579.269351,433.29487,407.123021,357.143751,466.19652,416.21725,394.23529
OxPC(10:0_14:1(CHO))+Na,656.3898,473.32376,597.316301,451.34182,425.169971,357.143751,484.24347,416.21725,394.23529
OxPC(10:0_14:2(CHO))+Na,654.37415,471.30811,595.300651,449.32617,423.154321,357.143751,482.22782,416.21725,394.23529
OxPC(10:0_14:3(CHO))+Na,652.3585,469.29246,593.285001,447.31052,421.138671,357.143751,480.21217,416.21725,394.23529
OxPC(10:0_15:1(CHO))+Na,670.40545,487.33941,611.331951,465.35747,439.185621,357.143751,498.25912,416.21725,394.23529
OxPC(10:0_15:2(CHO))+Na,668.3898,485.32376,609.316301,463.34182,437.169971,357.143751,496.24347,416.21725,394.23529
OxPC(10:0_15:3(CHO))+Na,666.37415,483.30811,607.300651,461.32617,435.154321,357.143751,494.22782,416.21725,394.23529
OxPC(10:0_15:4(CHO))+Na,664.3585,481.29246,605.285001,459.31052,433.138671,357.143751,492.21217,416.21725,394.23529
OxPC(10:0_16:1(CHO))+Na,684.4211,501.35506,625.347601,479.37312,453.201271,357.143751,512.27477,416.21725,394.23529
OxPC(10:0_16:2(CHO))+Na,682.40545,499.33941,623.331951,477.35747,451.185621,357.143751,510.25912,416.21725,394.23529
OxPC(10:0_16:3(CHO))+Na,680.3898,497.32376,621.316301,475.34182,449.169971,357.143751,508.24347,416.21725,394.23529
OxPC(10:0_16:4(CHO))+Na,678.37415,495.30811,619.300651,473.32617,447.154321,357.143751,506.22782,416.21725,394.23529
OxPC(10:0_17:4(CHO))+Na,692.3898,509.32376,633.316301,487.34182,461.169971,357.143751,520.24347,416.21725,394.23529
OxPC(10:0_18:4(CHO))+Na,706.40545,523.33941,647.331951,501.35747,475.185621,357.143751,534.25912,416.21725,394.23529
OxPC(10:0_18:5(CHO))+Na,704.3898,521.32376,645.316301,499.34182,473.169971,357.143751,532.24347,416.21725,394.23529
OxPC(10:0_19:4(CHO))+Na,720.4211,537.35506,661.347601,515.37312,489.201271,357.143751,548.27477,416.21725,394.23529
OxPC(10:0_19:5(CHO))+Na,718.40545,535.33941,659.331951,513.35747,487.185621,357.143751,546.25912,416.21725,394.23529
OxPC(10:0_3:0(COOH))+Na,520.22821,337.16217,461.154711,315.18023,289.008381,357.143751,348.08188,416.21725,394.23529
OxPC(10:0_4:0(COOH))+Na,534.24386,351.17782,475.170361,329.19588,303.024031,357.143751,362.09753,416.21725,394.23529
OxPC(10:0_5:0(COOH))+Na,548.25951,365.19347,489.186011,343.21153,317.039681,357.143751,376.11318,416.21725,394.23529
OxPC(10:0_6:0(COOH))+Na,562.27516,379.20912,503.201661,357.22718,331.055331,357.143751,390.12883,416.21725,394.23529
OxPC(10:0_7:0(COOH))+Na,576.29081,393.22477,517.217311,371.24283,345.070981,357.143751,404.14448,416.21725,394.23529
OxPC(10:0_8:0(COOH))+Na,590.30646,407.24042,531.232961,385.25848,359.086631,357.143751,418.16013,416.21725,394.23529
OxPC(10:0_9:0(COOH))+Na,604.32211,421.25607,545.248611,399.27413,373.102281,357.143751,432.17578,416.21725,394.23529
OxPC(10:0_10:0(COOH))+Na,618.33776,435.27172,559.264261,413.28978,387.117931,357.143751,446.19143,416.21725,394.23529
OxPC(10:0_11:0(COOH))+Na,632.35341,449.28737,573.279911,427.30543,401.133581,357.143751,460.20708,416.21725,394.23529
OxPC(10:0_12:0(COOH))+Na,646.36906,463.30302,587.295561,441.32108,415.149231,357.143751,474.22273,416.21725,394.23529
OxPC(10:0_13:0(COOH))+Na,660.38471,477.31867,601.311211,455.33673,429.164881,357.143751,488.23838,416.21725,394.23529
OxPC(10:0_14:0(COOH))+Na,674.40036,491.33432,615.326861,469.35238,443.180531,357.143751,502.25403,416.21725,394.23529
OxPC(10:0_15:0(COOH))+Na,688.41601,505.34997,629.342511,483.36803,457.196181,357.143751,516.26968,416.21725,394.23529
OxPC(10:0_6:1(COOH))+Na,560.25952,377.19348,501.186021,355.21154,329.039691,357.143751,388.11319,416.21725,394.23529
OxPC(10:0_7:1(COOH))+Na,574.27517,391.20913,515.201671,369.22719,343.055341,357.143751,402.12884,416.21725,394.23529
OxPC(10:0_8:1(COOH))+Na,588.29082,405.22478,529.217321,383.24284,357.070991,357.143751,416.14449,416.21725,394.23529
OxPC(10:0_9:1(COOH))+Na,602.30647,419.24043,543.232971,397.25849,371.086641,357.143751,430.16014,416.21725,394.23529
OxPC(10:0_9:2(COOH))+Na,600.29082,417.22478,541.217321,395.24284,369.070991,357.143751,428.14449,416.21725,394.23529
OxPC(10:0_10:1(COOH))+Na,616.32212,433.25608,557.248621,411.27414,385.102291,357.143751,444.17579,416.21725,394.23529
OxPC(10:0_10:2(COOH))+Na,614.30647,431.24043,555.232971,409.25849,383.086641,357.143751,442.16014,416.21725,394.23529
OxPC(10:0_11:1(COOH))+Na,630.33777,447.27173,571.264271,425.28979,399.117941,357.143751,458.19144,416.21725,394.23529
OxPC(10:0_11:2(COOH))+Na,628.32212,445.25608,569.248621,423.27414,397.102291,357.143751,456.17579,416.21725,394.23529
OxPC(10:0_12:1(COOH))+Na,644.35342,461.28738,585.279921,439.30544,413.133591,357.143751,472.20709,416.21725,394.23529
OxPC(10:0_12:2(COOH))+Na,642.33777,459.27173,583.264271,437.28979,411.117941,357.143751,470.19144,416.21725,394.23529
OxPC(10:0_12:3(COOH))+Na,640.32212,457.25608,581.248621,435.27414,409.102291,357.143751,468.17579,416.21725,394.23529
