PMeOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C4H9O5P-H]-
PMeOH(14:0_16:0)-H,633.45,423.2518,395.2205,255.2323,227.201,167.0115
PMeOH(14:0_16:1)-H,631.4344,421.2362,395.2206,253.2166,227.201,167.0115
PMeOH(14:0_16:2)-H,629.4188,419.2206,395.2206,251.201,227.201,167.0115
PMeOH(14:0_16:3)-H,627.4031,417.2049,395.2205,249.1853,227.201,167.0115
PMeOH(14:0_16:4)-H,625.3875,415.1893,395.2206,247.1697,227.201,167.0115
PMeOH(14:0_17:0)-H,647.4657,437.2675,395.2206,269.2479,227.201,167.0115
PMeOH(14:0_17:1)-H,645.45,435.2518,395.2205,267.2323,227.201,167.0115
PMeOH(14:0_17:2)-H,643.4344,433.2362,395.2206,265.2166,227.201,167.0115
PMeOH(14:0_18:0)-H,661.4813,451.2831,395.2205,283.2635,227.201,167.0115
PMeOH(14:0_18:1)-H,659.4657,449.2675,395.2206,281.2479,227.201,167.0115
PMeOH(14:0_18:2)-H,657.45,447.2518,395.2205,279.2323,227.201,167.0115
PMeOH(14:0_18:3)-H,655.4344,445.2362,395.2206,277.2166,227.201,167.0115
PMeOH(14:0_18:4)-H,653.4188,443.2206,395.2206,275.201,227.201,167.0115
PMeOH(14:0_18:5)-H,651.4031,441.2049,395.2205,273.1853,227.201,167.0115
PMeOH(14:0_19:0)-H,675.497,465.2988,395.2206,297.2792,227.201,167.0115
PMeOH(14:0_19:1)-H,673.4813,463.2831,395.2205,295.2635,227.201,167.0115
PMeOH(14:0_19:2)-H,671.4657,461.2675,395.2206,293.2479,227.201,167.0115
PMeOH(14:0_20:0)-H,689.5127,479.3145,395.2206,311.2948,227.201,167.0115
PMeOH(14:0_20:1)-H,687.497,477.2988,395.2206,309.2792,227.201,167.0115
PMeOH(14:0_20:2)-H,685.4813,475.2831,395.2205,307.2635,227.201,167.0115
PMeOH(14:0_20:3)-H,683.4657,473.2675,395.2206,305.2479,227.201,167.0115
PMeOH(14:0_20:4)-H,681.45,471.2518,395.2205,303.2323,227.201,167.0115
PMeOH(14:0_20:5)-H,679.4344,469.2362,395.2206,301.2166,227.201,167.0115
PMeOH(14:0_21:0)-H,703.5283,493.3301,395.2206,325.3105,227.201,167.0115
PMeOH(14:0_21:1)-H,701.5127,491.3145,395.2206,323.2948,227.201,167.0115
PMeOH(14:0_21:2)-H,699.497,489.2988,395.2206,321.2792,227.201,167.0115
PMeOH(14:0_22:0)-H,717.544,507.3458,395.2207,339.3261,227.201,167.0115
PMeOH(14:0_22:1)-H,715.5283,505.3301,395.2206,337.3105,227.201,167.0115
PMeOH(14:0_22:2)-H,713.5127,503.3145,395.2206,335.2948,227.201,167.0115
PMeOH(14:0_22:3)-H,711.497,501.2988,395.2206,333.2792,227.201,167.0115
PMeOH(14:0_22:4)-H,709.4813,499.2831,395.2205,331.2635,227.201,167.0115
PMeOH(14:0_22:5)-H,707.4657,497.2675,395.2206,329.2479,227.201,167.0115
PMeOH(14:0_22:6)-H,705.45,495.2518,395.2205,327.2323,227.201,167.0115
PMeOH(14:0_23:0)-H,731.5596,521.3614,395.2206,353.3417,227.201,167.0115
PMeOH(14:0_24:0)-H,745.5753,535.3771,395.2207,367.3574,227.201,167.0115
PMeOH(14:0_24:1)-H,743.5596,533.3614,395.2206,365.3417,227.201,167.0115
PMeOH(14:0_24:2)-H,741.544,531.3458,395.2207,363.3261,227.201,167.0115
PMeOH(14:0_24:4)-H,737.5127,527.3145,395.2206,359.2948,227.201,167.0115
PMeOH(14:0_25:0)-H,759.5909,549.3927,395.2206,381.373,227.201,167.0115
PMeOH(14:0_26:0)-H,773.6065,563.4083,395.2206,395.3887,227.201,167.0115
PMeOH(14:0_26:1)-H,771.5909,561.3927,395.2206,393.373,227.201,167.0115
PMeOH(14:0_26:2)-H,769.5753,559.3771,395.2207,391.3574,227.201,167.0115
PMeOH(14:0_26:4)-H,765.544,555.3458,395.2207,387.3261,227.201,167.0115
PMeOH(14:0_27:0)-H,787.6222,577.424,395.2207,409.4043,227.201,167.0115
PMeOH(14:1_14:1)-H,601.3875,393.2049,393.2049,225.1853,225.1853,167.0115
PMeOH(15:0_14:1)-H,617.4188,393.2049,409.2362,225.1853,241.2166,167.0115
PMeOH(14:1_15:1)-H,615.4031,407.2205,393.2049,239.201,225.1853,167.0115
PMeOH(16:0_14:1)-H,631.4344,393.2049,423.2518,225.1853,255.2323,167.0115
PMeOH(14:1_16:1)-H,629.4188,421.2362,393.2049,253.2166,225.1853,167.0115
PMeOH(14:1_16:2)-H,627.4031,419.2205,393.2049,251.201,225.1853,167.0115
PMeOH(14:1_16:3)-H,625.3875,417.2049,393.2049,249.1853,225.1853,167.0115
PMeOH(14:1_16:4)-H,623.3718,415.1892,393.2049,247.1697,225.1853,167.0115
PMeOH(17:0_14:1)-H,645.45,393.2049,437.2674,225.1853,269.2479,167.0115
PMeOH(14:1_17:1)-H,643.4344,435.2518,393.2049,267.2323,225.1853,167.0115
PMeOH(14:1_17:2)-H,641.4188,433.2362,393.2049,265.2166,225.1853,167.0115
PMeOH(18:0_14:1)-H,659.4657,393.2049,451.2831,225.1853,283.2635,167.0115
PMeOH(14:1_18:1)-H,657.45,449.2674,393.2049,281.2479,225.1853,167.0115
PMeOH(14:1_18:2)-H,655.4344,447.2518,393.2049,279.2323,225.1853,167.0115
PMeOH(14:1_18:3)-H,653.4188,445.2362,393.2049,277.2166,225.1853,167.0115
PMeOH(14:1_18:4)-H,651.4031,443.2205,393.2049,275.201,225.1853,167.0115
PMeOH(14:1_18:5)-H,649.3875,441.2049,393.2049,273.1853,225.1853,167.0115
PMeOH(19:0_14:1)-H,673.4813,393.2049,465.2987,225.1853,297.2792,167.0115
PMeOH(14:1_19:1)-H,671.4657,463.2831,393.2049,295.2635,225.1853,167.0115
PMeOH(14:1_19:2)-H,669.45,461.2674,393.2049,293.2479,225.1853,167.0115
PMeOH(20:0_14:1)-H,687.497,393.2049,479.3144,225.1853,311.2948,167.0115
PMeOH(14:1_20:1)-H,685.4813,477.2987,393.2049,309.2792,225.1853,167.0115
PMeOH(14:1_20:2)-H,683.4657,475.2831,393.2049,307.2635,225.1853,167.0115
PMeOH(14:1_20:3)-H,681.45,473.2674,393.2049,305.2479,225.1853,167.0115
PMeOH(14:1_20:4)-H,679.4344,471.2518,393.2049,303.2323,225.1853,167.0115
PMeOH(14:1_20:5)-H,677.4188,469.2362,393.2049,301.2166,225.1853,167.0115
PMeOH(21:0_14:1)-H,701.5127,393.205,493.3301,225.1853,325.3105,167.0115
PMeOH(14:1_21:1)-H,699.497,491.3144,393.2049,323.2948,225.1853,167.0115
PMeOH(14:1_21:2)-H,697.4813,489.2987,393.2049,321.2792,225.1853,167.0115
PMeOH(22:0_14:1)-H,715.5283,393.205,507.3457,225.1853,339.3261,167.0115
PMeOH(14:1_22:1)-H,713.5127,505.3301,393.205,337.3105,225.1853,167.0115
PMeOH(14:1_22:2)-H,711.497,503.3144,393.2049,335.2948,225.1853,167.0115
PMeOH(14:1_22:3)-H,709.4813,501.2987,393.2049,333.2792,225.1853,167.0115
PMeOH(14:1_22:4)-H,707.4657,499.2831,393.2049,331.2635,225.1853,167.0115
PMeOH(14:1_22:5)-H,705.45,497.2674,393.2049,329.2479,225.1853,167.0115
PMeOH(14:1_22:6)-H,703.4344,495.2518,393.2049,327.2323,225.1853,167.0115
PMeOH(23:0_14:1)-H,729.544,393.205,521.3615,225.1853,353.3417,167.0115
PMeOH(24:0_14:1)-H,743.5596,393.205,535.377,225.1853,367.3574,167.0115
PMeOH(14:1_24:1)-H,741.544,533.3615,393.205,365.3417,225.1853,167.0115
PMeOH(14:1_24:2)-H,739.5283,531.3457,393.205,363.3261,225.1853,167.0115
PMeOH(14:1_24:4)-H,735.497,527.3144,393.2049,359.2948,225.1853,167.0115
PMeOH(25:0_14:1)-H,757.5753,393.205,549.3927,225.1853,381.373,167.0115
PMeOH(26:0_14:1)-H,771.5909,393.205,563.4083,225.1853,395.3887,167.0115
PMeOH(14:1_26:1)-H,769.5753,561.3927,393.205,393.373,225.1853,167.0115
PMeOH(14:1_26:2)-H,767.5596,559.377,393.205,391.3574,225.1853,167.0115
