PMeOH,[M-H]-,NL of SN1,NL of SN2,FA SN2,FA SN1,[C4H9O5P-H]-
PMeOH(17:1_20:2)-H,725.5127,475.2832,435.2519,307.2635,267.2323,167.0115
PMeOH(17:1_20:3)-H,723.497,473.2675,435.2519,305.2479,267.2323,167.0115
PMeOH(17:1_20:4)-H,721.4813,471.2518,435.2518,303.2323,267.2323,167.0115
PMeOH(17:1_20:5)-H,719.4657,469.2362,435.2518,301.2166,267.2323,167.0115
PMeOH(21:0_17:1)-H,743.5596,435.2519,493.3301,267.2323,325.3105,167.0115
PMeOH(17:1_21:1)-H,741.544,491.3145,435.252,323.2948,267.2323,167.0115
PMeOH(17:1_21:2)-H,739.5283,489.2988,435.2519,321.2792,267.2323,167.0115
PMeOH(22:0_17:1)-H,757.5753,435.252,507.3458,267.2323,339.3261,167.0115
PMeOH(17:1_22:1)-H,755.5596,505.3301,435.2519,337.3105,267.2323,167.0115
PMeOH(17:1_22:2)-H,753.544,503.3145,435.252,335.2948,267.2323,167.0115
PMeOH(17:1_22:3)-H,751.5283,501.2988,435.2519,333.2792,267.2323,167.0115
PMeOH(17:1_22:4)-H,749.5127,499.2832,435.2519,331.2635,267.2323,167.0115
PMeOH(17:1_22:5)-H,747.497,497.2675,435.2519,329.2479,267.2323,167.0115
PMeOH(17:1_22:6)-H,745.4813,495.2518,435.2518,327.2323,267.2323,167.0115
PMeOH(23:0_17:1)-H,771.5909,435.2519,521.3614,267.2323,353.3417,167.0115
PMeOH(24:0_17:1)-H,785.6065,435.2519,535.377,267.2323,367.3574,167.0115
PMeOH(17:1_24:1)-H,783.5909,533.3614,435.2519,365.3417,267.2323,167.0115
PMeOH(17:1_24:2)-H,781.5753,531.3458,435.252,363.3261,267.2323,167.0115
PMeOH(17:1_24:4)-H,777.544,527.3145,435.252,359.2948,267.2323,167.0115
PMeOH(25:0_17:1)-H,799.6222,435.252,549.3927,267.2323,381.373,167.0115
PMeOH(26:0_17:1)-H,813.6378,435.2519,563.4083,267.2323,395.3887,167.0115
PMeOH(17:1_26:1)-H,811.6222,561.3927,435.252,393.373,267.2323,167.0115
PMeOH(17:1_26:2)-H,809.6065,559.377,435.2519,391.3574,267.2323,167.0115
PMeOH(17:1_26:4)-H,805.5753,555.3458,435.252,387.3261,267.2323,167.0115
PMeOH(27:0_17:1)-H,827.6535,435.252,577.424,267.2323,409.4043,167.0115
PMeOH(17:2_17:2)-H,681.45,433.2361,433.2361,265.2166,265.2166,167.0115
PMeOH(18:0_17:2)-H,699.497,433.2362,451.2831,265.2166,283.2635,167.0115
PMeOH(18:1_17:2)-H,697.4813,433.2361,449.2674,265.2166,281.2479,167.0115
PMeOH(17:2_18:2)-H,695.4657,447.2518,433.2362,279.2323,265.2166,167.0115
PMeOH(17:2_18:3)-H,693.45,445.2361,433.2361,277.2166,265.2166,167.0115
PMeOH(17:2_18:4)-H,691.4344,443.2206,433.2362,275.201,265.2166,167.0115
PMeOH(17:2_18:5)-H,689.4188,441.2049,433.2362,273.1853,265.2166,167.0115
PMeOH(19:0_17:2)-H,713.5127,433.2363,465.2988,265.2166,297.2792,167.0115
PMeOH(19:1_17:2)-H,711.497,433.2362,463.2831,265.2166,295.2635,167.0115
PMeOH(17:2_19:2)-H,709.4813,461.2674,433.2361,293.2479,265.2166,167.0115
PMeOH(20:0_17:2)-H,727.5283,433.2362,479.3145,265.2166,311.2948,167.0115
PMeOH(20:1_17:2)-H,725.5127,433.2363,477.2988,265.2166,309.2792,167.0115
PMeOH(17:2_20:2)-H,723.497,475.2831,433.2362,307.2635,265.2166,167.0115
PMeOH(17:2_20:3)-H,721.4813,473.2674,433.2361,305.2479,265.2166,167.0115
PMeOH(17:2_20:4)-H,719.4657,471.2518,433.2362,303.2323,265.2166,167.0115
PMeOH(17:2_20:5)-H,717.45,469.2361,433.2361,301.2166,265.2166,167.0115
PMeOH(21:0_17:2)-H,741.544,433.2363,493.3301,265.2166,325.3105,167.0115
PMeOH(21:1_17:2)-H,739.5283,433.2362,491.3145,265.2166,323.2948,167.0115
PMeOH(17:2_21:2)-H,737.5127,489.2988,433.2363,321.2792,265.2166,167.0115
PMeOH(22:0_17:2)-H,755.5596,433.2363,507.3457,265.2166,339.3261,167.0115
PMeOH(22:1_17:2)-H,753.544,433.2363,505.3301,265.2166,337.3105,167.0115
PMeOH(17:2_22:2)-H,751.5283,503.3145,433.2362,335.2948,265.2166,167.0115
PMeOH(17:2_22:3)-H,749.5127,501.2988,433.2363,333.2792,265.2166,167.0115
PMeOH(17:2_22:4)-H,747.497,499.2831,433.2362,331.2635,265.2166,167.0115
PMeOH(17:2_22:5)-H,745.4813,497.2674,433.2361,329.2479,265.2166,167.0115
PMeOH(17:2_22:6)-H,743.4657,495.2518,433.2362,327.2323,265.2166,167.0115
PMeOH(23:0_17:2)-H,769.5753,433.2363,521.3615,265.2166,353.3417,167.0115
PMeOH(24:0_17:2)-H,783.5909,433.2363,535.377,265.2166,367.3574,167.0115
PMeOH(24:1_17:2)-H,781.5753,433.2363,533.3615,265.2166,365.3417,167.0115
PMeOH(17:2_24:2)-H,779.5596,531.3458,433.2363,363.3261,265.2166,167.0115
PMeOH(17:2_24:4)-H,775.5283,527.3145,433.2362,359.2948,265.2166,167.0115
PMeOH(25:0_17:2)-H,797.6065,433.2362,549.3926,265.2166,381.373,167.0115
PMeOH(26:0_17:2)-H,811.6222,433.2363,563.4083,265.2166,395.3887,167.0115
PMeOH(26:1_17:2)-H,809.6065,433.2362,561.3926,265.2166,393.373,167.0115
PMeOH(17:2_26:2)-H,807.5909,559.377,433.2363,391.3574,265.2166,167.0115
PMeOH(17:2_26:4)-H,803.5596,555.3458,433.2363,387.3261,265.2166,167.0115
PMeOH(27:0_17:2)-H,825.6378,433.2363,577.424,265.2166,409.4043,167.0115
PMeOH(18:0_18:0)-H,717.544,451.2832,451.2832,283.2635,283.2635,167.0115
PMeOH(18:0_18:1)-H,715.5283,449.2675,451.2832,281.2479,283.2635,167.0115
PMeOH(18:0_18:2)-H,713.5127,447.2519,451.2832,279.2323,283.2635,167.0115
PMeOH(18:0_18:3)-H,711.497,445.2362,451.2831,277.2166,283.2635,167.0115
PMeOH(18:0_18:4)-H,709.4813,443.2205,451.2831,275.201,283.2635,167.0115
PMeOH(18:0_18:5)-H,707.4657,441.2049,451.2831,273.1853,283.2635,167.0115
PMeOH(18:0_19:0)-H,731.5596,465.2988,451.2832,297.2792,283.2635,167.0115
PMeOH(18:0_19:1)-H,729.544,463.2832,451.2832,295.2635,283.2635,167.0115
PMeOH(18:0_19:2)-H,727.5283,461.2675,451.2832,293.2479,283.2635,167.0115
PMeOH(18:0_20:0)-H,745.5753,479.3145,451.2832,311.2948,283.2635,167.0115
PMeOH(18:0_20:1)-H,743.5596,477.2988,451.2832,309.2792,283.2635,167.0115
PMeOH(18:0_20:2)-H,741.544,475.2832,451.2832,307.2635,283.2635,167.0115
PMeOH(18:0_20:3)-H,739.5283,473.2675,451.2832,305.2479,283.2635,167.0115
PMeOH(18:0_20:4)-H,737.5127,471.2519,451.2832,303.2323,283.2635,167.0115
PMeOH(18:0_20:5)-H,735.497,469.2362,451.2831,301.2166,283.2635,167.0115
PMeOH(18:0_21:0)-H,759.5909,493.3301,451.2832,325.3105,283.2635,167.0115
PMeOH(18:0_21:1)-H,757.5753,491.3145,451.2832,323.2948,283.2635,167.0115
PMeOH(18:0_21:2)-H,755.5596,489.2988,451.2832,321.2792,283.2635,167.0115
PMeOH(18:0_22:0)-H,773.6065,507.3457,451.2832,339.3261,283.2635,167.0115
PMeOH(18:0_22:1)-H,771.5909,505.3301,451.2832,337.3105,283.2635,167.0115
PMeOH(18:0_22:2)-H,769.5753,503.3145,451.2832,335.2948,283.2635,167.0115
PMeOH(18:0_22:3)-H,767.5596,501.2988,451.2832,333.2792,283.2635,167.0115
PMeOH(18:0_22:4)-H,765.544,499.2832,451.2832,331.2635,283.2635,167.0115
PMeOH(18:0_22:5)-H,763.5283,497.2675,451.2832,329.2479,283.2635,167.0115
PMeOH(18:0_22:6)-H,761.5127,495.2519,451.2832,327.2323,283.2635,167.0115
PMeOH(18:0_23:0)-H,787.6222,521.3615,451.2832,353.3417,283.2635,167.0115
PMeOH(18:0_24:0)-H,801.6378,535.377,451.2832,367.3574,283.2635,167.0115
PMeOH(18:0_24:1)-H,799.6222,533.3615,451.2832,365.3417,283.2635,167.0115
PMeOH(18:0_24:2)-H,797.6065,531.3457,451.2832,363.3261,283.2635,167.0115
PMeOH(18:0_24:4)-H,793.5753,527.3145,451.2832,359.2948,283.2635,167.0115
PMeOH(18:0_25:0)-H,815.6535,549.3927,451.2832,381.373,283.2635,167.0115
PMeOH(18:0_26:0)-H,829.6693,563.4084,451.2833,395.3887,283.2635,167.0115
PMeOH(18:0_26:1)-H,827.6535,561.3927,451.2832,393.373,283.2635,167.0115
PMeOH(18:0_26:2)-H,825.6378,559.377,451.2832,391.3574,283.2635,167.0115
PMeOH(18:0_26:4)-H,821.6065,555.3457,451.2832,387.3261,283.2635,167.0115
PMeOH(18:0_27:0)-H,843.6848,577.424,451.2833,409.4043,283.2635,167.0115
PMeOH(18:1_18:1)-H,713.5127,449.2675,449.2675,281.2479,281.2479,167.0115
PMeOH(18:1_18:2)-H,711.497,447.2519,449.2675,279.2323,281.2479,167.0115
PMeOH(18:1_18:3)-H,709.4813,445.2361,449.2674,277.2166,281.2479,167.0115
PMeOH(18:1_18:4)-H,707.4657,443.2206,449.2675,275.201,281.2479,167.0115
PMeOH(18:1_18:5)-H,705.45,441.2049,449.2674,273.1853,281.2479,167.0115
PMeOH(19:0_18:1)-H,729.544,449.2676,465.2989,281.2479,297.2792,167.0115
PMeOH(18:1_19:1)-H,727.5283,463.2832,449.2675,295.2635,281.2479,167.0115
PMeOH(18:1_19:2)-H,725.5127,461.2675,449.2675,293.2479,281.2479,167.0115
PMeOH(20:0_18:1)-H,743.5596,449.2675,479.3145,281.2479,311.2948,167.0115
PMeOH(18:1_20:1)-H,741.544,477.2989,449.2676,309.2792,281.2479,167.0115
PMeOH(18:1_20:2)-H,739.5283,475.2832,449.2675,307.2635,281.2479,167.0115
PMeOH(18:1_20:3)-H,737.5127,473.2675,449.2675,305.2479,281.2479,167.0115
PMeOH(18:1_20:4)-H,735.497,471.2519,449.2675,303.2323,281.2479,167.0115
PMeOH(18:1_20:5)-H,733.4813,469.2361,449.2674,301.2166,281.2479,167.0115
PMeOH(21:0_18:1)-H,757.5753,449.2676,493.3302,281.2479,325.3105,167.0115
PMeOH(18:1_21:1)-H,755.5596,491.3145,449.2675,323.2948,281.2479,167.0115
PMeOH(18:1_21:2)-H,753.544,489.2989,449.2676,321.2792,281.2479,167.0115
PMeOH(22:0_18:1)-H,771.5909,449.2675,507.3458,281.2479,339.3261,167.0115
PMeOH(18:1_22:1)-H,769.5753,505.3302,449.2676,337.3105,281.2479,167.0115
PMeOH(18:1_22:2)-H,767.5596,503.3145,449.2675,335.2948,281.2479,167.0115
PMeOH(18:1_22:3)-H,765.544,501.2989,449.2676,333.2792,281.2479,167.0115
PMeOH(18:1_22:4)-H,763.5283,499.2832,449.2675,331.2635,281.2479,167.0115
PMeOH(18:1_22:5)-H,761.5127,497.2675,449.2675,329.2479,281.2479,167.0115
PMeOH(18:1_22:6)-H,759.497,495.2519,449.2675,327.2323,281.2479,167.0115
PMeOH(23:0_18:1)-H,785.6065,449.2675,521.3614,281.2479,353.3417,167.0115
PMeOH(24:0_18:1)-H,799.6222,449.2676,535.3771,281.2479,367.3574,167.0115
PMeOH(18:1_24:1)-H,797.6065,533.3614,449.2675,365.3417,281.2479,167.0115
PMeOH(18:1_24:2)-H,795.5909,531.3458,449.2675,363.3261,281.2479,167.0115
PMeOH(18:1_24:4)-H,791.5596,527.3145,449.2675,359.2948,281.2479,167.0115
PMeOH(25:0_18:1)-H,813.6378,449.2675,549.3926,281.2479,381.373,167.0115
PMeOH(26:0_18:1)-H,827.6535,449.2676,563.4084,281.2479,395.3887,167.0115
PMeOH(18:1_26:1)-H,825.6378,561.3926,449.2675,393.373,281.2479,167.0115
PMeOH(18:1_26:2)-H,823.6222,559.3771,449.2676,391.3574,281.2479,167.0115
PMeOH(18:1_26:4)-H,819.5909,555.3458,449.2675,387.3261,281.2479,167.0115
PMeOH(27:0_18:1)-H,841.6693,449.2677,577.4241,281.2479,409.4043,167.0115
PMeOH(18:2_18:2)-H,709.4813,447.2518,447.2518,279.2323,279.2323,167.0115
PMeOH(18:2_18:3)-H,707.4657,445.2362,447.2518,277.2166,279.2323,167.0115
PMeOH(18:2_18:4)-H,705.45,443.2205,447.2518,275.201,279.2323,167.0115
PMeOH(18:2_18:5)-H,703.4344,441.2049,447.2518,273.1853,279.2323,167.0115
PMeOH(19:0_18:2)-H,727.5283,447.2519,465.2988,279.2323,297.2792,167.0115
PMeOH(19:1_18:2)-H,725.5127,447.2519,463.2832,279.2323,295.2635,167.0115
PMeOH(18:2_19:2)-H,723.497,461.2675,447.2519,293.2479,279.2323,167.0115
PMeOH(20:0_18:2)-H,741.544,447.252,479.3145,279.2323,311.2948,167.0115
PMeOH(20:1_18:2)-H,739.5283,447.2519,477.2988,279.2323,309.2792,167.0115
PMeOH(18:2_20:2)-H,737.5127,475.2832,447.2519,307.2635,279.2323,167.0115
PMeOH(18:2_20:3)-H,735.497,473.2675,447.2519,305.2479,279.2323,167.0115
PMeOH(18:2_20:4)-H,733.4813,471.2518,447.2518,303.2323,279.2323,167.0115
PMeOH(18:2_20:5)-H,731.4657,469.2362,447.2518,301.2166,279.2323,167.0115
PMeOH(21:0_18:2)-H,755.5596,447.2519,493.3301,279.2323,325.3105,167.0115
PMeOH(21:1_18:2)-H,753.544,447.252,491.3145,279.2323,323.2948,167.0115
PMeOH(18:2_21:2)-H,751.5283,489.2988,447.2519,321.2792,279.2323,167.0115
PMeOH(22:0_18:2)-H,769.5753,447.252,507.3458,279.2323,339.3261,167.0115
PMeOH(22:1_18:2)-H,767.5596,447.2519,505.3301,279.2323,337.3105,167.0115
PMeOH(18:2_22:2)-H,765.544,503.3145,447.252,335.2948,279.2323,167.0115
PMeOH(18:2_22:3)-H,763.5283,501.2988,447.2519,333.2792,279.2323,167.0115
PMeOH(18:2_22:4)-H,761.5127,499.2832,447.2519,331.2635,279.2323,167.0115
PMeOH(18:2_22:5)-H,759.497,497.2675,447.2519,329.2479,279.2323,167.0115
PMeOH(18:2_22:6)-H,757.4813,495.2518,447.2518,327.2323,279.2323,167.0115
PMeOH(23:0_18:2)-H,783.5909,447.2519,521.3614,279.2323,353.3417,167.0115
PMeOH(24:0_18:2)-H,797.6065,447.2519,535.377,279.2323,367.3574,167.0115
PMeOH(24:1_18:2)-H,795.5909,447.2519,533.3614,279.2323,365.3417,167.0115
PMeOH(18:2_24:2)-H,793.5753,531.3458,447.252,363.3261,279.2323,167.0115
PMeOH(18:2_24:4)-H,789.544,527.3145,447.252,359.2948,279.2323,167.0115
PMeOH(25:0_18:2)-H,811.6222,447.252,549.3927,279.2323,381.373,167.0115
PMeOH(26:0_18:2)-H,825.6378,447.2519,563.4083,279.2323,395.3887,167.0115
PMeOH(26:1_18:2)-H,823.6222,447.252,561.3927,279.2323,393.373,167.0115
PMeOH(18:2_26:2)-H,821.6065,559.377,447.2519,391.3574,279.2323,167.0115
PMeOH(18:2_26:4)-H,817.5753,555.3458,447.252,387.3261,279.2323,167.0115
PMeOH(27:0_18:2)-H,839.6535,447.252,577.424,279.2323,409.4043,167.0115
PMeOH(18:3_18:3)-H,705.45,445.2361,445.2361,277.2166,277.2166,167.0115
PMeOH(18:3_18:4)-H,703.4344,443.2206,445.2362,275.201,277.2166,167.0115
PMeOH(18:3_18:5)-H,701.4188,441.2049,445.2362,273.1853,277.2166,167.0115
PMeOH(19:0_18:3)-H,725.5127,445.2363,465.2988,277.2166,297.2792,167.0115
PMeOH(19:1_18:3)-H,723.497,445.2362,463.2831,277.2166,295.2635,167.0115
PMeOH(19:2_18:3)-H,721.4813,445.2361,461.2674,277.2166,293.2479,167.0115
PMeOH(20:0_18:3)-H,739.5283,445.2362,479.3145,277.2166,311.2948,167.0115
PMeOH(20:1_18:3)-H,737.5127,445.2363,477.2988,277.2166,309.2792,167.0115
PMeOH(20:2_18:3)-H,735.497,445.2362,475.2831,277.2166,307.2635,167.0115
PMeOH(18:3_20:3)-H,733.4813,473.2674,445.2361,305.2479,277.2166,167.0115
PMeOH(18:3_20:4)-H,731.4657,471.2518,445.2362,303.2323,277.2166,167.0115
PMeOH(18:3_20:5)-H,729.45,469.2361,445.2361,301.2166,277.2166,167.0115
PMeOH(21:0_18:3)-H,753.544,445.2363,493.3301,277.2166,325.3105,167.0115
PMeOH(21:1_18:3)-H,751.5283,445.2362,491.3145,277.2166,323.2948,167.0115
PMeOH(21:2_18:3)-H,749.5127,445.2363,489.2988,277.2166,321.2792,167.0115
PMeOH(22:0_18:3)-H,767.5596,445.2363,507.3457,277.2166,339.3261,167.0115
PMeOH(22:1_18:3)-H,765.544,445.2363,505.3301,277.2166,337.3105,167.0115
PMeOH(22:2_18:3)-H,763.5283,445.2362,503.3145,277.2166,335.2948,167.0115
PMeOH(18:3_22:3)-H,761.5127,501.2988,445.2363,333.2792,277.2166,167.0115
PMeOH(18:3_22:4)-H,759.497,499.2831,445.2362,331.2635,277.2166,167.0115
PMeOH(18:3_22:5)-H,757.4813,497.2674,445.2361,329.2479,277.2166,167.0115
PMeOH(18:3_22:6)-H,755.4657,495.2518,445.2362,327.2323,277.2166,167.0115
PMeOH(23:0_18:3)-H,781.5753,445.2363,521.3615,277.2166,353.3417,167.0115
PMeOH(24:0_18:3)-H,795.5909,445.2363,535.377,277.2166,367.3574,167.0115
PMeOH(24:1_18:3)-H,793.5753,445.2363,533.3615,277.2166,365.3417,167.0115
PMeOH(24:2_18:3)-H,791.5596,445.2363,531.3458,277.2166,363.3261,167.0115
PMeOH(18:3_24:4)-H,787.5283,527.3145,445.2362,359.2948,277.2166,167.0115
PMeOH(25:0_18:3)-H,809.6065,445.2362,549.3926,277.2166,381.373,167.0115
PMeOH(26:0_18:3)-H,823.6222,445.2363,563.4083,277.2166,395.3887,167.0115
PMeOH(26:1_18:3)-H,821.6065,445.2362,561.3926,277.2166,393.373,167.0115
PMeOH(26:2_18:3)-H,819.5909,445.2363,559.377,277.2166,391.3574,167.0115
PMeOH(18:3_26:4)-H,815.5596,555.3458,445.2363,387.3261,277.2166,167.0115
PMeOH(27:0_18:3)-H,837.6378,445.2363,577.424,277.2166,409.4043,167.0115
PMeOH(18:4_18:4)-H,701.4188,443.2206,443.2206,275.201,275.201,167.0115
PMeOH(18:4_18:5)-H,699.4031,441.2049,443.2205,273.1853,275.201,167.0115
PMeOH(19:0_18:4)-H,723.497,443.2206,465.2988,275.201,297.2792,167.0115
PMeOH(19:1_18:4)-H,721.4813,443.2205,463.2831,275.201,295.2635,167.0115
PMeOH(19:2_18:4)-H,719.4657,443.2206,461.2675,275.201,293.2479,167.0115
PMeOH(20:0_18:4)-H,737.5127,443.2206,479.3145,275.201,311.2948,167.0115
PMeOH(20:1_18:4)-H,735.497,443.2206,477.2988,275.201,309.2792,167.0115
PMeOH(20:2_18:4)-H,733.4813,443.2205,475.2831,275.201,307.2635,167.0115
PMeOH(20:3_18:4)-H,731.4657,443.2206,473.2675,275.201,305.2479,167.0115
PMeOH(18:4_20:4)-H,729.45,471.2518,443.2205,303.2323,275.201,167.0115
PMeOH(18:4_20:5)-H,727.4344,469.2362,443.2206,301.2166,275.201,167.0115
PMeOH(21:0_18:4)-H,751.5283,443.2206,493.3301,275.201,325.3105,167.0115
PMeOH(21:1_18:4)-H,749.5127,443.2206,491.3145,275.201,323.2948,167.0115
PMeOH(21:2_18:4)-H,747.497,443.2206,489.2988,275.201,321.2792,167.0115
PMeOH(22:0_18:4)-H,765.544,443.2207,507.3458,275.201,339.3261,167.0115
PMeOH(22:1_18:4)-H,763.5283,443.2206,505.3301,275.201,337.3105,167.0115
PMeOH(22:2_18:4)-H,761.5127,443.2206,503.3145,275.201,335.2948,167.0115
PMeOH(22:3_18:4)-H,759.497,443.2206,501.2988,275.201,333.2792,167.0115
PMeOH(18:4_22:4)-H,757.4813,499.2831,443.2205,331.2635,275.201,167.0115
PMeOH(18:4_22:5)-H,755.4657,497.2675,443.2206,329.2479,275.201,167.0115
PMeOH(18:4_22:6)-H,753.45,495.2518,443.2205,327.2323,275.201,167.0115
PMeOH(23:0_18:4)-H,779.5596,443.2206,521.3614,275.201,353.3417,167.0115
PMeOH(24:0_18:4)-H,793.5753,443.2207,535.3771,275.201,367.3574,167.0115
PMeOH(24:1_18:4)-H,791.5596,443.2206,533.3614,275.201,365.3417,167.0115
PMeOH(24:2_18:4)-H,789.544,443.2207,531.3458,275.201,363.3261,167.0115
PMeOH(18:4_24:4)-H,785.5127,527.3145,443.2206,359.2948,275.201,167.0115
PMeOH(25:0_18:4)-H,807.5909,443.2206,549.3927,275.201,381.373,167.0115
PMeOH(26:0_18:4)-H,821.6065,443.2206,563.4083,275.201,395.3887,167.0115
PMeOH(26:1_18:4)-H,819.5909,443.2206,561.3927,275.201,393.373,167.0115
PMeOH(26:2_18:4)-H,817.5753,443.2207,559.3771,275.201,391.3574,167.0115
PMeOH(18:4_26:4)-H,813.544,555.3458,443.2207,387.3261,275.201,167.0115
PMeOH(27:0_18:4)-H,835.6222,443.2207,577.424,275.201,409.4043,167.0115
PMeOH(18:5_18:5)-H,697.3875,441.2049,441.2049,273.1853,273.1853,167.0115
PMeOH(19:0_18:5)-H,721.4813,441.2049,465.2987,273.1853,297.2792,167.0115
PMeOH(19:1_18:5)-H,719.4657,441.2049,463.2831,273.1853,295.2635,167.0115
PMeOH(19:2_18:5)-H,717.45,441.2049,461.2674,273.1853,293.2479,167.0115
PMeOH(20:0_18:5)-H,735.497,441.2049,479.3144,273.1853,311.2948,167.0115
PMeOH(20:1_18:5)-H,733.4813,441.2049,477.2987,273.1853,309.2792,167.0115
PMeOH(20:2_18:5)-H,731.4657,441.2049,475.2831,273.1853,307.2635,167.0115
PMeOH(20:3_18:5)-H,729.45,441.2049,473.2674,273.1853,305.2479,167.0115
PMeOH(20:4_18:5)-H,727.4344,441.2049,471.2518,273.1853,303.2323,167.0115
PMeOH(18:5_20:5)-H,725.4188,469.2362,441.2049,301.2166,273.1853,167.0115
PMeOH(21:0_18:5)-H,749.5127,441.205,493.3301,273.1853,325.3105,167.0115
PMeOH(21:1_18:5)-H,747.497,441.2049,491.3144,273.1853,323.2948,167.0115
PMeOH(21:2_18:5)-H,745.4813,441.2049,489.2987,273.1853,321.2792,167.0115
PMeOH(22:0_18:5)-H,763.5283,441.205,507.3457,273.1853,339.3261,167.0115
PMeOH(22:1_18:5)-H,761.5127,441.205,505.3301,273.1853,337.3105,167.0115
PMeOH(22:2_18:5)-H,759.497,441.2049,503.3144,273.1853,335.2948,167.0115
PMeOH(22:3_18:5)-H,757.4813,441.2049,501.2987,273.1853,333.2792,167.0115
PMeOH(22:4_18:5)-H,755.4657,441.2049,499.2831,273.1853,331.2635,167.0115
PMeOH(18:5_22:5)-H,753.45,497.2674,441.2049,329.2479,273.1853,167.0115
PMeOH(18:5_22:6)-H,751.4344,495.2518,441.2049,327.2323,273.1853,167.0115
PMeOH(23:0_18:5)-H,777.544,441.205,521.3615,273.1853,353.3417,167.0115
PMeOH(24:0_18:5)-H,791.5596,441.205,535.377,273.1853,367.3574,167.0115
PMeOH(24:1_18:5)-H,789.544,441.205,533.3615,273.1853,365.3417,167.0115
PMeOH(24:2_18:5)-H,787.5283,441.205,531.3457,273.1853,363.3261,167.0115
PMeOH(24:4_18:5)-H,783.497,441.2049,527.3144,273.1853,359.2948,167.0115
PMeOH(25:0_18:5)-H,805.5753,441.205,549.3927,273.1853,381.373,167.0115
PMeOH(26:0_18:5)-H,819.5909,441.205,563.4083,273.1853,395.3887,167.0115
PMeOH(26:1_18:5)-H,817.5753,441.205,561.3927,273.1853,393.373,167.0115
PMeOH(26:2_18:5)-H,815.5596,441.205,559.377,273.1853,391.3574,167.0115
PMeOH(26:4_18:5)-H,811.5283,441.205,555.3457,273.1853,387.3261,167.0115
PMeOH(27:0_18:5)-H,833.6065,441.205,577.424,273.1853,409.4043,167.0115
PMeOH(19:0_19:0)-H,745.5753,465.2989,465.2989,297.2792,297.2792,167.0115
PMeOH(19:0_19:1)-H,743.5596,463.2832,465.2988,295.2635,297.2792,167.0115
PMeOH(19:0_19:2)-H,741.544,461.2676,465.2989,293.2479,297.2792,167.0115
PMeOH(19:0_20:0)-H,759.5909,479.3145,465.2988,311.2948,297.2792,167.0115
PMeOH(19:0_20:1)-H,757.5753,477.2989,465.2989,309.2792,297.2792,167.0115
PMeOH(19:0_20:2)-H,755.5596,475.2832,465.2988,307.2635,297.2792,167.0115
PMeOH(19:0_20:3)-H,753.544,473.2676,465.2989,305.2479,297.2792,167.0115
PMeOH(19:0_20:4)-H,751.5283,471.2519,465.2988,303.2323,297.2792,167.0115
PMeOH(19:0_20:5)-H,749.5127,469.2363,465.2988,301.2166,297.2792,167.0115
PMeOH(19:0_21:0)-H,773.6065,493.3301,465.2988,325.3105,297.2792,167.0115
PMeOH(19:0_21:1)-H,771.5909,491.3145,465.2988,323.2948,297.2792,167.0115
PMeOH(19:0_21:2)-H,769.5753,489.2989,465.2989,321.2792,297.2792,167.0115
PMeOH(19:0_22:0)-H,787.6222,507.3458,465.2989,339.3261,297.2792,167.0115
PMeOH(19:0_22:1)-H,785.6065,505.3301,465.2988,337.3105,297.2792,167.0115
PMeOH(19:0_22:2)-H,783.5909,503.3145,465.2988,335.2948,297.2792,167.0115
PMeOH(19:0_22:3)-H,781.5753,501.2989,465.2989,333.2792,297.2792,167.0115
PMeOH(19:0_22:4)-H,779.5596,499.2832,465.2988,331.2635,297.2792,167.0115
PMeOH(19:0_22:5)-H,777.544,497.2676,465.2989,329.2479,297.2792,167.0115
PMeOH(19:0_22:6)-H,775.5283,495.2519,465.2988,327.2323,297.2792,167.0115
PMeOH(19:0_23:0)-H,801.6378,521.3614,465.2988,353.3417,297.2792,167.0115
PMeOH(19:0_24:0)-H,815.6535,535.3771,465.2989,367.3574,297.2792,167.0115
PMeOH(19:0_24:1)-H,813.6378,533.3614,465.2988,365.3417,297.2792,167.0115
PMeOH(19:0_24:2)-H,811.6222,531.3458,465.2989,363.3261,297.2792,167.0115
PMeOH(19:0_24:4)-H,807.5909,527.3145,465.2988,359.2948,297.2792,167.0115
PMeOH(19:0_25:0)-H,829.6693,549.3928,465.299,381.373,297.2792,167.0115
PMeOH(19:0_26:0)-H,843.6848,563.4084,465.2989,395.3887,297.2792,167.0115
PMeOH(19:0_26:1)-H,841.6693,561.3928,465.299,393.373,297.2792,167.0115
PMeOH(19:0_26:2)-H,839.6535,559.3771,465.2989,391.3574,297.2792,167.0115
PMeOH(19:0_26:4)-H,835.6222,555.3458,465.2989,387.3261,297.2792,167.0115
PMeOH(19:0_27:0)-H,857.7005,577.4241,465.299,409.4043,297.2792,167.0115
PMeOH(19:1_19:1)-H,741.544,463.2832,463.2832,295.2635,295.2635,167.0115
PMeOH(19:1_19:2)-H,739.5283,461.2675,463.2832,293.2479,295.2635,167.0115
PMeOH(20:0_19:1)-H,757.5753,463.2832,479.3145,295.2635,311.2948,167.0115
PMeOH(19:1_20:1)-H,755.5596,477.2988,463.2832,309.2792,295.2635,167.0115
PMeOH(19:1_20:2)-H,753.544,475.2832,463.2832,307.2635,295.2635,167.0115
PMeOH(19:1_20:3)-H,751.5283,473.2675,463.2832,305.2479,295.2635,167.0115
PMeOH(19:1_20:4)-H,749.5127,471.2519,463.2832,303.2323,295.2635,167.0115
