CL,[M+NH4]+,(sn1+sn2)+,(sn1'+sn2')+
CL(30:1)(40:0)+NH4,1453.0842,521.4564872,663.6285872
CL(30:1)(40:1)+NH4,1451.0685,521.4564872,661.6128872
CL(30:1)(40:2)+NH4,1449.0529,521.4564872,659.5972872
CL(30:1)(40:3)+NH4,1447.0372,521.4564872,657.5815872
CL(30:1)(40:4)+NH4,1445.0216,521.4564872,655.5659872
CL(30:1)(40:5)+NH4,1443.006,521.4564872,653.5503872
CL(30:1)(40:6)+NH4,1440.9903,521.4564872,651.5346872
CL(30:1)(40:7)+NH4,1438.9747,521.4564872,649.5190872
CL(30:1)(40:8)+NH4,1436.9591,521.4564872,647.5034872
CL(30:1)(40:9)+NH4,1434.9434,521.4564872,645.4877872
CL(30:1)(42:0)+NH4,1481.1155,521.4564872,691.6598872
CL(30:1)(42:1)+NH4,1479.0998,521.4564872,689.6441872
CL(30:1)(42:10)+NH4,1460.9591,521.4564872,671.5034872
CL(30:1)(42:2)+NH4,1477.0842,521.4564872,687.6285872
CL(30:1)(42:3)+NH4,1475.0685,521.4564872,685.6128872
CL(30:1)(42:4)+NH4,1473.0529,521.4564872,683.5972872
CL(30:1)(42:5)+NH4,1471.0372,521.4564872,681.5815872
CL(30:1)(42:6)+NH4,1469.0216,521.4564872,679.5659872
CL(30:1)(42:7)+NH4,1467.006,521.4564872,677.5503872
CL(30:1)(42:8)+NH4,1464.9903,521.4564872,675.5346872
CL(30:1)(42:9)+NH4,1462.9747,521.4564872,673.5190872
CL(30:1)(44:0)+NH4,1509.1467,521.4564872,719.6910872
CL(30:1)(44:10)+NH4,1488.9903,521.4564872,699.5346872
CL(30:1)(44:11)+NH4,1486.9747,521.4564872,697.5190872
CL(30:1)(44:12)+NH4,1484.9591,521.4564872,695.5034872
CL(30:1)(44:5)+NH4,1499.0685,521.4564872,709.6128872
CL(30:1)(44:6)+NH4,1497.0529,521.4564872,707.5972872
CL(30:1)(46:12)+NH4,1512.9892,521.4564872,723.5335872
CL(30:1)(48:12)+NH4,1541.0205,521.4564872,751.5648872
CL(32:0)(32:0)+NH4,1371.0061,551.5034872,551.5034872
CL(32:0)(32:1)+NH4,1368.9904,551.5034872,549.4877872
