OxPC,[M+H]+,M+H-PC,PC_head
OxPC(22:4(KeOKeO))+H,646.29872,463.23266,184.07332
OxPC(22:4(OKe))+H,616.32454,433.25848,184.07332
OxPC(22:4(OKeO))+H,632.31946,449.2534,184.07332
OxPC(22:4(OOKeO))+H,648.31438,465.24832,184.07332
OxPC(22:4(OOOKeO))+H,664.3093,481.24324,184.07332
OxPC(22:4(OOOOKeO))+H,680.30422,497.23816,184.07332
OxPC(22:5(KeKe))+H,612.29327,429.22721,184.07332
OxPC(22:5(KeOKe))+H,628.28818,445.22212,184.07332
OxPC(22:5(KeOKeO))+H,644.2831,461.21704,184.07332
OxPC(23:0(Ke))+H,622.40789,439.34183,184.07332
OxPC(23:0(KeKe))+H,636.38715,453.32109,184.07332
OxPC(23:0(KeKeO))+H,652.38207,469.31601,184.07332
OxPC(23:0(KeO))+H,638.40281,455.33675,184.07332
OxPC(23:0(KeOKeO))+H,668.37699,485.31093,184.07332
OxPC(23:1(Ke))+H,620.39225,437.32619,184.07332
OxPC(23:1(KeKe))+H,634.37153,451.30547,184.07332
OxPC(23:1(KeKeO))+H,650.36645,467.30039,184.07332
OxPC(23:1(KeO))+H,636.38717,453.32111,184.07332
OxPC(23:1(KeOKeO))+H,666.36137,483.29531,184.07332
OxPC(23:1(O))+H,622.40788,439.34182,184.07332
OxPC(23:1(OKeO))+H,652.38211,469.31605,184.07332
OxPC(23:1(OO))+H,638.4028,455.33674,184.07332
OxPC(23:1(OOKeO))+H,668.37703,485.31097,184.07332
OxPC(23:1(OOO))+H,654.39772,471.33166,184.07332
OxPC(23:1(OOOKeO))+H,684.37195,501.30589,184.07332
OxPC(23:1(OOOO))+H,670.39264,487.32658,184.07332
OxPC(23:1(OOOOKeO))+H,700.36687,517.30081,184.07332
OxPC(23:2(Ke))+H,618.3766,435.31054,184.07332
OxPC(23:2(KeKe))+H,632.35589,449.28983,184.07332
OxPC(23:2(KeKeO))+H,648.35081,465.28475,184.07332
OxPC(23:2(KeOKeO))+H,664.34573,481.27967,184.07332
OxPC(23:2(OKe))+H,634.37151,451.30545,184.07332
OxPC(23:2(OKeO))+H,650.36643,467.30037,184.07332
OxPC(23:2(OOKeO))+H,666.36135,483.29529,184.07332
OxPC(23:2(OOOKeO))+H,682.35631,499.29025,184.07332
OxPC(23:2(OOOOKeO))+H,698.35123,515.28517,184.07332
OxPC(23:3(Ke))+H,616.36095,433.29489,184.07332
OxPC(23:3(KeKe))+H,630.34024,447.27418,184.07332
OxPC(23:3(KeKeO))+H,646.33516,463.2691,184.07332
OxPC(23:3(KeO))+H,632.35587,449.28981,184.07332
OxPC(23:3(KeOKeO))+H,662.33008,479.26402,184.07332
OxPC(23:3(OKeO))+H,648.35082,465.28476,184.07332
OxPC(23:3(OOKeO))+H,664.34574,481.27968,184.07332
OxPC(23:3(OOOKeO))+H,680.34066,497.2746,184.07332
OxPC(23:3(OOOOKeO))+H,696.33558,513.26952,184.07332
OxPC(23:4(Ke))+H,614.3453,431.27924,184.07332
OxPC(23:4(KeKe))+H,628.32455,445.25849,184.07332
OxPC(23:4(KeOKe))+H,644.31945,461.25339,184.07332
OxPC(23:4(KeOKeO))+H,660.31437,477.24831,184.07332
OxPC(23:4(OKe))+H,630.34021,447.27415,184.07332
OxPC(23:4(OKeO))+H,646.33513,463.26907,184.07332
OxPC(23:4(OOOKe))+H,662.33003,479.26397,184.07332
OxPC(23:4(OOOKeO))+H,678.32495,495.25889,184.07332
OxPC(23:4(OOOOKeO))+H,694.31987,511.25381,184.07332
OxPC(23:5(Ke))+H,612.32964,429.26358,184.07332
OxPC(23:5(KeKe))+H,626.30893,443.24287,184.07332
OxPC(23:5(KeKeO))+H,642.30385,459.23779,184.07332
OxPC(23:5(KeO))+H,628.32456,445.2585,184.07332
OxPC(23:5(KeOKeO))+H,658.29877,475.23271,184.07332
OxPC(23:5(OKeO))+H,644.31951,461.25345,184.07332
OxPC(23:5(OOKeO))+H,660.31443,477.24837,184.07332
OxPC(23:5(OOOKeO))+H,676.30935,493.24329,184.07332
OxPC(23:5(OOOOKeO))+H,692.30427,509.23821,184.07332
OxPC(24:0(Ke))+H,636.42354,453.35748,184.07332
OxPC(24:0(KeKe))+H,650.4028,467.33674,184.07332
OxPC(24:0(KeKeO))+H,666.39772,483.33166,184.07332
OxPC(24:0(KeO))+H,652.41846,469.3524,184.07332
OxPC(24:0(KeOKeO))+H,682.39264,499.32658,184.07332
OxPC(24:1(Ke))+H,634.4079,451.34184,184.07332
OxPC(24:1(KeKe))+H,648.38718,465.32112,184.07332
OxPC(24:1(KeKeO))+H,664.3821,481.31604,184.07332
OxPC(24:1(KeO))+H,650.40282,467.33676,184.07332
OxPC(24:1(KeOKeO))+H,680.37702,497.31096,184.07332
OxPC(24:1(O))+H,636.42358,453.35752,184.07332
OxPC(24:1(OKeO))+H,666.39776,483.3317,184.07332
OxPC(24:1(OO))+H,652.4185,469.35244,184.07332
OxPC(24:1(OOKeO))+H,682.39268,499.32662,184.07332
OxPC(24:1(OOO))+H,668.41342,485.34736,184.07332
OxPC(24:1(OOOKeO))+H,698.3876,515.32154,184.07332
OxPC(24:1(OOOO))+H,684.40834,501.34228,184.07332
OxPC(24:1(OOOOKeO))+H,714.38252,531.31646,184.07332
OxPC(24:2(Ke))+H,632.39225,449.32619,184.07332
OxPC(24:2(KeKe))+H,646.37154,463.30548,184.07332
OxPC(24:2(KeKeO))+H,662.36646,479.3004,184.07332
OxPC(24:2(KeOKeO))+H,678.36138,495.29532,184.07332
OxPC(24:2(OKe))+H,648.38716,465.3211,184.07332
OxPC(24:2(OKeO))+H,664.38208,481.31602,184.07332
OxPC(24:2(OOKeO))+H,680.377,497.31094,184.07332
OxPC(24:2(OOOKeO))+H,696.37196,513.3059,184.07332
OxPC(24:2(OOOOKeO))+H,712.36688,529.30082,184.07332
OxPC(24:3(Ke))+H,630.3766,447.31054,184.07332
OxPC(24:3(KeKe))+H,644.35589,461.28983,184.07332
OxPC(24:3(KeKeO))+H,660.35081,477.28475,184.07332
OxPC(24:3(KeO))+H,646.37152,463.30546,184.07332
OxPC(24:3(KeOKeO))+H,676.34573,493.27967,184.07332
OxPC(24:3(OKeO))+H,662.36644,479.30038,184.07332
OxPC(24:3(OOKeO))+H,678.36136,495.2953,184.07332
OxPC(24:3(OOOKeO))+H,694.35631,511.29025,184.07332
OxPC(24:3(OOOOKeO))+H,710.35123,527.28517,184.07332
OxPC(24:4(Ke))+H,628.36095,445.29489,184.07332
OxPC(24:4(KeKe))+H,642.3402,459.27414,184.07332
OxPC(24:4(KeKeO))+H,658.33512,475.26906,184.07332
OxPC(24:4(KeOKeO))+H,674.33008,491.26402,184.07332
OxPC(24:4(OKe))+H,644.35586,461.2898,184.07332
OxPC(24:4(OKeO))+H,660.35078,477.28472,184.07332
OxPC(24:4(OOKeO))+H,676.3457,493.27964,184.07332
OxPC(24:4(OOOKeO))+H,692.34066,509.2746,184.07332
OxPC(24:4(OOOOKeO))+H,708.33558,525.26952,184.07332
OxPC(24:5(Ke))+H,626.3453,443.27924,184.07332
OxPC(24:5(KeKe))+H,640.32454,457.25848,184.07332
OxPC(24:5(KeOKe))+H,656.31946,473.2534,184.07332
OxPC(24:5(KeOKeO))+H,672.31438,489.24832,184.07332
OxPC(24:5(OKe))+H,642.3402,459.27414,184.07332
OxPC(24:5(OKeO))+H,658.33512,475.26906,184.07332
OxPC(24:5(OOKeO))+H,674.33004,491.26398,184.07332
OxPC(24:5(OOOKeO))+H,690.32496,507.2589,184.07332
OxPC(24:5(OOOOKeO))+H,706.31988,523.25382,184.07332
OxPC(24:6(KeKe))+H,638.30892,455.24286,184.07332
OxPC(24:6(KeKeO))+H,654.30384,471.23778,184.07332
OxPC(24:6(KeOKeO))+H,670.29876,487.2327,184.07332
OxPC(25:0(Ke))+H,650.43919,467.37313,184.07332
OxPC(25:0(KeKe))+H,664.41845,481.35239,184.07332
OxPC(25:0(KeKeO))+H,680.41337,497.34731,184.07332
OxPC(25:0(KeO))+H,666.43411,483.36805,184.07332
OxPC(25:0(KeOKeO))+H,696.40829,513.34223,184.07332
OxPC(25:1(Ke))+H,648.42355,465.35749,184.07332
OxPC(25:1(KeKe))+H,662.40283,479.33677,184.07332
OxPC(25:1(KeKeO))+H,678.39775,495.33169,184.07332
OxPC(25:1(KeO))+H,664.41847,481.35241,184.07332
OxPC(25:1(KeOKeO))+H,694.39267,511.32661,184.07332
OxPC(25:1(O))+H,650.43918,467.37312,184.07332
OxPC(25:1(OKeO))+H,680.41341,497.34735,184.07332
OxPC(25:1(OO))+H,666.4341,483.36804,184.07332
OxPC(25:1(OOKeO))+H,696.40833,513.34227,184.07332
OxPC(25:1(OOO))+H,682.42902,499.36296,184.07332
OxPC(25:1(OOOKeO))+H,712.40325,529.33719,184.07332
OxPC(25:1(OOOO))+H,698.42394,515.35788,184.07332
OxPC(25:1(OOOOKeO))+H,728.39817,545.33211,184.07332
OxPC(25:2(Ke))+H,646.4079,463.34184,184.07332
OxPC(25:2(KeKe))+H,660.38719,477.32113,184.07332
OxPC(25:2(KeKeO))+H,676.38211,493.31605,184.07332
OxPC(25:2(KeOKeO))+H,692.37703,509.31097,184.07332
OxPC(25:2(O))+H,648.42358,465.35752,184.07332
OxPC(25:2(OKe))+H,662.40281,479.33675,184.07332
OxPC(25:2(OKeO))+H,678.39773,495.33167,184.07332
OxPC(25:2(OO))+H,664.4185,481.35244,184.07332
OxPC(25:2(OOKeO))+H,694.39265,511.32659,184.07332
OxPC(25:2(OOO))+H,680.41342,497.34736,184.07332
OxPC(25:2(OOOKeO))+H,710.38761,527.32155,184.07332
OxPC(25:2(OOOO))+H,696.40834,513.34228,184.07332
OxPC(25:2(OOOOKeO))+H,726.38253,543.31647,184.07332
OxPC(25:3(Ke))+H,644.39225,461.32619,184.07332
OxPC(25:3(KeKe))+H,658.37154,475.30548,184.07332
OxPC(25:3(KeKeO))+H,674.36646,491.3004,184.07332
OxPC(25:3(KeO))+H,660.38717,477.32111,184.07332
OxPC(25:3(KeOKeO))+H,690.36138,507.29532,184.07332
OxPC(25:3(OKeO))+H,676.38209,493.31603,184.07332
OxPC(25:3(OOKeO))+H,692.37701,509.31095,184.07332
OxPC(25:3(OOOKeO))+H,708.37196,525.3059,184.07332
OxPC(25:3(OOOOKeO))+H,724.36688,541.30082,184.07332
OxPC(25:4(Ke))+H,642.3766,459.31054,184.07332
