PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(10:0_26:0)+H,790.63204,607.566,559.412211,335.161811,618.48571,394.23531,412.24589,636.49629,229.17983,453.43023,184.07332
PC(12:0_12:0)+H,622.44424,439.3782,363.193111,363.193111,422.26661,422.26661,440.27719,440.27719,257.21113,257.21113,184.07332
PC(12:0_13:0)+H,636.45994,453.3939,377.208811,363.193111,436.28231,422.26661,440.27719,454.29289,257.21113,271.22683,184.07332
PC(12:0_14:0)+H,650.47554,467.4095,391.224411,363.193111,450.29791,422.26661,440.27719,468.30849,257.21113,285.24243,184.07332
PC(12:0_14:1)+H,648.45994,465.3939,389.208811,363.193111,448.28231,422.26661,440.27719,466.29289,257.21113,283.22683,184.07332
PC(12:0_15:0)+H,664.49124,481.4252,405.240111,363.193111,464.31361,422.26661,440.27719,482.32419,257.21113,299.25813,184.07332
PC(12:0_15:1)+H,662.47554,479.4095,403.224411,363.193111,462.29791,422.26661,440.27719,480.30849,257.21113,297.24243,184.07332
PC(12:0_16:0)+H,678.50684,495.4408,419.255711,363.193111,478.32921,422.26661,440.27719,496.33979,257.21113,313.27373,184.07332
PC(12:0_16:1)+H,676.49124,493.4252,417.240111,363.193111,476.31361,422.26661,440.27719,494.32419,257.21113,311.25813,184.07332
PC(12:0_17:0)+H,692.52254,509.4565,433.271411,363.193111,492.34491,422.26661,440.27719,510.35549,257.21113,327.28943,184.07332
PC(12:0_17:1)+H,690.50684,507.4408,431.255711,363.193111,490.32921,422.26661,440.27719,508.33979,257.21113,325.27373,184.07332
PC(12:0_17:2)+H,688.49124,505.4252,429.240111,363.193111,488.31361,422.26661,440.27719,506.32419,257.21113,323.25813,184.07332
PC(12:0_18:0)+H,706.53814,523.4721,447.287011,363.193111,506.36051,422.26661,440.27719,524.37109,257.21113,341.30503,184.07332
PC(12:0_18:1)+H,704.52254,521.4565,445.271411,363.193111,504.34491,422.26661,440.27719,522.35549,257.21113,339.28943,184.07332
PC(12:0_18:2)+H,702.50684,519.4408,443.255711,363.193111,502.32921,422.26661,440.27719,520.33979,257.21113,337.27373,184.07332
PC(12:0_18:3)+H,700.49124,517.4252,441.240111,363.193111,500.31361,422.26661,440.27719,518.32419,257.21113,335.25813,184.07332
PC(12:0_18:4)+H,698.47554,515.4095,439.224411,363.193111,498.29791,422.26661,440.27719,516.30849,257.21113,333.24243,184.07332
PC(12:0_19:0)+H,720.55384,537.4878,461.302711,363.193111,520.37621,422.26661,440.27719,538.38679,257.21113,355.32073,184.07332
PC(12:0_20:0)+H,734.56944,551.5034,475.318311,363.193111,534.39181,422.26661,440.27719,552.40239,257.21113,369.33633,184.07332
PC(12:0_20:1)+H,732.55384,549.4878,473.302711,363.193111,532.37621,422.26661,440.27719,550.38679,257.21113,367.32073,184.07332
PC(12:0_20:2)+H,730.53814,547.4721,471.287011,363.193111,530.36051,422.26661,440.27719,548.37109,257.21113,365.30503,184.07332
PC(12:0_20:3)+H,728.52254,545.4565,469.271411,363.193111,528.34491,422.26661,440.27719,546.35549,257.21113,363.28943,184.07332
PC(12:0_20:4)+H,726.50684,543.4408,467.255711,363.193111,526.32921,422.26661,440.27719,544.33979,257.21113,361.27373,184.07332
PC(12:0_20:5)+H,724.49124,541.4252,465.240111,363.193111,524.31361,422.26661,440.27719,542.32419,257.21113,359.25813,184.07332
PC(12:0_21:0)+H,748.58514,565.5191,489.334011,363.193111,548.40751,422.26661,440.27719,566.41809,257.21113,383.35203,184.07332
PC(12:0_22:0)+H,762.60074,579.5347,503.349611,363.193111,562.42311,422.26661,440.27719,580.43369,257.21113,397.36763,184.07332
PC(12:0_22:1)+H,760.58514,577.5191,501.334011,363.193111,560.40751,422.26661,440.27719,578.41809,257.21113,395.35203,184.07332
PC(12:0_22:2)+H,758.56944,575.5034,499.318311,363.193111,558.39181,422.26661,440.27719,576.40239,257.21113,393.33633,184.07332
PC(12:0_22:3)+H,756.55384,573.4878,497.302711,363.193111,556.37621,422.26661,440.27719,574.38679,257.21113,391.32073,184.07332
PC(12:0_22:4)+H,754.53814,571.4721,495.287011,363.193111,554.36051,422.26661,440.27719,572.37109,257.21113,389.30503,184.07332
PC(12:0_22:5)+H,752.52254,569.4565,493.271411,363.193111,552.34491,422.26661,440.27719,570.35549,257.21113,387.28943,184.07332
PC(12:0_22:6)+H,750.50684,567.4408,491.255711,363.193111,550.32921,422.26661,440.27719,568.33979,257.21113,385.27373,184.07332
PC(12:0_23:0)+H,776.61644,593.5504,517.365311,363.193111,576.43881,422.26661,440.27719,594.44939,257.21113,411.38333,184.07332
PC(12:0_24:0)+H,790.63204,607.566,531.380911,363.193111,590.45441,422.26661,440.27719,608.46499,257.21113,425.39893,184.07332
PC(12:0_24:1)+H,788.61644,605.5504,529.365311,363.193111,588.43881,422.26661,440.27719,606.44939,257.21113,423.38333,184.07332
PC(12:0_25:0)+H,804.64774,621.5817,545.396611,363.193111,604.47011,422.26661,440.27719,622.48069,257.21113,439.41463,184.07332
PC(12:0_26:0)+H,818.66334,635.5973,559.412211,363.193111,618.48571,422.26661,440.27719,636.49629,257.21113,453.43023,184.07332
PC(13:0_13:0)+H,650.47564,467.4096,377.208811,377.208811,436.28231,436.28231,454.29289,454.29289,271.22683,271.22683,184.07332
PC(13:0_14:0)+H,664.49124,481.4252,391.224411,377.208811,450.29791,436.28231,454.29289,468.30849,271.22683,285.24243,184.07332
