SQDG,[M-H]-,SQMG_SN1-H2O-H,SQMG_SN2-H2O-H,M-FA1-FA2-Glycerol+2H2O-H,sn1,sn2
SQDG(10:0_18:1)-H,735.43538,563.28914,453.17966,225.0069,171.13915,281.24863
SQDG(10:0_18:2)-H,733.41968,561.27344,453.1796,225.0069,171.13909,279.23293
SQDG(10:0_18:3)-H,731.40405,559.25781,453.17961,225.0069,171.1391,277.2173
SQDG(10:0_18:4)-H,729.38838,557.24214,453.17958,225.0069,171.13907,275.20163
SQDG(10:0_19:0)-H,751.46658,579.32034,453.17958,225.0069,171.13907,297.27983
SQDG(10:0_20:0)-H,765.48228,593.33604,453.17964,225.0069,171.13913,311.29553
SQDG(10:0_20:1)-H,763.46658,591.32034,453.17958,225.0069,171.13907,309.27983
SQDG(10:0_20:2)-H,761.45098,589.30474,453.17962,225.0069,171.13911,307.26423
SQDG(10:0_20:3)-H,759.43538,587.28914,453.17966,225.0069,171.13915,305.24863
SQDG(10:0_20:4)-H,757.41968,585.27344,453.1796,225.0069,171.13909,303.23293
SQDG(10:0_20:5)-H,755.40405,583.25781,453.17961,225.0069,171.1391,301.2173
SQDG(10:0_21:0)-H,779.49792,607.35168,453.17964,225.0069,171.13913,325.31117
SQDG(10:0_22:0)-H,793.51358,621.36734,453.17966,225.0069,171.13915,339.32683
SQDG(10:0_22:1)-H,791.49792,619.35168,453.17964,225.0069,171.13913,337.31117
SQDG(10:0_22:2)-H,789.48228,617.33604,453.17964,225.0069,171.13913,335.29553
SQDG(10:0_22:4)-H,785.45098,613.30474,453.17962,225.0069,171.13911,331.26423
SQDG(10:0_22:5)-H,783.43538,611.28914,453.17966,225.0069,171.13915,329.24863
SQDG(10:0_22:6)-H,781.41968,609.27344,453.1796,225.0069,171.13909,327.23293
SQDG(10:0_23:0)-H,807.52923,635.38299,453.17967,225.0069,171.13916,353.34248
SQDG(10:0_24:0)-H,821.54488,649.39864,453.17968,225.0069,171.13917,367.35813
SQDG(10:0_24:1)-H,819.52923,647.38299,453.17967,225.0069,171.13916,365.34248
SQDG(10:0_24:4)-H,813.48228,641.33604,453.17964,225.0069,171.13913,359.29553
SQDG(10:0_25:0)-H,835.56054,663.4143,453.1797,225.0069,171.13919,381.37379
SQDG(10:0_26:0)-H,849.57618,677.42994,453.1797,225.0069,171.13919,395.38943
SQDG(10:0_26:1)-H,847.56054,675.4143,453.1797,225.0069,171.13919,393.37379
SQDG(10:0_26:2)-H,845.54488,673.39864,453.17968,225.0069,171.13917,391.35813
SQDG(11:0_11:0)-H,653.35705,467.19517,467.19517,225.0069,185.15466,185.15466
SQDG(11:0_12:0)-H,667.37273,481.21085,467.19521,225.0069,185.1547,199.17034
SQDG(11:0_13:0)-H,681.38838,495.2265,467.19522,225.0069,185.15471,213.18599
SQDG(11:0_14:0)-H,695.40405,509.24217,467.19525,225.0069,185.15474,227.20166
SQDG(11:0_14:1)-H,693.38838,507.2265,467.19522,225.0069,185.15471,225.18599
SQDG(11:0_15:0)-H,709.41968,523.2578,467.19524,225.0069,185.15473,241.21729
SQDG(11:0_15:1)-H,707.40405,521.24217,467.19525,225.0069,185.15474,239.20166
SQDG(11:0_16:0)-H,723.43538,537.2735,467.1953,225.0069,185.15479,255.23299
SQDG(11:0_16:1)-H,721.41968,535.2578,467.19524,225.0069,185.15473,253.21729
SQDG(11:0_17:0)-H,737.45098,551.2891,467.19526,225.0069,185.15475,269.24859
SQDG(11:0_17:1)-H,735.43538,549.2735,467.1953,225.0069,185.15479,267.23299
SQDG(11:0_17:2)-H,733.41968,547.2578,467.19524,225.0069,185.15473,265.21729
SQDG(11:0_18:0)-H,751.46658,565.3047,467.19522,225.0069,185.15471,283.26419
SQDG(11:0_18:1)-H,749.45098,563.2891,467.19526,225.0069,185.15475,281.24859
SQDG(11:0_18:2)-H,747.43538,561.2735,467.1953,225.0069,185.15479,279.23299
SQDG(11:0_18:3)-H,745.41968,559.2578,467.19524,225.0069,185.15473,277.21729
SQDG(11:0_18:4)-H,743.40405,557.24217,467.19525,225.0069,185.15474,275.20166
SQDG(11:0_19:0)-H,765.48228,579.3204,467.19528,225.0069,185.15477,297.27989
SQDG(11:0_20:0)-H,779.49792,593.33604,467.19528,225.0069,185.15477,311.29553
SQDG(11:0_20:1)-H,777.48228,591.3204,467.19528,225.0069,185.15477,309.27989
SQDG(11:0_20:2)-H,775.46658,589.3047,467.19522,225.0069,185.15471,307.26419
SQDG(11:0_20:3)-H,773.45098,587.2891,467.19526,225.0069,185.15475,305.24859
SQDG(11:0_20:4)-H,771.43538,585.2735,467.1953,225.0069,185.15479,303.23299
SQDG(11:0_20:5)-H,769.41968,583.2578,467.19524,225.0069,185.15473,301.21729
SQDG(11:0_21:0)-H,793.51358,607.3517,467.1953,225.0069,185.15479,325.31119
SQDG(11:0_22:0)-H,807.52923,621.36735,467.19531,225.0069,185.1548,339.32684
SQDG(11:0_22:1)-H,805.51358,619.3517,467.1953,225.0069,185.15479,337.31119
SQDG(11:0_22:2)-H,803.49792,617.33604,467.19528,225.0069,185.15477,335.29553
SQDG(11:0_22:4)-H,799.46658,613.3047,467.19522,225.0069,185.15471,331.26419
SQDG(11:0_22:5)-H,797.45098,611.2891,467.19526,225.0069,185.15475,329.24859
SQDG(11:0_22:6)-H,795.43538,609.2735,467.1953,225.0069,185.15479,327.23299
SQDG(11:0_23:0)-H,821.54488,635.383,467.19532,225.0069,185.15481,353.34249
SQDG(11:0_24:0)-H,835.56054,649.39866,467.19534,225.0069,185.15483,367.35815
SQDG(11:0_24:1)-H,833.54488,647.383,467.19532,225.0069,185.15481,365.34249
SQDG(11:0_24:4)-H,827.49792,641.33604,467.19528,225.0069,185.15477,359.29553
SQDG(11:0_25:0)-H,849.57618,663.4143,467.19534,225.0069,185.15483,381.37379
SQDG(11:0_26:0)-H,863.59188,677.43,467.1954,225.0069,185.15489,395.38949
SQDG(11:0_26:1)-H,861.57618,675.4143,467.19534,225.0069,185.15483,393.37379
SQDG(11:0_26:2)-H,859.56054,673.39866,467.19534,225.0069,185.15483,391.35815
SQDG(12:0_12:0)-H,681.38838,481.21086,481.21086,225.0069,199.17035,199.17035
SQDG(12:0_13:0)-H,695.40405,495.22653,481.21089,225.0069,199.17038,213.18602
SQDG(12:0_14:0)-H,709.41968,509.24216,481.21088,225.0069,199.17037,227.20165
SQDG(12:0_14:1)-H,707.40405,507.22653,481.21089,225.0069,199.17038,225.18602
SQDG(12:0_15:0)-H,723.43538,523.25786,481.21094,225.0069,199.17043,241.21735
SQDG(12:0_15:1)-H,721.41968,521.24216,481.21088,225.0069,199.17037,239.20165
SQDG(12:0_16:0)-H,737.45098,537.27346,481.2109,225.0069,199.17039,255.23295
SQDG(12:0_16:1)-H,735.43538,535.25786,481.21094,225.0069,199.17043,253.21735
SQDG(12:0_17:0)-H,751.46658,551.28906,481.21086,225.0069,199.17035,269.24855
SQDG(12:0_17:1)-H,749.45098,549.27346,481.2109,225.0069,199.17039,267.23295
SQDG(12:0_17:2)-H,747.43538,547.25786,481.21094,225.0069,199.17043,265.21735
SQDG(12:0_18:0)-H,765.48228,565.30476,481.21092,225.0069,199.17041,283.26425
SQDG(12:0_18:1)-H,763.46658,563.28906,481.21086,225.0069,199.17035,281.24855
SQDG(12:0_18:2)-H,761.45098,561.27346,481.2109,225.0069,199.17039,279.23295
SQDG(12:0_18:3)-H,759.43538,559.25786,481.21094,225.0069,199.17043,277.21735
SQDG(12:0_18:4)-H,757.41968,557.24216,481.21088,225.0069,199.17037,275.20165
SQDG(12:0_19:0)-H,779.49792,579.3204,481.21092,225.0069,199.17041,297.27989
SQDG(12:0_20:0)-H,793.51358,593.33606,481.21094,225.0069,199.17043,311.29555
SQDG(12:0_20:1)-H,791.49792,591.3204,481.21092,225.0069,199.17041,309.27989
SQDG(12:0_20:2)-H,789.48228,589.30476,481.21092,225.0069,199.17041,307.26425
SQDG(12:0_20:3)-H,787.46658,587.28906,481.21086,225.0069,199.17035,305.24855
SQDG(12:0_20:4)-H,785.45098,585.27346,481.2109,225.0069,199.17039,303.23295
SQDG(12:0_20:5)-H,783.43538,583.25786,481.21094,225.0069,199.17043,301.21735
SQDG(12:0_21:0)-H,807.52923,607.35171,481.21095,225.0069,199.17044,325.3112
SQDG(12:0_22:0)-H,821.54488,621.36736,481.21096,225.0069,199.17045,339.32685
SQDG(12:0_22:1)-H,819.52923,619.35171,481.21095,225.0069,199.17044,337.3112
SQDG(12:0_22:2)-H,817.51358,617.33606,481.21094,225.0069,199.17043,335.29555
SQDG(12:0_22:4)-H,813.48228,613.30476,481.21092,225.0069,199.17041,331.26425
SQDG(12:0_22:5)-H,811.46658,611.28906,481.21086,225.0069,199.17035,329.24855
SQDG(12:0_22:6)-H,809.45098,609.27346,481.2109,225.0069,199.17039,327.23295
SQDG(12:0_23:0)-H,835.56054,635.38302,481.21098,225.0069,199.17047,353.34251
SQDG(12:0_24:0)-H,849.57618,649.39866,481.21098,225.0069,199.17047,367.35815
SQDG(12:0_24:1)-H,847.56054,647.38302,481.21098,225.0069,199.17047,365.34251
SQDG(12:0_24:4)-H,841.51358,641.33606,481.21094,225.0069,199.17043,359.29555
SQDG(12:0_25:0)-H,863.59188,663.41436,481.21104,225.0069,199.17053,381.37385
SQDG(12:0_26:0)-H,877.60748,677.42996,481.211,225.0069,199.17049,395.38945
SQDG(12:0_26:1)-H,875.59188,675.41436,481.21104,225.0069,199.17053,393.37385
SQDG(12:0_26:2)-H,873.57618,673.39866,481.21098,225.0069,199.17047,391.35815
SQDG(13:0_13:0)-H,709.41968,495.22652,495.22652,225.0069,213.18601,213.18601
SQDG(13:0_14:0)-H,723.43538,509.24222,495.22658,225.0069,213.18607,227.20171
SQDG(13:0_14:1)-H,721.41968,507.22652,495.22652,225.0069,213.18601,225.18601
SQDG(13:0_15:0)-H,737.45098,523.25782,495.22654,225.0069,213.18603,241.21731
SQDG(13:0_15:1)-H,735.43538,521.24222,495.22658,225.0069,213.18607,239.20171
SQDG(13:0_16:0)-H,751.46658,537.27342,495.2265,225.0069,213.18599,255.23291
SQDG(13:0_16:1)-H,749.45098,535.25782,495.22654,225.0069,213.18603,253.21731
SQDG(13:0_17:0)-H,765.48228,551.28912,495.22656,225.0069,213.18605,269.24861
SQDG(13:0_17:1)-H,763.46658,549.27342,495.2265,225.0069,213.18599,267.23291
SQDG(13:0_17:2)-H,761.45098,547.25782,495.22654,225.0069,213.18603,265.21731
SQDG(13:0_18:0)-H,779.49792,565.30476,495.22656,225.0069,213.18605,283.26425
SQDG(13:0_18:1)-H,777.48228,563.28912,495.22656,225.0069,213.18605,281.24861
SQDG(13:0_18:2)-H,775.46658,561.27342,495.2265,225.0069,213.18599,279.23291
SQDG(13:0_18:3)-H,773.45098,559.25782,495.22654,225.0069,213.18603,277.21731
SQDG(13:0_18:4)-H,771.43538,557.24222,495.22658,225.0069,213.18607,275.20171
SQDG(13:0_19:0)-H,793.51358,579.32042,495.22658,225.0069,213.18607,297.27991
SQDG(13:0_20:0)-H,807.52923,593.33607,495.22659,225.0069,213.18608,311.29556
SQDG(13:0_20:1)-H,805.51358,591.32042,495.22658,225.0069,213.18607,309.27991
SQDG(13:0_20:2)-H,803.49792,589.30476,495.22656,225.0069,213.18605,307.26425
SQDG(13:0_20:3)-H,801.48228,587.28912,495.22656,225.0069,213.18605,305.24861
SQDG(13:0_20:4)-H,799.46658,585.27342,495.2265,225.0069,213.18599,303.23291
