SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,PC Head,CH2CHN(CH3)3
SM(42:4)+H,809.65317,626.58713,750.57963,608.57647,184.07332,86.09648
SM(42:5)+H,807.63747,624.57143,748.56393,606.56077,184.07332,86.09648
SM(42:6)+H,805.62177,622.55573,746.54823,604.54507,184.07332,86.09648
SM(42:7)+H,803.60617,620.54013,744.53263,602.52947,184.07332,86.09648
SM(42:8)+H,801.59047,618.52443,742.51693,600.51377,184.07332,86.09648
SM(42:9)+H,799.57487,616.50883,740.50133,598.49817,184.07332,86.09648
SM(43:0)+H,831.73137,648.66533,772.65783,630.65467,184.07332,86.09648
SM(43:1)+H,829.71567,646.64963,770.64213,628.63897,184.07332,86.09648
SM(43:2)+H,827.70007,644.63403,768.62653,626.62337,184.07332,86.09648
SM(43:3)+H,825.68447,642.61843,766.61093,624.60777,184.07332,86.09648
SM(43:4)+H,823.66877,640.60273,764.59523,622.59207,184.07332,86.09648
SM(43:5)+H,821.65317,638.58713,762.57963,620.57647,184.07332,86.09648
SM(43:6)+H,819.63747,636.57143,760.56393,618.56077,184.07332,86.09648
SM(44:0)+H,845.74697,662.68093,786.67343,644.67027,184.07332,86.09648
SM(44:1)+H,843.73137,660.66533,784.65783,642.65467,184.07332,86.09648
SM(44:10)+H,825.59047,642.52443,766.51693,624.51377,184.07332,86.09648
SM(44:11)+H,823.57487,640.50883,764.50133,622.49817,184.07332,86.09648
SM(44:12)+H,821.55917,638.49313,762.48563,620.48247,184.07332,86.09648
SM(44:2)+H,841.71567,658.64963,782.64213,640.63897,184.07332,86.09648
SM(44:3)+H,839.70007,656.63403,780.62653,638.62337,184.07332,86.09648
SM(44:4)+H,837.68437,654.61833,778.61083,636.60767,184.07332,86.09648
SM(44:5)+H,835.66877,652.60273,776.59523,634.59207,184.07332,86.09648
SM(44:6)+H,833.65317,650.58713,774.57963,632.57647,184.07332,86.09648
SM(44:7)+H,831.63747,648.57143,772.56393,630.56077,184.07332,86.09648
SM(44:8)+H,829.62177,646.55573,770.54823,628.54507,184.07332,86.09648
SM(44:9)+H,827.60617,644.54013,768.53263,626.52947,184.07332,86.09648
SM(45:0)+H,859.76267,676.69663,800.68913,658.68597,184.07332,86.09648
SM(45:1)+H,857.74707,674.68103,798.67353,656.67037,184.07332,86.09648
SM(45:2)+H,855.73137,672.66533,796.65783,654.65467,184.07332,86.09648
SM(45:3)+H,853.71577,670.64973,794.64223,652.63907,184.07332,86.09648
SM(45:4)+H,851.70007,668.63403,792.62653,650.62337,184.07332,86.09648
SM(45:5)+H,849.68447,666.61843,790.61093,648.60777,184.07332,86.09648
SM(45:6)+H,847.66877,664.60273,788.59523,646.59207,184.07332,86.09648
SM(46:0)+H,873.77827,690.71223,814.70473,672.70157,184.07332,86.09648
SM(46:1)+H,871.76267,688.69663,812.68913,670.68597,184.07332,86.09648
SM(46:2)+H,869.74697,686.68093,810.67343,668.67027,184.07332,86.09648
SM(46:3)+H,867.73137,684.66533,808.65783,666.65467,184.07332,86.09648
SM(46:4)+H,865.71567,682.64963,806.64213,664.63897,184.07332,86.09648
SM(46:5)+H,863.70007,680.63403,804.62653,662.62337,184.07332,86.09648
SM(46:6)+H,861.68447,678.61843,802.61093,660.60777,184.07332,86.09648
SM(46:7)+H,859.66877,676.60273,800.59523,658.59207,184.07332,86.09648
SM(47:0)+H,887.79397,704.72793,828.72043,686.71727,184.07332,86.09648
SM(47:1)+H,885.77837,702.71233,826.70483,684.70167,184.07332,86.09648
SM(47:2)+H,883.76267,700.69663,824.68913,682.68597,184.07332,86.09648
SM(47:3)+H,881.74707,698.68103,822.67353,680.67037,184.07332,86.09648
SM(47:4)+H,879.73137,696.66533,820.65783,678.65467,184.07332,86.09648
SM(47:5)+H,877.71577,694.64973,818.64223,676.63907,184.07332,86.09648
SM(47:6)+H,875.70007,692.63403,816.62653,674.62337,184.07332,86.09648
SM(48:0)+H,901.80957,718.74353,842.73603,700.73287,184.07332,86.09648
SM(48:1)+H,899.79397,716.72793,840.72043,698.71727,184.07332,86.09648
SM(48:2)+H,897.77827,714.71223,838.70473,696.70157,184.07332,86.09648
SM(48:3)+H,895.76267,712.69663,836.68913,694.68597,184.07332,86.09648
SM(48:4)+H,893.74697,710.68093,834.67343,692.67027,184.07332,86.09648
SM(48:5)+H,891.73137,708.66533,832.65783,690.65467,184.07332,86.09648
SM(48:6)+H,889.71567,706.64963,830.64213,688.63897,184.07332,86.09648
SM(49:0)+H,915.82527,732.75923,856.75173,714.74857,184.07332,86.09648
SM(49:1)+H,913.80967,730.74363,854.73613,712.73297,184.07332,86.09648
SM(50:0)+H,929.84087,746.77483,870.76733,728.76417,184.07332,86.09648
SM(50:1)+H,927.82527,744.75923,868.75173,726.74857,184.07332,86.09648
SM(51:0)+H,943.85657,760.79053,884.78303,742.77987,184.07332,86.09648
SM(52:0)+H,957.87217,774.80613,898.79863,756.79547,184.07332,86.09648
SPLASH_SM(d36:2(d9))+H,738.647,555.58096,679.57346,537.5703,184.07332,86.09648
