DGDG,[M+C2H3O2]-,[M-H]-,NL of SN1+HCOOH,NL of SN2+HCOOH,NL of SN1+HCOOH+H2O,NL of SN2+HCOOH+H2O,C15H27O13,C15H25O12,C15H23O11,SN2,SN1
DGDG(3:0_14:1)+C2H3O2,739.3752,679.3541,623.3279,471.1715,605.3173,453.1609,415.1457,397.1352,379.1246,225.1853,73.02894
DGDG(3:0_15:0)+C2H3O2,755.4066,695.3854,639.3592,471.1715,621.3486,453.1609,415.1457,397.1352,379.1246,241.2166,73.02894
DGDG(3:0_15:1)+C2H3O2,753.3909,693.3698,637.3436,471.1715,619.333,453.1609,415.1457,397.1352,379.1246,239.201,73.02894
DGDG(3:0_16:0)+C2H3O2,769.4222,709.4011,653.3749,471.1715,635.3643,453.161,415.1457,397.1352,379.1246,255.2323,73.02894
DGDG(3:0_16:1)+C2H3O2,767.4066,707.3854,651.3592,471.1715,633.3486,453.1609,415.1457,397.1352,379.1246,253.2166,73.02894
DGDG(3:0_16:2)+C2H3O2,765.3909,705.3698,649.3436,471.1715,631.333,453.1609,415.1457,397.1352,379.1246,251.201,73.02894
DGDG(3:0_16:3)+C2H3O2,763.3752,703.3541,647.3279,471.1715,629.3173,453.1609,415.1457,397.1352,379.1246,249.1853,73.02894
DGDG(3:0_16:4)+C2H3O2,761.3596,701.3384,645.3123,471.1715,627.3017,453.1609,415.1457,397.1352,379.1246,247.1697,73.02894
DGDG(3:0_17:0)+C2H3O2,783.4378,723.4167,667.3905,471.1715,649.3799,453.161,415.1457,397.1352,379.1246,269.2479,73.02894
DGDG(3:0_17:1)+C2H3O2,781.4222,721.4011,665.3749,471.1715,647.3643,453.161,415.1457,397.1352,379.1246,267.2323,73.02894
DGDG(3:0_17:2)+C2H3O2,779.4066,719.3854,663.3592,471.1715,645.3486,453.1609,415.1457,397.1352,379.1246,265.2166,73.02894
DGDG(3:0_18:0)+C2H3O2,797.4535,737.4324,681.4061,471.1715,663.3956,453.161,415.1457,397.1352,379.1246,283.2635,73.02894
DGDG(3:0_18:1)+C2H3O2,795.4378,735.4167,679.3905,471.1715,661.3799,453.161,415.1457,397.1352,379.1246,281.2479,73.02894
DGDG(3:0_18:2)+C2H3O2,793.4222,733.4011,677.3749,471.1715,659.3643,453.161,415.1457,397.1352,379.1246,279.2323,73.02894
DGDG(3:0_18:3)+C2H3O2,791.4066,731.3854,675.3592,471.1715,657.3486,453.1609,415.1457,397.1352,379.1246,277.2166,73.02894
DGDG(3:0_18:4)+C2H3O2,789.3909,729.3698,673.3436,471.1715,655.333,453.1609,415.1457,397.1352,379.1246,275.201,73.02894
DGDG(3:0_18:5)+C2H3O2,787.3752,727.3541,671.3279,471.1715,653.3173,453.1609,415.1457,397.1352,379.1246,273.1853,73.02894
DGDG(3:0_19:0)+C2H3O2,811.4691,751.448,695.4218,471.1716,677.4113,453.161,415.1457,397.1352,379.1246,297.2792,73.02894
DGDG(3:0_19:1)+C2H3O2,809.4535,749.4324,693.4061,471.1715,675.3956,453.161,415.1457,397.1352,379.1246,295.2635,73.02894
DGDG(3:0_19:2)+C2H3O2,807.4378,747.4167,691.3905,471.1715,673.3799,453.161,415.1457,397.1352,379.1246,293.2479,73.02894
DGDG(3:0_20:0)+C2H3O2,825.4848,765.4636,709.4374,471.1716,691.4269,453.161,415.1457,397.1352,379.1246,311.2948,73.02894
DGDG(3:0_20:1)+C2H3O2,823.4691,763.448,707.4218,471.1716,689.4113,453.161,415.1457,397.1352,379.1246,309.2792,73.02894
DGDG(3:0_20:2)+C2H3O2,821.4535,761.4324,705.4061,471.1715,687.3956,453.161,415.1457,397.1352,379.1246,307.2635,73.02894
DGDG(3:0_20:3)+C2H3O2,819.4378,759.4167,703.3905,471.1715,685.3799,453.161,415.1457,397.1352,379.1246,305.2479,73.02894
DGDG(3:0_20:4)+C2H3O2,817.4222,757.4011,701.3749,471.1715,683.3643,453.161,415.1457,397.1352,379.1246,303.2323,73.02894
DGDG(3:0_20:5)+C2H3O2,815.4066,755.3854,699.3592,471.1715,681.3486,453.1609,415.1457,397.1352,379.1246,301.2166,73.02894
DGDG(3:0_21:0)+C2H3O2,839.5004,779.4793,723.4531,471.1716,705.4426,453.161,415.1457,397.1352,379.1246,325.3105,73.02894
DGDG(3:0_21:1)+C2H3O2,837.4848,777.4636,721.4374,471.1716,703.4269,453.161,415.1457,397.1352,379.1246,323.2948,73.02894
DGDG(3:0_21:2)+C2H3O2,835.4691,775.448,719.4218,471.1716,701.4113,453.161,415.1457,397.1352,379.1246,321.2792,73.02894
DGDG(3:0_22:0)+C2H3O2,853.5161,793.4949,737.4688,471.1716,719.4582,453.161,415.1457,397.1352,379.1246,339.3261,73.02894
DGDG(3:0_22:1)+C2H3O2,851.5004,791.4793,735.4531,471.1716,717.4426,453.161,415.1457,397.1352,379.1246,337.3105,73.02894
DGDG(3:0_22:2)+C2H3O2,849.4848,789.4636,733.4374,471.1716,715.4269,453.161,415.1457,397.1352,379.1246,335.2948,73.02894
DGDG(3:0_22:3)+C2H3O2,847.4691,787.448,731.4218,471.1716,713.4113,453.161,415.1457,397.1352,379.1246,333.2792,73.02894
DGDG(3:0_22:4)+C2H3O2,845.4535,785.4324,729.4061,471.1715,711.3956,453.161,415.1457,397.1352,379.1246,331.2635,73.02894
DGDG(3:0_22:5)+C2H3O2,843.4378,783.4167,727.3905,471.1715,709.3799,453.161,415.1457,397.1352,379.1246,329.2479,73.02894
DGDG(3:0_22:6)+C2H3O2,841.4222,781.4011,725.3749,471.1715,707.3643,453.161,415.1457,397.1352,379.1246,327.2323,73.02894
DGDG(3:0_23:0)+C2H3O2,867.5317,807.5106,751.4844,471.1716,733.4738,453.161,415.1457,397.1352,379.1246,353.3417,73.02894
DGDG(3:0_24:0)+C2H3O2,881.5474,821.5262,765.5001,471.1716,747.4895,453.161,415.1457,397.1352,379.1246,367.3574,73.02894
DGDG(3:0_24:1)+C2H3O2,879.5317,819.5106,763.4844,471.1716,745.4738,453.161,415.1457,397.1352,379.1246,365.3417,73.02894
DGDG(3:0_24:2)+C2H3O2,877.5161,817.4949,761.4688,471.1716,743.4582,453.161,415.1457,397.1352,379.1246,363.3261,73.02894
DGDG(3:0_24:4)+C2H3O2,873.4848,813.4636,757.4374,471.1716,739.4269,453.161,415.1457,397.1352,379.1246,359.2948,73.02894
DGDG(3:0_25:0)+C2H3O2,895.563,835.5419,779.5157,471.1716,761.5051,453.1611,415.1457,397.1352,379.1246,381.373,73.02894
DGDG(3:0_26:0)+C2H3O2,909.5787,849.5576,793.5314,471.1716,775.5208,453.1611,415.1457,397.1352,379.1246,395.3887,73.02894
DGDG(3:0_26:1)+C2H3O2,907.563,847.5419,791.5157,471.1716,773.5051,453.1611,415.1457,397.1352,379.1246,393.373,73.02894
DGDG(3:0_26:2)+C2H3O2,905.5474,845.5262,789.5001,471.1716,771.4895,453.161,415.1457,397.1352,379.1246,391.3574,73.02894
DGDG(3:0_26:4)+C2H3O2,901.5161,841.4949,785.4688,471.1716,767.4582,453.161,415.1457,397.1352,379.1246,387.3261,73.02894
DGDG(3:0_27:0)+C2H3O2,923.5944,863.5732,807.547,471.1716,789.5364,453.1611,415.1457,397.1352,379.1246,409.4043,73.02894
DGDG(4:0_4:0)+C2H3O2,615.25,555.2289,485.1871,485.1871,467.1765,467.1765,415.1457,397.1352,379.1246,87.04458,87.04458
DGDG(4:0_5:0)+C2H3O2,629.2657,569.2446,499.2027,485.1871,481.1921,467.1765,415.1457,397.1352,379.1246,101.0602,87.04458
DGDG(4:0_6:0)+C2H3O2,643.2813,583.2602,513.2184,485.1871,495.2078,467.1765,415.1457,397.1352,379.1246,115.0759,87.04458
DGDG(4:0_7:0)+C2H3O2,657.297,597.2759,527.234,485.1871,509.2234,467.1765,415.1457,397.1352,379.1246,129.0915,87.04458
DGDG(4:0_8:0)+C2H3O2,671.3126,611.2915,541.2496,485.1871,523.2391,467.1765,415.1457,397.1352,379.1246,143.1071,87.04458
DGDG(4:0_9:0)+C2H3O2,685.3283,625.3071,555.2653,485.1871,537.2548,467.1765,415.1457,397.1352,379.1246,157.1228,87.04458
DGDG(4:0_10:0)+C2H3O2,699.3439,639.3228,569.2809,485.1871,551.2704,467.1766,415.1457,397.1352,379.1246,171.1384,87.04458
DGDG(4:0_11:0)+C2H3O2,713.3596,653.3384,583.2966,485.1871,565.2861,467.1766,415.1457,397.1352,379.1246,185.1541,87.04458
DGDG(4:0_12:0)+C2H3O2,727.3752,667.3541,597.3123,485.1871,579.3017,467.1766,415.1457,397.1352,379.1246,199.1697,87.04458
DGDG(4:0_13:0)+C2H3O2,741.3909,681.3698,611.3279,485.1872,593.3173,467.1766,415.1457,397.1352,379.1246,213.1853,87.04458
DGDG(4:0_13:1)+C2H3O2,739.3752,679.3541,609.3123,485.1871,591.3017,467.1766,415.1457,397.1352,379.1246,211.1697,87.04458
DGDG(4:0_14:0)+C2H3O2,755.4066,695.3854,625.3436,485.1872,607.333,467.1766,415.1457,397.1352,379.1246,227.201,87.04458
DGDG(4:0_14:1)+C2H3O2,753.3909,693.3698,623.3279,485.1872,605.3173,467.1766,415.1457,397.1352,379.1246,225.1853,87.04458
DGDG(4:0_15:0)+C2H3O2,769.4222,709.4011,639.3592,485.1872,621.3486,467.1766,415.1457,397.1352,379.1246,241.2166,87.04458
DGDG(4:0_15:1)+C2H3O2,767.4066,707.3854,637.3436,485.1872,619.333,467.1766,415.1457,397.1352,379.1246,239.201,87.04458
DGDG(4:0_16:0)+C2H3O2,783.4378,723.4167,653.3749,485.1872,635.3643,467.1766,415.1457,397.1352,379.1246,255.2323,87.04458
DGDG(4:0_16:1)+C2H3O2,781.4222,721.4011,651.3592,485.1872,633.3486,467.1766,415.1457,397.1352,379.1246,253.2166,87.04458
DGDG(4:0_16:2)+C2H3O2,779.4066,719.3854,649.3436,485.1872,631.333,467.1766,415.1457,397.1352,379.1246,251.201,87.04458
DGDG(4:0_16:3)+C2H3O2,777.3909,717.3698,647.3279,485.1872,629.3173,467.1766,415.1457,397.1352,379.1246,249.1853,87.04458
DGDG(4:0_16:4)+C2H3O2,775.3752,715.3541,645.3123,485.1871,627.3017,467.1766,415.1457,397.1352,379.1246,247.1697,87.04458
DGDG(4:0_17:0)+C2H3O2,797.4535,737.4324,667.3905,485.1872,649.3799,467.1766,415.1457,397.1352,379.1246,269.2479,87.04458
DGDG(4:0_17:1)+C2H3O2,795.4378,735.4167,665.3749,485.1872,647.3643,467.1766,415.1457,397.1352,379.1246,267.2323,87.04458
