SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d12:0/8:0)+H,509.37137,326.30533,450.29783,308.29467,182.190245,124.111985,184.07332,86.09648
SM(d13:0/10:0)+H,551.41837,368.35233,492.34483,350.34167,196.205945,152.143285,184.07332,86.09648
SM(d13:0/12:0)+H,579.44967,396.38363,520.37613,378.37297,196.205945,180.174585,184.07332,86.09648
SM(d13:0/13:0)+H,593.46537,410.39933,534.39183,392.38867,196.205945,194.190285,184.07332,86.09648
SM(d13:0/14:0)+H,607.48097,424.41493,548.40743,406.40427,196.205945,208.205885,184.07332,86.09648
SM(d13:0/14:1)+H,605.46537,422.39933,546.39183,404.38867,196.205945,206.190285,184.07332,86.09648
SM(d13:0/15:0)+H,621.49667,438.43063,562.42313,420.41997,196.205945,222.221585,184.07332,86.09648
SM(d13:0/15:1)+H,619.48097,436.41493,560.40743,418.40427,196.205945,220.205885,184.07332,86.09648
SM(d13:0/16:0)+H,635.51227,452.44623,576.43873,434.43557,196.205945,236.237185,184.07332,86.09648
SM(d13:0/16:1)+H,633.49667,450.43063,574.42313,432.41997,196.205945,234.221585,184.07332,86.09648
SM(d13:0/17:0)+H,649.52797,466.46193,590.45443,448.45127,196.205945,250.252885,184.07332,86.09648
SM(d13:0/17:1)+H,647.51227,464.44623,588.43873,446.43557,196.205945,248.237185,184.07332,86.09648
SM(d13:0/17:2)+H,645.49667,462.43063,586.42313,444.41997,196.205945,246.221585,184.07332,86.09648
SM(d13:0/18:0)+H,663.54357,480.47753,604.47003,462.46687,196.205945,264.268485,184.07332,86.09648
SM(d13:0/18:1)+H,661.52797,478.46193,602.45443,460.45127,196.205945,262.252885,184.07332,86.09648
SM(d13:0/18:2)+H,659.51227,476.44623,600.43873,458.43557,196.205945,260.237185,184.07332,86.09648
SM(d13:0/18:3)+H,657.49667,474.43063,598.42313,456.41997,196.205945,258.221585,184.07332,86.09648
SM(d13:0/18:4)+H,655.48097,472.41493,596.40743,454.40427,196.205945,256.205885,184.07332,86.09648
SM(d13:0/19:0)+H,677.55927,494.49323,618.48573,476.48257,196.205945,278.284185,184.07332,86.09648
SM(d13:0/20:0)+H,691.57487,508.50883,632.50133,490.49817,196.205945,292.299785,184.07332,86.09648
SM(d13:0/20:1)+H,689.55927,506.49323,630.48573,488.48257,196.205945,290.284185,184.07332,86.09648
SM(d13:0/20:2)+H,687.54357,504.47753,628.47003,486.46687,196.205945,288.268485,184.07332,86.09648
SM(d13:0/20:3)+H,685.52797,502.46193,626.45443,484.45127,196.205945,286.252885,184.07332,86.09648
SM(d13:0/20:4)+H,683.51227,500.44623,624.43873,482.43557,196.205945,284.237185,184.07332,86.09648
SM(d13:0/20:5)+H,681.49667,498.43063,622.42313,480.41997,196.205945,282.221585,184.07332,86.09648
SM(d13:0/21:0)+H,705.59057,522.52453,646.51703,504.51387,196.205945,306.315485,184.07332,86.09648
SM(d13:0/22:0)+H,719.60617,536.54013,660.53263,518.52947,196.205945,320.331085,184.07332,86.09648
SM(d13:0/22:1)+H,717.59057,534.52453,658.51703,516.51387,196.205945,318.315485,184.07332,86.09648
SM(d13:0/22:2)+H,715.57487,532.50883,656.50133,514.49817,196.205945,316.299785,184.07332,86.09648
SM(d13:0/22:3)+H,713.55927,530.49323,654.48573,512.48257,196.205945,314.284185,184.07332,86.09648
SM(d13:0/22:4)+H,711.54357,528.47753,652.47003,510.46687,196.205945,312.268485,184.07332,86.09648
SM(d13:0/22:5)+H,709.52797,526.46193,650.45443,508.45127,196.205945,310.252885,184.07332,86.09648
SM(d13:0/22:6)+H,707.51227,524.44623,648.43873,506.43557,196.205945,308.237185,184.07332,86.09648
SM(d13:0/23:0)+H,733.62187,550.55583,674.54833,532.54517,196.205945,334.346785,184.07332,86.09648
SM(d13:0/24:0)+H,747.63747,564.57143,688.56393,546.56077,196.205945,348.362385,184.07332,86.09648
