DMPE,[M-H]-,T1_RCOO-,T2_RCOO-
DMPE(13:0_20:4)-H,724.4923,213.18605,303.23295
DMPE(13:0_20:5)-H,722.4767,213.18605,301.21735
DMPE(13:0_21:0)-H,746.5706,213.18605,325.31125
DMPE(13:0_22:0)-H,760.5862,213.18605,339.32685
DMPE(13:0_22:1)-H,758.5706,213.18605,337.31125
DMPE(13:0_22:2)-H,756.5549,213.18605,335.29555
DMPE(13:0_22:3)-H,754.5393,213.18605,333.27995
DMPE(13:0_22:4)-H,752.5236,213.18605,331.26425
DMPE(13:0_22:5)-H,750.508,213.18605,329.24865
DMPE(13:0_22:6)-H,748.4923,213.18605,327.23295
DMPE(13:0_23:0)-H,774.6019,213.18605,353.34255
DMPE(13:0_24:0)-H,788.6175,213.18605,367.35815
DMPE(13:0_24:1)-H,786.6019,213.18605,365.34255
DMPE(13:0_25:0)-H,802.6332,213.18605,381.37385
DMPE(13:0_26:0)-H,816.6488,213.18605,395.38945
DMPE(14:0_14:0)-H,662.4766,227.20165,227.20165
DMPE(14:0_14:1)-H,660.461,227.20165,225.18605
DMPE(14:0_15:0)-H,676.4923,227.20165,241.21735
DMPE(14:0_15:1)-H,674.4766,227.20165,239.20165
DMPE(14:0_16:0)-H,690.5079,227.20165,255.23295
DMPE(14:0_16:1)-H,688.4923,227.20165,253.21735
DMPE(14:0_17:0)-H,704.5236,227.20165,269.24865
DMPE(14:0_17:1)-H,702.5079,227.20165,267.23295
DMPE(14:0_17:2)-H,700.4923,227.20165,265.21735
DMPE(14:0_18:0)-H,718.5392,227.20165,283.26425
DMPE(14:0_18:1)-H,716.5236,227.20165,281.24865
DMPE(14:0_18:2)-H,714.5079,227.20165,279.23295
DMPE(14:0_18:3)-H,712.4923,227.20165,277.21735
DMPE(14:0_18:4)-H,710.4766,227.20165,275.20165
DMPE(14:0_19:0)-H,732.5549,227.20165,297.27995
DMPE(14:0_20:0)-H,746.5705,227.20165,311.29555
DMPE(14:0_20:1)-H,744.5549,227.20165,309.27995
DMPE(14:0_20:2)-H,742.5392,227.20165,307.26425
DMPE(14:0_20:3)-H,740.5236,227.20165,305.24865
DMPE(14:0_20:4)-H,738.5079,227.20165,303.23295
DMPE(14:0_20:5)-H,736.4923,227.20165,301.21735
DMPE(14:0_21:0)-H,760.5862,227.20165,325.31125
DMPE(14:0_22:0)-H,774.6018,227.20165,339.32685
DMPE(14:0_22:1)-H,772.5862,227.20165,337.31125
DMPE(14:0_22:2)-H,770.5705,227.20165,335.29555
DMPE(14:0_22:3)-H,768.5549,227.20165,333.27995
DMPE(14:0_22:4)-H,766.5392,227.20165,331.26425
DMPE(14:0_22:5)-H,764.5236,227.20165,329.24865
DMPE(14:0_22:6)-H,762.5079,227.20165,327.23295
DMPE(14:0_23:0)-H,788.6175,227.20165,353.34255
DMPE(14:0_24:0)-H,802.6331,227.20165,367.35815
DMPE(14:0_24:1)-H,800.6175,227.20165,365.34255
DMPE(14:0_25:0)-H,816.6488,227.20165,381.37385
DMPE(14:0_26:0)-H,830.6644,227.20165,395.38945
DMPE(14:1_14:1)-H,658.4454,225.18605,225.18605
DMPE(14:1_15:0)-H,674.4767,225.18605,241.21735
DMPE(14:1_15:1)-H,672.461,225.18605,239.20165
DMPE(14:1_16:0)-H,688.4923,225.18605,255.23295
DMPE(14:1_16:1)-H,686.4767,225.18605,253.21735
DMPE(14:1_17:0)-H,702.508,225.18605,269.24865
DMPE(14:1_17:1)-H,700.4923,225.18605,267.23295
DMPE(14:1_17:2)-H,698.4767,225.18605,265.21735
DMPE(14:1_18:0)-H,716.5236,225.18605,283.26425
DMPE(14:1_18:1)-H,714.508,225.18605,281.24865
DMPE(14:1_18:2)-H,712.4923,225.18605,279.23295
DMPE(14:1_18:3)-H,710.4767,225.18605,277.21735
DMPE(14:1_18:4)-H,708.461,225.18605,275.20165
DMPE(14:1_19:0)-H,730.5393,225.18605,297.27995
DMPE(14:1_20:0)-H,744.5549,225.18605,311.29555
DMPE(14:1_20:1)-H,742.5393,225.18605,309.27995
DMPE(14:1_20:2)-H,740.5236,225.18605,307.26425
DMPE(14:1_20:3)-H,738.508,225.18605,305.24865
DMPE(14:1_20:4)-H,736.4923,225.18605,303.23295
DMPE(14:1_20:5)-H,734.4767,225.18605,301.21735
DMPE(14:1_21:0)-H,758.5706,225.18605,325.31125
DMPE(14:1_22:0)-H,772.5862,225.18605,339.32685
DMPE(14:1_22:1)-H,770.5706,225.18605,337.31125
DMPE(14:1_22:2)-H,768.5549,225.18605,335.29555
DMPE(14:1_22:3)-H,766.5393,225.18605,333.27995
DMPE(14:1_22:4)-H,764.5236,225.18605,331.26425
DMPE(14:1_22:5)-H,762.508,225.18605,329.24865
DMPE(14:1_22:6)-H,760.4923,225.18605,327.23295
DMPE(14:1_23:0)-H,786.6019,225.18605,353.34255
DMPE(14:1_24:0)-H,800.6175,225.18605,367.35815
DMPE(14:1_24:1)-H,798.6019,225.18605,365.34255
DMPE(14:1_25:0)-H,814.6332,225.18605,381.37385
DMPE(14:1_26:0)-H,828.6488,225.18605,395.38945
DMPE(15:0_15:0)-H,690.508,241.21735,241.21735
DMPE(15:0_15:1)-H,688.4923,241.21735,239.20165
DMPE(15:0_16:0)-H,704.5236,241.21735,255.23295
DMPE(15:0_16:1)-H,702.508,241.21735,253.21735
DMPE(15:0_17:0)-H,718.5393,241.21735,269.24865
DMPE(15:0_17:1)-H,716.5236,241.21735,267.23295
DMPE(15:0_17:2)-H,714.508,241.21735,265.21735
DMPE(15:0_18:0)-H,732.5549,241.21735,283.26425
DMPE(15:0_18:1)-H,730.5393,241.21735,281.24865
DMPE(15:0_18:2)-H,728.5236,241.21735,279.23295
DMPE(15:0_18:3)-H,726.508,241.21735,277.21735
DMPE(15:0_18:4)-H,724.4923,241.21735,275.20165
DMPE(15:0_19:0)-H,746.5706,241.21735,297.27995
DMPE(15:0_20:0)-H,760.5862,241.21735,311.29555
DMPE(15:0_20:1)-H,758.5706,241.21735,309.27995
DMPE(15:0_20:2)-H,756.5549,241.21735,307.26425
DMPE(15:0_20:3)-H,754.5393,241.21735,305.24865
DMPE(15:0_20:4)-H,752.5236,241.21735,303.23295
DMPE(15:0_20:5)-H,750.508,241.21735,301.21735
DMPE(15:0_21:0)-H,774.6019,241.21735,325.31125
DMPE(15:0_22:0)-H,788.6175,241.21735,339.32685
DMPE(15:0_22:1)-H,786.6019,241.21735,337.31125
DMPE(15:0_22:2)-H,784.5862,241.21735,335.29555
DMPE(15:0_22:3)-H,782.5706,241.21735,333.27995
DMPE(15:0_22:4)-H,780.5549,241.21735,331.26425
DMPE(15:0_22:5)-H,778.5393,241.21735,329.24865
DMPE(15:0_22:6)-H,776.5236,241.21735,327.23295
DMPE(15:0_23:0)-H,802.6332,241.21735,353.34255
DMPE(15:0_24:0)-H,816.6488,241.21735,367.35815
DMPE(15:0_24:1)-H,814.6332,241.21735,365.34255
DMPE(15:0_25:0)-H,830.6645,241.21735,381.37385
DMPE(15:0_26:0)-H,844.6801,241.21735,395.38945
DMPE(15:1_15:1)-H,686.4766,239.20165,239.20165
DMPE(15:1_16:0)-H,702.5079,239.20165,255.23295
DMPE(15:1_16:1)-H,700.4923,239.20165,253.21735
DMPE(15:1_17:0)-H,716.5236,239.20165,269.24865
DMPE(15:1_17:1)-H,714.5079,239.20165,267.23295
DMPE(15:1_17:2)-H,712.4923,239.20165,265.21735
DMPE(15:1_18:0)-H,730.5392,239.20165,283.26425
DMPE(15:1_18:1)-H,728.5236,239.20165,281.24865
DMPE(15:1_18:2)-H,726.5079,239.20165,279.23295
DMPE(15:1_18:3)-H,724.4923,239.20165,277.21735
DMPE(15:1_18:4)-H,722.4766,239.20165,275.20165
DMPE(15:1_19:0)-H,744.5549,239.20165,297.27995
DMPE(15:1_20:0)-H,758.5705,239.20165,311.29555
DMPE(15:1_20:1)-H,756.5549,239.20165,309.27995
DMPE(15:1_20:2)-H,754.5392,239.20165,307.26425
DMPE(15:1_20:3)-H,752.5236,239.20165,305.24865
DMPE(15:1_20:4)-H,750.5079,239.20165,303.23295
DMPE(15:1_20:5)-H,748.4923,239.20165,301.21735
DMPE(15:1_21:0)-H,772.5862,239.20165,325.31125
DMPE(15:1_22:0)-H,786.6018,239.20165,339.32685
DMPE(15:1_22:1)-H,784.5862,239.20165,337.31125
DMPE(15:1_22:2)-H,782.5705,239.20165,335.29555
DMPE(15:1_22:3)-H,780.5549,239.20165,333.27995
DMPE(15:1_22:4)-H,778.5392,239.20165,331.26425
DMPE(15:1_22:5)-H,776.5236,239.20165,329.24865
DMPE(15:1_22:6)-H,774.5079,239.20165,327.23295
DMPE(15:1_23:0)-H,800.6175,239.20165,353.34255
DMPE(15:1_24:0)-H,814.6331,239.20165,367.35815
DMPE(15:1_24:1)-H,812.6175,239.20165,365.34255
DMPE(15:1_25:0)-H,828.6488,239.20165,381.37385
DMPE(15:1_26:0)-H,842.6644,239.20165,395.38945
DMPE(16:0_16:0)-H,718.5392,255.23295,255.23295
DMPE(16:0_16:1)-H,716.5236,255.23295,253.21735
DMPE(16:0_17:0)-H,732.5549,255.23295,269.24865
DMPE(16:0_17:1)-H,730.5392,255.23295,267.23295
DMPE(16:0_17:2)-H,728.5236,255.23295,265.21735
DMPE(16:0_18:0)-H,746.5705,255.23295,283.26425
DMPE(16:0_18:1)-H,744.5549,255.23295,281.24865
DMPE(16:0_18:2)-H,742.5392,255.23295,279.23295
DMPE(16:0_18:3)-H,740.5236,255.23295,277.21735
DMPE(16:0_18:4)-H,738.5079,255.23295,275.20165
DMPE(16:0_19:0)-H,760.5862,255.23295,297.27995
DMPE(16:0_20:0)-H,774.6018,255.23295,311.29555
DMPE(16:0_20:1)-H,772.5862,255.23295,309.27995
DMPE(16:0_20:2)-H,770.5705,255.23295,307.26425
DMPE(16:0_20:3)-H,768.5549,255.23295,305.24865
DMPE(16:0_20:4)-H,766.5392,255.23295,303.23295
DMPE(16:0_20:5)-H,764.5236,255.23295,301.21735
DMPE(16:0_21:0)-H,788.6175,255.23295,325.31125
DMPE(16:0_22:0)-H,802.6331,255.23295,339.32685
DMPE(16:0_22:1)-H,800.6175,255.23295,337.31125
DMPE(16:0_22:2)-H,798.6018,255.23295,335.29555
DMPE(16:0_22:3)-H,796.5862,255.23295,333.27995
DMPE(16:0_22:4)-H,794.5705,255.23295,331.26425
DMPE(16:0_22:5)-H,792.5549,255.23295,329.24865
DMPE(16:0_22:6)-H,790.5392,255.23295,327.23295
DMPE(16:0_23:0)-H,816.6488,255.23295,353.34255
DMPE(16:0_24:0)-H,830.6644,255.23295,367.35815
DMPE(16:0_24:1)-H,828.6488,255.23295,365.34255
DMPE(16:0_25:0)-H,844.6801,255.23295,381.37385
DMPE(16:0_26:0)-H,858.6957,255.23295,395.38945
DMPE(16:1_16:1)-H,714.508,253.21735,253.21735
DMPE(16:1_17:0)-H,730.5393,253.21735,269.24865
DMPE(16:1_17:1)-H,728.5236,253.21735,267.23295
DMPE(16:1_17:2)-H,726.508,253.21735,265.21735
DMPE(16:1_18:0)-H,744.5549,253.21735,283.26425
DMPE(16:1_18:1)-H,742.5393,253.21735,281.24865
DMPE(16:1_18:2)-H,740.5236,253.21735,279.23295
DMPE(16:1_18:3)-H,738.508,253.21735,277.21735
DMPE(16:1_18:4)-H,736.4923,253.21735,275.20165
DMPE(16:1_19:0)-H,758.5706,253.21735,297.27995
DMPE(16:1_20:0)-H,772.5862,253.21735,311.29555
DMPE(16:1_20:1)-H,770.5706,253.21735,309.27995
DMPE(16:1_20:2)-H,768.5549,253.21735,307.26425
DMPE(16:1_20:3)-H,766.5393,253.21735,305.24865
DMPE(16:1_20:4)-H,764.5236,253.21735,303.23295
DMPE(16:1_20:5)-H,762.508,253.21735,301.21735
DMPE(16:1_21:0)-H,786.6019,253.21735,325.31125
DMPE(16:1_22:0)-H,800.6175,253.21735,339.32685
DMPE(16:1_22:1)-H,798.6019,253.21735,337.31125
DMPE(16:1_22:2)-H,796.5862,253.21735,335.29555
DMPE(16:1_22:3)-H,794.5706,253.21735,333.27995
DMPE(16:1_22:4)-H,792.5549,253.21735,331.26425
DMPE(16:1_22:5)-H,790.5393,253.21735,329.24865
DMPE(16:1_22:6)-H,788.5236,253.21735,327.23295
DMPE(16:1_23:0)-H,814.6332,253.21735,353.34255
DMPE(16:1_24:0)-H,828.6488,253.21735,367.35815
DMPE(16:1_24:1)-H,826.6332,253.21735,365.34255
DMPE(16:1_25:0)-H,842.6645,253.21735,381.37385
DMPE(16:1_26:0)-H,856.6801,253.21735,395.38945
DMPE(17:0_17:0)-H,746.5706,269.24865,269.24865
DMPE(17:0_17:1)-H,744.5549,269.24865,267.23295
DMPE(17:0_17:2)-H,742.5393,269.24865,265.21735
DMPE(17:0_18:0)-H,760.5862,269.24865,283.26425
DMPE(17:0_18:1)-H,758.5706,269.24865,281.24865
DMPE(17:0_18:2)-H,756.5549,269.24865,279.23295
DMPE(17:0_18:3)-H,754.5393,269.24865,277.21735
DMPE(17:0_18:4)-H,752.5236,269.24865,275.20165
DMPE(17:0_19:0)-H,774.6019,269.24865,297.27995
DMPE(17:0_20:0)-H,788.6175,269.24865,311.29555
DMPE(17:0_20:1)-H,786.6019,269.24865,309.27995
DMPE(17:0_20:2)-H,784.5862,269.24865,307.26425
DMPE(17:0_20:3)-H,782.5706,269.24865,305.24865
DMPE(17:0_20:4)-H,780.5549,269.24865,303.23295
DMPE(17:0_20:5)-H,778.5393,269.24865,301.21735
DMPE(17:0_21:0)-H,802.6332,269.24865,325.31125
DMPE(17:0_22:0)-H,816.6488,269.24865,339.32685
DMPE(17:0_22:1)-H,814.6332,269.24865,337.31125
DMPE(17:0_22:2)-H,812.6175,269.24865,335.29555
DMPE(17:0_22:3)-H,810.6019,269.24865,333.27995
DMPE(17:0_22:4)-H,808.5862,269.24865,331.26425
DMPE(17:0_22:5)-H,806.5706,269.24865,329.24865
DMPE(17:0_22:6)-H,804.5549,269.24865,327.23295
DMPE(17:0_23:0)-H,830.6645,269.24865,353.34255
DMPE(17:0_24:0)-H,844.6801,269.24865,367.35815
DMPE(17:0_24:1)-H,842.6645,269.24865,365.34255
DMPE(17:0_25:0)-H,858.6958,269.24865,381.37385
DMPE(17:0_26:0)-H,872.7114,269.24865,395.38945
DMPE(17:1_17:1)-H,742.5392,267.23295,267.23295
DMPE(17:1_17:2)-H,740.5236,267.23295,265.21735
DMPE(17:1_18:0)-H,758.5705,267.23295,283.26425
DMPE(17:1_18:1)-H,756.5549,267.23295,281.24865
DMPE(17:1_18:2)-H,754.5392,267.23295,279.23295
DMPE(17:1_18:3)-H,752.5236,267.23295,277.21735
DMPE(17:1_18:4)-H,750.5079,267.23295,275.20165
DMPE(17:1_19:0)-H,772.5862,267.23295,297.27995
DMPE(17:1_20:0)-H,786.6018,267.23295,311.29555
DMPE(17:1_20:1)-H,784.5862,267.23295,309.27995
DMPE(17:1_20:2)-H,782.5705,267.23295,307.26425
DMPE(17:1_20:3)-H,780.5549,267.23295,305.24865
DMPE(17:1_20:4)-H,778.5392,267.23295,303.23295
DMPE(17:1_20:5)-H,776.5236,267.23295,301.21735
DMPE(17:1_21:0)-H,800.6175,267.23295,325.31125
DMPE(17:1_22:0)-H,814.6331,267.23295,339.32685
DMPE(17:1_22:1)-H,812.6175,267.23295,337.31125
DMPE(17:1_22:2)-H,810.6018,267.23295,335.29555
DMPE(17:1_22:3)-H,808.5862,267.23295,333.27995
DMPE(17:1_22:4)-H,806.5705,267.23295,331.26425
DMPE(17:1_22:5)-H,804.5549,267.23295,329.24865
DMPE(17:1_22:6)-H,802.5392,267.23295,327.23295
DMPE(17:1_23:0)-H,828.6488,267.23295,353.34255
DMPE(17:1_24:0)-H,842.6644,267.23295,367.35815
DMPE(17:1_24:1)-H,840.6488,267.23295,365.34255
DMPE(17:1_25:0)-H,856.6801,267.23295,381.37385
DMPE(17:1_26:0)-H,870.6957,267.23295,395.38945
DMPE(17:2_17:2)-H,738.508,265.21735,265.21735
DMPE(17:2_18:0)-H,756.5549,265.21735,283.26425
DMPE(17:2_18:1)-H,754.5393,265.21735,281.24865
DMPE(17:2_18:2)-H,752.5236,265.21735,279.23295
DMPE(17:2_18:3)-H,750.508,265.21735,277.21735
DMPE(17:2_18:4)-H,748.4923,265.21735,275.20165
DMPE(17:2_19:0)-H,770.5706,265.21735,297.27995
DMPE(17:2_20:0)-H,784.5862,265.21735,311.29555
DMPE(17:2_20:1)-H,782.5706,265.21735,309.27995
DMPE(17:2_20:2)-H,780.5549,265.21735,307.26425
DMPE(17:2_20:3)-H,778.5393,265.21735,305.24865
DMPE(17:2_20:4)-H,776.5236,265.21735,303.23295
DMPE(17:2_20:5)-H,774.508,265.21735,301.21735
DMPE(17:2_21:0)-H,798.6019,265.21735,325.31125
DMPE(17:2_22:0)-H,812.6175,265.21735,339.32685
DMPE(17:2_22:1)-H,810.6019,265.21735,337.31125
DMPE(17:2_22:2)-H,808.5862,265.21735,335.29555
DMPE(17:2_22:3)-H,806.5706,265.21735,333.27995
DMPE(17:2_22:4)-H,804.5549,265.21735,331.26425
