Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t23:1/14:1)+C2H3O2,652.5516,592.5305,574.5199,556.5093,280.2271,268.2271,268.2271,250.2166,335.2945,225.186,323.2945,224.2014,293.2839
Cer-NP(t23:1/15:0)+C2H3O2,668.5829,608.5618,590.5512,572.5406,296.2584,284.2584,284.2584,266.2479,335.2945,241.2173,323.2945,240.2327,293.2839
Cer-NP(t23:1/15:1)+C2H3O2,666.5673,606.5461,588.5356,570.525,294.2428,282.2428,282.2428,264.2322,335.2945,239.2017,323.2945,238.2171,293.2839
Cer-NP(t23:1/16:0)+C2H3O2,682.5986,622.5775,604.5669,586.5563,310.2741,298.2741,298.2741,280.2635,335.2945,255.233,323.2945,254.2484,293.2839
Cer-NP(t23:1/16:1)+C2H3O2,680.5829,620.5618,602.5512,584.5406,308.2584,296.2584,296.2584,278.2479,335.2945,253.2173,323.2945,252.2327,293.2839
Cer-NP(t23:1/16:2)+C2H3O2,678.5673,618.5461,600.5356,582.525,306.2428,294.2428,294.2428,276.2322,335.2945,251.2017,323.2945,250.2171,293.2839
Cer-NP(t23:1/17:0)+C2H3O2,696.6142,636.5931,618.5825,600.572,324.2897,312.2897,312.2897,294.2791,335.2945,269.2486,323.2945,268.264,293.2839
Cer-NP(t23:1/18:0)+C2H3O2,710.6299,650.6088,632.5981,614.5876,338.3054,326.3054,326.3054,308.2948,335.2945,283.2643,323.2945,282.2797,293.2839
Cer-NP(t23:1/18:1)+C2H3O2,708.6142,648.5931,630.5825,612.572,336.2897,324.2897,324.2897,306.2791,335.2945,281.2486,323.2945,280.264,293.2839
Cer-NP(t23:1/18:2)+C2H3O2,706.5986,646.5775,628.5669,610.5563,334.2741,322.2741,322.2741,304.2635,335.2945,279.233,323.2945,278.2484,293.2839
Cer-NP(t23:1/19:0)+C2H3O2,724.6455,664.6244,646.6138,628.6033,352.321,340.321,340.321,322.3105,335.2945,297.2799,323.2945,296.2953,293.2839
Cer-NP(t23:1/19:1)+C2H3O2,722.6299,662.6088,644.5981,626.5876,350.3054,338.3054,338.3054,320.2948,335.2945,295.2643,323.2945,294.2797,293.2839
Cer-NP(t23:1/20:0)+C2H3O2,738.6612,678.64,660.6295,642.6189,366.3367,354.3367,354.3367,336.3261,335.2945,311.2956,323.2945,310.311,293.2839
Cer-NP(t23:1/20:1)+C2H3O2,736.6455,676.6244,658.6138,640.6033,364.321,352.321,352.321,334.3105,335.2945,309.2799,323.2945,308.2953,293.2839
Cer-NP(t23:1/20:2)+C2H3O2,734.6299,674.6088,656.5981,638.5876,362.3054,350.3054,350.3054,332.2948,335.2945,307.2643,323.2945,306.2797,293.2839
Cer-NP(t23:1/21:0)+C2H3O2,752.6768,692.6557,674.6451,656.6345,380.3523,368.3523,368.3523,350.3417,335.2945,325.3112,323.2945,324.3266,293.2839
Cer-NP(t23:1/21:1)+C2H3O2,750.6612,690.64,672.6295,654.6189,378.3367,366.3367,366.3367,348.3261,335.2945,323.2956,323.2945,322.311,293.2839
Cer-NP(t23:1/22:0)+C2H3O2,766.6924,706.6713,688.6608,670.6502,394.368,382.368,382.368,364.3574,335.2945,339.3269,323.2945,338.3423,293.2839
Cer-NP(t23:1/22:1)+C2H3O2,764.6768,704.6557,686.6451,668.6345,392.3523,380.3523,380.3523,362.3417,335.2945,337.3112,323.2945,336.3266,293.2839
Cer-NP(t23:1/22:2)+C2H3O2,762.6612,702.64,684.6295,666.6189,390.3367,378.3367,378.3367,360.3261,335.2945,335.2956,323.2945,334.311,293.2839
Cer-NP(t23:1/23:0)+C2H3O2,780.7081,720.687,702.6764,684.6658,408.3836,396.3836,396.3836,378.373,335.2945,353.3425,323.2945,352.3579,293.2839
Cer-NP(t23:1/23:1)+C2H3O2,778.6924,718.6713,700.6608,682.6502,406.368,394.368,394.368,376.3574,335.2945,351.3269,323.2945,350.3423,293.2839
Cer-NP(t23:1/24:0)+C2H3O2,794.7238,734.7026,716.6921,698.6815,422.3993,410.3993,410.3993,392.3887,335.2945,367.3582,323.2945,366.3736,293.2839
Cer-NP(t23:1/24:1)+C2H3O2,792.7081,732.687,714.6764,696.6658,420.3836,408.3836,408.3836,390.373,335.2945,365.3425,323.2945,364.3579,293.2839
Cer-NP(t23:1/24:2)+C2H3O2,790.6924,730.6713,712.6608,694.6502,418.368,406.368,406.368,388.3574,335.2945,363.3269,323.2945,362.3423,293.2839
Cer-NP(t23:1/25:0)+C2H3O2,808.7394,748.7183,730.7077,712.6971,436.4149,424.4149,424.4149,406.4044,335.2945,381.3738,323.2945,380.3893,293.2839
Cer-NP(t23:1/25:1)+C2H3O2,806.7238,746.7026,728.6921,710.6815,434.3993,422.3993,422.3993,404.3887,335.2945,379.3582,323.2945,378.3736,293.2839
Cer-NP(t23:1/26:0)+C2H3O2,822.7551,762.7339,744.7234,726.7128,450.4306,438.4306,438.4306,420.42,335.2945,395.3895,323.2945,394.4049,293.2839
Cer-NP(t23:1/26:1)+C2H3O2,820.7394,760.7183,742.7077,724.6971,448.4149,436.4149,436.4149,418.4044,335.2945,393.3738,323.2945,392.3893,293.2839
Cer-NP(t23:1/26:2)+C2H3O2,818.7238,758.7026,740.6921,722.6815,446.3993,434.3993,434.3993,416.3887,335.2945,391.3582,323.2945,390.3736,293.2839
Cer-NP(t23:1/27:0)+C2H3O2,836.7707,776.7496,758.739,740.7285,464.4462,452.4462,452.4462,434.4356,335.2945,409.4051,323.2945,408.4205,293.2839
Cer-NP(t23:1/27:1)+C2H3O2,834.7551,774.7339,756.7234,738.7128,462.4306,450.4306,450.4306,432.42,335.2945,407.3895,323.2945,406.4049,293.2839
Cer-NP(t23:1/28:0)+C2H3O2,850.7864,790.7653,772.7547,754.7441,478.4619,466.4619,466.4619,448.4513,335.2945,423.4207,323.2945,422.4362,293.2839
Cer-NP(t23:1/28:1)+C2H3O2,848.7707,788.7496,770.739,752.7285,476.4462,464.4462,464.4462,446.4356,335.2945,421.4051,323.2945,420.4205,293.2839
Cer-NP(t23:1/28:2)+C2H3O2,846.7551,786.7339,768.7234,750.7128,474.4306,462.4306,462.4306,444.42,335.2945,419.3895,323.2945,418.4049,293.2839
Cer-NP(t23:1/29:0)+C2H3O2,864.802,804.7809,786.7703,768.7598,492.4775,480.4775,480.4775,462.4669,335.2945,437.4364,323.2945,436.4518,293.2839
Cer-NP(t23:1/29:1)+C2H3O2,862.7864,802.7653,784.7547,766.7441,490.4619,478.4619,478.4619,460.4513,335.2945,435.4207,323.2945,434.4362,293.2839
Cer-NP(t23:1/30:0)+C2H3O2,878.8177,818.7966,800.7859,782.7754,506.4932,494.4932,494.4932,476.4826,335.2945,451.4521,323.2945,450.4675,293.2839
Cer-NP(t23:1/30:1)+C2H3O2,876.802,816.7809,798.7703,780.7598,504.4775,492.4775,492.4775,474.4669,335.2945,449.4364,323.2945,448.4518,293.2839
Cer-NP(t23:1/30:2)+C2H3O2,874.7864,814.7653,796.7547,778.7441,502.4619,490.4619,490.4619,472.4513,335.2945,447.4207,323.2945,446.4362,293.2839
Cer-NP(t23:1/31:0)+C2H3O2,892.8333,832.8122,814.8016,796.7911,520.5089,508.5088,508.5088,490.4983,335.2945,465.4677,323.2945,464.4832,293.2839
Cer-NP(t23:1/31:1)+C2H3O2,890.8177,830.7966,812.7859,794.7754,518.4932,506.4932,506.4932,488.4826,335.2945,463.4521,323.2945,462.4675,293.2839
Cer-NP(t23:1/32:0)+C2H3O2,906.849,846.8278,828.8173,810.8067,534.5245,522.5245,522.5245,504.5139,335.2945,479.4834,323.2945,478.4988,293.2839
Cer-NP(t23:1/32:1)+C2H3O2,904.8333,844.8122,826.8016,808.7911,532.5089,520.5089,520.5089,502.4983,335.2945,477.4677,323.2945,476.4832,293.2839
Cer-NP(t23:1/32:2)+C2H3O2,902.8177,842.7966,824.7859,806.7754,530.4932,518.4932,518.4932,500.4826,335.2945,475.4521,323.2945,474.4675,293.2839
Cer-NP(t23:1/33:0)+C2H3O2,920.8646,860.8435,842.8329,824.8223,548.5401,536.5401,536.5401,518.5295,335.2945,493.499,323.2945,492.5144,293.2839
Cer-NP(t23:1/33:1)+C2H3O2,918.849,858.8278,840.8173,822.8067,546.5245,534.5245,534.5245,516.5139,335.2945,491.4834,323.2945,490.4988,293.2839
Cer-NP(t23:1/34:0)+C2H3O2,934.8802,874.8591,856.8486,838.838,562.5558,550.5558,550.5558,532.5452,335.2945,507.5146,323.2945,506.5301,293.2839
Cer-NP(t23:1/34:1)+C2H3O2,932.8646,872.8435,854.8329,836.8223,560.5401,548.5401,548.5401,530.5295,335.2945,505.499,323.2945,504.5144,293.2839
Cer-NP(t23:1/34:2)+C2H3O2,930.849,870.8278,852.8173,834.8067,558.5245,546.5245,546.5245,528.5139,335.2945,503.4834,323.2945,502.4988,293.2839
Cer-NP(t23:1/35:0)+C2H3O2,948.8959,888.8748,870.8642,852.8536,576.5714,564.5714,564.5714,546.5609,335.2945,521.5303,323.2945,520.5457,293.2839
Cer-NP(t23:1/35:1)+C2H3O2,946.8802,886.8591,868.8486,850.838,574.5558,562.5558,562.5558,544.5452,335.2945,519.5146,323.2945,518.5301,293.2839
Cer-NP(t23:1/36:0)+C2H3O2,962.9116,902.8904,884.8799,866.8693,590.5871,578.5871,578.5871,560.5765,335.2945,535.546,323.2945,534.5614,293.2839
Cer-NP(t23:1/36:1)+C2H3O2,960.8959,900.8748,882.8642,864.8536,588.5714,576.5714,576.5714,558.5609,335.2945,533.5303,323.2945,532.5457,293.2839
Cer-NP(t23:1/36:2)+C2H3O2,958.8802,898.8591,880.8486,862.838,586.5558,574.5558,574.5558,556.5452,335.2945,531.5146,323.2945,530.5301,293.2839
Cer-NP(t23:1/38:0)+C2H3O2,990.9429,930.9218,912.9112,894.9006,618.6183,606.6183,606.6183,588.6078,335.2945,563.5773,323.2945,562.5927,293.2839
Cer-NP(t23:1/38:1)+C2H3O2,988.9272,928.9061,910.8955,892.8849,616.6027,604.6027,604.6027,586.5922,335.2945,561.5616,323.2945,560.577,293.2839
Cer-NP(t23:1/38:2)+C2H3O2,986.9116,926.8904,908.8799,890.8693,614.5871,602.5871,602.5871,584.5765,335.2945,559.546,323.2945,558.5614,293.2839
Cer-NP(t23:1/40:0)+C2H3O2,1018.974,958.9531,940.9424,922.9319,646.6497,634.6497,634.6497,616.6391,335.2945,591.6086,323.2945,590.624,293.2839
Cer-NP(t23:1/40:1)+C2H3O2,1016.958,956.9374,938.9268,920.9163,644.634,632.634,632.634,614.6235,335.2945,589.5929,323.2945,588.6083,293.2839
Cer-NP(t23:1/40:2)+C2H3O2,1014.943,954.9218,936.9112,918.9006,642.6183,630.6183,630.6183,612.6078,335.2945,587.5773,323.2945,586.5927,293.2839
Cer-NP(t23:1/42:0)+C2H3O2,1047.005,986.9843,968.9738,950.9632,674.681,662.681,662.681,644.6704,335.2945,619.6398,323.2945,618.6553,293.2839
Cer-NP(t23:1/42:1)+C2H3O2,1044.99,984.9687,966.9581,948.9476,672.6653,660.6653,660.6653,642.6547,335.2945,617.6242,323.2945,616.6396,293.2839
Cer-NP(t23:1/42:2)+C2H3O2,1042.974,982.9531,964.9424,946.9319,670.6497,658.6497,658.6497,640.6391,335.2945,615.6086,323.2945,614.624,293.2839
Cer-NP(t23:2/12:0)+C2H3O2,624.5203,564.4992,546.4886,528.478,254.2115,242.2115,242.2115,224.2009,333.2788,199.1704,321.2788,198.1858,291.2682
Cer-NP(t23:2/12:1)+C2H3O2,622.5047,562.4835,544.473,526.4624,252.1958,240.1958,240.1958,222.1853,333.2788,197.1547,321.2788,196.1701,291.2682
Cer-NP(t23:2/13:0)+C2H3O2,638.5359,578.5148,560.5043,542.4937,268.2271,256.2271,256.2271,238.2166,333.2788,213.186,321.2788,212.2014,291.2682
Cer-NP(t23:2/13:1)+C2H3O2,636.5203,576.4992,558.4886,540.478,266.2115,254.2115,254.2115,236.2009,333.2788,211.1704,321.2788,210.1858,291.2682
Cer-NP(t23:2/14:0)+C2H3O2,652.5516,592.5305,574.5199,556.5093,282.2428,270.2428,270.2428,252.2322,333.2788,227.2017,321.2788,226.2171,291.2682
Cer-NP(t23:2/14:1)+C2H3O2,650.5359,590.5148,572.5043,554.4937,280.2271,268.2271,268.2271,250.2166,333.2788,225.186,321.2788,224.2014,291.2682
Cer-NP(t23:2/15:0)+C2H3O2,666.5673,606.5461,588.5356,570.525,296.2584,284.2584,284.2584,266.2479,333.2788,241.2173,321.2788,240.2327,291.2682
Cer-NP(t23:2/15:1)+C2H3O2,664.5516,604.5305,586.5199,568.5093,294.2428,282.2428,282.2428,264.2322,333.2788,239.2017,321.2788,238.2171,291.2682
Cer-NP(t23:2/16:0)+C2H3O2,680.5829,620.5618,602.5512,584.5406,310.2741,298.2741,298.2741,280.2635,333.2788,255.233,321.2788,254.2484,291.2682
Cer-NP(t23:2/16:1)+C2H3O2,678.5673,618.5461,600.5356,582.525,308.2584,296.2584,296.2584,278.2479,333.2788,253.2173,321.2788,252.2327,291.2682
Cer-NP(t23:2/16:2)+C2H3O2,676.5516,616.5305,598.5199,580.5093,306.2428,294.2428,294.2428,276.2322,333.2788,251.2017,321.2788,250.2171,291.2682
Cer-NP(t23:2/17:0)+C2H3O2,694.5986,634.5775,616.5669,598.5563,324.2897,312.2897,312.2897,294.2791,333.2788,269.2486,321.2788,268.264,291.2682
Cer-NP(t23:2/18:0)+C2H3O2,708.6142,648.5931,630.5825,612.572,338.3054,326.3054,326.3054,308.2948,333.2788,283.2643,321.2788,282.2797,291.2682
Cer-NP(t23:2/18:1)+C2H3O2,706.5986,646.5775,628.5669,610.5563,336.2897,324.2897,324.2897,306.2791,333.2788,281.2486,321.2788,280.264,291.2682
Cer-NP(t23:2/18:2)+C2H3O2,704.5829,644.5618,626.5512,608.5406,334.2741,322.2741,322.2741,304.2635,333.2788,279.233,321.2788,278.2484,291.2682
Cer-NP(t23:2/19:0)+C2H3O2,722.6299,662.6088,644.5981,626.5876,352.321,340.321,340.321,322.3105,333.2788,297.2799,321.2788,296.2953,291.2682
Cer-NP(t23:2/19:1)+C2H3O2,720.6142,660.5931,642.5825,624.572,350.3054,338.3054,338.3054,320.2948,333.2788,295.2643,321.2788,294.2797,291.2682
Cer-NP(t23:2/20:0)+C2H3O2,736.6455,676.6244,658.6138,640.6033,366.3367,354.3367,354.3367,336.3261,333.2788,311.2956,321.2788,310.311,291.2682
Cer-NP(t23:2/20:1)+C2H3O2,734.6299,674.6088,656.5981,638.5876,364.321,352.321,352.321,334.3105,333.2788,309.2799,321.2788,308.2953,291.2682
Cer-NP(t23:2/20:2)+C2H3O2,732.6142,672.5931,654.5825,636.572,362.3054,350.3054,350.3054,332.2948,333.2788,307.2643,321.2788,306.2797,291.2682
Cer-NP(t23:2/21:0)+C2H3O2,750.6612,690.64,672.6295,654.6189,380.3523,368.3523,368.3523,350.3417,333.2788,325.3112,321.2788,324.3266,291.2682
Cer-NP(t23:2/21:1)+C2H3O2,748.6455,688.6244,670.6138,652.6033,378.3367,366.3367,366.3367,348.3261,333.2788,323.2956,321.2788,322.311,291.2682
Cer-NP(t23:2/22:0)+C2H3O2,764.6768,704.6557,686.6451,668.6345,394.368,382.368,382.368,364.3574,333.2788,339.3269,321.2788,338.3423,291.2682
Cer-NP(t23:2/22:1)+C2H3O2,762.6612,702.64,684.6295,666.6189,392.3523,380.3523,380.3523,362.3417,333.2788,337.3112,321.2788,336.3266,291.2682
Cer-NP(t23:2/22:2)+C2H3O2,760.6455,700.6244,682.6138,664.6033,390.3367,378.3367,378.3367,360.3261,333.2788,335.2956,321.2788,334.311,291.2682
Cer-NP(t23:2/23:0)+C2H3O2,778.6924,718.6713,700.6608,682.6502,408.3836,396.3836,396.3836,378.373,333.2788,353.3425,321.2788,352.3579,291.2682
Cer-NP(t23:2/23:1)+C2H3O2,776.6768,716.6557,698.6451,680.6345,406.368,394.368,394.368,376.3574,333.2788,351.3269,321.2788,350.3423,291.2682
Cer-NP(t23:2/24:0)+C2H3O2,792.7081,732.687,714.6764,696.6658,422.3993,410.3993,410.3993,392.3887,333.2788,367.3582,321.2788,366.3736,291.2682
Cer-NP(t23:2/24:1)+C2H3O2,790.6924,730.6713,712.6608,694.6502,420.3836,408.3836,408.3836,390.373,333.2788,365.3425,321.2788,364.3579,291.2682
Cer-NP(t23:2/24:2)+C2H3O2,788.6768,728.6557,710.6451,692.6345,418.368,406.368,406.368,388.3574,333.2788,363.3269,321.2788,362.3423,291.2682
Cer-NP(t23:2/25:0)+C2H3O2,806.7238,746.7026,728.6921,710.6815,436.4149,424.4149,424.4149,406.4044,333.2788,381.3738,321.2788,380.3893,291.2682
Cer-NP(t23:2/25:1)+C2H3O2,804.7081,744.687,726.6764,708.6658,434.3993,422.3993,422.3993,404.3887,333.2788,379.3582,321.2788,378.3736,291.2682
Cer-NP(t23:2/26:0)+C2H3O2,820.7394,760.7183,742.7077,724.6971,450.4306,438.4306,438.4306,420.42,333.2788,395.3895,321.2788,394.4049,291.2682
Cer-NP(t23:2/26:1)+C2H3O2,818.7238,758.7026,740.6921,722.6815,448.4149,436.4149,436.4149,418.4044,333.2788,393.3738,321.2788,392.3893,291.2682
Cer-NP(t23:2/26:2)+C2H3O2,816.7081,756.687,738.6764,720.6658,446.3993,434.3993,434.3993,416.3887,333.2788,391.3582,321.2788,390.3736,291.2682
Cer-NP(t23:2/27:0)+C2H3O2,834.7551,774.7339,756.7234,738.7128,464.4462,452.4462,452.4462,434.4356,333.2788,409.4051,321.2788,408.4205,291.2682
Cer-NP(t23:2/27:1)+C2H3O2,832.7394,772.7183,754.7077,736.6971,462.4306,450.4306,450.4306,432.42,333.2788,407.3895,321.2788,406.4049,291.2682
Cer-NP(t23:2/28:0)+C2H3O2,848.7707,788.7496,770.739,752.7285,478.4619,466.4619,466.4619,448.4513,333.2788,423.4207,321.2788,422.4362,291.2682
Cer-NP(t23:2/28:1)+C2H3O2,846.7551,786.7339,768.7234,750.7128,476.4462,464.4462,464.4462,446.4356,333.2788,421.4051,321.2788,420.4205,291.2682
Cer-NP(t23:2/28:2)+C2H3O2,844.7394,784.7183,766.7077,748.6971,474.4306,462.4306,462.4306,444.42,333.2788,419.3895,321.2788,418.4049,291.2682
Cer-NP(t23:2/29:0)+C2H3O2,862.7864,802.7653,784.7547,766.7441,492.4775,480.4775,480.4775,462.4669,333.2788,437.4364,321.2788,436.4518,291.2682
Cer-NP(t23:2/29:1)+C2H3O2,860.7707,800.7496,782.739,764.7285,490.4619,478.4619,478.4619,460.4513,333.2788,435.4207,321.2788,434.4362,291.2682
Cer-NP(t23:2/30:0)+C2H3O2,876.802,816.7809,798.7703,780.7598,506.4932,494.4932,494.4932,476.4826,333.2788,451.4521,321.2788,450.4675,291.2682
Cer-NP(t23:2/30:1)+C2H3O2,874.7864,814.7653,796.7547,778.7441,504.4775,492.4775,492.4775,474.4669,333.2788,449.4364,321.2788,448.4518,291.2682
Cer-NP(t23:2/30:2)+C2H3O2,872.7707,812.7496,794.739,776.7285,502.4619,490.4619,490.4619,472.4513,333.2788,447.4207,321.2788,446.4362,291.2682
Cer-NP(t23:2/31:0)+C2H3O2,890.8177,830.7966,812.7859,794.7754,520.5089,508.5088,508.5088,490.4983,333.2788,465.4677,321.2788,464.4832,291.2682
Cer-NP(t23:2/31:1)+C2H3O2,888.802,828.7809,810.7703,792.7598,518.4932,506.4932,506.4932,488.4826,333.2788,463.4521,321.2788,462.4675,291.2682
Cer-NP(t23:2/32:0)+C2H3O2,904.8333,844.8122,826.8016,808.7911,534.5245,522.5245,522.5245,504.5139,333.2788,479.4834,321.2788,478.4988,291.2682
Cer-NP(t23:2/32:1)+C2H3O2,902.8177,842.7966,824.7859,806.7754,532.5089,520.5089,520.5089,502.4983,333.2788,477.4677,321.2788,476.4832,291.2682
Cer-NP(t23:2/32:2)+C2H3O2,900.802,840.7809,822.7703,804.7598,530.4932,518.4932,518.4932,500.4826,333.2788,475.4521,321.2788,474.4675,291.2682
Cer-NP(t23:2/33:0)+C2H3O2,918.849,858.8278,840.8173,822.8067,548.5401,536.5401,536.5401,518.5295,333.2788,493.499,321.2788,492.5144,291.2682
Cer-NP(t23:2/33:1)+C2H3O2,916.8333,856.8122,838.8016,820.7911,546.5245,534.5245,534.5245,516.5139,333.2788,491.4834,321.2788,490.4988,291.2682
Cer-NP(t23:2/34:0)+C2H3O2,932.8646,872.8435,854.8329,836.8223,562.5558,550.5558,550.5558,532.5452,333.2788,507.5146,321.2788,506.5301,291.2682
Cer-NP(t23:2/34:1)+C2H3O2,930.849,870.8278,852.8173,834.8067,560.5401,548.5401,548.5401,530.5295,333.2788,505.499,321.2788,504.5144,291.2682
Cer-NP(t23:2/34:2)+C2H3O2,928.8333,868.8122,850.8016,832.7911,558.5245,546.5245,546.5245,528.5139,333.2788,503.4834,321.2788,502.4988,291.2682
Cer-NP(t23:2/35:0)+C2H3O2,946.8802,886.8591,868.8486,850.838,576.5714,564.5714,564.5714,546.5609,333.2788,521.5303,321.2788,520.5457,291.2682
Cer-NP(t23:2/35:1)+C2H3O2,944.8646,884.8435,866.8329,848.8223,574.5558,562.5558,562.5558,544.5452,333.2788,519.5146,321.2788,518.5301,291.2682
Cer-NP(t23:2/36:0)+C2H3O2,960.8959,900.8748,882.8642,864.8536,590.5871,578.5871,578.5871,560.5765,333.2788,535.546,321.2788,534.5614,291.2682
Cer-NP(t23:2/36:1)+C2H3O2,958.8802,898.8591,880.8486,862.838,588.5714,576.5714,576.5714,558.5609,333.2788,533.5303,321.2788,532.5457,291.2682
Cer-NP(t23:2/36:2)+C2H3O2,956.8646,896.8435,878.8329,860.8223,586.5558,574.5558,574.5558,556.5452,333.2788,531.5146,321.2788,530.5301,291.2682
Cer-NP(t23:2/38:0)+C2H3O2,988.9272,928.9061,910.8955,892.8849,618.6183,606.6183,606.6183,588.6078,333.2788,563.5773,321.2788,562.5927,291.2682
Cer-NP(t23:2/38:1)+C2H3O2,986.9116,926.8904,908.8799,890.8693,616.6027,604.6027,604.6027,586.5922,333.2788,561.5616,321.2788,560.577,291.2682
Cer-NP(t23:2/38:2)+C2H3O2,984.8959,924.8748,906.8642,888.8536,614.5871,602.5871,602.5871,584.5765,333.2788,559.546,321.2788,558.5614,291.2682
Cer-NP(t23:2/40:0)+C2H3O2,1016.958,956.9374,938.9268,920.9163,646.6497,634.6497,634.6497,616.6391,333.2788,591.6086,321.2788,590.624,291.2682
Cer-NP(t23:2/40:1)+C2H3O2,1014.943,954.9218,936.9112,918.9006,644.634,632.634,632.634,614.6235,333.2788,589.5929,321.2788,588.6083,291.2682
Cer-NP(t23:2/40:2)+C2H3O2,1012.927,952.9061,934.8955,916.8849,642.6183,630.6183,630.6183,612.6078,333.2788,587.5773,321.2788,586.5927,291.2682
Cer-NP(t23:2/42:0)+C2H3O2,1044.99,984.9687,966.9581,948.9476,674.681,662.681,662.681,644.6704,333.2788,619.6398,321.2788,618.6553,291.2682
Cer-NP(t23:2/42:1)+C2H3O2,1042.974,982.9531,964.9424,946.9319,672.6653,660.6653,660.6653,642.6547,333.2788,617.6242,321.2788,616.6396,291.2682
Cer-NP(t23:2/42:2)+C2H3O2,1040.958,980.9374,962.9268,944.9163,670.6497,658.6497,658.6497,640.6391,333.2788,615.6086,321.2788,614.624,291.2682
Cer-NP(t24:0/12:0)+C2H3O2,642.5673,582.5461,564.5356,546.525,254.2115,242.2115,242.2115,224.2009,351.3258,199.1704,339.3258,198.1858,309.3152
Cer-NP(t24:0/12:1)+C2H3O2,640.5516,580.5305,562.5199,544.5093,252.1958,240.1958,240.1958,222.1853,351.3258,197.1547,339.3258,196.1701,309.3152
Cer-NP(t24:0/13:0)+C2H3O2,656.5829,596.5618,578.5512,560.5406,268.2271,256.2271,256.2271,238.2166,351.3258,213.186,339.3258,212.2014,309.3152
Cer-NP(t24:0/13:1)+C2H3O2,654.5673,594.5461,576.5356,558.525,266.2115,254.2115,254.2115,236.2009,351.3258,211.1704,339.3258,210.1858,309.3152
Cer-NP(t24:0/14:0)+C2H3O2,670.5986,610.5775,592.5669,574.5563,282.2428,270.2428,270.2428,252.2322,351.3258,227.2017,339.3258,226.2171,309.3152
Cer-NP(t24:0/14:1)+C2H3O2,668.5829,608.5618,590.5512,572.5406,280.2271,268.2271,268.2271,250.2166,351.3258,225.186,339.3258,224.2014,309.3152
Cer-NP(t24:0/15:0)+C2H3O2,684.6142,624.5931,606.5825,588.572,296.2584,284.2584,284.2584,266.2479,351.3258,241.2173,339.3258,240.2327,309.3152
Cer-NP(t24:0/15:1)+C2H3O2,682.5986,622.5775,604.5669,586.5563,294.2428,282.2428,282.2428,264.2322,351.3258,239.2017,339.3258,238.2171,309.3152
Cer-NP(t24:0/16:0)+C2H3O2,698.6299,638.6088,620.5981,602.5876,310.2741,298.2741,298.2741,280.2635,351.3258,255.233,339.3258,254.2484,309.3152
Cer-NP(t24:0/16:1)+C2H3O2,696.6142,636.5931,618.5825,600.572,308.2584,296.2584,296.2584,278.2479,351.3258,253.2173,339.3258,252.2327,309.3152
Cer-NP(t24:0/16:2)+C2H3O2,694.5986,634.5775,616.5669,598.5563,306.2428,294.2428,294.2428,276.2322,351.3258,251.2017,339.3258,250.2171,309.3152
Cer-NP(t24:0/17:0)+C2H3O2,712.6455,652.6244,634.6138,616.6033,324.2897,312.2897,312.2897,294.2791,351.3258,269.2486,339.3258,268.264,309.3152
Cer-NP(t24:0/18:0)+C2H3O2,726.6612,666.64,648.6295,630.6189,338.3054,326.3054,326.3054,308.2948,351.3258,283.2643,339.3258,282.2797,309.3152
Cer-NP(t24:0/18:1)+C2H3O2,724.6455,664.6244,646.6138,628.6033,336.2897,324.2897,324.2897,306.2791,351.3258,281.2486,339.3258,280.264,309.3152
Cer-NP(t24:0/18:2)+C2H3O2,722.6299,662.6088,644.5981,626.5876,334.2741,322.2741,322.2741,304.2635,351.3258,279.233,339.3258,278.2484,309.3152
Cer-NP(t24:0/19:0)+C2H3O2,740.6768,680.6557,662.6451,644.6345,352.321,340.321,340.321,322.3105,351.3258,297.2799,339.3258,296.2953,309.3152
Cer-NP(t24:0/19:1)+C2H3O2,738.6612,678.64,660.6295,642.6189,350.3054,338.3054,338.3054,320.2948,351.3258,295.2643,339.3258,294.2797,309.3152
Cer-NP(t24:0/20:0)+C2H3O2,754.6924,694.6713,676.6608,658.6502,366.3367,354.3367,354.3367,336.3261,351.3258,311.2956,339.3258,310.311,309.3152
Cer-NP(t24:0/20:1)+C2H3O2,752.6768,692.6557,674.6451,656.6345,364.321,352.321,352.321,334.3105,351.3258,309.2799,339.3258,308.2953,309.3152
Cer-NP(t24:0/20:2)+C2H3O2,750.6612,690.64,672.6295,654.6189,362.3054,350.3054,350.3054,332.2948,351.3258,307.2643,339.3258,306.2797,309.3152
Cer-NP(t24:0/21:0)+C2H3O2,768.7081,708.687,690.6764,672.6658,380.3523,368.3523,368.3523,350.3417,351.3258,325.3112,339.3258,324.3266,309.3152
Cer-NP(t24:0/21:1)+C2H3O2,766.6924,706.6713,688.6608,670.6502,378.3367,366.3367,366.3367,348.3261,351.3258,323.2956,339.3258,322.311,309.3152
Cer-NP(t24:0/22:0)+C2H3O2,782.7238,722.7026,704.6921,686.6815,394.368,382.368,382.368,364.3574,351.3258,339.3269,339.3258,338.3423,309.3152
Cer-NP(t24:0/22:1)+C2H3O2,780.7081,720.687,702.6764,684.6658,392.3523,380.3523,380.3523,362.3417,351.3258,337.3112,339.3258,336.3266,309.3152
