Cer-NP,[M+C2H3O2]-,[M-H]-,[M-H2O-H]-,[M-2H2O-H]-,[FAA+C3H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H5O-H]-,[FAA+C2H3-H]-,[Sph-CH9NO-H]-,[FA+O-H]-,[Sph-C2H9NO-H]-,[FAA-H]-,[Sph-C3H11NO2-H]-
Cer-NP(t14:0/31:1)+C2H3O2,766.6924,706.6713,688.6608,670.6502,518.4932,506.4932,506.4932,488.4826,211.1693,463.4521,199.1693,462.4675,169.1587
Cer-NP(t14:0/32:0)+C2H3O2,782.7238,722.7026,704.6921,686.6815,534.5245,522.5245,522.5245,504.5139,211.1693,479.4834,199.1693,478.4988,169.1587
Cer-NP(t14:0/32:1)+C2H3O2,780.7081,720.687,702.6764,684.6658,532.5089,520.5089,520.5089,502.4983,211.1693,477.4677,199.1693,476.4832,169.1587
Cer-NP(t14:0/32:2)+C2H3O2,778.6924,718.6713,700.6608,682.6502,530.4932,518.4932,518.4932,500.4826,211.1693,475.4521,199.1693,474.4675,169.1587
Cer-NP(t14:0/33:0)+C2H3O2,796.7394,736.7183,718.7077,700.6971,548.5401,536.5401,536.5401,518.5295,211.1693,493.499,199.1693,492.5144,169.1587
Cer-NP(t14:0/33:1)+C2H3O2,794.7238,734.7026,716.6921,698.6815,546.5245,534.5245,534.5245,516.5139,211.1693,491.4834,199.1693,490.4988,169.1587
Cer-NP(t14:0/34:0)+C2H3O2,810.7551,750.7339,732.7234,714.7128,562.5558,550.5558,550.5558,532.5452,211.1693,507.5146,199.1693,506.5301,169.1587
Cer-NP(t14:0/34:1)+C2H3O2,808.7394,748.7183,730.7077,712.6971,560.5401,548.5401,548.5401,530.5295,211.1693,505.499,199.1693,504.5144,169.1587
Cer-NP(t14:0/34:2)+C2H3O2,806.7238,746.7026,728.6921,710.6815,558.5245,546.5245,546.5245,528.5139,211.1693,503.4834,199.1693,502.4988,169.1587
Cer-NP(t14:0/35:0)+C2H3O2,824.7707,764.7496,746.739,728.7285,576.5714,564.5714,564.5714,546.5609,211.1693,521.5303,199.1693,520.5457,169.1587
Cer-NP(t14:0/35:1)+C2H3O2,822.7551,762.7339,744.7234,726.7128,574.5558,562.5558,562.5558,544.5452,211.1693,519.5146,199.1693,518.5301,169.1587
Cer-NP(t14:0/36:0)+C2H3O2,838.7864,778.7653,760.7547,742.7441,590.5871,578.5871,578.5871,560.5765,211.1693,535.546,199.1693,534.5614,169.1587
Cer-NP(t14:0/36:1)+C2H3O2,836.7707,776.7496,758.739,740.7285,588.5714,576.5714,576.5714,558.5609,211.1693,533.5303,199.1693,532.5457,169.1587
Cer-NP(t14:0/36:2)+C2H3O2,834.7551,774.7339,756.7234,738.7128,586.5558,574.5558,574.5558,556.5452,211.1693,531.5146,199.1693,530.5301,169.1587
Cer-NP(t14:0/38:0)+C2H3O2,866.8177,806.7966,788.7859,770.7754,618.6183,606.6183,606.6183,588.6078,211.1693,563.5773,199.1693,562.5927,169.1587
Cer-NP(t14:0/38:1)+C2H3O2,864.802,804.7809,786.7703,768.7598,616.6027,604.6027,604.6027,586.5922,211.1693,561.5616,199.1693,560.577,169.1587
Cer-NP(t14:0/38:2)+C2H3O2,862.7864,802.7653,784.7547,766.7441,614.5871,602.5871,602.5871,584.5765,211.1693,559.546,199.1693,558.5614,169.1587
