GM3,[M+NH4]+,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+
GM3(d42:0)+NH4,1284.88755,1267.861,1249.851,976.7659,958.7553,814.713,796.7025,652.6602,634.6497,292.1027
GM3(d42:1)+NH4,1282.87155,1265.845,1247.835,974.7499,956.7393,812.697,794.6865,650.6442,632.6337,292.1027
GM3(d42:2)+NH4,1280.85655,1263.83,1245.82,972.7349,954.7243,810.6821,792.6714,648.6292,630.6187,292.1027
GM3(d42:3)+NH4,1278.84055,1261.814,1243.804,970.7189,952.7083,808.666,790.6555,646.6132,628.6027,292.1027
GM3(d43:0)+NH4,1298.90355,1281.877,1263.867,990.7819,972.7713,828.7291,810.7184,666.6762,648.6656,292.1027
GM3(d43:1)+NH4,1296.88755,1279.861,1261.851,988.7659,970.7553,826.713,808.7025,664.6602,646.6497,292.1027
GM3(d43:2)+NH4,1294.87155,1277.845,1259.835,986.7499,968.7393,824.697,806.6865,662.6442,644.6337,292.1027
GM3(d43:3)+NH4,1292.85655,1275.83,1257.82,984.7349,966.7243,822.6821,804.6714,660.6292,642.6187,292.1027
GM3(d44:0)+NH4,1312.91855,1295.892,1277.882,1004.797,986.7863,842.744,824.7335,680.6912,662.6807,292.1027
GM3(d44:1)+NH4,1310.90355,1293.877,1275.867,1002.782,984.7713,840.7291,822.7184,678.6762,660.6656,292.1027
GM3(d44:2)+NH4,1308.88755,1291.861,1273.851,1000.766,982.7553,838.713,820.7025,676.6602,658.6497,292.1027
GM3(d44:3)+NH4,1306.87155,1289.845,1271.835,998.7499,980.7393,836.697,818.6865,674.6442,656.6337,292.1027
GM3(d45:0)+NH4,1326.93455,1309.908,1291.898,1018.813,1000.802,856.76,838.7495,694.7072,676.6967,292.1027
GM3(d45:1)+NH4,1324.91855,1307.892,1289.882,1016.797,998.7863,854.744,836.7335,692.6912,674.6807,292.1027
GM3(d45:2)+NH4,1322.90355,1305.877,1287.867,1014.782,996.7713,852.7291,834.7184,690.6762,672.6656,292.1027
GM3(d45:3)+NH4,1320.88755,1303.861,1285.851,1012.766,994.7553,850.713,832.7025,688.6602,670.6497,292.1027
GM3(d46:0)+NH4,1340.95055,1323.924,1305.914,1032.829,1014.818,870.7761,852.7654,708.7232,690.7126,292.1027
GM3(d46:1)+NH4,1338.93455,1321.908,1303.898,1030.813,1012.802,868.76,850.7495,706.7072,688.6967,292.1027
GM3(d46:2)+NH4,1336.91855,1319.892,1301.882,1028.797,1010.786,866.744,848.7335,704.6912,686.6807,292.1027
GM3(d46:3)+NH4,1334.90355,1317.877,1299.867,1026.782,1008.771,864.7291,846.7184,702.6762,684.6656,292.1027
GM3(d47:0)+NH4,1354.96555,1337.939,1319.929,1046.844,1028.833,884.791,866.7805,722.7382,704.7277,292.1027
GM3(d47:1)+NH4,1352.95055,1335.924,1317.914,1044.829,1026.818,882.7761,864.7654,720.7232,702.7126,292.1027
GM3(d47:2)+NH4,1350.93455,1333.908,1315.898,1042.813,1024.802,880.76,862.7495,718.7072,700.6967,292.1027
GM3(d47:3)+NH4,1348.91855,1331.892,1313.882,1040.797,1022.786,878.744,860.7335,716.6912,698.6807,292.1027
GM3(d48:0)+NH4,1368.98155,1351.955,1333.945,1060.86,1042.849,898.8071,880.7964,736.7542,718.7437,292.1027
GM3(d48:1)+NH4,1366.96555,1349.939,1331.929,1058.844,1040.833,896.791,878.7805,734.7382,716.7277,292.1027
GM3(d48:2)+NH4,1364.95055,1347.924,1329.914,1056.829,1038.818,894.7761,876.7654,732.7232,714.7126,292.1027
GM3(d48:3)+NH4,1362.93455,1345.908,1327.898,1054.813,1036.802,892.76,874.7495,730.7072,712.6967,292.1027
GM3(d49:0)+NH4,1382.99755,1365.971,1347.961,1074.876,1056.865,912.8231,894.8125,750.7702,732.7596,292.1027
GM3(d49:1)+NH4,1380.98155,1363.955,1345.945,1072.86,1054.849,910.8071,892.7964,748.7542,730.7437,292.1027
GM3(d49:2)+NH4,1378.96555,1361.939,1343.929,1070.844,1052.833,908.791,890.7805,746.7382,728.7277,292.1027
GM3(d49:3)+NH4,1376.95055,1359.924,1341.914,1068.829,1050.818,906.7761,888.7654,744.7232,726.7126,292.1027
GM3(d50:0)+NH4,1397.01255,1379.986,1361.976,1088.891,1070.88,926.838,908.8275,764.7852,746.7747,292.1027
GM3(d50:1)+NH4,1394.99755,1377.971,1359.961,1086.876,1068.865,924.8231,906.8125,762.7702,744.7596,292.1027
GM3(d50:2)+NH4,1392.98155,1375.955,1357.945,1084.86,1066.849,922.8071,904.7964,760.7542,742.7437,292.1027
GM3(d50:3)+NH4,1390.96555,1373.939,1355.929,1082.844,1064.833,920.791,902.7805,758.7382,740.7277,292.1027
