DGDG,[M+C2H3O2]-,[M-H]-,C15H27O13,C15H25O12,C15H23O11
DGDG(42:5)+C2H3O2,1081.704,1021.683,415.1457,397.1352,379.1246
DGDG(43:1)+C2H3O2,1103.782,1043.761,415.1457,397.1352,379.1246
DGDG(34:7)+C2H3O2,965.5474,905.5262,415.1457,397.1352,379.1246
DGDG(38:8)+C2H3O2,1019.594,959.5732,415.1457,397.1352,379.1246
DGDG(40:6)+C2H3O2,1051.657,991.6358,415.1457,397.1352,379.1246
DGDG(42:6)+C2H3O2,1079.688,1019.667,415.1457,397.1352,379.1246
DGDG(43:2)+C2H3O2,1101.766,1041.745,415.1457,397.1352,379.1246
DGDG(32:7)+C2H3O2,937.5161,877.4949,415.1457,397.1352,379.1246
DGDG(34:8)+C2H3O2,963.5317,903.5106,415.1457,397.1352,379.1246
DGDG(36:8)+C2H3O2,991.563,931.5419,415.1457,397.1352,379.1246
DGDG(38:9)+C2H3O2,1017.579,957.5576,415.1457,397.1352,379.1246
DGDG(40:7)+C2H3O2,1049.641,989.6202,415.1457,397.1352,379.1246
DGDG(42:7)+C2H3O2,1077.673,1017.651,415.1457,397.1352,379.1246
DGDG(43:3)+C2H3O2,1099.751,1039.73,415.1457,397.1352,379.1246
DGDG(32:8)+C2H3O2,935.5004,875.4793,415.1457,397.1352,379.1246
DGDG(34:9)+C2H3O2,961.5161,901.4949,415.1457,397.1352,379.1246
DGDG(36:9)+C2H3O2,989.5474,929.5262,415.1457,397.1352,379.1246
DGDG(38:10)+C2H3O2,1015.563,955.5419,415.1457,397.1352,379.1246
DGDG(40:8)+C2H3O2,1047.626,987.6045,415.1457,397.1352,379.1246
DGDG(42:8)+C2H3O2,1075.657,1015.636,415.1457,397.1352,379.1246
DGDG(43:4)+C2H3O2,1097.735,1037.714,415.1457,397.1352,379.1246
DGDG(39:6)+C2H3O2,1037.641,977.6202,415.1457,397.1352,379.1246
DGDG(44:0)+C2H3O2,1119.813,1059.792,415.1457,397.1352,379.1246
DGDG(39:7)+C2H3O2,1035.626,975.6045,415.1457,397.1352,379.1246
DGDG(43:5)+C2H3O2,1095.719,1035.698,415.1457,397.1352,379.1246
DGDG(44:1)+C2H3O2,1117.798,1057.777,415.1457,397.1352,379.1246
DGDG(39:8)+C2H3O2,1033.61,973.5889,415.1457,397.1352,379.1246
DGDG(41:6)+C2H3O2,1065.673,1005.651,415.1457,397.1352,379.1246
DGDG(43:6)+C2H3O2,1093.704,1033.683,415.1457,397.1352,379.1246
DGDG(44:2)+C2H3O2,1115.782,1055.761,415.1457,397.1352,379.1246
DGDG(44:4)+C2H3O2,1111.751,1051.73,415.1457,397.1352,379.1246
DGDG(45:0)+C2H3O2,1133.829,1073.808,415.1457,397.1352,379.1246
DGDG(44:3)+C2H3O2,1113.766,1053.745,415.1457,397.1352,379.1246
DGDG(44:5)+C2H3O2,1109.735,1049.714,415.1457,397.1352,379.1246
DGDG(45:1)+C2H3O2,1131.813,1071.792,415.1457,397.1352,379.1246
DGDG(44:6)+C2H3O2,1107.719,1047.698,415.1457,397.1352,379.1246
DGDG(45:2)+C2H3O2,1129.798,1069.777,415.1457,397.1352,379.1246
DGDG(40:9)+C2H3O2,1045.61,985.5889,415.1457,397.1352,379.1246
DGDG(44:7)+C2H3O2,1105.704,1045.683,415.1457,397.1352,379.1246
DGDG(45:3)+C2H3O2,1127.782,1067.761,415.1457,397.1352,379.1246
DGDG(40:10)+C2H3O2,1043.594,983.5732,415.1457,397.1352,379.1246
DGDG(44:8)+C2H3O2,1103.688,1043.667,415.1457,397.1352,379.1246
DGDG(45:4)+C2H3O2,1125.766,1065.745,415.1457,397.1352,379.1246
DGDG(36:10)+C2H3O2,987.5317,927.5106,415.1457,397.1352,379.1246
DGDG(40:11)+C2H3O2,1041.579,981.5576,415.1457,397.1352,379.1246
DGDG(42:9)+C2H3O2,1073.641,1013.62,415.1457,397.1352,379.1246
DGDG(44:9)+C2H3O2,1101.673,1041.651,415.1457,397.1352,379.1246
DGDG(45:5)+C2H3O2,1123.751,1063.73,415.1457,397.1352,379.1246
DGDG(46:0)+C2H3O2,1147.845,1087.824,415.1457,397.1352,379.1246
DGDG(41:7)+C2H3O2,1063.657,1003.636,415.1457,397.1352,379.1246
DGDG(46:1)+C2H3O2,1145.829,1085.808,415.1457,397.1352,379.1246
DGDG(41:8)+C2H3O2,1061.641,1001.62,415.1457,397.1352,379.1246
DGDG(45:6)+C2H3O2,1121.735,1061.714,415.1457,397.1352,379.1246
DGDG(46:2)+C2H3O2,1143.813,1083.792,415.1457,397.1352,379.1246
DGDG(46:4)+C2H3O2,1139.782,1079.761,415.1457,397.1352,379.1246
DGDG(47:0)+C2H3O2,1161.86,1101.839,415.1457,397.1352,379.1246
DGDG(46:3)+C2H3O2,1141.798,1081.777,415.1457,397.1352,379.1246
DGDG(46:5)+C2H3O2,1137.766,1077.745,415.1457,397.1352,379.1246
DGDG(47:1)+C2H3O2,1159.845,1099.824,415.1457,397.1352,379.1246
DGDG(46:6)+C2H3O2,1135.751,1075.73,415.1457,397.1352,379.1246
DGDG(47:2)+C2H3O2,1157.829,1097.808,415.1457,397.1352,379.1246
DGDG(46:7)+C2H3O2,1133.735,1073.714,415.1457,397.1352,379.1246
DGDG(47:3)+C2H3O2,1155.813,1095.792,415.1457,397.1352,379.1246
DGDG(42:10)+C2H3O2,1071.626,1011.604,415.1457,397.1352,379.1246
DGDG(46:8)+C2H3O2,1131.719,1071.698,415.1457,397.1352,379.1246
DGDG(47:4)+C2H3O2,1153.798,1093.777,415.1457,397.1352,379.1246
DGDG(42:11)+C2H3O2,1069.61,1009.589,415.1457,397.1352,379.1246
DGDG(46:9)+C2H3O2,1129.704,1069.683,415.1457,397.1352,379.1246
DGDG(47:5)+C2H3O2,1151.782,1091.761,415.1457,397.1352,379.1246
DGDG(48:0)+C2H3O2,1175.876,1115.855,415.1457,397.1352,379.1246
DGDG(43:7)+C2H3O2,1091.688,1031.667,415.1457,397.1352,379.1246
DGDG(48:1)+C2H3O2,1173.86,1113.839,415.1457,397.1352,379.1246
DGDG(43:8)+C2H3O2,1089.673,1029.651,415.1457,397.1352,379.1246
DGDG(47:6)+C2H3O2,1149.766,1089.745,415.1457,397.1352,379.1246
DGDG(48:2)+C2H3O2,1171.845,1111.824,415.1457,397.1352,379.1246
DGDG(48:4)+C2H3O2,1167.813,1107.792,415.1457,397.1352,379.1246
DGDG(49:0)+C2H3O2,1189.892,1129.871,415.1457,397.1352,379.1246
DGDG(48:3)+C2H3O2,1169.829,1109.808,415.1457,397.1352,379.1246
DGDG(48:5)+C2H3O2,1165.798,1105.777,415.1457,397.1352,379.1246
DGDG(49:1)+C2H3O2,1187.876,1127.855,415.1457,397.1352,379.1246
DGDG(48:6)+C2H3O2,1163.782,1103.761,415.1457,397.1352,379.1246
DGDG(49:2)+C2H3O2,1185.86,1125.839,415.1457,397.1352,379.1246
DGDG(48:7)+C2H3O2,1161.766,1101.745,415.1457,397.1352,379.1246
DGDG(49:3)+C2H3O2,1183.845,1123.824,415.1457,397.1352,379.1246
DGDG(44:10)+C2H3O2,1099.657,1039.636,415.1457,397.1352,379.1246
DGDG(48:8)+C2H3O2,1159.751,1099.73,415.1457,397.1352,379.1246
DGDG(49:4)+C2H3O2,1181.829,1121.808,415.1457,397.1352,379.1246
DGDG(44:11)+C2H3O2,1097.641,1037.62,415.1457,397.1352,379.1246
DGDG(48:9)+C2H3O2,1157.735,1097.714,415.1457,397.1352,379.1246
DGDG(49:5)+C2H3O2,1179.813,1119.792,415.1457,397.1352,379.1246
DGDG(44:12)+C2H3O2,1095.626,1035.604,415.1457,397.1352,379.1246
DGDG(46:10)+C2H3O2,1127.688,1067.667,415.1457,397.1352,379.1246
DGDG(48:10)+C2H3O2,1155.719,1095.698,415.1457,397.1352,379.1246
DGDG(49:6)+C2H3O2,1177.798,1117.777,415.1457,397.1352,379.1246
DGDG(50:0)+C2H3O2,1203.907,1143.886,415.1457,397.1352,379.1246
DGDG(50:1)+C2H3O2,1201.892,1141.871,415.1457,397.1352,379.1246
DGDG(50:2)+C2H3O2,1199.876,1139.855,415.1457,397.1352,379.1246
DGDG(50:4)+C2H3O2,1195.845,1135.824,415.1457,397.1352,379.1246
DGDG(51:0)+C2H3O2,1217.923,1157.902,415.1457,397.1352,379.1246
DGDG(50:3)+C2H3O2,1197.86,1137.839,415.1457,397.1352,379.1246
DGDG(50:5)+C2H3O2,1193.829,1133.808,415.1457,397.1352,379.1246
DGDG(51:1)+C2H3O2,1215.907,1155.886,415.1457,397.1352,379.1246
DGDG(50:6)+C2H3O2,1191.813,1131.792,415.1457,397.1352,379.1246
DGDG(51:2)+C2H3O2,1213.892,1153.871,415.1457,397.1352,379.1246
DGDG(50:8)+C2H3O2,1187.782,1127.761,415.1457,397.1352,379.1246
DGDG(51:4)+C2H3O2,1209.86,1149.839,415.1457,397.1352,379.1246
DGDG(52:0)+C2H3O2,1231.939,1171.917,415.1457,397.1352,379.1246
DGDG(52:1)+C2H3O2,1229.923,1169.902,415.1457,397.1352,379.1246
DGDG(52:2)+C2H3O2,1227.907,1167.886,415.1457,397.1352,379.1246
DGDG(52:4)+C2H3O2,1223.876,1163.855,415.1457,397.1352,379.1246
DGDG(53:0)+C2H3O2,1245.954,1185.933,415.1457,397.1352,379.1246
DGDG(52:3)+C2H3O2,1225.892,1165.871,415.1457,397.1352,379.1246
DGDG(52:5)+C2H3O2,1221.86,1161.839,415.1457,397.1352,379.1246
DGDG(53:1)+C2H3O2,1243.939,1183.917,415.1457,397.1352,379.1246
DGDG(52:6)+C2H3O2,1219.845,1159.824,415.1457,397.1352,379.1246
DGDG(53:2)+C2H3O2,1241.923,1181.902,415.1457,397.1352,379.1246
DGDG(52:8)+C2H3O2,1215.813,1155.792,415.1457,397.1352,379.1246
DGDG(53:4)+C2H3O2,1237.892,1177.871,415.1457,397.1352,379.1246
DGDG(54:0)+C2H3O2,1259.97,1199.949,415.1457,397.1352,379.1246
