OxPC,[M+H]+,M+H-PC,M+H-R1COOH,M+H-R2COOH,M+H-R1CO,M+H-R2CO,PC_head
OxPC(10:0_13:0(CHO))+H,622.40789,439.34183,450.26154,394.23533,468.27212,412.24591,184.07332
OxPC(10:0_14:0(CHO))+H,636.42354,453.35748,464.27719,394.23533,482.28777,412.24591,184.07332
OxPC(10:0_15:0(CHO))+H,650.43919,467.37313,478.29284,394.23533,496.30342,412.24591,184.07332
OxPC(10:0_6:1(CHO))+H,522.2827,339.21664,350.13635,394.23533,368.14693,412.24591,184.07332
OxPC(10:0_7:1(CHO))+H,536.29835,353.23229,364.152,394.23533,382.16258,412.24591,184.07332
OxPC(10:0_8:1(CHO))+H,550.314,367.24794,378.16765,394.23533,396.17823,412.24591,184.07332
OxPC(10:0_9:1(CHO))+H,564.32965,381.26359,392.1833,394.23533,410.19388,412.24591,184.07332
OxPC(10:0_9:2(CHO))+H,562.314,379.24794,390.16765,394.23533,408.17823,412.24591,184.07332
OxPC(10:0_10:1(CHO))+H,578.3453,395.27924,406.19895,394.23533,424.20953,412.24591,184.07332
OxPC(10:0_10:2(CHO))+H,576.32965,393.26359,404.1833,394.23533,422.19388,412.24591,184.07332
OxPC(10:0_11:1(CHO))+H,592.36095,409.29489,420.2146,394.23533,438.22518,412.24591,184.07332
OxPC(10:0_11:2(CHO))+H,590.3453,407.27924,418.19895,394.23533,436.20953,412.24591,184.07332
OxPC(10:0_12:1(CHO))+H,606.3766,423.31054,434.23025,394.23533,452.24083,412.24591,184.07332
OxPC(10:0_12:2(CHO))+H,604.36095,421.29489,432.2146,394.23533,450.22518,412.24591,184.07332
OxPC(10:0_12:3(CHO))+H,602.3453,419.27924,430.19895,394.23533,448.20953,412.24591,184.07332
OxPC(10:0_13:1(CHO))+H,620.39225,437.32619,448.2459,394.23533,466.25648,412.24591,184.07332
OxPC(10:0_13:2(CHO))+H,618.3766,435.31054,446.23025,394.23533,464.24083,412.24591,184.07332
OxPC(10:0_13:3(CHO))+H,616.36095,433.29489,444.2146,394.23533,462.22518,412.24591,184.07332
OxPC(10:0_14:1(CHO))+H,634.4079,451.34184,462.26155,394.23533,480.27213,412.24591,184.07332
OxPC(10:0_14:2(CHO))+H,632.39225,449.32619,460.2459,394.23533,478.25648,412.24591,184.07332
OxPC(10:0_14:3(CHO))+H,630.3766,447.31054,458.23025,394.23533,476.24083,412.24591,184.07332
OxPC(10:0_15:1(CHO))+H,648.42355,465.35749,476.2772,394.23533,494.28778,412.24591,184.07332
OxPC(10:0_15:2(CHO))+H,646.4079,463.34184,474.26155,394.23533,492.27213,412.24591,184.07332
OxPC(10:0_15:3(CHO))+H,644.39225,461.32619,472.2459,394.23533,490.25648,412.24591,184.07332
OxPC(10:0_15:4(CHO))+H,642.3766,459.31054,470.23025,394.23533,488.24083,412.24591,184.07332
OxPC(10:0_16:1(CHO))+H,662.4392,479.37314,490.29285,394.23533,508.30343,412.24591,184.07332
OxPC(10:0_16:2(CHO))+H,660.42355,477.35749,488.2772,394.23533,506.28778,412.24591,184.07332
OxPC(10:0_16:3(CHO))+H,658.4079,475.34184,486.26155,394.23533,504.27213,412.24591,184.07332
OxPC(10:0_16:4(CHO))+H,656.39225,473.32619,484.2459,394.23533,502.25648,412.24591,184.07332
OxPC(10:0_17:4(CHO))+H,670.4079,487.34184,498.26155,394.23533,516.27213,412.24591,184.07332
OxPC(10:0_18:4(CHO))+H,684.42355,501.35749,512.2772,394.23533,530.28778,412.24591,184.07332
OxPC(10:0_18:5(CHO))+H,682.4079,499.34184,510.26155,394.23533,528.27213,412.24591,184.07332
OxPC(10:0_19:4(CHO))+H,698.4392,515.37314,526.29285,394.23533,544.30343,412.24591,184.07332
OxPC(10:0_19:5(CHO))+H,696.42355,513.35749,524.2772,394.23533,542.28778,412.24591,184.07332
OxPC(10:0_3:0(COOH))+H,498.24631,315.18025,326.09996,394.23533,344.11054,412.24591,184.07332
OxPC(10:0_4:0(COOH))+H,512.26196,329.1959,340.11561,394.23533,358.12619,412.24591,184.07332
OxPC(10:0_5:0(COOH))+H,526.27761,343.21155,354.13126,394.23533,372.14184,412.24591,184.07332
OxPC(10:0_6:0(COOH))+H,540.29326,357.2272,368.14691,394.23533,386.15749,412.24591,184.07332
OxPC(10:0_7:0(COOH))+H,554.30891,371.24285,382.16256,394.23533,400.17314,412.24591,184.07332
OxPC(10:0_8:0(COOH))+H,568.32456,385.2585,396.17821,394.23533,414.18879,412.24591,184.07332
OxPC(10:0_9:0(COOH))+H,582.34021,399.27415,410.19386,394.23533,428.20444,412.24591,184.07332
OxPC(10:0_10:0(COOH))+H,596.35586,413.2898,424.20951,394.23533,442.22009,412.24591,184.07332
OxPC(10:0_11:0(COOH))+H,610.37151,427.30545,438.22516,394.23533,456.23574,412.24591,184.07332
OxPC(10:0_12:0(COOH))+H,624.38716,441.3211,452.24081,394.23533,470.25139,412.24591,184.07332
OxPC(10:0_13:0(COOH))+H,638.40281,455.33675,466.25646,394.23533,484.26704,412.24591,184.07332
OxPC(10:0_14:0(COOH))+H,652.41846,469.3524,480.27211,394.23533,498.28269,412.24591,184.07332
OxPC(10:0_15:0(COOH))+H,666.43411,483.36805,494.28776,394.23533,512.29834,412.24591,184.07332
OxPC(10:0_6:1(COOH))+H,538.27762,355.21156,366.13127,394.23533,384.14185,412.24591,184.07332
OxPC(10:0_7:1(COOH))+H,552.29327,369.22721,380.14692,394.23533,398.1575,412.24591,184.07332
OxPC(10:0_8:1(COOH))+H,566.30892,383.24286,394.16257,394.23533,412.17315,412.24591,184.07332
OxPC(10:0_9:1(COOH))+H,580.32457,397.25851,408.17822,394.23533,426.1888,412.24591,184.07332
OxPC(10:0_9:2(COOH))+H,578.30892,395.24286,406.16257,394.23533,424.17315,412.24591,184.07332
OxPC(10:0_10:1(COOH))+H,594.34022,411.27416,422.19387,394.23533,440.20445,412.24591,184.07332
