Ac3PIM2,[M-H]-,M-sn1,M-sn2,M-sn3,M-sn1+H2O,M-sn2+H2O,M-sn3+H2O,M-C6H10O5,M-sn1-sn2,M-sn1-sn2-C3H5O,sn1 FA,sn2 FA,sn3 FA
Ac3PIM2(14:0_19:0_18:2)-H,1409.868972,1181.660172,1111.581972,1129.628892,1199.670732,1129.592532,1147.639452,1247.816152,883.3731716,827.3469616,227.20098,297.27918,279.23226
Ac3PIM2(14:0_19:0_methyl-18:0)-H,1427.915922,1199.707122,1129.628922,1129.628922,1217.717682,1147.639482,1147.639482,1265.863102,901.4201218,845.3939118,227.20098,297.27918,297.27918
Ac3PIM2(14:0_20:0_14:0)-H,1371.853322,1143.644522,1059.550682,1143.644522,1161.655082,1077.561242,1161.655082,1209.800502,831.3418816,775.3156716,227.20098,311.29482,227.20098
Ac3PIM2(14:0_20:0_15:0)-H,1385.868972,1157.660172,1073.566332,1143.644532,1175.670732,1091.576892,1161.655092,1223.816152,845.3575316,789.3313216,227.20098,311.29482,241.21662
Ac3PIM2(14:0_20:0_16:0)-H,1399.884622,1171.675822,1087.581982,1143.644542,1189.686382,1105.592542,1161.655102,1237.831802,859.3731817,803.3469717,227.20098,311.29482,255.23226
Ac3PIM2(14:0_20:0_17:0)-H,1413.900272,1185.691472,1101.597632,1143.644552,1203.702032,1119.608192,1161.655112,1251.847452,873.3888318,817.3626218,227.20098,311.29482,269.2479
Ac3PIM2(14:0_20:0_18:0)-H,1427.915922,1199.707122,1115.613282,1143.644562,1217.717682,1133.623842,1161.655122,1265.863102,887.4044818,831.3782718,227.20098,311.29482,283.26354
Ac3PIM2(14:0_20:0_19:0)-H,1441.931572,1213.722772,1129.628932,1143.644572,1231.733332,1147.639492,1161.655132,1279.878752,901.4201319,845.3939219,227.20098,311.29482,297.27918
Ac3PIM2(14:0_20:0_20:0)-H,1455.947222,1227.738422,1143.644582,1143.644582,1245.748982,1161.655142,1161.655142,1293.894402,915.435782,859.409572,227.20098,311.29482,311.29482
Ac3PIM2(14:0_20:0_16:1)-H,1397.868972,1169.660172,1085.566332,1143.644532,1187.670732,1103.576892,1161.655092,1235.816152,857.3575316,801.3313216,227.20098,311.29482,253.21662
Ac3PIM2(14:0_20:0_17:1)-H,1411.884622,1183.675822,1099.581982,1143.644542,1201.686382,1117.592542,1161.655102,1249.831802,871.3731817,815.3469717,227.20098,311.29482,267.23226
Ac3PIM2(14:0_20:0_18:1)-H,1425.900272,1197.691472,1113.597632,1143.644552,1215.702032,1131.608192,1161.655112,1263.847452,885.3888318,829.3626218,227.20098,311.29482,281.2479
