"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Average m/z","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+H]+","M+H-PC","PC_head","RT_min","RT_max","Comment"
"","OxPC(35:2(OOOOO))+H","0","0","1","5.58739722222222","5.88739722222222","594","","OxPC(35:2(OOOOO))+H"," 0.000000","0.000000"," 5.833585","5.58739722222222","5.88739722222222","594","","OxPC(35:2(OOOOO))+H","0","0","2","5.58739722222222","5.88739722222222","594","","OxPC(35:2(OOOOO))+H","     0.000","   0.000","  25811.7900","5.58739722222222","5.88739722222222","594","","OxPC(35:2(OOOOO))+H","  0.0000","  0.0000","184.0738","5.58739722222222","5.88739722222222","594","","OxPC(35:2(OOOOO))+H","852.55974","669.49368","184.07332","5.58739722222222","5.88739722222222","594"
"","OxPC(35:3(OKe))+H","1","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(35:3(OKe))+H"," 8.161917","0.000000"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(35:3(OKe))+H","1","0","2","8.01050416666666","8.31050416666666","2253","","OxPC(35:3(OKe))+H"," 48811.200","   0.000","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(35:3(OKe))+H","800.5413","  0.0000","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(35:3(OKe))+H","800.54364","617.47758","184.07332","8.01050416666666","8.31050416666666","2253"
"","OxPC(35:4(OO))+H","1","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(35:4(OO))+H"," 8.161917","0.000000"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(35:4(OO))+H","1","0","2","8.01050416666666","8.31050416666666","2253","","OxPC(35:4(OO))+H"," 48811.200","   0.000","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(35:4(OO))+H","800.5413","  0.0000","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(35:4(OO))+H","800.54367","617.47761","184.07332","8.01050416666666","8.31050416666666","2253"
"","OxPC(36:2(KeOKe))+H","0","0","1","4.42909166666667","4.72909166666667","3058","","OxPC(36:2(KeOKe))+H"," 0.000000","0.000000"," 4.566793","4.42909166666667","4.72909166666667","3058","","OxPC(36:2(KeOKe))+H","0","0","1","4.42909166666667","4.72909166666667","3058","","OxPC(36:2(KeOKe))+H","     0.000","   0.000"," 222750.0000","4.42909166666667","4.72909166666667","3058","","OxPC(36:2(KeOKe))+H","  0.0000","  0.0000","184.0737","4.42909166666667","4.72909166666667","3058","","OxPC(36:2(KeOKe))+H","830.55426","647.4882","184.07332","4.42909166666667","4.72909166666667","3058"
"","OxPC(36:2(KeOKe))+H","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(36:2(KeOKe))+H"," 0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(36:2(KeOKe))+H","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(36:2(KeOKe))+H","     0.000","   0.000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(36:2(KeOKe))+H","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(36:2(KeOKe))+H","830.55426","647.4882","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(36:2(KeOKe))+H","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(36:2(KeOKe))+H"," 0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(36:2(KeOKe))+H","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(36:2(KeOKe))+H","     0.000","   0.000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(36:2(KeOKe))+H","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(36:2(KeOKe))+H","830.55426","647.4882","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(36:3(Ke))+H","1","1","1","4.89671944444444","5.19671944444444","424","","OxPC(36:3(Ke))+H"," 5.006868","5.006868"," 5.006868","4.89671944444444","5.19671944444444","424","","OxPC(36:3(Ke))+H","2","1","2","4.89671944444444","5.19671944444444","424","","OxPC(36:3(Ke))+H","355770.000","1138.406","2822615.0000","4.89671944444444","5.19671944444444","424","","OxPC(36:3(Ke))+H","798.5660","615.4977","184.0738","4.89671944444444","5.19671944444444","424","","OxPC(36:3(Ke))+H","798.5644","615.49834","184.07332","4.89671944444444","5.19671944444444","424"
"","OxPC(36:3(OOKe))+H","0","0","1","4.42909166666667","4.72909166666667","3058","","OxPC(36:3(OOKe))+H"," 0.000000","0.000000"," 4.566793","4.42909166666667","4.72909166666667","3058","","OxPC(36:3(OOKe))+H","0","0","1","4.42909166666667","4.72909166666667","3058","","OxPC(36:3(OOKe))+H","     0.000","   0.000"," 222750.0000","4.42909166666667","4.72909166666667","3058","","OxPC(36:3(OOKe))+H","  0.0000","  0.0000","184.0737","4.42909166666667","4.72909166666667","3058","","OxPC(36:3(OOKe))+H","830.55426","647.4882","184.07332","4.42909166666667","4.72909166666667","3058"
"","OxPC(36:3(OOKe))+H","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(36:3(OOKe))+H"," 0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(36:3(OOKe))+H","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(36:3(OOKe))+H","     0.000","   0.000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(36:3(OOKe))+H","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(36:3(OOKe))+H","830.55426","647.4882","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(36:3(OOKe))+H","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(36:3(OOKe))+H"," 0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(36:3(OOKe))+H","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(36:3(OOKe))+H","     0.000","   0.000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(36:3(OOKe))+H","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(36:3(OOKe))+H","830.55426","647.4882","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(36:4(O))+H","1","1","1","4.89671944444444","5.19671944444444","424","","OxPC(36:4(O))+H"," 5.006868","5.006868"," 5.006868","4.89671944444444","5.19671944444444","424","","OxPC(36:4(O))+H","2","1","2","4.89671944444444","5.19671944444444","424","","OxPC(36:4(O))+H","355770.000","1138.406","2822615.0000","4.89671944444444","5.19671944444444","424","","OxPC(36:4(O))+H","798.5660","615.4977","184.0738","4.89671944444444","5.19671944444444","424","","OxPC(36:4(O))+H","798.5644","615.49834","184.07332","4.89671944444444","5.19671944444444","424"
"","OxPC(36:4(OOO))+H","0","0","1","4.42909166666667","4.72909166666667","3058","","OxPC(36:4(OOO))+H"," 0.000000","0.000000"," 4.566793","4.42909166666667","4.72909166666667","3058","","OxPC(36:4(OOO))+H","0","0","1","4.42909166666667","4.72909166666667","3058","","OxPC(36:4(OOO))+H","     0.000","   0.000"," 222750.0000","4.42909166666667","4.72909166666667","3058","","OxPC(36:4(OOO))+H","  0.0000","  0.0000","184.0737","4.42909166666667","4.72909166666667","3058","","OxPC(36:4(OOO))+H","830.55427","647.48821","184.07332","4.42909166666667","4.72909166666667","3058"
