"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(33:2)+H","1","1","1","5.77137638888889","6.07137638888889","145","","PC(33:2)+H"," 5.927817"," 5.927817"," 5.927817","5.77137638888889","6.07137638888889","145","","PC(33:2)+H","2","2","2","5.77137638888889","6.07137638888889","145","","PC(33:2)+H"," 1879190.000","  14047.4400","1.810394e+07","5.77137638888889","6.07137638888889","145","","PC(33:2)+H","744.5545","561.4886","184.0735","5.77137638888889","6.07137638888889","145","","PC(33:2)+H","744.55384","561.4878","184.07332","5.77137638888889","6.07137638888889","145"
"","PC(33:2)+H","1","0","1","7.85418888888889","8.15418888888889","206","","PC(33:2)+H"," 8.027212"," 0.000000"," 8.027212","7.85418888888889","8.15418888888889","206","","PC(33:2)+H","2","0","4","7.85418888888889","8.15418888888889","206","","PC(33:2)+H","   38583.230","      0.0000","7.966249e+06","7.85418888888889","8.15418888888889","206","","PC(33:2)+H","744.5554","  0.0000","184.0735","7.85418888888889","8.15418888888889","206","","PC(33:2)+H","744.55384","561.4878","184.07332","7.85418888888889","8.15418888888889","206"
"","PC(33:2)+H","0","0","1","7.68141111111111","7.98141111111111","12683","","PC(33:2)+H"," 0.000000"," 0.000000"," 7.903214","7.68141111111111","7.98141111111111","12683","","PC(33:2)+H","0","0","2","7.68141111111111","7.98141111111111","12683","","PC(33:2)+H","       0.000","      0.0000","3.043011e+06","7.68141111111111","7.98141111111111","12683","","PC(33:2)+H","  0.0000","  0.0000","184.0735","7.68141111111111","7.98141111111111","12683","","PC(33:2)+H","744.55384","561.4878","184.07332","7.68141111111111","7.98141111111111","12683"
"","PC(33:3)+H","1","0","1","6.76129722222222","7.06129722222222","513","","PC(33:3)+H"," 6.923258"," 0.000000"," 6.985158","6.76129722222222","7.06129722222222","513","","PC(33:3)+H","1","0","2","6.76129722222222","7.06129722222222","513","","PC(33:3)+H","   17079.830","      0.0000","1.606983e+07","6.76129722222222","7.06129722222222","513","","PC(33:3)+H","742.5391","  0.0000","184.0734","6.76129722222222","7.06129722222222","513","","PC(33:3)+H","742.53824","559.4722","184.07332","6.76129722222222","7.06129722222222","513"
"","PC(33:3)+H","1","0","1","4.94340138888889","5.24340138888889","567","","PC(33:3)+H"," 5.043269"," 0.000000"," 5.043269","4.94340138888889","5.24340138888889","567","","PC(33:3)+H","2","0","2","4.94340138888889","5.24340138888889","567","","PC(33:3)+H","  156091.800","      0.0000","1.215010e+06","4.94340138888889","5.24340138888889","567","","PC(33:3)+H","742.5399","  0.0000","184.0738","4.94340138888889","5.24340138888889","567","","PC(33:3)+H","742.53824","559.4722","184.07332","4.94340138888889","5.24340138888889","567"
"","PC(33:3)+H","1","0","1","8.64927361111111","8.94927361111111","1069","","PC(33:3)+H"," 8.820799"," 0.000000"," 8.820799","8.64927361111111","8.94927361111111","1069","","PC(33:3)+H","1","0","1","8.64927361111111","8.94927361111111","1069","","PC(33:3)+H","  232992.800","      0.0000","9.703793e+03","8.64927361111111","8.94927361111111","1069","","PC(33:3)+H","742.5367","  0.0000","184.0736","8.64927361111111","8.94927361111111","1069","","PC(33:3)+H","742.53824","559.4722","184.07332","8.64927361111111","8.94927361111111","1069"
"","PC(33:3)+H","0","0","1","6.94883888888889","7.24883888888889","9128","","PC(33:3)+H"," 0.000000"," 0.000000"," 7.097293","6.94883888888889","7.24883888888889","9128","","PC(33:3)+H","0","0","2","6.94883888888889","7.24883888888889","9128","","PC(33:3)+H","       0.000","      0.0000","2.342384e+07","6.94883888888889","7.24883888888889","9128","","PC(33:3)+H","  0.0000","  0.0000","184.0733","6.94883888888889","7.24883888888889","9128","","PC(33:3)+H","742.53824","559.4722","184.07332","6.94883888888889","7.24883888888889","9128"
"","PC(33:4)+H","1","0","1","6.49417777777778","6.79417777777778","510","","PC(33:4)+H"," 6.663421"," 0.000000"," 6.663421","6.49417777777778","6.79417777777778","510","","PC(33:4)+H","1","0","1","6.49417777777778","6.79417777777778","510","","PC(33:4)+H","   15678.960","      0.0000","8.918148e+03","6.49417777777778","6.79417777777778","510","","PC(33:4)+H","740.5244","  0.0000","184.0737","6.49417777777778","6.79417777777778","510","","PC(33:4)+H","740.52254","557.4565","184.07332","6.49417777777778","6.79417777777778","510"
"","PC(34:0)+H","1","1","1","8.38228472222222","8.68228472222222","37","","PC(34:0)+H"," 8.523543"," 8.523543"," 8.523543","8.38228472222222","8.68228472222222","37","","PC(34:0)+H","2","2","2","8.38228472222222","8.68228472222222","37","","PC(34:0)+H","13663840.000","  90166.8600","1.399277e+08","8.38228472222222","8.68228472222222","37","","PC(34:0)+H","762.6004","579.5349","184.0732","8.38228472222222","8.68228472222222","37","","PC(34:0)+H","762.60074","579.5347","184.07332","8.38228472222222","8.68228472222222","37"
"","PC(34:1)+H","1","1","1","7.32078888888889","7.62078888888889","5","","PC(34:1)+H"," 7.474944"," 7.474944"," 7.474944","7.32078888888889","7.62078888888889","5","","PC(34:1)+H","3","3","3","7.32078888888889","7.62078888888889","5","","PC(34:1)+H","52416060.000"," 316102.8000","5.637516e+08","7.32078888888889","7.62078888888889","5","","PC(34:1)+H","760.5847","577.5190","184.0732","7.32078888888889","7.62078888888889","5","","PC(34:1)+H","760.58514","577.5191","184.07332","7.32078888888889","7.62078888888889","5"
