"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(36:0)+H","1","1","0","1","0","1","1","7.68953194444445","7.98953194444445","335","","SM(36:0)+H"," 7.800446"," 7.800446"," 0.000000"," 7.800446"," 0.000000"," 7.800446"," 7.800446","7.68953194444445","7.98953194444445","335","","SM(36:0)+H","2","1","0","1","0","2","2","7.68953194444445","7.98953194444445","335","","SM(36:0)+H","  203374.10","   2743.2330","      0.0","   2743.2330","     0.0000","3.940309e+06","  26269.300","7.68953194444445","7.98953194444445","335","","SM(36:0)+H","733.6226","550.5563","  0.0000","550.5563","  0.0000","184.0735","86.09654","7.68953194444445","7.98953194444445","335","","SM(36:0)+H","733.62177","550.55573","674.54823","550.55565","532.54507","184.07332","86.09648","7.68953194444445","7.98953194444445","335"
"","SM(36:1)+H","1","1","0","1","1","1","1","7.21446388888889","7.51446388888889","58","","SM(36:1)+H"," 7.414088"," 7.414088"," 0.000000"," 7.414088"," 7.414088"," 7.414088"," 7.414088","7.21446388888889","7.51446388888889","58","","SM(36:1)+H","2","2","0","2","2","2","2","7.21446388888889","7.51446388888889","58","","SM(36:1)+H"," 2402857.00","  11806.9400","      0.0","  11806.9400"," 26671.3500","6.894478e+07"," 615572.600","7.21446388888889","7.51446388888889","58","","SM(36:1)+H","731.6062","548.5406","  0.0000","548.5406","530.5302","184.0732","86.09642","7.21446388888889","7.51446388888889","58","","SM(36:1)+H","731.60617","548.54013","672.53263","548.54005","530.52947","184.07332","86.09648","7.21446388888889","7.51446388888889","58"
"","SM(36:1)+H","1","1","0","1","1","1","1","7.02082361111111","7.32082361111111","865","","SM(36:1)+H"," 7.295663"," 7.295663"," 0.000000"," 7.295663"," 7.295663"," 7.295663"," 7.295663","7.02082361111111","7.32082361111111","865","","SM(36:1)+H","1","1","0","1","1","1","1","7.02082361111111","7.32082361111111","865","","SM(36:1)+H","  533940.90","   3613.9750","      0.0","   3613.9750","  8962.2510","1.538865e+07"," 138544.300","7.02082361111111","7.32082361111111","865","","SM(36:1)+H","731.6066","548.5405","  0.0000","548.5405","530.5306","184.0733","86.09647","7.02082361111111","7.32082361111111","865","","SM(36:1)+H","731.60617","548.54013","672.53263","548.54005","530.52947","184.07332","86.09648","7.02082361111111","7.32082361111111","865"
"","SM(36:1)+H","1","1","0","1","1","1","1","7.02064722222222","7.32064722222222","12668","","SM(36:1)+H"," 7.295663"," 7.295663"," 0.000000"," 7.295663"," 7.295663"," 7.295663"," 7.295663","7.02064722222222","7.32064722222222","12668","","SM(36:1)+H","1","1","0","1","1","1","1","7.02064722222222","7.32064722222222","12668","","SM(36:1)+H","  533940.90","   3613.9750","      0.0","   3613.9750","  8962.2510","1.538865e+07"," 138544.300","7.02064722222222","7.32064722222222","12668","","SM(36:1)+H","731.6066","548.5405","  0.0000","548.5405","530.5306","184.0733","86.09647","7.02064722222222","7.32064722222222","12668","","SM(36:1)+H","731.60617","548.54013","672.53263","548.54005","530.52947","184.07332","86.09648","7.02064722222222","7.32064722222222","12668"
"","SM(36:2)+H","1","1","0","1","1","1","1","6.09383333333333","6.39383333333333","103","","SM(36:2)+H"," 6.317717"," 6.317717"," 0.000000"," 6.317717"," 6.317717"," 6.317717"," 6.317717","6.09383333333333","6.39383333333333","103","","SM(36:2)+H","2","2","0","2","2","2","2","6.09383333333333","6.39383333333333","103","","SM(36:2)+H","  597468.90","   4678.7300","      0.0","   4678.7300"," 10135.7600","1.838123e+07"," 166298.200","6.09383333333333","6.39383333333333","103","","SM(36:2)+H","729.5911","546.5250","  0.0000","546.5250","528.5145","184.0734","86.09648","6.09383333333333","6.39383333333333","103","","SM(36:2)+H","729.59047","546.52443","670.51693","546.52435","528.51377","184.07332","86.09648","6.09383333333333","6.39383333333333","103"
"","SM(36:2)+H","1","0","0","0","0","1","1","6.47870277777778","6.77870277777778","1406","","SM(36:2)+H"," 6.576635"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 6.576635"," 6.576635","6.47870277777778","6.77870277777778","1406","","SM(36:2)+H","1","0","0","0","0","1","1","6.47870277777778","6.77870277777778","1406","","SM(36:2)+H","   27171.55","      0.0000","      0.0","      0.0000","     0.0000","7.580979e+05","   4638.892","6.47870277777778","6.77870277777778","1406","","SM(36:2)+H","729.5922","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","86.09663","6.47870277777778","6.77870277777778","1406","","SM(36:2)+H","729.59047","546.52443","670.51693","546.52435","528.51377","184.07332","86.09648","6.47870277777778","6.77870277777778","1406"
"","SM(36:2)+H","1","0","0","0","0","1","1","6.48216666666667","6.78216666666667","17144","","SM(36:2)+H"," 6.576635"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 6.576635"," 6.576635","6.48216666666667","6.78216666666667","17144","","SM(36:2)+H","1","0","0","0","0","1","1","6.48216666666667","6.78216666666667","17144","","SM(36:2)+H","   27171.55","      0.0000","      0.0","      0.0000","     0.0000","7.580979e+05","   4638.892","6.48216666666667","6.78216666666667","17144","","SM(36:2)+H","729.5922","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","86.09663","6.48216666666667","6.78216666666667","17144","","SM(36:2)+H","729.59047","546.52443","670.51693","546.52435","528.51377","184.07332","86.09648","6.48216666666667","6.78216666666667","17144"
"","SM(36:3)+H","1","0","0","0","1","1","1","4.99308333333333","5.29308333333333","236","","SM(36:3)+H"," 5.205146"," 5.048461"," 0.000000"," 5.048461"," 5.205146"," 5.205146"," 5.048461","4.99308333333333","5.29308333333333","236","","SM(36:3)+H","2","1","0","1","2","2","2","4.99308333333333","5.29308333333333","236","","SM(36:3)+H","  266358.20","    850.4307","      0.0","    850.4307","  4179.6520","7.595603e+06","  68666.680","4.99308333333333","5.29308333333333","236","","SM(36:3)+H","727.5765","544.5096","  0.0000","544.5096","526.4996","184.0737","86.09662","4.99308333333333","5.29308333333333","236","","SM(36:3)+H","727.57487","544.50883","668.50133","544.50875","526.49817","184.07332","86.09648","4.99308333333333","5.29308333333333","236"
"","SM(36:3)+H","1","0","0","0","1","1","1","5.00114722222222","5.30114722222222","12645","","SM(36:3)+H"," 5.205146"," 5.048461"," 0.000000"," 5.048461"," 5.205146"," 5.205146"," 5.048461","5.00114722222222","5.30114722222222","12645","","SM(36:3)+H","2","1","0","1","2","2","2","5.00114722222222","5.30114722222222","12645","","SM(36:3)+H","  266358.20","    850.4307","      0.0","    850.4307","  4179.6520","7.595603e+06","  68666.680","5.00114722222222","5.30114722222222","12645","","SM(36:3)+H","727.5765","544.5096","  0.0000","544.5096","526.4996","184.0737","86.09662","5.00114722222222","5.30114722222222","12645","","SM(36:3)+H","727.57487","544.50883","668.50133","544.50875","526.49817","184.07332","86.09648","5.00114722222222","5.30114722222222","12645"
"","SM(36:5)+H","1","1","1","1","0","1","1","4.75306527777778","5.05306527777778","530","","SM(36:5)+H"," 4.889786"," 4.889786"," 4.889786"," 4.889786"," 0.000000"," 5.027733"," 4.889786","4.75306527777778","5.05306527777778","530","","SM(36:5)+H","2","2","2","2","0","2","2","4.75306527777778","5.05306527777778","530","","SM(36:5)+H","  842257.70"," 671690.4000"," 875884.6"," 671690.4000","     0.0000","1.139671e+04"," 206623.900","4.75306527777778","5.05306527777778","530","","SM(36:5)+H","723.5422","540.4761","664.4686","540.4761","  0.0000","184.0736","86.09658","4.75306527777778","5.05306527777778","530","","SM(36:5)+H","723.54357","540.47753","664.47003","540.47745","522.46687","184.07332","86.09648","4.75306527777778","5.05306527777778","530"
