row ID,row m/z,row retention time,All identity elements,negIEB_DD_1.mzXML Peak height,neg_DD_1.mzXML Peak height,negIEB_DD_2_noDrift.mzXML Peak height,neg_DD_2.mzXML Peak height,negIEB_DD_4_usedDD3.mzXML Peak height,neg_DD_3.mzXML Peak height,neg_DD_5.mzXML Peak height,negIEB_DD_5.mzXML Peak height,negIEB_DD_3_noDrift.mzXML Peak height,neg_DD_4.mzXML Peak height,neg_DD_6.mzXML Peak height,
28,564.3311712091619,0.7405136363636363,,2.6634975083333336E7,2.832601749107143E7,2.615642850297619E7,2.804830505952381E7,3.102760745238095E7,2.5007818052455354E7,2.4817616214285713E7,4.008597523809524E7,2.8734651836681545E7,2.6615767062499996E7,2.6414719285714284E7,
29,226.97878351909083,9.37071818181818,,2.653634142857143E7,2.6318405904761903E7,2.5308714285714284E7,2.6647394476190474E7,2.523872371428571E7,2.5996388380952377E7,2.6071961809523806E7,2.8432774E7,2.4976134190476187E7,2.5832887904761903E7,2.5613700190476187E7,
30,384.9355676824396,14.159980303030302,,2.616830361904762E7,2.5044541523809522E7,2.403755314285714E7,2.3703242857142854E7,2.7496658476190474E7,2.4147680666666668E7,2.314287780952381E7,2.8197460952380948E7,2.8296300761904757E7,2.477909476190476E7,2.397063609523809E7,
31,384.93569252707744,14.89205,,2.5816097619047616E7,2.329079161904762E7,2.302362695238095E7,2.2226994666666668E7,2.323177219047619E7,2.152997214285714E7,2.1933363999999996E7,2.285765142857143E7,2.4998939047619045E7,2.420896771428571E7,2.088990757142857E7,
32,248.9605499722344,9.910645454545454,,2.5782281999999996E7,2.555697E7,2.4072655047619045E7,2.5611392E7,2.448724514285714E7,2.5619978E7,2.3745891619047612E7,2.4123618190476187E7,2.4397313333333336E7,2.5998432E7,2.3724167047619045E7,
33,226.9786744551225,1.2838287878787877,,2.574902180952381E7,2.3985349095238093E7,2.294574257142857E7,2.513864785714286E7,2.167619647619047E7,2.5030234714285713E7,2.411305742857143E7,2.249695114285714E7,2.0671045285714287E7,2.4806974571428567E7,2.4452487999999996E7,
34,384.9355635209517,14.408839393939394,,2.5595957523809522E7,2.481594742857143E7,2.5052179333333332E7,2.349314642857143E7,2.6808112380952384E7,2.3040379238095235E7,2.2696223666666664E7,2.6987905904761903E7,2.8432257999999996E7,2.5083853333333336E7,2.2264409095238093E7,
35,248.96055672385475,4.728778787878787,,2.4528171095238093E7,2.220740261904762E7,2.3587670952380948E7,2.3664406E7,2.395080580952381E7,2.2416487714285713E7,2.2461932333333332E7,2.3999354666666664E7,2.310558495238095E7,2.4152562095238093E7,2.2611413047619045E7,
36,226.97859727768667,0.8094966666666668,,2.3472463154761907E7,2.1662664E7,2.1599728E7,2.066887E7,2.0057266476190478E7,2.2731928E7,0,2.1619533333333336E7,1.7862096E7,2.2962132E7,2.154456E7,
37,554.3469571200284,1.1506969696969696,,2.3359528785714284E7,2.4424341E7,3.1858579833333332E7,2.295389920238095E7,3.611304599999999E7,2.2182384470238097E7,2.2291489214285716E7,3.358403088095237E7,3.8719101333333336E7,2.2596379547619045E7,2.1956537571428575E7,
38,248.96055325594816,4.103028787878788,,2.224657380952381E7,1.903773080952381E7,1.9756409809523806E7,1.9775682666666668E7,2.0734700476190478E7,2.0396646476190474E7,1.933369461904762E7,2.087861685714286E7,2.0774698476190478E7,2.1547859047619045E7,2.0001416761904757E7,
39,248.96055394952947,0.34388636363636366,,2.2107948476190474E7,2.3607602452380948E7,2.588442423809524E7,2.2695440904761907E7,2.2086444214285716E7,2.410688319047619E7,2.4558743523809522E7,2.502766857142857E7,2.4160739238095235E7,2.2142528333333332E7,2.2081642E7,
40,226.97865642200816,6.058345454545454,,2.1081542499999996E7,1.8212966904761903E7,1.909948276190476E7,1.8278189833333332E7,2.0662266095238097E7,1.847378961904762E7,1.858086910714286E7,2.054024676190476E7,2.0099065904761903E7,1.8339599476190478E7,1.8193291833333332E7,
41,226.9786571155895,13.127459090909092,,2.0941083047619045E7,1.6084803523809522E7,1.5566913666666664E7,1.6675696190476188E7,1.8528724761904765E7,1.6535875857142853E7,1.6946969238095235E7,1.958195961904762E7,1.868749819047619E7,1.926839604761905E7,1.6964233571428567E7,
42,248.9605693028978,2.7352499999999997,,2.0873506095238093E7,1.8733922523809522E7,2.1581830666666668E7,2.2067714E7,2.1638350285714287E7,1.9473133523809522E7,1.897188885714286E7,2.131350238095238E7,2.1922597523809522E7,2.062602766666666E7,1.9413011285714284E7,
43,384.9355371648615,1.5106106060606057,,2.035346636904762E7,2.285939844047619E7,3.0950427047619045E7,2.4154788238095235E7,2.8104757E7,2.3469306107142854E7,2.4295464047619045E7,3.3112076714285716E7,2.6211205619047616E7,2.351297879761905E7,2.419508936904762E7,
44,226.9788278356775,0.21133939393939397,,1.9825113809523806E7,1.816043971428571E7,1.7103786E7,1.7666176E7,1.5686382E7,1.8702508E7,2.19582E7,1.6433654E7,1.5218844E7,2.1480905666666668E7,1.764999E7,
45,248.96060943603516,6.289737878787879,,1.961420838095238E7,1.8028094761904757E7,2.007583857142857E7,1.785297723809524E7,2.003130161904762E7,1.6156677380952379E7,1.7722697142857138E7,1.873852523809524E7,2.0181959523809522E7,1.7372425904761903E7,1.7592062333333332E7,
46,826.5617814497514,6.190345454545454,,1.866826011904762E7,1.7979527285714284E7,2.2566450666666668E7,1.8020994211309526E7,2.439256485714286E7,1.6598260874999996E7,1.5791704291666666E7,2.162572219047619E7,2.5676106285714284E7,1.5227086154761903E7,1.648185308035714E7,
47,226.97876253995028,8.230518181818182,,1.8422753333333332E7,1.704365880952381E7,1.5907236238095239E7,1.7708244238095235E7,1.702629219047619E7,1.7530188333333332E7,1.6994202857142854E7,1.6047268047619049E7,1.7549688761904757E7,1.6948379761904765E7,1.7300869904761903E7,
48,248.96066021183694,6.854136363636363,,1.8168127238095235E7,1.8566061428571425E7,1.6899228E7,1.821364723809524E7,1.8284486095238093E7,1.809395795238095E7,1.7694760380952377E7,1.6679186E7,1.8689832857142854E7,1.7688371904761903E7,1.7875738761904765E7,
49,226.9787264737216,14.7979,,1.8094146285714284E7,1.7124690476190478E7,1.766637061904762E7,1.7434159E7,1.8038156190476187E7,1.7331343333333332E7,1.714487142857143E7,1.7282762523809526E7,1.8160211523809522E7,1.7084183333333336E7,1.714316719047619E7,
50,566.3469765403054,0.9995181818181819,,1.76333226547619E7,1.8663211880952384E7,2.231357554761905E7,1.8698315595238093E7,2.4537542476190474E7,1.7466619535714287E7,1.5708533488095239E7,2.388340142857143E7,2.214088589285714E7,1.6444779714285715E7,1.700161380952381E7,
51,582.3783957741477,1.6720666666666666,,1.7009182666666668E7,1.687484411160714E7,1.8435571904761907E7,1.723193250892857E7,2.6170994571428575E7,1.6333506529761905E7,1.538629880952381E7,2.6878741047619045E7,2.6699766238095235E7,1.6936274870535713E7,1.607986004017857E7,
52,656.8859169699929,4.925022727272728,,1.6929248357142854E7,1.4655235410714285E7,1.7816461333333332E7,1.5990425416666664E7,1.6639437047619049E7,1.6149907833333332E7,1.773668845238095E7,1.7003576714285716E7,1.6502271047619047E7,1.661678413095238E7,1.7744797380952377E7,
53,520.9107273294468,15.270137878787876,,1.6709490142857142E7,1.6226467214285715E7,1.7191414714285713E7,1.649880895238095E7,1.9957767428571425E7,2.1959838E7,1.974342E7,1.928715661904762E7,2.0105722619047616E7,2.2687596E7,2.154131E7,
54,520.9104558771306,1.9240803030303029,,1.6168422666666666E7,1.672447538095238E7,2.0673210904761903E7,1.8269159333333332E7,1.998341819047619E7,1.8525550857142854E7,1.707125838095238E7,1.974802342857143E7,1.9504613666666664E7,1.8253885523809526E7,1.842376938095238E7,
55,248.96057545055044,7.4754772727272725,,1.4023957190476188E7,1.505112452380952E7,1.521026357142857E7,1.4559465119047616E7,1.5107664285714285E7,1.4484103999999998E7,1.4916136857142856E7,1.4749926857142856E7,1.5465061666666666E7,1.5547302428571427E7,1.5048688523809524E7,
56,384.9356522993608,2.7560090909090906,,1.3256731E7,1.3060541190476188E7,1.6033516428571431E7,1.4060972095238095E7,1.7498954142857146E7,1.4121983666666666E7,1.4157118380952382E7,1.7352817857142854E7,1.7024899333333332E7,1.4679393095238093E7,1.4634855666666666E7,
57,316.94792730158025,13.562784848484851,,1.2568092333333332E7,1.1544090916666666E7,1.253044261904762E7,1.0796435226190476E7,1.1869753809523808E7,1.0256431964285713E7,1.0781815690476188E7,1.1190745285714285E7,1.3512969904761903E7,1.1707558166666666E7,1.0328396357142856E7,
58,665.4409873268821,4.106824242424242,,1.2370501413690474E7,1.2588778654761903E7,1.608680061904762E7,1.3261545154761905E7,1.5044480999999998E7,1.2596129958333332E7,1.2130461498511905E7,1.5986958333333332E7,1.5645381619047618E7,1.251057307142857E7,1.2797855476190476E7,
59,656.8860140713779,14.898031818181819,,1.2221820476190478E7,1.1432533476190474E7,1.1516884095238095E7,1.0725709904761903E7,1.2015324809523808E7,1.0375748595238093E7,1.1018180571428569E7,1.124635461904762E7,1.220250414285714E7,1.1454650809523808E7,1.053160780952381E7,
60,850.5616288618608,5.878404545454544,,1.2109972062499998E7,1.1643614898809522E7,1.5905449476190474E7,1.210045413095238E7,1.5649665952380951E7,1.1811058550595237E7,1.2022409190476188E7,1.5372190333333334E7,1.5538132190476188E7,1.2483168294642856E7,1.2018008559523808E7,
61,520.9103504527699,1.5143257575757574,,1.1804349607142858E7,1.3607746860119047E7,1.7703302523809522E7,1.4425872071428569E7,1.6377784809523808E7,1.4746653925595237E7,1.526321838095238E7,1.757854338095238E7,1.5555737761904757E7,1.4560947380952379E7,1.4856669476190476E7,
62,520.9103837446733,9.11650606060606,,1.1739193142857142E7,1.2051220904761903E7,1.1560747333333332E7,1.2029556333333332E7,1.195651838095238E7,1.1350511999999998E7,1.216904657142857E7,1.0947654047619047E7,1.2421526761904761E7,1.1253303E7,1.152780738095238E7,
63,452.92311928488994,13.548250000000001,,1.1537072595238095E7,1.0833880452380951E7,9524021.76190476,9864043.285714285,1.0886842857142854E7,9017041.690476188,9836988.476190476,9299458.976190476,1.243855680952381E7,1.0477497166666668E7,8868178.5,
64,520.9105085893111,2.791766666666667,,1.0639790880952377E7,1.0012513595238097E7,1.3764818404761905E7,1.1942657833333332E7,1.5121541571428569E7,1.1719478214285715E7,1.2642282238095239E7,1.532502180952381E7,1.5267562428571427E7,1.2179599357142856E7,1.2457115619047618E7,
65,226.97868555242366,7.726322727272727,,1.063963442857143E7,9994735.0,8588431.404761905,9886393.738095239,9475309.047619047,9954934.238095237,9934181.92857143,8904790.428571427,9405768.095238095,1.0124408476190474E7,9459491.0,
66,762.6244423606179,11.27955909090909,,1.0447842744047618E7,9241690.714285715,9126514.642857142,9088519.75,1.003515419047619E7,8625404.907738095,8984941.982142858,9998041.619047618,1.0093696238095237E7,9831068.119047618,8460803.434523808,
67,226.97866993266146,13.741865151515151,,1.0417856285714284E7,5951754.0,7802928.19047619,7725447.0,8979285.785714284,8317726.5,7881972.5,9575793.357142856,9523088.857142858,8072959.357142857,6835725.642857143,
68,226.97868693958628,14.28299393939394,,1.0272282452380951E7,7775458.904761905,1.0337707738095237E7,7651758.595238095,1.2278157190476188E7,7892998.333333333,8555278.285714285,1.180694538095238E7,1.2500139761904761E7,9415215.857142856,8157209.738095237,
69,520.9105307839134,11.27955909090909,,9995858.61904762,1.0271537666666664E7,1.1047925190476188E7,1.029555311904762E7,1.076991442857143E7,9967858.047619047,1.0692465857142856E7,1.0785362952380951E7,1.0701328285714285E7,1.0392072238095237E7,1.038100207142857E7,
70,802.5616843483665,6.394827272727273,,9847639.928571427,9888948.857142858,6861508.76190476,9483947.714285713,8512613.38095238,9512131.714285713,8118397.499999998,6229148.785714285,1.0787043E7,8946401.904761905,8974204.452380953,
71,226.9787236993963,6.9692954545454535,,9557554.142857144,8130540.999999999,7800191.214285714,7876429.6190476185,9521060.333333332,8383186.190476191,8839004.880952379,9087095.5,9427777.714285715,8913311.380952382,8343322.4523809515,
72,520.9105023498456,10.540096969696972,,9539547.714285715,1.0613002E7,1.0297850095238095E7,1.0291183E7,1.0267064333333332E7,1.0792281E7,1.0945745E7,9844283.190476192,9959931.952380951,1.0309387E7,1.061946E7,
73,384.9355954256925,5.690837878787878,,9437608.773809524,9381945.14285714,1.1427299380952379E7,9787866.761904761,1.1038935476190478E7,9777492.57142857,1.0020761666666666E7,1.0890858428571427E7,1.1011207285714285E7,9974074.904761903,1.0116868E7,
74,520.9104059392756,5.6840242424242415,,9338434.499999998,9101023.142857142,1.2131707952380951E7,9963361.92857143,1.1266162476190476E7,9625075.928571427,1.030689869047619E7,1.1160724666666666E7,1.0986503761904763E7,9839320.095238093,1.0396889416666666E7,
75,384.93560615799566,10.366730303030302,,8818053.42857143,9878421.0,9255848.0,9096376.0,9926286.0,8538778.833333334,8751068.761904761,5.1476556E7,9646332.0,8640649.857142856,8727001.857142856,
76,384.93563426624644,4.10605,,8805638.738095237,8117290.476190475,9564271.19047619,8608091.761904761,9433511.19047619,8949117.738095239,9237373.285714285,9658701.095238093,9369175.666666666,9285962.714285715,9369724.047619049,
77,656.8857394131747,13.800637878787876,,8529272.428571427,7613579.428571429,6764570.595238095,7015606.666666666,7629289.595238095,7239758.214285714,7264346.047619047,7525151.357142856,8162637.428571428,7423837.214285713,7570048.023809524,
78,384.9355871027166,9.247522727272726,,8471626.261904761,8799220.333333332,8239451.19047619,8884376.333333332,8869474.69047619,8798509.547619049,8816723.452380951,8343047.30952381,8991540.238095237,8822551.0,8621014.547619049,
79,248.96057141455688,0.08748181818181817,,8323982.642857143,7755365.5,6606723.88095238,7539244.0,5846026.5,6851904.0,6842405.309523809,6361205.5,6167763.0,9637082.0,6888570.0,
80,520.9104189961433,10.048803030303032,,8254842.214285715,9895818.0,1.0959338E7,8268137.499999999,1.0876366E7,1.0837661E7,1.1230275E7,1.0442388E7,1.0854279E7,8142828.404761905,8163215.499999999,
81,384.9356149703592,4.6486560606060605,,8204351.499999998,8155731.0,8667414.38095238,8409684.0,8673409.0,8377610.0,8587908.0,9032339.0,8682765.0,9080606.0,9194349.0,
82,384.9355191317472,1.2852378787878787,,7965367.547619048,1.0082505666666666E7,1.1489926833333332E7,1.0591535678571427E7,1.137201038095238E7,1.03488455E7,1.0164548214285715E7,1.1426580952380951E7,1.1035497047619047E7,9788718.333333334,1.0339604738095239E7,
83,826.5615789240056,5.538733333333334,,7649860.651785715,7806562.357142856,9684647.357142858,8042539.4523809515,1.0136532952380953E7,7568499.779761904,7630751.041666665,9961034.619047618,9410759.714285715,7811937.5773809515,7885826.029761904,
84,520.9104503284801,4.107209090909091,,7437497.023809522,6669731.202380952,9611681.738095237,7447876.880952381,8526673.976190476,7538115.0,8467061.57142857,8857452.476190476,8345596.9523809515,7696365.309523809,8641722.333333332,
85,520.9104253595525,1.2875378787878786,,7125451.028273809,9486955.15625,1.0720427511160713E7,1.032854132738095E7,1.052438057142857E7,1.0173722377976188E7,1.0299828583333332E7,1.0512295380952382E7,9663043.047619049,9422164.875,1.0570169636904761E7,
86,520.9104418244804,4.571904545454545,,7089471.119047619,6132626.0,8077133.571428571,7215796.0,7408813.5,7202634.5,7391040.714285714,7771599.5,7463614.166666666,7345597.214285713,7594701.928571429,
87,656.8858032226562,14.364913636363637,,6862960.1190476185,7224136.833333333,7296817.547619048,6481167.1190476185,7656694.976190476,6468036.595238095,6379092.999999999,6975184.80952381,8354295.976190476,6748132.547619047,6426202.571428572,
88,520.9108459472657,15.549498333333332,,6841345.119047618,0,7622227.523809523,6384869.5476190485,7285624.380952381,6323686.904761905,6299453.845238095,7432239.047619048,7692965.88095238,6449068.178571428,6498534.26190476,
89,862.6560502485795,10.309536363636363,,6721277.9523809515,9309163.907738093,8056134.4523809515,8320111.995535715,8663608.142857144,7833513.214285714,8382327.398809522,8158132.690476189,9254298.238095237,7793992.28422619,7737877.535714286,
90,520.910419810902,5.444134848484848,,6643822.785714285,6662175.392857143,9886733.904761903,6820988.80952381,9009941.523809524,7165014.928571428,7438540.154761905,9169633.285714284,9180827.904761907,6996567.803571427,7577753.214285715,
91,745.5514720569957,4.735781818181818,,6475482.136904762,6627558.796874999,7953384.976190475,6656755.186011904,7759385.523809523,6393813.0476190485,6546449.726190476,7689305.7857142845,7302810.547619047,6539465.773809523,6438136.434523809,
92,588.3310796564275,0.7031212121212121,,6457912.665178571,6806497.358816964,6568256.3690476185,6155980.511160714,6542217.749999999,5785619.21391369,6405032.703497024,9751507.88095238,6874341.478050596,6611665.178571429,5917978.662760416,
93,857.6767272949219,9.339316666666667,,6178718.336309524,6147984.830357143,5542646.476190476,6418882.985119048,5945576.80952381,5917102.541666666,6046138.663690477,5425107.428571428,5874511.238095237,5779659.270833333,5838742.0059523815,
94,226.97865226052025,6.5936545454545445,,6171657.428571428,4579204.202380952,4818805.571428571,5307815.095238095,5516119.071428571,5139298.249999999,5460019.857142857,5308671.666666667,5328370.833333332,5453778.416666667,5464734.547619048,
95,452.9231456409801,14.169104545454546,,5871780.318452381,6006126.750000001,6987470.095238095,5654950.875,6774725.38095238,5774828.863095238,5654338.327380952,6413895.095238095,7123950.666666666,5674308.8690476185,5831217.068452381,
96,384.93557045676494,6.058937878787878,,5758445.470238094,5417998.401785714,6365978.952380952,5417965.436011904,6527296.214285715,5488047.568452381,5858600.879464285,6421083.047619048,6461908.857142856,5380241.362351189,5910703.348214286,
97,520.910478071733,3.8735000000000004,,5724318.75,4764024.511904762,7265974.499999999,5493145.25,6309510.023809524,5852669.345238095,6261013.428571428,6819577.714285715,6597295.1190476185,6282354.333333333,6813742.547619048,
98,384.9355357776989,8.249183333333335,,5540232.976190477,5508773.928571427,5354892.452380952,5730826.797619048,5925880.4523809515,5486919.6190476185,5618518.773809523,5135578.261904762,6039025.999999999,5491250.285714285,5557646.642857142,
99,316.9479453346946,14.17074393939394,,5440478.925595238,5694342.6101190485,6791536.88095238,5447934.261904762,7098916.0,5368230.09077381,5450471.011904761,6840554.142857143,7019196.499999999,5516882.4434523815,5506635.708333334,
100,520.9103005149148,8.235912121212122,,5365822.011904761,5401048.571428571,5426419.642857143,5413921.238095238,5675590.357142856,5256977.0773809515,5432308.523809523,4839560.785714285,5957215.023809523,5223858.107142856,5446469.226190476,
101,859.6925992098721,10.383563636363636,,5325440.708333332,5534666.419642856,4168082.416666666,4817286.55952381,4509971.869047619,4392024.1309523815,4971845.154761905,4122807.7619047617,4797449.0,4454432.101190477,4282790.196428572,
102,452.9231706099077,13.216780303030305,,5204219.660714285,5518080.00595238,5554324.011904762,5609080.065476191,7016985.595238096,5413443.589285715,5326680.089285715,7205448.857142856,5970478.845238095,5436481.720238095,5395697.7559523815,
103,831.661357532848,9.414375757575757,,5194164.404761904,5667346.607142857,4002669.7499999995,5457060.285714286,4462098.428571428,4873415.214285715,4944508.226190476,4061202.9047619044,4801068.821428571,5066024.863095237,4749407.190476191,
104,824.5461647727273,5.388413636363636,,5146794.645833333,5047519.910714285,6255506.4523809515,5186230.086309523,6191311.928571428,4763906.470238095,5098881.291666665,6106944.761904761,5974308.261904761,5126550.99702381,5223029.910714286,
105,226.9786238236861,7.171387878787879,,5098794.928571429,4570940.892857143,4352700.511904761,4209879.702380952,4281539.69047619,4556277.1190476185,4621864.845238096,4470563.142857143,4153096.2261904753,4604441.345238095,4236896.107142857,
106,384.93565368652344,0.3781606060606061,,5045847.449404762,5507104.297619048,5888079.7023809515,5182348.369047619,5585943.113095238,5277234.25,5364224.880952381,7415585.238095237,6097594.50595238,4941417.761904761,4892368.238095238,
107,719.5358026677912,4.538233333333334,,4919517.06547619,4768860.398809524,5853909.285714285,4962342.303571428,5090016.571428572,4685424.258928572,4700608.488095238,5744874.0,5561122.928571428,4949642.581101191,4785153.6607142845,
108,694.6368963068181,11.27955909090909,,4874933.645833333,4422729.40327381,4353762.095238095,4353945.184523809,5004103.833333333,4042564.964285714,4257709.985119048,4869475.19047619,4983429.9523809515,4570326.985119047,3999256.5907738092,
109,792.8611328125,14.887707575757576,,4793569.761904761,4769017.07142857,4961378.142857142,4493916.05952381,5338485.5,5099469.0,4780824.25,4952938.880952381,5193597.464285714,4875742.154761905,4468633.178571428,
