SM,[M+C2H3O2]-,[M-CH3]-,Sph-C-H,[C4H11NO4P]-,[PO3]-
SM(d23:2/14:1)+C2H3O2,799.5966,725.5598,517.3771,168.0431,78.95905
SM(d23:2/15:0)+C2H3O2,815.6278,741.5911,517.3772,168.0431,78.95905
SM(d23:2/15:1)+C2H3O2,813.6122,739.5754,517.3771,168.0431,78.95905
SM(d23:2/16:0)+C2H3O2,829.6435,755.6067,517.3772,168.0431,78.95905
SM(d23:2/16:1)+C2H3O2,827.6278,753.5911,517.3772,168.0431,78.95905
SM(d23:2/16:2)+C2H3O2,825.6122,751.5754,517.3771,168.0431,78.95905
SM(d23:2/17:0)+C2H3O2,843.6591,769.6224,517.3772,168.0431,78.95905
SM(d23:2/18:0)+C2H3O2,857.6748,783.638,517.3772,168.0431,78.95905
SM(d23:2/18:1)+C2H3O2,855.6591,781.6224,517.3772,168.0431,78.95905
SM(d23:2/18:2)+C2H3O2,853.6435,779.6067,517.3772,168.0431,78.95905
SM(d23:2/19:0)+C2H3O2,871.6904,797.6536,517.3772,168.0431,78.95905
SM(d23:2/19:1)+C2H3O2,869.6748,795.638,517.3772,168.0431,78.95905
SM(d23:2/20:0)+C2H3O2,885.7061,811.6693,517.3772,168.0431,78.95905
SM(d23:2/20:1)+C2H3O2,883.6904,809.6536,517.3772,168.0431,78.95905
SM(d23:2/20:2)+C2H3O2,881.6748,807.638,517.3772,168.0431,78.95905
SM(d23:2/21:0)+C2H3O2,899.7217,825.6849,517.3773,168.0431,78.95905
SM(d23:2/21:1)+C2H3O2,897.7061,823.6693,517.3772,168.0431,78.95905
SM(d23:2/22:0)+C2H3O2,913.7374,839.7006,517.3773,168.0431,78.95905
SM(d23:2/22:1)+C2H3O2,911.7217,837.6849,517.3773,168.0431,78.95905
SM(d23:2/22:2)+C2H3O2,909.7061,835.6693,517.3772,168.0431,78.95905
SM(d23:2/23:0)+C2H3O2,927.7531,853.7162,517.3773,168.0431,78.95905
SM(d23:2/23:1)+C2H3O2,925.7374,851.7006,517.3773,168.0431,78.95905
SM(d23:2/24:0)+C2H3O2,941.7687,867.7319,517.3773,168.0431,78.95905
SM(d23:2/24:1)+C2H3O2,939.7531,865.7162,517.3773,168.0431,78.95905
SM(d23:2/24:2)+C2H3O2,937.7374,863.7006,517.3773,168.0431,78.95905
SM(d23:2/25:0)+C2H3O2,955.7843,881.7476,517.3773,168.0431,78.95905
SM(d23:2/25:1)+C2H3O2,953.7687,879.7319,517.3773,168.0431,78.95905
SM(d23:2/26:0)+C2H3O2,969.8,895.7632,517.3773,168.0431,78.95905
SM(d23:2/26:1)+C2H3O2,967.7843,893.7476,517.3773,168.0431,78.95905
SM(d23:2/26:2)+C2H3O2,965.7687,891.7319,517.3773,168.0431,78.95905
SM(d23:2/27:0)+C2H3O2,983.8156,909.7789,517.3773,168.0431,78.95905
SM(d23:2/27:1)+C2H3O2,981.8,907.7632,517.3773,168.0431,78.95905
SM(d23:2/28:0)+C2H3O2,997.8313,923.7945,517.3773,168.0431,78.95905
SM(d23:2/28:1)+C2H3O2,995.8156,921.7789,517.3773,168.0431,78.95905
SM(d23:2/28:2)+C2H3O2,993.8,919.7632,517.3773,168.0431,78.95905
SM(d23:2/29:0)+C2H3O2,1011.847,937.8101,517.3773,168.0431,78.95905
SM(d23:2/29:1)+C2H3O2,1009.831,935.7945,517.3773,168.0431,78.95905
SM(d23:2/30:0)+C2H3O2,1025.863,951.8258,517.3773,168.0431,78.95905
SM(d23:2/30:1)+C2H3O2,1023.847,949.8101,517.3773,168.0431,78.95905
SM(d23:2/30:2)+C2H3O2,1021.831,947.7945,517.3773,168.0431,78.95905
SM(d23:2/31:0)+C2H3O2,1039.878,965.8414,517.3773,168.0431,78.95905
SM(d23:2/31:1)+C2H3O2,1037.863,963.8258,517.3773,168.0431,78.95905
SM(d23:2/32:0)+C2H3O2,1053.894,979.8571,517.3773,168.0431,78.95905
SM(d23:2/32:1)+C2H3O2,1051.878,977.8414,517.3773,168.0431,78.95905
SM(d23:2/32:2)+C2H3O2,1049.863,975.8258,517.3773,168.0431,78.95905
SM(d23:2/33:0)+C2H3O2,1067.91,993.8727,517.3774,168.0431,78.95905
SM(d23:2/33:1)+C2H3O2,1065.894,991.8571,517.3773,168.0431,78.95905
SM(d23:2/34:0)+C2H3O2,1081.925,1007.888,517.3774,168.0431,78.95905
SM(d23:2/34:1)+C2H3O2,1079.91,1005.873,517.3774,168.0431,78.95905
SM(d23:2/34:2)+C2H3O2,1077.894,1003.857,517.3773,168.0431,78.95905
SM(d23:2/35:0)+C2H3O2,1095.941,1021.904,517.3774,168.0431,78.95905
SM(d23:2/35:1)+C2H3O2,1093.925,1019.888,517.3774,168.0431,78.95905
SM(d23:2/36:0)+C2H3O2,1109.956,1035.92,517.3774,168.0431,78.95905
SM(d23:2/36:1)+C2H3O2,1107.941,1033.904,517.3774,168.0431,78.95905
SM(d23:2/36:2)+C2H3O2,1105.925,1031.888,517.3774,168.0431,78.95905
SM(d23:2/38:0)+C2H3O2,1137.988,1063.951,517.3774,168.0431,78.95905
SM(d23:2/38:1)+C2H3O2,1135.972,1061.935,517.3774,168.0431,78.95905
SM(d23:2/38:2)+C2H3O2,1133.956,1059.92,517.3774,168.0431,78.95905
SM(d23:2/40:0)+C2H3O2,1166.019,1091.982,517.3774,168.0431,78.95905
SM(d23:2/40:1)+C2H3O2,1164.003,1089.967,517.3774,168.0431,78.95905
SM(d23:2/40:2)+C2H3O2,1161.988,1087.951,517.3774,168.0431,78.95905
SM(d23:2/42:0)+C2H3O2,1194.05,1120.014,517.3774,168.0431,78.95905
SM(d23:2/42:1)+C2H3O2,1192.035,1117.998,517.3774,168.0431,78.95905
SM(d23:2/42:2)+C2H3O2,1190.019,1115.982,517.3774,168.0431,78.95905
SM(d23:3/12:0)+C2H3O2,771.5652,697.5284,515.3615,168.0431,78.95905
SM(d23:3/12:1)+C2H3O2,769.5496,695.5128,515.3615,168.0431,78.95905
SM(d23:3/13:0)+C2H3O2,785.5809,711.5441,515.3615,168.0431,78.95905
SM(d23:3/13:1)+C2H3O2,783.5652,709.5284,515.3615,168.0431,78.95905
SM(d23:3/14:0)+C2H3O2,799.5966,725.5598,515.3615,168.0431,78.95905
SM(d23:3/14:1)+C2H3O2,797.5809,723.5441,515.3615,168.0431,78.95905
SM(d23:3/15:0)+C2H3O2,813.6122,739.5754,515.3615,168.0431,78.95905
SM(d23:3/15:1)+C2H3O2,811.5966,737.5598,515.3615,168.0431,78.95905
SM(d23:3/16:0)+C2H3O2,827.6278,753.5911,515.3615,168.0431,78.95905
SM(d23:3/16:1)+C2H3O2,825.6122,751.5754,515.3615,168.0431,78.95905
SM(d23:3/16:2)+C2H3O2,823.5966,749.5598,515.3615,168.0431,78.95905
SM(d23:3/17:0)+C2H3O2,841.6435,767.6067,515.3615,168.0431,78.95905
SM(d23:3/18:0)+C2H3O2,855.6591,781.6224,515.3616,168.0431,78.95905
SM(d23:3/18:1)+C2H3O2,853.6435,779.6067,515.3615,168.0431,78.95905
SM(d23:3/18:2)+C2H3O2,851.6278,777.5911,515.3615,168.0431,78.95905
SM(d23:3/19:0)+C2H3O2,869.6748,795.638,515.3616,168.0431,78.95905
SM(d23:3/19:1)+C2H3O2,867.6591,793.6224,515.3616,168.0431,78.95905
SM(d23:3/20:0)+C2H3O2,883.6904,809.6536,515.3616,168.0431,78.95905
SM(d23:3/20:1)+C2H3O2,881.6748,807.638,515.3616,168.0431,78.95905
SM(d23:3/20:2)+C2H3O2,879.6591,805.6224,515.3616,168.0431,78.95905
SM(d23:3/21:0)+C2H3O2,897.7061,823.6693,515.3616,168.0431,78.95905
SM(d23:3/21:1)+C2H3O2,895.6904,821.6536,515.3616,168.0431,78.95905
SM(d23:3/22:0)+C2H3O2,911.7217,837.6849,515.3616,168.0431,78.95905
SM(d23:3/22:1)+C2H3O2,909.7061,835.6693,515.3616,168.0431,78.95905
SM(d23:3/22:2)+C2H3O2,907.6904,833.6536,515.3616,168.0431,78.95905
SM(d23:3/23:0)+C2H3O2,925.7374,851.7006,515.3616,168.0431,78.95905
SM(d23:3/23:1)+C2H3O2,923.7217,849.6849,515.3616,168.0431,78.95905
SM(d23:3/24:0)+C2H3O2,939.7531,865.7162,515.3616,168.0431,78.95905
SM(d23:3/24:1)+C2H3O2,937.7374,863.7006,515.3616,168.0431,78.95905
SM(d23:3/24:2)+C2H3O2,935.7217,861.6849,515.3616,168.0431,78.95905
SM(d23:3/25:0)+C2H3O2,953.7687,879.7319,515.3616,168.0431,78.95905
SM(d23:3/25:1)+C2H3O2,951.7531,877.7162,515.3616,168.0431,78.95905
SM(d23:3/26:0)+C2H3O2,967.7843,893.7476,515.3616,168.0431,78.95905
SM(d23:3/26:1)+C2H3O2,965.7687,891.7319,515.3616,168.0431,78.95905
SM(d23:3/26:2)+C2H3O2,963.7531,889.7162,515.3616,168.0431,78.95905
SM(d23:3/27:0)+C2H3O2,981.8,907.7632,515.3616,168.0431,78.95905
SM(d23:3/27:1)+C2H3O2,979.7843,905.7476,515.3616,168.0431,78.95905
SM(d23:3/28:0)+C2H3O2,995.8156,921.7789,515.3616,168.0431,78.95905
SM(d23:3/28:1)+C2H3O2,993.8,919.7632,515.3616,168.0431,78.95905
SM(d23:3/28:2)+C2H3O2,991.7843,917.7476,515.3616,168.0431,78.95905
SM(d23:3/29:0)+C2H3O2,1009.831,935.7945,515.3616,168.0431,78.95905
SM(d23:3/29:1)+C2H3O2,1007.816,933.7789,515.3616,168.0431,78.95905
SM(d23:3/30:0)+C2H3O2,1023.847,949.8101,515.3617,168.0431,78.95905
SM(d23:3/30:1)+C2H3O2,1021.831,947.7945,515.3616,168.0431,78.95905
SM(d23:3/30:2)+C2H3O2,1019.816,945.7789,515.3616,168.0431,78.95905
SM(d23:3/31:0)+C2H3O2,1037.863,963.8258,515.3617,168.0431,78.95905
SM(d23:3/31:1)+C2H3O2,1035.847,961.8101,515.3617,168.0431,78.95905
SM(d23:3/32:0)+C2H3O2,1051.878,977.8414,515.3617,168.0431,78.95905
SM(d23:3/32:1)+C2H3O2,1049.863,975.8258,515.3617,168.0431,78.95905
SM(d23:3/32:2)+C2H3O2,1047.847,973.8101,515.3617,168.0431,78.95905
SM(d23:3/33:0)+C2H3O2,1065.894,991.8571,515.3617,168.0431,78.95905
SM(d23:3/33:1)+C2H3O2,1063.878,989.8414,515.3617,168.0431,78.95905
SM(d23:3/34:0)+C2H3O2,1079.91,1005.873,515.3617,168.0431,78.95905
SM(d23:3/34:1)+C2H3O2,1077.894,1003.857,515.3617,168.0431,78.95905
SM(d23:3/34:2)+C2H3O2,1075.878,1001.841,515.3617,168.0431,78.95905
SM(d23:3/35:0)+C2H3O2,1093.925,1019.888,515.3617,168.0431,78.95905
SM(d23:3/35:1)+C2H3O2,1091.91,1017.873,515.3617,168.0431,78.95905
SM(d23:3/36:0)+C2H3O2,1107.941,1033.904,515.3618,168.0431,78.95905
SM(d23:3/36:1)+C2H3O2,1105.925,1031.888,515.3617,168.0431,78.95905
SM(d23:3/36:2)+C2H3O2,1103.91,1029.873,515.3617,168.0431,78.95905
SM(d23:3/38:0)+C2H3O2,1135.972,1061.935,515.3618,168.0431,78.95905
SM(d23:3/38:1)+C2H3O2,1133.956,1059.92,515.3618,168.0431,78.95905
SM(d23:3/38:2)+C2H3O2,1131.941,1057.904,515.3618,168.0431,78.95905
SM(d23:3/40:0)+C2H3O2,1164.003,1089.967,515.3618,168.0431,78.95905
SM(d23:3/40:1)+C2H3O2,1161.988,1087.951,515.3618,168.0431,78.95905
SM(d23:3/40:2)+C2H3O2,1159.972,1085.935,515.3618,168.0431,78.95905
SM(d23:3/42:0)+C2H3O2,1192.035,1117.998,515.3618,168.0431,78.95905
SM(d23:3/42:1)+C2H3O2,1190.019,1115.982,515.3618,168.0431,78.95905
SM(d23:3/42:2)+C2H3O2,1188.003,1113.967,515.3618,168.0431,78.95905
SM(d24:0/12:0)+C2H3O2,791.6278,717.5911,535.4241,168.0431,78.95905
SM(d24:0/12:1)+C2H3O2,789.6122,715.5754,535.4241,168.0431,78.95905
SM(d24:0/13:0)+C2H3O2,805.6435,731.6067,535.4241,168.0431,78.95905
SM(d24:0/13:1)+C2H3O2,803.6278,729.5911,535.4241,168.0431,78.95905
SM(d24:0/14:0)+C2H3O2,819.6591,745.6224,535.4241,168.0431,78.95905
SM(d24:0/14:1)+C2H3O2,817.6435,743.6067,535.4241,168.0431,78.95905
SM(d24:0/15:0)+C2H3O2,833.6748,759.638,535.4241,168.0431,78.95905
SM(d24:0/15:1)+C2H3O2,831.6591,757.6224,535.4241,168.0431,78.95905
SM(d24:0/16:0)+C2H3O2,847.6904,773.6536,535.4241,168.0431,78.95905
SM(d24:0/16:1)+C2H3O2,845.6748,771.638,535.4241,168.0431,78.95905
SM(d24:0/16:2)+C2H3O2,843.6591,769.6224,535.4241,168.0431,78.95905
SM(d24:0/17:0)+C2H3O2,861.7061,787.6693,535.4241,168.0431,78.95905
SM(d24:0/18:0)+C2H3O2,875.7217,801.6849,535.4241,168.0431,78.95905
SM(d24:0/18:1)+C2H3O2,873.7061,799.6693,535.4241,168.0431,78.95905
SM(d24:0/18:2)+C2H3O2,871.6904,797.6536,535.4241,168.0431,78.95905
SM(d24:0/19:0)+C2H3O2,889.7374,815.7006,535.4241,168.0431,78.95905
SM(d24:0/19:1)+C2H3O2,887.7217,813.6849,535.4241,168.0431,78.95905
SM(d24:0/20:0)+C2H3O2,903.7531,829.7162,535.4242,168.0431,78.95905
SM(d24:0/20:1)+C2H3O2,901.7374,827.7006,535.4241,168.0431,78.95905
SM(d24:0/20:2)+C2H3O2,899.7217,825.6849,535.4241,168.0431,78.95905
SM(d24:0/21:0)+C2H3O2,917.7687,843.7319,535.4242,168.0431,78.95905
SM(d24:0/21:1)+C2H3O2,915.7531,841.7162,535.4242,168.0431,78.95905
SM(d24:0/22:0)+C2H3O2,931.7843,857.7476,535.4242,168.0431,78.95905
SM(d24:0/22:1)+C2H3O2,929.7687,855.7319,535.4242,168.0431,78.95905
SM(d24:0/22:2)+C2H3O2,927.7531,853.7162,535.4242,168.0431,78.95905
SM(d24:0/23:0)+C2H3O2,945.8,871.7632,535.4242,168.0431,78.95905
SM(d24:0/23:1)+C2H3O2,943.7843,869.7476,535.4242,168.0431,78.95905
SM(d24:0/24:0)+C2H3O2,959.8156,885.7789,535.4242,168.0431,78.95905
SM(d24:0/24:1)+C2H3O2,957.8,883.7632,535.4242,168.0431,78.95905
SM(d24:0/24:2)+C2H3O2,955.7843,881.7476,535.4242,168.0431,78.95905
SM(d24:0/25:0)+C2H3O2,973.8313,899.7945,535.4242,168.0431,78.95905
SM(d24:0/25:1)+C2H3O2,971.8156,897.7789,535.4242,168.0431,78.95905
SM(d24:0/26:0)+C2H3O2,987.8469,913.8101,535.4243,168.0431,78.95905
SM(d24:0/26:1)+C2H3O2,985.8313,911.7945,535.4242,168.0431,78.95905
SM(d24:0/26:2)+C2H3O2,983.8156,909.7789,535.4242,168.0431,78.95905
SM(d24:0/27:0)+C2H3O2,1001.863,927.8258,535.4243,168.0431,78.95905
SM(d24:0/27:1)+C2H3O2,999.8469,925.8101,535.4243,168.0431,78.95905
SM(d24:0/28:0)+C2H3O2,1015.878,941.8414,535.4243,168.0431,78.95905
SM(d24:0/28:1)+C2H3O2,1013.863,939.8258,535.4243,168.0431,78.95905
SM(d24:0/28:2)+C2H3O2,1011.847,937.8101,535.4243,168.0431,78.95905
SM(d24:0/29:0)+C2H3O2,1029.894,955.8571,535.4243,168.0431,78.95905
SM(d24:0/29:1)+C2H3O2,1027.878,953.8414,535.4243,168.0431,78.95905
SM(d24:0/30:0)+C2H3O2,1043.91,969.8727,535.4243,168.0431,78.95905
SM(d24:0/30:1)+C2H3O2,1041.894,967.8571,535.4243,168.0431,78.95905
SM(d24:0/30:2)+C2H3O2,1039.878,965.8414,535.4243,168.0431,78.95905
SM(d24:0/31:0)+C2H3O2,1057.925,983.8884,535.4243,168.0431,78.95905
SM(d24:0/31:1)+C2H3O2,1055.91,981.8727,535.4243,168.0431,78.95905
SM(d24:0/32:0)+C2H3O2,1071.941,997.9041,535.4243,168.0431,78.95905
SM(d24:0/32:1)+C2H3O2,1069.925,995.8884,535.4243,168.0431,78.95905
SM(d24:0/32:2)+C2H3O2,1067.91,993.8727,535.4243,168.0431,78.95905
SM(d24:0/33:0)+C2H3O2,1085.956,1011.92,535.4243,168.0431,78.95905
SM(d24:0/33:1)+C2H3O2,1083.941,1009.904,535.4243,168.0431,78.95905
SM(d24:0/34:0)+C2H3O2,1099.972,1025.935,535.4243,168.0431,78.95905
SM(d24:0/34:1)+C2H3O2,1097.956,1023.92,535.4243,168.0431,78.95905
SM(d24:0/34:2)+C2H3O2,1095.941,1021.904,535.4243,168.0431,78.95905
SM(d24:0/35:0)+C2H3O2,1113.988,1039.951,535.4243,168.0431,78.95905
SM(d24:0/35:1)+C2H3O2,1111.972,1037.935,535.4243,168.0431,78.95905
SM(d24:0/36:0)+C2H3O2,1128.003,1053.967,535.4243,168.0431,78.95905
SM(d24:0/36:1)+C2H3O2,1125.988,1051.951,535.4243,168.0431,78.95905
SM(d24:0/36:2)+C2H3O2,1123.972,1049.935,535.4243,168.0431,78.95905
SM(d24:0/38:0)+C2H3O2,1156.035,1081.998,535.4244,168.0431,78.95905
SM(d24:0/38:1)+C2H3O2,1154.019,1079.982,535.4243,168.0431,78.95905
SM(d24:0/38:2)+C2H3O2,1152.003,1077.967,535.4243,168.0431,78.95905
SM(d24:0/40:0)+C2H3O2,1184.066,1110.029,535.4244,168.0431,78.95905
SM(d24:0/40:1)+C2H3O2,1182.05,1108.014,535.4244,168.0431,78.95905
SM(d24:0/40:2)+C2H3O2,1180.035,1105.998,535.4244,168.0431,78.95905
SM(d24:0/42:0)+C2H3O2,1212.097,1138.061,535.4244,168.0431,78.95905
SM(d24:0/42:1)+C2H3O2,1210.082,1136.045,535.4244,168.0431,78.95905
SM(d24:0/42:2)+C2H3O2,1208.066,1134.029,535.4244,168.0431,78.95905
SM(d24:1/12:0)+C2H3O2,789.6122,715.5754,533.4084,168.0431,78.95905
SM(d24:1/12:1)+C2H3O2,787.5966,713.5598,533.4084,168.0431,78.95905
SM(d24:1/13:0)+C2H3O2,803.6278,729.5911,533.4084,168.0431,78.95905
SM(d24:1/13:1)+C2H3O2,801.6122,727.5754,533.4084,168.0431,78.95905
SM(d24:1/14:0)+C2H3O2,817.6435,743.6067,533.4084,168.0431,78.95905
SM(d24:1/14:1)+C2H3O2,815.6278,741.5911,533.4084,168.0431,78.95905
SM(d24:1/15:0)+C2H3O2,831.6591,757.6224,533.4084,168.0431,78.95905
SM(d24:1/15:1)+C2H3O2,829.6435,755.6067,533.4084,168.0431,78.95905
SM(d24:1/16:0)+C2H3O2,845.6748,771.638,533.4085,168.0431,78.95905
SM(d24:1/16:1)+C2H3O2,843.6591,769.6224,533.4084,168.0431,78.95905
SM(d24:1/16:2)+C2H3O2,841.6435,767.6067,533.4084,168.0431,78.95905
SM(d24:1/17:0)+C2H3O2,859.6904,785.6536,533.4085,168.0431,78.95905
SM(d24:1/18:0)+C2H3O2,873.7061,799.6693,533.4085,168.0431,78.95905
SM(d24:1/18:1)+C2H3O2,871.6904,797.6536,533.4085,168.0431,78.95905
SM(d24:1/18:2)+C2H3O2,869.6748,795.638,533.4085,168.0431,78.95905
SM(d24:1/19:0)+C2H3O2,887.7217,813.6849,533.4085,168.0431,78.95905
SM(d24:1/19:1)+C2H3O2,885.7061,811.6693,533.4085,168.0431,78.95905
SM(d24:1/20:0)+C2H3O2,901.7374,827.7006,533.4085,168.0431,78.95905
SM(d24:1/20:1)+C2H3O2,899.7217,825.6849,533.4085,168.0431,78.95905
SM(d24:1/20:2)+C2H3O2,897.7061,823.6693,533.4085,168.0431,78.95905
SM(d24:1/21:0)+C2H3O2,915.7531,841.7162,533.4085,168.0431,78.95905
SM(d24:1/21:1)+C2H3O2,913.7374,839.7006,533.4085,168.0431,78.95905
SM(d24:1/22:0)+C2H3O2,929.7687,855.7319,533.4086,168.0431,78.95905
SM(d24:1/22:1)+C2H3O2,927.7531,853.7162,533.4085,168.0431,78.95905
SM(d24:1/22:2)+C2H3O2,925.7374,851.7006,533.4085,168.0431,78.95905
SM(d24:1/23:0)+C2H3O2,943.7843,869.7476,533.4086,168.0431,78.95905
SM(d24:1/23:1)+C2H3O2,941.7687,867.7319,533.4086,168.0431,78.95905
SM(d24:1/24:0)+C2H3O2,957.8,883.7632,533.4086,168.0431,78.95905
SM(d24:1/24:1)+C2H3O2,955.7843,881.7476,533.4086,168.0431,78.95905
SM(d24:1/24:2)+C2H3O2,953.7687,879.7319,533.4086,168.0431,78.95905
SM(d24:1/25:0)+C2H3O2,971.8156,897.7789,533.4086,168.0431,78.95905
SM(d24:1/25:1)+C2H3O2,969.8,895.7632,533.4086,168.0431,78.95905
SM(d24:1/26:0)+C2H3O2,985.8313,911.7945,533.4086,168.0431,78.95905
SM(d24:1/26:1)+C2H3O2,983.8156,909.7789,533.4086,168.0431,78.95905
SM(d24:1/26:2)+C2H3O2,981.8,907.7632,533.4086,168.0431,78.95905
SM(d24:1/27:0)+C2H3O2,999.8469,925.8101,533.4086,168.0431,78.95905
SM(d24:1/27:1)+C2H3O2,997.8313,923.7945,533.4086,168.0431,78.95905
SM(d24:1/28:0)+C2H3O2,1013.863,939.8258,533.4086,168.0431,78.95905
SM(d24:1/28:1)+C2H3O2,1011.847,937.8101,533.4086,168.0431,78.95905
SM(d24:1/28:2)+C2H3O2,1009.831,935.7945,533.4086,168.0431,78.95905
SM(d24:1/29:0)+C2H3O2,1027.878,953.8414,533.4086,168.0431,78.95905
SM(d24:1/29:1)+C2H3O2,1025.863,951.8258,533.4086,168.0431,78.95905
SM(d24:1/30:0)+C2H3O2,1041.894,967.8571,533.4086,168.0431,78.95905
SM(d24:1/30:1)+C2H3O2,1039.878,965.8414,533.4086,168.0431,78.95905
SM(d24:1/30:2)+C2H3O2,1037.863,963.8258,533.4086,168.0431,78.95905
SM(d24:1/31:0)+C2H3O2,1055.91,981.8727,533.4086,168.0431,78.95905
SM(d24:1/31:1)+C2H3O2,1053.894,979.8571,533.4086,168.0431,78.95905
SM(d24:1/32:0)+C2H3O2,1069.925,995.8884,533.4086,168.0431,78.95905
SM(d24:1/32:1)+C2H3O2,1067.91,993.8727,533.4086,168.0431,78.95905
SM(d24:1/32:2)+C2H3O2,1065.894,991.8571,533.4086,168.0431,78.95905
SM(d24:1/33:0)+C2H3O2,1083.941,1009.904,533.4086,168.0431,78.95905
SM(d24:1/33:1)+C2H3O2,1081.925,1007.888,533.4086,168.0431,78.95905
SM(d24:1/34:0)+C2H3O2,1097.956,1023.92,533.4086,168.0431,78.95905
SM(d24:1/34:1)+C2H3O2,1095.941,1021.904,533.4086,168.0431,78.95905
SM(d24:1/34:2)+C2H3O2,1093.925,1019.888,533.4086,168.0431,78.95905
SM(d24:1/35:0)+C2H3O2,1111.972,1037.935,533.4087,168.0431,78.95905
SM(d24:1/35:1)+C2H3O2,1109.956,1035.92,533.4086,168.0431,78.95905
SM(d24:1/36:0)+C2H3O2,1125.988,1051.951,533.4087,168.0431,78.95905
SM(d24:1/36:1)+C2H3O2,1123.972,1049.935,533.4087,168.0431,78.95905
SM(d24:1/36:2)+C2H3O2,1121.956,1047.92,533.4086,168.0431,78.95905
SM(d24:1/38:0)+C2H3O2,1154.019,1079.982,533.4087,168.0431,78.95905
SM(d24:1/38:1)+C2H3O2,1152.003,1077.967,533.4087,168.0431,78.95905
SM(d24:1/38:2)+C2H3O2,1149.988,1075.951,533.4087,168.0431,78.95905
SM(d24:1/40:0)+C2H3O2,1182.05,1108.014,533.4087,168.0431,78.95905
SM(d24:1/40:1)+C2H3O2,1180.035,1105.998,533.4087,168.0431,78.95905
SM(d24:1/40:2)+C2H3O2,1178.019,1103.982,533.4087,168.0431,78.95905
SM(d24:1/42:0)+C2H3O2,1210.082,1136.045,533.4088,168.0431,78.95905
SM(d24:1/42:1)+C2H3O2,1208.066,1134.029,533.4088,168.0431,78.95905
SM(d24:1/42:2)+C2H3O2,1206.05,1132.014,533.4087,168.0431,78.95905
SM(d24:2/12:0)+C2H3O2,787.5966,713.5598,531.3928,168.0431,78.95905
SM(d24:2/12:1)+C2H3O2,785.5809,711.5441,531.3928,168.0431,78.95905
SM(d24:2/13:0)+C2H3O2,801.6122,727.5754,531.3928,168.0431,78.95905
SM(d24:2/13:1)+C2H3O2,799.5966,725.5598,531.3928,168.0431,78.95905
SM(d24:2/14:0)+C2H3O2,815.6278,741.5911,531.3928,168.0431,78.95905
SM(d24:2/14:1)+C2H3O2,813.6122,739.5754,531.3928,168.0431,78.95905
SM(d24:2/15:0)+C2H3O2,829.6435,755.6067,531.3928,168.0431,78.95905
SM(d24:2/15:1)+C2H3O2,827.6278,753.5911,531.3928,168.0431,78.95905
SM(d24:2/16:0)+C2H3O2,843.6591,769.6224,531.3928,168.0431,78.95905
SM(d24:2/16:1)+C2H3O2,841.6435,767.6067,531.3928,168.0431,78.95905
SM(d24:2/16:2)+C2H3O2,839.6278,765.5911,531.3928,168.0431,78.95905
SM(d24:2/17:0)+C2H3O2,857.6748,783.638,531.3928,168.0431,78.95905
SM(d24:2/18:0)+C2H3O2,871.6904,797.6536,531.3928,168.0431,78.95905
SM(d24:2/18:1)+C2H3O2,869.6748,795.638,531.3928,168.0431,78.95905
SM(d24:2/18:2)+C2H3O2,867.6591,793.6224,531.3928,168.0431,78.95905
SM(d24:2/19:0)+C2H3O2,885.7061,811.6693,531.3929,168.0431,78.95905
SM(d24:2/19:1)+C2H3O2,883.6904,809.6536,531.3928,168.0431,78.95905
SM(d24:2/20:0)+C2H3O2,899.7217,825.6849,531.3929,168.0431,78.95905
SM(d24:2/20:1)+C2H3O2,897.7061,823.6693,531.3929,168.0431,78.95905
SM(d24:2/20:2)+C2H3O2,895.6904,821.6536,531.3928,168.0431,78.95905
SM(d24:2/21:0)+C2H3O2,913.7374,839.7006,531.3929,168.0431,78.95905
SM(d24:2/21:1)+C2H3O2,911.7217,837.6849,531.3929,168.0431,78.95905
SM(d24:2/22:0)+C2H3O2,927.7531,853.7162,531.3929,168.0431,78.95905
SM(d24:2/22:1)+C2H3O2,925.7374,851.7006,531.3929,168.0431,78.95905
SM(d24:2/22:2)+C2H3O2,923.7217,849.6849,531.3929,168.0431,78.95905
SM(d24:2/23:0)+C2H3O2,941.7687,867.7319,531.3929,168.0431,78.95905
SM(d24:2/23:1)+C2H3O2,939.7531,865.7162,531.3929,168.0431,78.95905
SM(d24:2/24:0)+C2H3O2,955.7843,881.7476,531.3929,168.0431,78.95905
SM(d24:2/24:1)+C2H3O2,953.7687,879.7319,531.3929,168.0431,78.95905
SM(d24:2/24:2)+C2H3O2,951.7531,877.7162,531.3929,168.0431,78.95905
SM(d24:2/25:0)+C2H3O2,969.8,895.7632,531.3929,168.0431,78.95905
SM(d24:2/25:1)+C2H3O2,967.7843,893.7476,531.3929,168.0431,78.95905
SM(d24:2/26:0)+C2H3O2,983.8156,909.7789,531.3929,168.0431,78.95905
SM(d24:2/26:1)+C2H3O2,981.8,907.7632,531.3929,168.0431,78.95905
SM(d24:2/26:2)+C2H3O2,979.7843,905.7476,531.3929,168.0431,78.95905
SM(d24:2/27:0)+C2H3O2,997.8313,923.7945,531.3929,168.0431,78.95905
SM(d24:2/27:1)+C2H3O2,995.8156,921.7789,531.3929,168.0431,78.95905
SM(d24:2/28:0)+C2H3O2,1011.847,937.8101,531.3929,168.0431,78.95905
SM(d24:2/28:1)+C2H3O2,1009.831,935.7945,531.3929,168.0431,78.95905
