SM,[M+C2H3O2]-,[M-CH3]-,Sph-C-H,[C4H11NO4P]-,[PO3]-
SM(d14:1/31:1)+C2H3O2,913.7374,839.7006,393.2521,168.0431,78.95905
SM(d14:1/32:0)+C2H3O2,929.7687,855.7319,393.2521,168.0431,78.95905
SM(d14:1/32:1)+C2H3O2,927.7531,853.7162,393.2521,168.0431,78.95905
SM(d14:1/32:2)+C2H3O2,925.7374,851.7006,393.2521,168.0431,78.95905
SM(d14:1/33:0)+C2H3O2,943.7843,869.7476,393.2521,168.0431,78.95905
SM(d14:1/33:1)+C2H3O2,941.7687,867.7319,393.2521,168.0431,78.95905
SM(d14:1/34:0)+C2H3O2,957.8,883.7632,393.2522,168.0431,78.95905
SM(d14:1/34:1)+C2H3O2,955.7843,881.7476,393.2521,168.0431,78.95905
SM(d14:1/34:2)+C2H3O2,953.7687,879.7319,393.2521,168.0431,78.95905
SM(d14:1/35:0)+C2H3O2,971.8156,897.7789,393.2522,168.0431,78.95905
SM(d14:1/35:1)+C2H3O2,969.8,895.7632,393.2522,168.0431,78.95905
SM(d14:1/36:0)+C2H3O2,985.8313,911.7945,393.2522,168.0431,78.95905
SM(d14:1/36:1)+C2H3O2,983.8156,909.7789,393.2522,168.0431,78.95905
SM(d14:1/36:2)+C2H3O2,981.8,907.7632,393.2522,168.0431,78.95905
SM(d14:1/38:0)+C2H3O2,1013.863,939.8258,393.2522,168.0431,78.95905
SM(d14:1/38:1)+C2H3O2,1011.847,937.8101,393.2522,168.0431,78.95905
SM(d14:1/38:2)+C2H3O2,1009.831,935.7945,393.2522,168.0431,78.95905
SM(d14:1/40:0)+C2H3O2,1041.894,967.8571,393.2522,168.0431,78.95905
SM(d14:1/40:1)+C2H3O2,1039.878,965.8414,393.2522,168.0431,78.95905
SM(d14:1/40:2)+C2H3O2,1037.863,963.8258,393.2522,168.0431,78.95905
SM(d14:1/42:0)+C2H3O2,1069.925,995.8884,393.2522,168.0431,78.95905
SM(d14:1/42:1)+C2H3O2,1067.91,993.8727,393.2522,168.0431,78.95905
SM(d14:1/42:2)+C2H3O2,1065.894,991.8571,393.2522,168.0431,78.95905
SM(d14:2/12:0)+C2H3O2,647.44,573.4033,391.2363,168.0431,78.95905
SM(d14:2/12:1)+C2H3O2,645.4244,571.3876,391.2363,168.0431,78.95905
SM(d14:2/13:0)+C2H3O2,661.4557,587.4189,391.2363,168.0431,78.95905
SM(d14:2/13:1)+C2H3O2,659.44,585.4033,391.2363,168.0431,78.95905
SM(d14:2/14:0)+C2H3O2,675.4713,601.4346,391.2363,168.0431,78.95905
SM(d14:2/14:1)+C2H3O2,673.4557,599.4189,391.2363,168.0431,78.95905
SM(d14:2/15:0)+C2H3O2,689.487,615.4502,391.2363,168.0431,78.95905
SM(d14:2/15:1)+C2H3O2,687.4713,613.4346,391.2363,168.0431,78.95905
SM(d14:2/16:0)+C2H3O2,703.5026,629.4658,391.2363,168.0431,78.95905
SM(d14:2/16:1)+C2H3O2,701.487,627.4502,391.2363,168.0431,78.95905
SM(d14:2/16:2)+C2H3O2,699.4713,625.4346,391.2363,168.0431,78.95905
SM(d14:2/17:0)+C2H3O2,717.5182,643.4815,391.2363,168.0431,78.95905
SM(d14:2/18:0)+C2H3O2,731.5339,657.4971,391.2364,168.0431,78.95905
SM(d14:2/18:1)+C2H3O2,729.5182,655.4815,391.2363,168.0431,78.95905
SM(d14:2/18:2)+C2H3O2,727.5026,653.4658,391.2363,168.0431,78.95905
SM(d14:2/19:0)+C2H3O2,745.5496,671.5128,391.2364,168.0431,78.95905
SM(d14:2/19:1)+C2H3O2,743.5339,669.4971,391.2364,168.0431,78.95905
SM(d14:2/20:0)+C2H3O2,759.5652,685.5284,391.2364,168.0431,78.95905
SM(d14:2/20:1)+C2H3O2,757.5496,683.5128,391.2364,168.0431,78.95905
SM(d14:2/20:2)+C2H3O2,755.5339,681.4971,391.2364,168.0431,78.95905
SM(d14:2/21:0)+C2H3O2,773.5809,699.5441,391.2364,168.0431,78.95905
SM(d14:2/21:1)+C2H3O2,771.5652,697.5284,391.2364,168.0431,78.95905
SM(d14:2/22:0)+C2H3O2,787.5966,713.5598,391.2364,168.0431,78.95905
SM(d14:2/22:1)+C2H3O2,785.5809,711.5441,391.2364,168.0431,78.95905
SM(d14:2/22:2)+C2H3O2,783.5652,709.5284,391.2364,168.0431,78.95905
SM(d14:2/23:0)+C2H3O2,801.6122,727.5754,391.2364,168.0431,78.95905
SM(d14:2/23:1)+C2H3O2,799.5966,725.5598,391.2364,168.0431,78.95905
SM(d14:2/24:0)+C2H3O2,815.6278,741.5911,391.2364,168.0431,78.95905
SM(d14:2/24:1)+C2H3O2,813.6122,739.5754,391.2364,168.0431,78.95905
SM(d14:2/24:2)+C2H3O2,811.5966,737.5598,391.2364,168.0431,78.95905
SM(d14:2/25:0)+C2H3O2,829.6435,755.6067,391.2364,168.0431,78.95905
SM(d14:2/25:1)+C2H3O2,827.6278,753.5911,391.2364,168.0431,78.95905
SM(d14:2/26:0)+C2H3O2,843.6591,769.6224,391.2364,168.0431,78.95905
SM(d14:2/26:1)+C2H3O2,841.6435,767.6067,391.2364,168.0431,78.95905
SM(d14:2/26:2)+C2H3O2,839.6278,765.5911,391.2364,168.0431,78.95905
SM(d14:2/27:0)+C2H3O2,857.6748,783.638,391.2365,168.0431,78.95905
SM(d14:2/27:1)+C2H3O2,855.6591,781.6224,391.2364,168.0431,78.95905
SM(d14:2/28:0)+C2H3O2,871.6904,797.6536,391.2365,168.0431,78.95905
SM(d14:2/28:1)+C2H3O2,869.6748,795.638,391.2365,168.0431,78.95905
SM(d14:2/28:2)+C2H3O2,867.6591,793.6224,391.2364,168.0431,78.95905
SM(d14:2/29:0)+C2H3O2,885.7061,811.6693,391.2365,168.0431,78.95905
SM(d14:2/29:1)+C2H3O2,883.6904,809.6536,391.2365,168.0431,78.95905
SM(d14:2/30:0)+C2H3O2,899.7217,825.6849,391.2365,168.0431,78.95905
SM(d14:2/30:1)+C2H3O2,897.7061,823.6693,391.2365,168.0431,78.95905
SM(d14:2/30:2)+C2H3O2,895.6904,821.6536,391.2365,168.0431,78.95905
SM(d14:2/31:0)+C2H3O2,913.7374,839.7006,391.2365,168.0431,78.95905
SM(d14:2/31:1)+C2H3O2,911.7217,837.6849,391.2365,168.0431,78.95905
SM(d14:2/32:0)+C2H3O2,927.7531,853.7162,391.2365,168.0431,78.95905
SM(d14:2/32:1)+C2H3O2,925.7374,851.7006,391.2365,168.0431,78.95905
