ether-PS,[M+H]+,NL_head,NL_T2_RCOOH,T2_RCO+
Plasmenyl-PS(P-20:0/20:5)+H,822.56443,637.55548,353.34143,285.22135
Plasmenyl-PS(P-20:0/21:0)+H,846.65833,661.64938,353.34143,309.31525
Plasmenyl-PS(P-20:0/22:0)+H,860.67393,675.66498,353.34143,323.33085
Plasmenyl-PS(P-20:0/22:1)+H,858.65833,673.64938,353.34143,321.31525
Plasmenyl-PS(P-20:0/22:2)+H,856.64263,671.63368,353.34143,319.29955
Plasmenyl-PS(P-20:0/22:3)+H,854.62703,669.61808,353.34143,317.28395
Plasmenyl-PS(P-20:0/22:4)+H,852.61133,667.60238,353.34143,315.26825
Plasmenyl-PS(P-20:0/22:5)+H,850.59573,665.58678,353.34143,313.25265
Plasmenyl-PS(P-20:0/22:6)+H,848.58003,663.57108,353.34143,311.23695
Plasmenyl-PS(P-20:0/23:0)+H,874.68963,689.68068,353.34143,337.34655
Plasmenyl-PS(P-20:0/24:0)+H,888.70523,703.69628,353.34143,351.36215
Plasmenyl-PS(P-20:0/24:1)+H,886.68963,701.68068,353.34143,349.34655
Plasmenyl-PS(P-20:0/25:0)+H,902.72093,717.71198,353.34143,365.37785
Plasmenyl-PS(P-20:0/26:0)+H,916.73653,731.72758,353.34143,379.39345
Plasmenyl-PS(P-20:0/8:0)+H,664.45483,479.44588,353.34143,127.11175
Plasmenyl-PS(P-20:1/10:0)+H,690.47053,505.46158,351.32583,155.14305
Plasmenyl-PS(P-20:1/12:0)+H,718.50183,533.49288,351.32583,183.17435
Plasmenyl-PS(P-20:1/13:0)+H,732.51753,547.50858,351.32583,197.19005
Plasmenyl-PS(P-20:1/14:0)+H,746.53313,561.52418,351.32583,211.20565
Plasmenyl-PS(P-20:1/14:1)+H,744.51753,559.50858,351.32583,209.19005
Plasmenyl-PS(P-20:1/15:0)+H,760.54883,575.53988,351.32583,225.22135
Plasmenyl-PS(P-20:1/15:1)+H,758.53313,573.52418,351.32583,223.20565
Plasmenyl-PS(P-20:1/16:0)+H,774.56443,589.55548,351.32583,239.23695
Plasmenyl-PS(P-20:1/16:1)+H,772.54883,587.53988,351.32583,237.22135
Plasmenyl-PS(P-20:1/17:0)+H,788.58013,603.57118,351.32583,253.25265
Plasmenyl-PS(P-20:1/17:1)+H,786.56443,601.55548,351.32583,251.23695
Plasmenyl-PS(P-20:1/17:2)+H,784.54883,599.53988,351.32583,249.22135
Plasmenyl-PS(P-20:1/18:0)+H,802.59573,617.58678,351.32583,267.26825
Plasmenyl-PS(P-20:1/18:1)+H,800.58013,615.57118,351.32583,265.25265
Plasmenyl-PS(P-20:1/18:2)+H,798.56443,613.55548,351.32583,263.23695
Plasmenyl-PS(P-20:1/18:3)+H,796.54883,611.53988,351.32583,261.22135
Plasmenyl-PS(P-20:1/18:4)+H,794.53313,609.52418,351.32583,259.20565
Plasmenyl-PS(P-20:1/19:0)+H,816.61143,631.60248,351.32583,281.28395
Plasmenyl-PS(P-20:1/20:0)+H,830.62703,645.61808,351.32583,295.29955
Plasmenyl-PS(P-20:1/20:1)+H,828.61143,643.60248,351.32583,293.28395
Plasmenyl-PS(P-20:1/20:2)+H,826.59573,641.58678,351.32583,291.26825
Plasmenyl-PS(P-20:1/20:3)+H,824.58013,639.57118,351.32583,289.25265
Plasmenyl-PS(P-20:1/20:4)+H,822.56443,637.55548,351.32583,287.23695
Plasmenyl-PS(P-20:1/20:5)+H,820.54883,635.53988,351.32583,285.22135
Plasmenyl-PS(P-20:1/21:0)+H,844.64273,659.63378,351.32583,309.31525
Plasmenyl-PS(P-20:1/22:0)+H,858.65833,673.64938,351.32583,323.33085
Plasmenyl-PS(P-20:1/22:1)+H,856.64273,671.63378,351.32583,321.31525
Plasmenyl-PS(P-20:1/22:2)+H,854.62703,669.61808,351.32583,319.29955
Plasmenyl-PS(P-20:1/22:3)+H,852.61143,667.60248,351.32583,317.28395
Plasmenyl-PS(P-20:1/22:4)+H,850.59573,665.58678,351.32583,315.26825
Plasmenyl-PS(P-20:1/22:5)+H,848.58013,663.57118,351.32583,313.25265
Plasmenyl-PS(P-20:1/22:6)+H,846.56443,661.55548,351.32583,311.23695
Plasmenyl-PS(P-20:1/23:0)+H,872.67403,687.66508,351.32583,337.34655
Plasmenyl-PS(P-20:1/24:0)+H,886.68963,701.68068,351.32583,351.36215
Plasmenyl-PS(P-20:1/24:1)+H,884.67403,699.66508,351.32583,349.34655
Plasmenyl-PS(P-20:1/25:0)+H,900.70533,715.69638,351.32583,365.37785
Plasmenyl-PS(P-20:1/26:0)+H,914.72093,729.71198,351.32583,379.39345
Plasmenyl-PS(P-20:1/8:0)+H,662.43923,477.43028,351.32583,127.11175
