Cer_BDS,[M+HCO2]-,[M-H]-,[Sph+CC=O-H]-,[Sph+C=O-CO-3H]-,[Sph-H]-,[Sph-NCCO-3H]-
Cer_BDS(d16:0/34:3)+HCO2,818.72435,772.71885,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/34:4)+HCO2,816.70865,770.70315,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/35:0)+HCO2,838.78695,792.78145,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/35:1)+HCO2,836.77125,790.76585,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/35:2)+HCO2,834.75565,788.75015,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/35:3)+HCO2,832.73995,786.73445,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/35:4)+HCO2,830.72435,784.71885,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/36:0)+HCO2,852.80255,806.79715,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/36:1)+HCO2,850.78695,804.78145,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/36:2)+HCO2,848.77125,802.76585,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/36:3)+HCO2,846.75565,800.75015,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d16:0/36:4)+HCO2,844.73995,798.73445,314.27065,282.24445,272.26005,211.20735
Cer_BDS(d17:0/14:0)+HCO2,558.47395,512.46845,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/14:1)+HCO2,556.45825,510.45275,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/14:2)+HCO2,554.44265,508.43715,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/14:3)+HCO2,552.42695,506.42145,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/15:0)+HCO2,572.48955,526.48405,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/15:1)+HCO2,570.47395,524.46845,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/15:2)+HCO2,568.45825,522.45285,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/15:3)+HCO2,566.44265,520.43715,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/16:0)+HCO2,586.50515,540.49975,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/16:1)+HCO2,584.48955,538.48405,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/16:2)+HCO2,582.47395,536.46845,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/16:3)+HCO2,580.45825,534.45285,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/16:4)+HCO2,578.44265,532.43715,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/17:0)+HCO2,600.52085,554.51535,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/17:1)+HCO2,598.50515,552.49975,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/17:2)+HCO2,596.48955,550.48405,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/17:3)+HCO2,594.47395,548.46845,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/18:0)+HCO2,614.53645,568.53105,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/18:1)+HCO2,612.52085,566.51535,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/18:2)+HCO2,610.50515,564.49975,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/18:3)+HCO2,608.48955,562.48405,328.28625,296.26005,286.27565,225.22295
Cer_BDS(d17:0/18:4)+HCO2,606.47395,560.46845,328.28625,296.26005,286.27565,225.22295
