Plasmenyl-PE,[M+H]+,NL_head,NL_T2RCO,T2_RCO+,T2RCOO+58,head
Plasmenyl-PE(P-20:0/21:0)+H,802.66846,661.64935,353.3414,309.31525,383.35203,142.02639
Plasmenyl-PE(P-20:0/22:0)+H,816.68406,675.66495,353.3414,323.33085,397.36763,142.02639
Plasmenyl-PE(P-20:0/22:1)+H,814.66846,673.64935,353.3414,321.31525,395.35203,142.02639
Plasmenyl-PE(P-20:0/22:2)+H,812.65276,671.63365,353.3414,319.29955,393.33633,142.02639
Plasmenyl-PE(P-20:0/22:3)+H,810.63716,669.61805,353.3414,317.28395,391.32073,142.02639
Plasmenyl-PE(P-20:0/22:4)+H,808.62146,667.60235,353.3414,315.26825,389.30503,142.02639
Plasmenyl-PE(P-20:0/22:5)+H,806.60586,665.58675,353.3414,313.25265,387.28943,142.02639
Plasmenyl-PE(P-20:0/22:6)+H,804.59016,663.57105,353.3414,311.23695,385.27373,142.02639
Plasmenyl-PE(P-20:0/23:0)+H,830.69976,689.68065,353.3414,337.34655,411.38333,142.02639
Plasmenyl-PE(P-20:0/24:0)+H,844.71536,703.69625,353.3414,351.36215,425.39893,142.02639
Plasmenyl-PE(P-20:0/24:1)+H,842.69976,701.68065,353.3414,349.34655,423.38333,142.02639
Plasmenyl-PE(P-20:0/25:0)+H,858.73106,717.71195,353.3414,365.37785,439.41463,142.02639
Plasmenyl-PE(P-20:0/26:0)+H,872.74666,731.72755,353.3414,379.39345,453.43023,142.02639
Plasmenyl-PE(P-20:0/8:0)+H,620.46496,479.44585,353.3414,127.11175,201.14853,142.02639
Plasmenyl-PE(P-20:1/10:0)+H,646.48066,505.46155,351.3258,155.14305,229.17983,142.02639
Plasmenyl-PE(P-20:1/12:0)+H,674.51196,533.49285,351.3258,183.17435,257.21113,142.02639
Plasmenyl-PE(P-20:1/13:0)+H,688.52766,547.50855,351.3258,197.19005,271.22683,142.02639
Plasmenyl-PE(P-20:1/14:0)+H,702.54326,561.52415,351.3258,211.20565,285.24243,142.02639
Plasmenyl-PE(P-20:1/14:1)+H,700.52766,559.50855,351.3258,209.19005,283.22683,142.02639
Plasmenyl-PE(P-20:1/15:0)+H,716.55896,575.53985,351.3258,225.22135,299.25813,142.02639
Plasmenyl-PE(P-20:1/15:1)+H,714.54326,573.52415,351.3258,223.20565,297.24243,142.02639
Plasmenyl-PE(P-20:1/16:0)+H,730.57456,589.55545,351.3258,239.23695,313.27373,142.02639
Plasmenyl-PE(P-20:1/16:1)+H,728.55896,587.53985,351.3258,237.22135,311.25813,142.02639
Plasmenyl-PE(P-20:1/17:0)+H,744.59026,603.57115,351.3258,253.25265,327.28943,142.02639
Plasmenyl-PE(P-20:1/17:1)+H,742.57456,601.55545,351.3258,251.23695,325.27373,142.02639
Plasmenyl-PE(P-20:1/17:2)+H,740.55896,599.53985,351.3258,249.22135,323.25813,142.02639
Plasmenyl-PE(P-20:1/18:0)+H,758.60586,617.58675,351.3258,267.26825,341.30503,142.02639
Plasmenyl-PE(P-20:1/18:1)+H,756.59026,615.57115,351.3258,265.25265,339.28943,142.02639
Plasmenyl-PE(P-20:1/18:2)+H,754.57456,613.55545,351.3258,263.23695,337.27373,142.02639
Plasmenyl-PE(P-20:1/18:3)+H,752.55896,611.53985,351.3258,261.22135,335.25813,142.02639
Plasmenyl-PE(P-20:1/18:4)+H,750.54326,609.52415,351.3258,259.20565,333.24243,142.02639
Plasmenyl-PE(P-20:1/19:0)+H,772.62156,631.60245,351.3258,281.28395,355.32073,142.02639
Plasmenyl-PE(P-20:1/20:0)+H,786.63716,645.61805,351.3258,295.29955,369.33633,142.02639
Plasmenyl-PE(P-20:1/20:1)+H,784.62156,643.60245,351.3258,293.28395,367.32073,142.02639
Plasmenyl-PE(P-20:1/20:2)+H,782.60586,641.58675,351.3258,291.26825,365.30503,142.02639
Plasmenyl-PE(P-20:1/20:3)+H,780.59026,639.57115,351.3258,289.25265,363.28943,142.02639
Plasmenyl-PE(P-20:1/20:4)+H,778.57456,637.55545,351.3258,287.23695,361.27373,142.02639
Plasmenyl-PE(P-20:1/20:5)+H,776.55896,635.53985,351.3258,285.22135,359.25813,142.02639
Plasmenyl-PE(P-20:1/21:0)+H,800.65286,659.63375,351.3258,309.31525,383.35203,142.02639
Plasmenyl-PE(P-20:1/22:0)+H,814.66846,673.64935,351.3258,323.33085,397.36763,142.02639
Plasmenyl-PE(P-20:1/22:1)+H,812.65286,671.63375,351.3258,321.31525,395.35203,142.02639
Plasmenyl-PE(P-20:1/22:2)+H,810.63716,669.61805,351.3258,319.29955,393.33633,142.02639
Plasmenyl-PE(P-20:1/22:3)+H,808.62156,667.60245,351.3258,317.28395,391.32073,142.02639
Plasmenyl-PE(P-20:1/22:4)+H,806.60586,665.58675,351.3258,315.26825,389.30503,142.02639
Plasmenyl-PE(P-20:1/22:5)+H,804.59026,663.57115,351.3258,313.25265,387.28943,142.02639
Plasmenyl-PE(P-20:1/22:6)+H,802.57456,661.55545,351.3258,311.23695,385.27373,142.02639
Plasmenyl-PE(P-20:1/23:0)+H,828.68416,687.66505,351.3258,337.34655,411.38333,142.02639
Plasmenyl-PE(P-20:1/24:0)+H,842.69976,701.68065,351.3258,351.36215,425.39893,142.02639
Plasmenyl-PE(P-20:1/24:1)+H,840.68416,699.66505,351.3258,349.34655,423.38333,142.02639
Plasmenyl-PE(P-20:1/25:0)+H,856.71546,715.69635,351.3258,365.37785,439.41463,142.02639
Plasmenyl-PE(P-20:1/26:0)+H,870.73106,729.71195,351.3258,379.39345,453.43023,142.02639
Plasmenyl-PE(P-20:1/8:0)+H,618.44936,477.43025,351.3258,127.11175,201.14853,142.02639
