LipidA-PP,[M-H]-,[M-H]-PO3H,[M-H]-PO4H3,[M-H]-R2,[M-H]-R3,[M-H]-PO4H3-R2'-O-FA,[M-H]-PO4H3-R3'-O-FA,[M-H]-(R2'-O-FA)-R2',[M-H]-(R3'-O-FA)-R3',[M-H]-R2-PO4H3,[M-H]-R3-PO4H3
LipidA-PP [14_16_16_16_3O-(12)_3O-(12)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1554.119753,1554.119753,1652.096653,1652.096653,1510.093553,1482.062273
LipidA-PP [14_16_16_16_3O-(12)_3O-(14)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1582.151053,1554.119773,1680.127953,1652.096673,1538.124853,1510.093573
LipidA-PP [14_16_16_16_3O-(12)_3O-(16)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1610.182353,1554.119793,1708.159253,1652.096693,1566.156153,1538.124873
LipidA-PP [14_16_16_16_3O-(12)_3O-(18)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1638.213653,1554.119813,1736.190553,1652.096713,1594.187453,1566.156173
LipidA-PP [14_16_16_16_3O-(14)_3O-(10)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1526.088473,1582.151033,1624.065373,1680.127933,1510.093553,1482.062273
LipidA-PP [14_16_16_16_3O-(14)_3O-(12)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1554.119773,1582.151053,1652.096673,1680.127953,1538.124853,1510.093573
LipidA-PP [14_16_16_16_3O-(14)_3O-(14)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1582.151073,1582.151073,1680.127973,1680.127973,1566.156153,1538.124873
LipidA-PP [14_16_16_16_3O-(14)_3O-(16)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1610.182373,1582.151093,1708.159273,1680.127993,1594.187453,1566.156173
LipidA-PP [14_16_16_16_3O-(14)_3O-(18)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1638.213673,1582.151113,1736.190573,1680.128013,1622.218753,1594.187473
LipidA-PP [14_16_16_16_3O-(16)_3O-(10)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1526.088493,1610.182333,1624.065393,1708.159233,1538.124853,1510.093573
LipidA-PP [14_16_16_16_3O-(16)_3O-(12)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1554.119793,1610.182353,1652.096693,1708.159253,1566.156153,1538.124873
LipidA-PP [14_16_16_16_3O-(16)_3O-(14)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1582.151093,1610.182373,1680.127993,1708.159273,1594.187453,1566.156173
LipidA-PP [14_16_16_16_3O-(16)_3O-(16)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1610.182393,1610.182393,1708.159293,1708.159293,1622.218753,1594.187473
LipidA-PP [14_16_16_16_3O-(16)_3O-(18)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1638.213693,1610.182413,1736.190593,1708.159313,1650.250053,1622.218773
LipidA-PP [14_16_16_16_3O-(18)_3O-(10)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1526.088513,1638.213633,1624.065413,1736.190533,1566.156153,1538.124873
LipidA-PP [14_16_16_16_3O-(18)_3O-(12)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1554.119813,1638.213653,1652.096713,1736.190553,1594.187453,1566.156173
LipidA-PP [14_16_16_16_3O-(18)_3O-(14)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1582.151113,1638.213673,1680.128013,1736.190573,1622.218753,1594.187473
LipidA-PP [14_16_16_16_3O-(18)_3O-(16)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1610.182413,1638.213693,1708.159313,1736.190593,1650.250053,1622.218773
LipidA-PP [14_16_16_16_3O-(18)_3O-(18)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1638.213713,1638.213713,1736.190613,1736.190613,1678.281353,1650.250073
LipidA-PP [14_16_16_18_3O-(10)_3O-(10)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1554.119732,1554.119732,1652.096632,1652.096632,1482.062252,1454.030972
LipidA-PP [14_16_16_18_3O-(10)_3O-(12)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1582.151033,1554.119753,1680.127933,1652.096653,1510.093553,1482.062273
LipidA-PP [14_16_16_18_3O-(10)_3O-(14)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1610.182333,1554.119773,1708.159233,1652.096673,1538.124853,1510.093573
LipidA-PP [14_16_16_18_3O-(10)_3O-(16)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1638.213633,1554.119793,1736.190533,1652.096693,1566.156153,1538.124873
LipidA-PP [14_16_16_18_3O-(10)_3O-(18)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1666.244933,1554.119813,1764.221833,1652.096713,1594.187453,1566.156173
LipidA-PP [14_16_16_18_3O-(12)_3O-(10)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1554.119753,1582.151033,1652.096653,1680.127933,1510.093553,1482.062273
LipidA-PP [14_16_16_18_3O-(12)_3O-(12)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1582.151053,1582.151053,1680.127953,1680.127953,1538.124853,1510.093573
LipidA-PP [14_16_16_18_3O-(12)_3O-(14)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1610.182353,1582.151073,1708.159253,1680.127973,1566.156153,1538.124873
LipidA-PP [14_16_16_18_3O-(12)_3O-(16)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1638.213653,1582.151093,1736.190553,1680.127993,1594.187453,1566.156173
LipidA-PP [14_16_16_18_3O-(12)_3O-(18)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1666.244953,1582.151113,1764.221853,1680.128013,1622.218753,1594.187473
LipidA-PP [14_16_16_18_3O-(14)_3O-(10)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1554.119773,1610.182333,1652.096673,1708.159233,1538.124853,1510.093573
LipidA-PP [14_16_16_18_3O-(14)_3O-(12)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1582.151073,1610.182353,1680.127973,1708.159253,1566.156153,1538.124873
LipidA-PP [14_16_16_18_3O-(14)_3O-(14)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1610.182373,1610.182373,1708.159273,1708.159273,1594.187453,1566.156173
LipidA-PP [14_16_16_18_3O-(14)_3O-(16)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1638.213673,1610.182393,1736.190573,1708.159293,1622.218753,1594.187473
LipidA-PP [14_16_16_18_3O-(14)_3O-(18)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1666.244973,1610.182413,1764.221873,1708.159313,1650.250053,1622.218773
LipidA-PP [14_16_16_18_3O-(16)_3O-(10)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1554.119793,1638.213633,1652.096693,1736.190533,1566.156153,1538.124873
LipidA-PP [14_16_16_18_3O-(16)_3O-(12)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1582.151093,1638.213653,1680.127993,1736.190553,1594.187453,1566.156173
LipidA-PP [14_16_16_18_3O-(16)_3O-(14)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1610.182393,1638.213673,1708.159293,1736.190573,1622.218753,1594.187473
LipidA-PP [14_16_16_18_3O-(16)_3O-(16)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1638.213693,1638.213693,1736.190593,1736.190593,1650.250053,1622.218773
LipidA-PP [14_16_16_18_3O-(16)_3O-(18)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1666.244993,1638.213713,1764.221893,1736.190613,1678.281353,1650.250073
LipidA-PP [14_16_16_18_3O-(18)_3O-(10)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1554.119813,1666.244933,1652.096713,1764.221833,1594.187453,1566.156173
LipidA-PP [14_16_16_18_3O-(18)_3O-(12)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1582.151113,1666.244953,1680.128013,1764.221853,1622.218753,1594.187473
LipidA-PP [14_16_16_18_3O-(18)_3O-(14)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1610.182413,1666.244973,1708.159313,1764.221873,1650.250053,1622.218773
LipidA-PP [14_16_16_18_3O-(18)_3O-(16)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1638.213713,1666.244993,1736.190613,1764.221893,1678.281353,1650.250073
LipidA-PP [14_16_16_18_3O-(18)_3O-(18)],2048.493273,1966.511293,1950.516373,1804.289553,1776.258273,1666.245013,1666.245013,1764.221913,1764.221913,1706.312653,1678.281373
LipidA-PP [14_16_18_10_3O-(10)_3O-(10)],1740.148972,1658.166992,1642.172072,1495.945252,1467.913972,1470.025832,1470.025832,1568.002732,1568.002732,1397.968352,1369.937072
LipidA-PP [14_16_18_10_3O-(10)_3O-(12)],1768.180272,1686.198292,1670.203372,1523.976552,1495.945272,1498.057132,1470.025852,1596.034032,1568.002752,1425.999652,1397.968372
LipidA-PP [14_16_18_10_3O-(10)_3O-(14)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1526.088432,1470.025872,1624.065332,1568.002772,1454.030952,1425.999672
LipidA-PP [14_16_18_10_3O-(10)_3O-(16)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1554.119732,1470.025892,1652.096632,1568.002792,1482.062252,1454.030972
LipidA-PP [14_16_18_10_3O-(10)_3O-(18)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1582.151033,1470.025913,1680.127933,1568.002813,1510.093553,1482.062273
LipidA-PP [14_16_18_10_3O-(12)_3O-(10)],1768.180272,1686.198292,1670.203372,1523.976552,1495.945272,1470.025852,1498.057132,1568.002752,1596.034032,1425.999652,1397.968372
LipidA-PP [14_16_18_10_3O-(12)_3O-(12)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1498.057152,1498.057152,1596.034052,1596.034052,1454.030952,1425.999672
LipidA-PP [14_16_18_10_3O-(12)_3O-(14)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1526.088452,1498.057172,1624.065352,1596.034072,1482.062252,1454.030972
LipidA-PP [14_16_18_10_3O-(12)_3O-(16)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1554.119753,1498.057193,1652.096653,1596.034093,1510.093553,1482.062273
LipidA-PP [14_16_18_10_3O-(12)_3O-(18)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1582.151053,1498.057213,1680.127953,1596.034113,1538.124853,1510.093573
LipidA-PP [14_16_18_10_3O-(14)_3O-(10)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1470.025872,1526.088432,1568.002772,1624.065332,1454.030952,1425.999672
LipidA-PP [14_16_18_10_3O-(14)_3O-(12)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1498.057172,1526.088452,1596.034072,1624.065352,1482.062252,1454.030972
LipidA-PP [14_16_18_10_3O-(14)_3O-(14)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1526.088473,1526.088473,1624.065373,1624.065373,1510.093553,1482.062273
LipidA-PP [14_16_18_10_3O-(14)_3O-(16)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1554.119773,1526.088493,1652.096673,1624.065393,1538.124853,1510.093573
LipidA-PP [14_16_18_10_3O-(14)_3O-(18)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1582.151073,1526.088513,1680.127973,1624.065413,1566.156153,1538.124873
LipidA-PP [14_16_18_10_3O-(16)_3O-(10)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1470.025892,1554.119732,1568.002792,1652.096632,1482.062252,1454.030972
LipidA-PP [14_16_18_10_3O-(16)_3O-(12)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1498.057193,1554.119753,1596.034093,1652.096653,1510.093553,1482.062273
LipidA-PP [14_16_18_10_3O-(16)_3O-(14)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1526.088493,1554.119773,1624.065393,1652.096673,1538.124853,1510.093573
LipidA-PP [14_16_18_10_3O-(16)_3O-(16)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1554.119793,1554.119793,1652.096693,1652.096693,1566.156153,1538.124873
LipidA-PP [14_16_18_10_3O-(16)_3O-(18)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1582.151093,1554.119813,1680.127993,1652.096713,1594.187453,1566.156173
LipidA-PP [14_16_18_10_3O-(18)_3O-(10)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1470.025913,1582.151033,1568.002813,1680.127933,1510.093553,1482.062273
LipidA-PP [14_16_18_10_3O-(18)_3O-(12)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1498.057213,1582.151053,1596.034113,1680.127953,1538.124853,1510.093573
LipidA-PP [14_16_18_10_3O-(18)_3O-(14)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1526.088513,1582.151073,1624.065413,1680.127973,1566.156153,1538.124873
LipidA-PP [14_16_18_10_3O-(18)_3O-(16)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1554.119813,1582.151093,1652.096713,1680.127993,1594.187453,1566.156173
LipidA-PP [14_16_18_10_3O-(18)_3O-(18)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1582.151113,1582.151113,1680.128013,1680.128013,1622.218753,1594.187473
LipidA-PP [14_16_18_12_3O-(10)_3O-(10)],1768.180272,1686.198292,1670.203372,1523.976552,1495.945272,1498.057132,1498.057132,1596.034032,1596.034032,1425.999652,1397.968372
LipidA-PP [14_16_18_12_3O-(10)_3O-(12)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1526.088432,1498.057152,1624.065332,1596.034052,1454.030952,1425.999672
LipidA-PP [14_16_18_12_3O-(10)_3O-(14)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1554.119732,1498.057172,1652.096632,1596.034072,1482.062252,1454.030972
LipidA-PP [14_16_18_12_3O-(10)_3O-(16)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1582.151033,1498.057193,1680.127933,1596.034093,1510.093553,1482.062273
LipidA-PP [14_16_18_12_3O-(10)_3O-(18)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1610.182333,1498.057213,1708.159233,1596.034113,1538.124853,1510.093573
LipidA-PP [14_16_18_12_3O-(12)_3O-(10)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1498.057152,1526.088432,1596.034052,1624.065332,1454.030952,1425.999672
LipidA-PP [14_16_18_12_3O-(12)_3O-(12)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1526.088452,1526.088452,1624.065352,1624.065352,1482.062252,1454.030972
LipidA-PP [14_16_18_12_3O-(12)_3O-(14)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1554.119753,1526.088473,1652.096653,1624.065373,1510.093553,1482.062273
LipidA-PP [14_16_18_12_3O-(12)_3O-(16)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1582.151053,1526.088493,1680.127953,1624.065393,1538.124853,1510.093573
LipidA-PP [14_16_18_12_3O-(12)_3O-(18)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1610.182353,1526.088513,1708.159253,1624.065413,1566.156153,1538.124873
LipidA-PP [14_16_18_12_3O-(14)_3O-(10)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1498.057172,1554.119732,1596.034072,1652.096632,1482.062252,1454.030972
LipidA-PP [14_16_18_12_3O-(14)_3O-(12)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1526.088473,1554.119753,1624.065373,1652.096653,1510.093553,1482.062273
LipidA-PP [14_16_18_12_3O-(14)_3O-(14)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1554.119773,1554.119773,1652.096673,1652.096673,1538.124853,1510.093573
LipidA-PP [14_16_18_12_3O-(14)_3O-(16)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1582.151073,1554.119793,1680.127973,1652.096693,1566.156153,1538.124873
LipidA-PP [14_16_18_12_3O-(14)_3O-(18)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1610.182373,1554.119813,1708.159273,1652.096713,1594.187453,1566.156173
LipidA-PP [14_16_18_12_3O-(16)_3O-(10)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1498.057193,1582.151033,1596.034093,1680.127933,1510.093553,1482.062273
LipidA-PP [14_16_18_12_3O-(16)_3O-(12)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1526.088493,1582.151053,1624.065393,1680.127953,1538.124853,1510.093573
LipidA-PP [14_16_18_12_3O-(16)_3O-(14)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1554.119793,1582.151073,1652.096693,1680.127973,1566.156153,1538.124873
LipidA-PP [14_16_18_12_3O-(16)_3O-(16)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1582.151093,1582.151093,1680.127993,1680.127993,1594.187453,1566.156173
LipidA-PP [14_16_18_12_3O-(16)_3O-(18)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1610.182393,1582.151113,1708.159293,1680.128013,1622.218753,1594.187473
LipidA-PP [14_16_18_12_3O-(18)_3O-(10)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1498.057213,1610.182333,1596.034113,1708.159233,1538.124853,1510.093573
LipidA-PP [14_16_18_12_3O-(18)_3O-(12)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1526.088513,1610.182353,1624.065413,1708.159253,1566.156153,1538.124873
LipidA-PP [14_16_18_12_3O-(18)_3O-(14)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1554.119813,1610.182373,1652.096713,1708.159273,1594.187453,1566.156173
LipidA-PP [14_16_18_12_3O-(18)_3O-(16)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1582.151113,1610.182393,1680.128013,1708.159293,1622.218753,1594.187473
LipidA-PP [14_16_18_12_3O-(18)_3O-(18)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1610.182413,1610.182413,1708.159313,1708.159313,1650.250053,1622.218773
LipidA-PP [14_16_18_14_3O-(10)_3O-(10)],1796.211572,1714.229592,1698.234672,1552.007852,1523.976572,1526.088432,1526.088432,1624.065332,1624.065332,1454.030952,1425.999672
LipidA-PP [14_16_18_14_3O-(10)_3O-(12)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1554.119732,1526.088452,1652.096632,1624.065352,1482.062252,1454.030972
LipidA-PP [14_16_18_14_3O-(10)_3O-(14)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1582.151033,1526.088473,1680.127933,1624.065373,1510.093553,1482.062273
LipidA-PP [14_16_18_14_3O-(10)_3O-(16)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1610.182333,1526.088493,1708.159233,1624.065393,1538.124853,1510.093573
LipidA-PP [14_16_18_14_3O-(10)_3O-(18)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1638.213633,1526.088513,1736.190533,1624.065413,1566.156153,1538.124873
LipidA-PP [14_16_18_14_3O-(12)_3O-(10)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1526.088452,1554.119732,1624.065352,1652.096632,1482.062252,1454.030972
LipidA-PP [14_16_18_14_3O-(12)_3O-(12)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1554.119753,1554.119753,1652.096653,1652.096653,1510.093553,1482.062273
LipidA-PP [14_16_18_14_3O-(12)_3O-(14)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1582.151053,1554.119773,1680.127953,1652.096673,1538.124853,1510.093573
LipidA-PP [14_16_18_14_3O-(12)_3O-(16)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1610.182353,1554.119793,1708.159253,1652.096693,1566.156153,1538.124873
LipidA-PP [14_16_18_14_3O-(12)_3O-(18)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1638.213653,1554.119813,1736.190553,1652.096713,1594.187453,1566.156173
LipidA-PP [14_16_18_14_3O-(14)_3O-(10)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1526.088473,1582.151033,1624.065373,1680.127933,1510.093553,1482.062273
LipidA-PP [14_16_18_14_3O-(14)_3O-(12)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1554.119773,1582.151053,1652.096673,1680.127953,1538.124853,1510.093573
LipidA-PP [14_16_18_14_3O-(14)_3O-(14)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1582.151073,1582.151073,1680.127973,1680.127973,1566.156153,1538.124873
LipidA-PP [14_16_18_14_3O-(14)_3O-(16)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1610.182373,1582.151093,1708.159273,1680.127993,1594.187453,1566.156173
LipidA-PP [14_16_18_14_3O-(14)_3O-(18)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1638.213673,1582.151113,1736.190573,1680.128013,1622.218753,1594.187473
LipidA-PP [14_16_18_14_3O-(16)_3O-(10)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1526.088493,1610.182333,1624.065393,1708.159233,1538.124853,1510.093573
LipidA-PP [14_16_18_14_3O-(16)_3O-(12)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1554.119793,1610.182353,1652.096693,1708.159253,1566.156153,1538.124873
LipidA-PP [14_16_18_14_3O-(16)_3O-(14)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1582.151093,1610.182373,1680.127993,1708.159273,1594.187453,1566.156173
LipidA-PP [14_16_18_14_3O-(16)_3O-(16)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1610.182393,1610.182393,1708.159293,1708.159293,1622.218753,1594.187473
LipidA-PP [14_16_18_14_3O-(16)_3O-(18)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1638.213693,1610.182413,1736.190593,1708.159313,1650.250053,1622.218773
LipidA-PP [14_16_18_14_3O-(18)_3O-(10)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1526.088513,1638.213633,1624.065413,1736.190533,1566.156153,1538.124873
LipidA-PP [14_16_18_14_3O-(18)_3O-(12)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1554.119813,1638.213653,1652.096713,1736.190553,1594.187453,1566.156173
LipidA-PP [14_16_18_14_3O-(18)_3O-(14)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1582.151113,1638.213673,1680.128013,1736.190573,1622.218753,1594.187473
LipidA-PP [14_16_18_14_3O-(18)_3O-(16)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1610.182413,1638.213693,1708.159313,1736.190593,1650.250053,1622.218773
LipidA-PP [14_16_18_14_3O-(18)_3O-(18)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1638.213713,1638.213713,1736.190613,1736.190613,1678.281353,1650.250073
LipidA-PP [14_16_18_16_3O-(10)_3O-(10)],1824.242872,1742.260892,1726.265972,1580.039152,1552.007872,1554.119732,1554.119732,1652.096632,1652.096632,1482.062252,1454.030972
LipidA-PP [14_16_18_16_3O-(10)_3O-(12)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1582.151033,1554.119753,1680.127933,1652.096653,1510.093553,1482.062273
LipidA-PP [14_16_18_16_3O-(10)_3O-(14)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1610.182333,1554.119773,1708.159233,1652.096673,1538.124853,1510.093573
LipidA-PP [14_16_18_16_3O-(10)_3O-(16)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1638.213633,1554.119793,1736.190533,1652.096693,1566.156153,1538.124873
LipidA-PP [14_16_18_16_3O-(10)_3O-(18)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1666.244933,1554.119813,1764.221833,1652.096713,1594.187453,1566.156173
LipidA-PP [14_16_18_16_3O-(12)_3O-(10)],1852.274173,1770.292193,1754.297273,1608.070453,1580.039173,1554.119753,1582.151033,1652.096653,1680.127933,1510.093553,1482.062273
LipidA-PP [14_16_18_16_3O-(12)_3O-(12)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1582.151053,1582.151053,1680.127953,1680.127953,1538.124853,1510.093573
LipidA-PP [14_16_18_16_3O-(12)_3O-(14)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1610.182353,1582.151073,1708.159253,1680.127973,1566.156153,1538.124873
LipidA-PP [14_16_18_16_3O-(12)_3O-(16)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1638.213653,1582.151093,1736.190553,1680.127993,1594.187453,1566.156173
LipidA-PP [14_16_18_16_3O-(12)_3O-(18)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1666.244953,1582.151113,1764.221853,1680.128013,1622.218753,1594.187473
LipidA-PP [14_16_18_16_3O-(14)_3O-(10)],1880.305473,1798.323493,1782.328573,1636.101753,1608.070473,1554.119773,1610.182333,1652.096673,1708.159233,1538.124853,1510.093573
LipidA-PP [14_16_18_16_3O-(14)_3O-(12)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1582.151073,1610.182353,1680.127973,1708.159253,1566.156153,1538.124873
LipidA-PP [14_16_18_16_3O-(14)_3O-(14)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1610.182373,1610.182373,1708.159273,1708.159273,1594.187453,1566.156173
LipidA-PP [14_16_18_16_3O-(14)_3O-(16)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1638.213673,1610.182393,1736.190573,1708.159293,1622.218753,1594.187473
LipidA-PP [14_16_18_16_3O-(14)_3O-(18)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1666.244973,1610.182413,1764.221873,1708.159313,1650.250053,1622.218773
LipidA-PP [14_16_18_16_3O-(16)_3O-(10)],1908.336773,1826.354793,1810.359873,1664.133053,1636.101773,1554.119793,1638.213633,1652.096693,1736.190533,1566.156153,1538.124873
LipidA-PP [14_16_18_16_3O-(16)_3O-(12)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1582.151093,1638.213653,1680.127993,1736.190553,1594.187453,1566.156173
LipidA-PP [14_16_18_16_3O-(16)_3O-(14)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1610.182393,1638.213673,1708.159293,1736.190573,1622.218753,1594.187473
LipidA-PP [14_16_18_16_3O-(16)_3O-(16)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1638.213693,1638.213693,1736.190593,1736.190593,1650.250053,1622.218773
LipidA-PP [14_16_18_16_3O-(16)_3O-(18)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1666.244993,1638.213713,1764.221893,1736.190613,1678.281353,1650.250073
LipidA-PP [14_16_18_16_3O-(18)_3O-(10)],1936.368073,1854.386093,1838.391173,1692.164353,1664.133073,1554.119813,1666.244933,1652.096713,1764.221833,1594.187453,1566.156173
LipidA-PP [14_16_18_16_3O-(18)_3O-(12)],1964.399373,1882.417393,1866.422473,1720.195653,1692.164373,1582.151113,1666.244953,1680.128013,1764.221853,1622.218753,1594.187473
LipidA-PP [14_16_18_16_3O-(18)_3O-(14)],1992.430673,1910.448693,1894.453773,1748.226953,1720.195673,1610.182413,1666.244973,1708.159313,1764.221873,1650.250053,1622.218773
LipidA-PP [14_16_18_16_3O-(18)_3O-(16)],2020.461973,1938.479993,1922.485073,1776.258253,1748.226973,1638.213713,1666.244993,1736.190613,1764.221893,1678.281353,1650.250073
LipidA-PP [14_16_18_16_3O-(18)_3O-(18)],2048.493273,1966.511293,1950.516373,1804.289553,1776.258273,1666.245013,1666.245013,1764.221913,1764.221913,1706.312653,1678.281373
