Plasmanyl-TG,[M+NH4],NL R2COOH,NL R3COOH
plasmanyl-TG(O-16:0_14:0_20:5)+NH4,828.74405,583.50845,509.49275
plasmanyl-TG(O-16:0_14:0_21:0)+NH4,852.83795,607.60235,509.49275
plasmanyl-TG(O-16:0_14:0_22:0)+NH4,866.85355,621.61795,509.49275
plasmanyl-TG(O-16:0_14:0_22:1)+NH4,864.83795,619.60235,509.49275
plasmanyl-TG(O-16:0_14:0_22:2)+NH4,862.82225,617.58665,509.49275
plasmanyl-TG(O-16:0_14:0_22:3)+NH4,860.80665,615.57105,509.49275
plasmanyl-TG(O-16:0_14:0_22:4)+NH4,858.79095,613.55535,509.49275
plasmanyl-TG(O-16:0_14:0_22:5)+NH4,856.77535,611.53975,509.49275
plasmanyl-TG(O-16:0_14:0_22:6)+NH4,854.75965,609.52405,509.49275
plasmanyl-TG(O-16:0_14:0_23:0)+NH4,880.86925,635.63365,509.49275
plasmanyl-TG(O-16:0_14:0_24:0)+NH4,894.88485,649.64925,509.49275
plasmanyl-TG(O-16:0_14:0_24:1)+NH4,892.86925,647.63365,509.49275
plasmanyl-TG(O-16:0_14:0_25:0)+NH4,908.90055,663.66495,509.49275
plasmanyl-TG(O-16:0_14:0_26:0)+NH4,922.91615,677.68055,509.49275
plasmanyl-TG(O-16:0_14:1_14:1)+NH4,750.69715,507.47715,507.47715
plasmanyl-TG(O-16:0_14:1_15:0)+NH4,766.72845,523.50845,507.47715
plasmanyl-TG(O-16:0_14:1_15:1)+NH4,764.71275,521.49275,507.47715
plasmanyl-TG(O-16:0_14:1_16:0)+NH4,780.74405,537.52405,507.47715
plasmanyl-TG(O-16:0_14:1_16:1)+NH4,778.72845,535.50845,507.47715
plasmanyl-TG(O-16:0_14:1_17:0)+NH4,794.75975,551.53975,507.47715
plasmanyl-TG(O-16:0_14:1_17:1)+NH4,792.74405,549.52405,507.47715
plasmanyl-TG(O-16:0_14:1_17:2)+NH4,790.72845,547.50845,507.47715
plasmanyl-TG(O-16:0_14:1_18:0)+NH4,808.77535,565.55535,507.47715
plasmanyl-TG(O-16:0_14:1_18:1)+NH4,806.75975,563.53975,507.47715
plasmanyl-TG(O-16:0_14:1_18:2)+NH4,804.74405,561.52405,507.47715
plasmanyl-TG(O-16:0_14:1_18:3)+NH4,802.72845,559.50845,507.47715
plasmanyl-TG(O-16:0_14:1_18:4)+NH4,800.71275,557.49275,507.47715
plasmanyl-TG(O-16:0_14:1_19:0)+NH4,822.79105,579.57105,507.47715
plasmanyl-TG(O-16:0_14:1_20:0)+NH4,836.80665,593.58665,507.47715
plasmanyl-TG(O-16:0_14:1_20:1)+NH4,834.79105,591.57105,507.47715
plasmanyl-TG(O-16:0_14:1_20:2)+NH4,832.77535,589.55535,507.47715
plasmanyl-TG(O-16:0_14:1_20:3)+NH4,830.75975,587.53975,507.47715
plasmanyl-TG(O-16:0_14:1_20:4)+NH4,828.74405,585.52405,507.47715
plasmanyl-TG(O-16:0_14:1_20:5)+NH4,826.72845,583.50845,507.47715
plasmanyl-TG(O-16:0_14:1_21:0)+NH4,850.82235,607.60235,507.47715
plasmanyl-TG(O-16:0_14:1_22:0)+NH4,864.83795,621.61795,507.47715
plasmanyl-TG(O-16:0_14:1_22:1)+NH4,862.82235,619.60235,507.47715
plasmanyl-TG(O-16:0_14:1_22:2)+NH4,860.80665,617.58665,507.47715
plasmanyl-TG(O-16:0_14:1_22:3)+NH4,858.79105,615.57105,507.47715
plasmanyl-TG(O-16:0_14:1_22:4)+NH4,856.77535,613.55535,507.47715
plasmanyl-TG(O-16:0_14:1_22:5)+NH4,854.75975,611.53975,507.47715
plasmanyl-TG(O-16:0_14:1_22:6)+NH4,852.74405,609.52405,507.47715
plasmanyl-TG(O-16:0_14:1_23:0)+NH4,878.85365,635.63365,507.47715
plasmanyl-TG(O-16:0_14:1_24:0)+NH4,892.86925,649.64925,507.47715
plasmanyl-TG(O-16:0_14:1_24:1)+NH4,890.85365,647.63365,507.47715
plasmanyl-TG(O-16:0_14:1_25:0)+NH4,906.88495,663.66495,507.47715
plasmanyl-TG(O-16:0_14:1_26:0)+NH4,920.90055,677.68055,507.47715
plasmanyl-TG(O-16:0_15:0_15:0)+NH4,782.75975,523.50845,523.50845
plasmanyl-TG(O-16:0_15:0_15:1)+NH4,780.74405,521.49275,523.50845
plasmanyl-TG(O-16:0_15:0_16:0)+NH4,796.77535,537.52405,523.50845
plasmanyl-TG(O-16:0_15:0_16:1)+NH4,794.75975,535.50845,523.50845
plasmanyl-TG(O-16:0_15:0_17:0)+NH4,810.79105,551.53975,523.50845
plasmanyl-TG(O-16:0_15:0_17:1)+NH4,808.77535,549.52405,523.50845
plasmanyl-TG(O-16:0_15:0_17:2)+NH4,806.75975,547.50845,523.50845
plasmanyl-TG(O-16:0_15:0_18:0)+NH4,824.80665,565.55535,523.50845
plasmanyl-TG(O-16:0_15:0_18:1)+NH4,822.79105,563.53975,523.50845
plasmanyl-TG(O-16:0_15:0_18:2)+NH4,820.77535,561.52405,523.50845
plasmanyl-TG(O-16:0_15:0_18:3)+NH4,818.75975,559.50845,523.50845
plasmanyl-TG(O-16:0_15:0_18:4)+NH4,816.74405,557.49275,523.50845
plasmanyl-TG(O-16:0_15:0_19:0)+NH4,838.82235,579.57105,523.50845
plasmanyl-TG(O-16:0_15:0_20:0)+NH4,852.83795,593.58665,523.50845
plasmanyl-TG(O-16:0_15:0_20:1)+NH4,850.82235,591.57105,523.50845
plasmanyl-TG(O-16:0_15:0_20:2)+NH4,848.80665,589.55535,523.50845
plasmanyl-TG(O-16:0_15:0_20:3)+NH4,846.79105,587.53975,523.50845
plasmanyl-TG(O-16:0_15:0_20:4)+NH4,844.77535,585.52405,523.50845
plasmanyl-TG(O-16:0_15:0_20:5)+NH4,842.75975,583.50845,523.50845
plasmanyl-TG(O-16:0_15:0_21:0)+NH4,866.85365,607.60235,523.50845
plasmanyl-TG(O-16:0_15:0_22:0)+NH4,880.86925,621.61795,523.50845
plasmanyl-TG(O-16:0_15:0_22:1)+NH4,878.85365,619.60235,523.50845
plasmanyl-TG(O-16:0_15:0_22:2)+NH4,876.83795,617.58665,523.50845
plasmanyl-TG(O-16:0_15:0_22:3)+NH4,874.82235,615.57105,523.50845
plasmanyl-TG(O-16:0_15:0_22:4)+NH4,872.80665,613.55535,523.50845
plasmanyl-TG(O-16:0_15:0_22:5)+NH4,870.79105,611.53975,523.50845
plasmanyl-TG(O-16:0_15:0_22:6)+NH4,868.77535,609.52405,523.50845
plasmanyl-TG(O-16:0_15:0_23:0)+NH4,894.88495,635.63365,523.50845
plasmanyl-TG(O-16:0_15:0_24:0)+NH4,908.90055,649.64925,523.50845
plasmanyl-TG(O-16:0_15:0_24:1)+NH4,906.88495,647.63365,523.50845
plasmanyl-TG(O-16:0_15:0_25:0)+NH4,922.91625,663.66495,523.50845
plasmanyl-TG(O-16:0_15:0_26:0)+NH4,936.93185,677.68055,523.50845
plasmanyl-TG(O-16:0_15:1_15:1)+NH4,778.72835,521.49275,521.49275
plasmanyl-TG(O-16:0_15:1_16:0)+NH4,794.75965,537.52405,521.49275
plasmanyl-TG(O-16:0_15:1_16:1)+NH4,792.74405,535.50845,521.49275
plasmanyl-TG(O-16:0_15:1_17:0)+NH4,808.77535,551.53975,521.49275
plasmanyl-TG(O-16:0_15:1_17:1)+NH4,806.75965,549.52405,521.49275
plasmanyl-TG(O-16:0_15:1_17:2)+NH4,804.74405,547.50845,521.49275
plasmanyl-TG(O-16:0_15:1_18:0)+NH4,822.79095,565.55535,521.49275
plasmanyl-TG(O-16:0_15:1_18:1)+NH4,820.77535,563.53975,521.49275
plasmanyl-TG(O-16:0_15:1_18:2)+NH4,818.75965,561.52405,521.49275
plasmanyl-TG(O-16:0_15:1_18:3)+NH4,816.74405,559.50845,521.49275
plasmanyl-TG(O-16:0_15:1_18:4)+NH4,814.72835,557.49275,521.49275
plasmanyl-TG(O-16:0_15:1_19:0)+NH4,836.80665,579.57105,521.49275
plasmanyl-TG(O-16:0_15:1_20:0)+NH4,850.82225,593.58665,521.49275
plasmanyl-TG(O-16:0_15:1_20:1)+NH4,848.80665,591.57105,521.49275
plasmanyl-TG(O-16:0_15:1_20:2)+NH4,846.79095,589.55535,521.49275
plasmanyl-TG(O-16:0_15:1_20:3)+NH4,844.77535,587.53975,521.49275
plasmanyl-TG(O-16:0_15:1_20:4)+NH4,842.75965,585.52405,521.49275
plasmanyl-TG(O-16:0_15:1_20:5)+NH4,840.74405,583.50845,521.49275
plasmanyl-TG(O-16:0_15:1_21:0)+NH4,864.83795,607.60235,521.49275
plasmanyl-TG(O-16:0_15:1_22:0)+NH4,878.85355,621.61795,521.49275
plasmanyl-TG(O-16:0_15:1_22:1)+NH4,876.83795,619.60235,521.49275
plasmanyl-TG(O-16:0_15:1_22:2)+NH4,874.82225,617.58665,521.49275
plasmanyl-TG(O-16:0_15:1_22:3)+NH4,872.80665,615.57105,521.49275
plasmanyl-TG(O-16:0_15:1_22:4)+NH4,870.79095,613.55535,521.49275
plasmanyl-TG(O-16:0_15:1_22:5)+NH4,868.77535,611.53975,521.49275
plasmanyl-TG(O-16:0_15:1_22:6)+NH4,866.75965,609.52405,521.49275
plasmanyl-TG(O-16:0_15:1_23:0)+NH4,892.86925,635.63365,521.49275
plasmanyl-TG(O-16:0_15:1_24:0)+NH4,906.88485,649.64925,521.49275
plasmanyl-TG(O-16:0_15:1_24:1)+NH4,904.86925,647.63365,521.49275
plasmanyl-TG(O-16:0_15:1_25:0)+NH4,920.90055,663.66495,521.49275
plasmanyl-TG(O-16:0_15:1_26:0)+NH4,934.91615,677.68055,521.49275
plasmanyl-TG(O-16:0_16:0_16:0)+NH4,810.79095,537.52405,537.52405
plasmanyl-TG(O-16:0_16:0_16:1)+NH4,808.77535,535.50845,537.52405
plasmanyl-TG(O-16:0_16:0_17:0)+NH4,824.80665,551.53975,537.52405
plasmanyl-TG(O-16:0_16:0_17:1)+NH4,822.79095,549.52405,537.52405
plasmanyl-TG(O-16:0_16:0_17:2)+NH4,820.77535,547.50845,537.52405
plasmanyl-TG(O-16:0_16:0_18:0)+NH4,838.82225,565.55535,537.52405
plasmanyl-TG(O-16:0_16:0_18:1)+NH4,836.80665,563.53975,537.52405
plasmanyl-TG(O-16:0_16:0_18:2)+NH4,834.79095,561.52405,537.52405
plasmanyl-TG(O-16:0_16:0_18:3)+NH4,832.77535,559.50845,537.52405
plasmanyl-TG(O-16:0_16:0_18:4)+NH4,830.75965,557.49275,537.52405
plasmanyl-TG(O-16:0_16:0_19:0)+NH4,852.83795,579.57105,537.52405
plasmanyl-TG(O-16:0_16:0_20:0)+NH4,866.85355,593.58665,537.52405
plasmanyl-TG(O-16:0_16:0_20:1)+NH4,864.83795,591.57105,537.52405
plasmanyl-TG(O-16:0_16:0_20:2)+NH4,862.82225,589.55535,537.52405
plasmanyl-TG(O-16:0_16:0_20:3)+NH4,860.80665,587.53975,537.52405
plasmanyl-TG(O-16:0_16:0_20:4)+NH4,858.79095,585.52405,537.52405
plasmanyl-TG(O-16:0_16:0_20:5)+NH4,856.77535,583.50845,537.52405
plasmanyl-TG(O-16:0_16:0_21:0)+NH4,880.86925,607.60235,537.52405
plasmanyl-TG(O-16:0_16:0_22:0)+NH4,894.88485,621.61795,537.52405
plasmanyl-TG(O-16:0_16:0_22:1)+NH4,892.86925,619.60235,537.52405
plasmanyl-TG(O-16:0_16:0_22:2)+NH4,890.85355,617.58665,537.52405
plasmanyl-TG(O-16:0_16:0_22:3)+NH4,888.83795,615.57105,537.52405
plasmanyl-TG(O-16:0_16:0_22:4)+NH4,886.82225,613.55535,537.52405
plasmanyl-TG(O-16:0_16:0_22:5)+NH4,884.80665,611.53975,537.52405
plasmanyl-TG(O-16:0_16:0_22:6)+NH4,882.79095,609.52405,537.52405
plasmanyl-TG(O-16:0_16:0_23:0)+NH4,908.90055,635.63365,537.52405
plasmanyl-TG(O-16:0_16:0_24:0)+NH4,922.91615,649.64925,537.52405
plasmanyl-TG(O-16:0_16:0_24:1)+NH4,920.90055,647.63365,537.52405
plasmanyl-TG(O-16:0_16:0_25:0)+NH4,936.93185,663.66495,537.52405
plasmanyl-TG(O-16:0_16:0_26:0)+NH4,950.94745,677.68055,537.52405
plasmanyl-TG(O-16:0_16:1_16:1)+NH4,806.75975,535.50845,535.50845
plasmanyl-TG(O-16:0_16:1_17:0)+NH4,822.79105,551.53975,535.50845
plasmanyl-TG(O-16:0_16:1_17:1)+NH4,820.77535,549.52405,535.50845
plasmanyl-TG(O-16:0_16:1_17:2)+NH4,818.75975,547.50845,535.50845
plasmanyl-TG(O-16:0_16:1_18:0)+NH4,836.80665,565.55535,535.50845
plasmanyl-TG(O-16:0_16:1_18:1)+NH4,834.79105,563.53975,535.50845
plasmanyl-TG(O-16:0_16:1_18:2)+NH4,832.77535,561.52405,535.50845
plasmanyl-TG(O-16:0_16:1_18:3)+NH4,830.75975,559.50845,535.50845
plasmanyl-TG(O-16:0_16:1_18:4)+NH4,828.74405,557.49275,535.50845
