PMeOH,[M+NH4]+,[M-CH5O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-112+H]+,[M-SN2-112+H]+,SN2-H2O,SN1-H2O,[C4H9O5P+H]+
PMeOH(13:0_17:2)+NH4,648.46002,519.4409,417.2402,365.2089,323.2582,271.227,249.2211,197.1899,169.026
PMeOH(13:0_18:0)+NH4,666.50682,537.4877,435.2871,365.2089,341.3051,271.2269,267.2681,197.1899,169.026
PMeOH(13:0_18:1)+NH4,664.49112,535.472,433.2714,365.2089,339.2894,271.2269,265.2524,197.1899,169.026
PMeOH(13:0_18:2)+NH4,662.47552,533.4564,431.2558,365.2089,337.2738,271.2269,263.2368,197.1899,169.026
PMeOH(13:0_18:3)+NH4,660.46002,531.4409,429.2402,365.2089,335.2582,271.227,261.2212,197.1899,169.026
PMeOH(13:0_18:4)+NH4,658.44422,529.4251,427.2245,365.2089,333.2425,271.2269,259.2055,197.1899,169.026
PMeOH(13:0_18:5)+NH4,656.42862,527.4095,425.2089,365.2089,331.2269,271.2269,257.1899,197.1899,169.026
PMeOH(13:0_19:0)+NH4,680.52252,551.5034,449.3027,365.2089,355.3207,271.2269,281.2837,197.1899,169.026
PMeOH(13:0_19:1)+NH4,678.50682,549.4877,447.2871,365.2089,353.3051,271.2269,279.2681,197.1899,169.026
PMeOH(13:0_19:2)+NH4,676.49112,547.472,445.2714,365.2089,351.2894,271.2269,277.2524,197.1899,169.026
PMeOH(13:0_20:0)+NH4,694.53812,565.519,463.3184,365.2089,369.3364,271.227,295.2993,197.1899,169.026
PMeOH(13:0_20:1)+NH4,692.52252,563.5034,461.3027,365.2089,367.3207,271.2269,293.2837,197.1899,169.026
PMeOH(13:0_20:2)+NH4,690.50682,561.4877,459.2871,365.2089,365.3051,271.2269,291.2681,197.1899,169.026
PMeOH(13:0_20:3)+NH4,688.49112,559.472,457.2714,365.2089,363.2894,271.2269,289.2524,197.1899,169.026
PMeOH(13:0_20:4)+NH4,686.47552,557.4564,455.2558,365.2089,361.2738,271.2269,287.2368,197.1899,169.026
PMeOH(13:0_20:5)+NH4,684.46002,555.4409,453.2402,365.2089,359.2582,271.227,285.2212,197.1899,169.026
PMeOH(13:0_21:0)+NH4,708.55382,579.5347,477.3341,365.209,383.3521,271.227,309.315,197.1899,169.026
